QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
1,11:47.0,S. Adams misses 2-pt hook shot from 5 ft,,0,0
1,11:45.0,,Defensive rebound by E. Freedom,0,0
1,11:31.0,,Turnover by D. Lillard (bad pass; steal by R. Westbrook),0,0
1,11:27.0,P. George makes 3-pt jump shot from 25 ft,,3,0
1,11:06.0,,C. McCollum misses 3-pt jump shot from 25 ft,3,0
1,11:04.0,Defensive rebound by P. George,,3,0
1,10:57.0,J. Grant makes 2-pt layup from 1 ft,,5,0
1,10:44.0,,D. Lillard misses 2-pt jump shot from 5 ft,5,0
1,10:41.0,Defensive rebound by T. Ferguson,,5,0
1,10:31.0,S. Adams misses 2-pt hook shot from 2 ft,,5,0
1,10:30.0,,Defensive rebound by A. Aminu,5,0
1,10:26.0,,M. Harkless makes 2-pt layup from 2 ft (assist by A. Aminu),5,2
1,10:13.0,Offensive foul by R. Westbrook (drawn by D. Lillard),,5,2
1,10:13.0,Turnover by R. Westbrook (offensive foul),,5,2
1,9:53.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by M. Harkless),5,4
1,9:41.0,P. George makes 2-pt jump shot from 16 ft,,7,4
1,9:32.0,,C. McCollum misses 2-pt jump shot from 20 ft,7,4
1,9:29.0,Defensive rebound by R. Westbrook,,7,4
1,9:21.0,P. George makes 2-pt jump shot from 16 ft,,9,4
1,8:58.0,,E. Freedom misses 2-pt layup from 2 ft (block by S. Adams),9,4
1,8:57.0,Defensive rebound by P. George,,9,4
1,8:48.0,J. Grant makes 3-pt jump shot from 27 ft (assist by T. Ferguson),,12,4
1,8:34.0,,Shooting foul by S. Adams (drawn by D. Lillard),12,4
1,8:34.0,,D. Lillard makes free throw 1 of 2,12,5
1,8:34.0,,D. Lillard makes free throw 2 of 2,12,6
1,8:19.0,R. Westbrook misses 2-pt jump shot from 14 ft,,12,6
1,8:17.0,,Defensive rebound by A. Aminu,12,6
1,8:05.0,,M. Harkless misses 3-pt jump shot from 23 ft,12,6
1,8:02.0,Defensive rebound by R. Westbrook,,12,6
1,8:00.0,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),,14,6
1,8:00.0,Shooting foul by C. McCollum (drawn by S. Adams),,14,6
1,8:00.0,S. Adams misses free throw 1 of 1,,14,6
1,7:58.0,Offensive rebound by P. George,,14,6
1,7:54.0,P. George makes 2-pt jump shot from 14 ft,,16,6
1,7:52.0,,Portland full timeout,16,6
1,7:30.0,,D. Lillard makes 2-pt jump shot from 9 ft,16,8
1,7:16.0,Turnover by P. George (traveling),,16,8
1,7:04.0,,D. Lillard makes 3-pt jump shot from 30 ft,16,11
1,6:49.0,S. Adams makes 2-pt hook shot from 4 ft,,18,11
1,6:41.0,,Shooting foul by T. Ferguson (drawn by D. Lillard),18,11
1,6:41.0,,D. Lillard misses free throw 1 of 2,18,11
1,6:41.0,,Offensive rebound by Team,18,11
1,6:41.0,,D. Lillard makes free throw 2 of 2,18,12
1,6:29.0,Oklahoma City full timeout,,18,12
1,6:22.0,Personal foul by M. Harkless (drawn by P. George),,18,12
1,6:14.0,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),,20,12
1,5:58.0,,M. Harkless misses 2-pt layup from 1 ft (block by J. Grant),20,12
1,5:56.0,,Offensive rebound by E. Freedom,20,12
1,5:55.0,,Turnover by M. Harkless (out of bounds lost ball),20,12
1,5:41.0,J. Grant makes 2-pt layup from 1 ft,,22,12
1,5:23.0,,A. Aminu misses 3-pt jump shot from 23 ft,22,12
1,5:22.0,Defensive rebound by S. Adams,,22,12
1,5:14.0,Personal foul by C. McCollum (drawn by J. Grant),,22,12
1,5:14.0,,R. Hood enters the game for M. Harkless,22,12
1,5:14.0,,M. Leonard enters the game for E. Freedom,22,12
1,5:05.0,Offensive foul by J. Grant (drawn by D. Lillard),,22,12
1,5:05.0,Turnover by J. Grant (offensive foul),,22,12
1,4:51.0,,M. Leonard misses 3-pt jump shot from 25 ft,22,12
1,4:49.0,,Offensive rebound by D. Lillard,22,12
1,4:41.0,,D. Lillard makes 3-pt jump shot from 24 ft,22,15
1,4:27.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,24,15
1,4:04.0,,D. Lillard misses 2-pt layup from 1 ft (block by J. Grant),24,15
1,4:04.0,,Offensive rebound by Team,24,15
1,4:04.0,N. Noel enters the game for S. Adams,,24,15
1,4:04.0,D. Schröder enters the game for T. Ferguson,,24,15
1,4:00.0,,M. Leonard makes 2-pt layup from 1 ft (assist by A. Aminu),24,17
1,3:47.0,N. Noel makes 2-pt layup from 3 ft (assist by R. Westbrook),,26,17
1,3:35.0,,C. McCollum makes 2-pt layup from 1 ft,26,19
1,3:21.0,P. George makes 2-pt jump shot from 16 ft,,28,19
1,3:11.0,,Offensive foul by C. McCollum (drawn by P. George),28,19
1,3:11.0,,Turnover by C. McCollum (offensive foul),28,19
1,3:11.0,,Z. Collins enters the game for A. Aminu,28,19
1,3:11.0,,S. Curry enters the game for C. McCollum,28,19
1,3:00.0,Turnover by N. Noel (traveling),,28,19
1,2:50.0,,D. Lillard makes 2-pt jump shot from 21 ft,28,21
1,2:36.0,R. Westbrook makes 2-pt jump shot from 18 ft,,30,21
1,2:22.0,,D. Lillard makes 3-pt jump shot from 25 ft,30,24
1,2:13.0,R. Westbrook makes 2-pt layup from 1 ft,,32,24
1,2:13.0,Shooting foul by Z. Collins (drawn by R. Westbrook),,32,24
1,2:13.0,M. Morris enters the game for J. Grant,,32,24
1,2:13.0,R. Westbrook makes free throw 1 of 1,,33,24
1,2:00.0,,S. Curry misses 2-pt jump shot from 5 ft,33,24
1,1:59.0,,Offensive rebound by Team,33,24
1,1:59.0,Loose ball foul by M. Morris (drawn by M. Leonard),,33,24
1,1:54.0,,D. Lillard misses 3-pt jump shot from 30 ft,33,24
1,1:51.0,,Offensive rebound by R. Hood,33,24
1,1:50.0,,M. Leonard misses 2-pt jump shot from 2 ft (block by R. Westbrook),33,24
1,1:46.0,Defensive rebound by D. Schröder,,33,24
1,1:34.0,M. Morris misses 3-pt jump shot from 24 ft,,33,24
1,1:31.0,Offensive rebound by N. Noel,,33,24
1,1:29.0,P. George misses 3-pt jump shot from 23 ft,,33,24
1,1:26.0,,Defensive rebound by M. Leonard,33,24
1,1:20.0,,Personal foul by R. Westbrook (drawn by D. Lillard),33,24
1,1:20.0,,D. Lillard misses free throw 1 of 2,33,24
1,1:20.0,,Offensive rebound by Team,33,24
1,1:20.0,,D. Lillard makes free throw 2 of 2,33,25
1,1:08.0,N. Noel misses 2-pt jump shot from 6 ft,,33,25
1,1:02.0,Offensive rebound by R. Westbrook,,33,25
1,1:02.0,R. Westbrook makes 2-pt layup at rim,,35,25
1,0:49.0,,S. Curry misses 2-pt jump shot from 4 ft,35,25
1,0:48.0,,Offensive rebound by D. Lillard,35,25
1,0:48.0,,D. Lillard makes 2-pt layup from 1 ft,35,27
1,0:32.0,M. Morris misses 2-pt layup from 3 ft (block by S. Curry),,35,27
1,0:29.0,,Defensive rebound by S. Curry,35,27
1,0:14.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by R. Hood),35,29
1,0:04.0,Personal foul by R. Hood (drawn by P. George),,35,29
1,0:04.0,P. George makes free throw 1 of 2,,36,29
1,0:04.0,R. Felton enters the game for R. Westbrook,,36,29
1,0:04.0,P. George makes free throw 2 of 2,,37,29
1,0:00.0,,Z. Collins misses 3-pt jump shot from 50 ft,37,29
1,0:00.0,,Offensive rebound by Team,37,29
2,11:44.0,,S. Curry makes 2-pt jump shot from 23 ft,37,31
2,11:22.0,Turnover by D. Schröder (bad pass; steal by D. Lillard),,37,31
2,11:22.0,,Turnover by D. Lillard (step out of bounds),37,31
2,11:14.0,D. Schröder makes 2-pt jump shot from 16 ft,,39,31
2,11:00.0,,D. Lillard makes 3-pt jump shot from 25 ft,39,34
2,10:42.0,N. Noel misses 2-pt layup from 1 ft,,39,34
2,10:42.0,Offensive rebound by Team,,39,34
2,10:42.0,J. Grant enters the game for M. Morris,,39,34
2,10:30.0,P. George makes 2-pt jump shot from 12 ft,,41,34
2,10:18.0,,Personal foul by P. George (drawn by E. Turner),41,34
2,10:04.0,,Z. Collins misses 2-pt hook shot from 4 ft,41,34
2,10:03.0,Defensive rebound by P. George,,41,34
2,9:50.0,R. Felton makes 2-pt jump shot from 11 ft,,43,34
2,9:23.0,,R. Hood misses 2-pt jump shot from 23 ft,43,34
2,9:23.0,,Offensive rebound by Team,43,34
2,9:23.0,,Turnover by Team (shot clock),43,34
2,9:23.0,S. Adams enters the game for N. Noel,,43,34
2,9:05.0,R. Felton misses 3-pt jump shot from 24 ft,,43,34
2,9:02.0,,Defensive rebound by Z. Collins,43,34
2,8:50.0,,D. Lillard misses 3-pt jump shot from 27 ft,43,34
2,8:48.0,Defensive rebound by J. Grant,,43,34
2,8:40.0,Personal foul by S. Curry (drawn by R. Felton),,43,34
2,8:40.0,R. Westbrook enters the game for R. Felton,,43,34
2,8:40.0,,M. Harkless enters the game for Z. Collins,43,34
2,8:40.0,,E. Freedom enters the game for R. Hood,43,34
2,8:25.0,P. George misses 3-pt jump shot from 25 ft,,43,34
