QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
1,11:47.0,W. Chandler misses 2-pt layup from 2 ft,,0,0
1,11:45.0,,Defensive rebound by D. Favors,0,0
1,11:31.0,,J. Ingles misses 2-pt layup from 2 ft,0,0
1,11:30.0,,Offensive rebound by R. Gobert,0,0
1,11:30.0,,R. Gobert misses 2-pt layup from 1 ft,0,0
1,11:30.0,,Offensive rebound by R. Gobert,0,0
1,11:30.0,,Shooting foul by W. Chandler (drawn by R. Gobert),0,0
1,11:30.0,,Violation by Team (delay of game),0,0
1,11:30.0,,R. Gobert makes free throw 1 of 2,0,1
1,11:30.0,,R. Gobert makes free throw 2 of 2,0,2
1,11:16.0,J. Embiid misses 2-pt hook shot from 8 ft,,0,2
1,11:14.0,,Defensive rebound by D. Favors,0,2
1,10:58.0,,R. Gobert misses 2-pt layup from 4 ft,0,2
1,10:55.0,Defensive rebound by B. Simmons,,0,2
1,10:53.0,J. Redick misses 3-pt jump shot from 24 ft,,0,2
1,10:51.0,,Defensive rebound by D. Favors,0,2
1,10:42.0,,D. Mitchell makes 2-pt layup from 1 ft,0,4
1,10:34.0,B. Simmons misses 2-pt layup from 2 ft (block by D. Favors),,0,4
1,10:31.0,,Defensive rebound by D. Favors,0,4
1,10:28.0,,D. Mitchell misses 3-pt jump shot from 27 ft,0,4
1,10:25.0,Defensive rebound by B. Simmons,,0,4
1,10:19.0,B. Simmons misses 2-pt layup from 4 ft,,0,4
1,10:16.0,Offensive rebound by B. Simmons,,0,4
1,10:05.0,W. Chandler misses 3-pt jump shot from 25 ft,,0,4
1,10:01.0,,Defensive rebound by R. Gobert,0,4
1,9:58.0,,D. Mitchell misses 2-pt jump shot from 15 ft,0,4
1,9:54.0,Defensive rebound by J. Embiid,,0,4
1,9:48.0,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),,2,4
1,9:27.0,,J. Ingles misses 2-pt jump shot from 7 ft,2,4
1,9:27.0,Defensive rebound by J. Embiid,,2,4
1,9:27.0,Personal foul by J. Ingles (drawn by J. Embiid),,2,4
1,9:17.0,J. Redick makes 3-pt jump shot from 24 ft (assist by J. Embiid),,5,4
1,8:54.0,,Shooting foul by J. Butler (drawn by R. Gobert),5,4
1,8:54.0,,R. Gobert makes free throw 1 of 2,5,5
1,8:54.0,,R. Gobert makes free throw 2 of 2,5,6
1,8:46.0,J. Embiid misses 3-pt jump shot from 25 ft,,5,6
1,8:45.0,,Defensive rebound by Team,5,6
1,8:34.0,,D. Favors misses 3-pt jump shot from 23 ft,5,6
1,8:30.0,Defensive rebound by J. Redick,,5,6
1,8:26.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,7,6
1,8:07.0,,R. Rubio misses 2-pt jump shot from 19 ft,7,6
1,8:05.0,Defensive rebound by J. Embiid,,7,6
1,7:43.0,B. Simmons misses 2-pt hook shot from 9 ft,,7,6
1,7:40.0,,Defensive rebound by R. Gobert,7,6
1,7:39.0,,Personal foul by J. Redick (drawn by D. Favors),7,6
1,7:33.0,,J. Ingles misses 3-pt jump shot from 25 ft,7,6
1,7:28.0,Defensive rebound by B. Simmons,,7,6
1,7:20.0,J. Embiid misses 2-pt layup from 2 ft,,7,6
1,7:17.0,,Defensive rebound by R. Rubio,7,6
1,7:13.0,,Shooting foul by B. Simmons (drawn by D. Favors),7,6
1,7:13.0,,D. Favors misses free throw 1 of 2,7,6
1,7:13.0,,Offensive rebound by Team,7,6
1,7:13.0,T. McConnell enters the game for W. Chandler,,7,6
1,7:13.0,M. Muscala enters the game for J. Embiid,,7,6
1,7:13.0,L. Shamet enters the game for J. Redick,,7,6
1,7:13.0,,K. Korver enters the game for J. Ingles,7,6
1,7:13.0,,D. Favors makes free throw 2 of 2,7,7
1,6:58.0,B. Simmons misses 2-pt hook shot from 4 ft,,7,7
1,6:56.0,,Defensive rebound by R. Gobert,7,7
1,6:41.0,,K. Korver makes 2-pt jump shot from 3 ft (assist by D. Mitchell),7,9
1,6:26.0,J. Butler misses 2-pt jump shot from 12 ft,,7,9
1,6:23.0,Offensive rebound by B. Simmons,,7,9
1,6:23.0,B. Simmons makes 2-pt dunk at rim,,9,9
1,6:03.0,,K. Korver misses 3-pt jump shot from 29 ft,9,9
1,6:00.0,,Offensive rebound by R. Gobert,9,9
1,5:59.0,,R. Gobert makes 2-pt layup from 2 ft,9,11
1,5:46.0,L. Shamet misses 3-pt jump shot from 25 ft,,9,11
1,5:45.0,,Defensive rebound by D. Favors,9,11
1,5:36.0,,D. Favors makes 2-pt layup from 3 ft (assist by R. Rubio),9,13
1,5:36.0,Philadelphia full timeout,,9,13
1,5:36.0,,J. Crowder enters the game for D. Favors,9,13
1,5:24.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,11,13
1,5:08.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by R. Rubio),11,16
1,4:46.0,T. McConnell makes 2-pt jump shot from 13 ft (assist by B. Simmons),,13,16
1,4:32.0,,D. Mitchell makes 2-pt jump shot from 19 ft,13,18
1,4:18.0,M. Muscala misses 3-pt jump shot from 24 ft,,13,18
1,4:16.0,,Defensive rebound by D. Mitchell,13,18
1,4:09.0,,D. Mitchell misses 2-pt jump shot from 8 ft,13,18
1,4:06.0,Defensive rebound by M. Muscala,,13,18
1,4:00.0,B. Simmons misses 2-pt jump shot from 13 ft,,13,18
1,3:57.0,,Defensive rebound by R. Rubio,13,18
1,3:50.0,,Turnover by J. Crowder (step out of bounds),13,18
1,3:50.0,F. Korkmaz enters the game for L. Shamet,,13,18
1,3:50.0,,D. Exum enters the game for R. Rubio,13,18
1,3:31.0,J. Butler misses 3-pt jump shot from 25 ft,,13,18
1,3:27.0,,Defensive rebound by R. Gobert,13,18
1,3:19.0,,D. Mitchell makes 2-pt jump shot from 11 ft,13,20
1,3:01.0,Turnover by B. Simmons (traveling),,13,20
1,3:01.0,,Utah full timeout,13,20
1,3:01.0,J. Bolden enters the game for J. Butler,,13,20
1,3:01.0,J. Embiid enters the game for M. Muscala,,13,20
1,3:01.0,J. Redick enters the game for B. Simmons,,13,20
1,3:01.0,,D. Favors enters the game for R. Gobert,13,20
1,3:01.0,,J. Ingles enters the game for D. Mitchell,13,20
1,2:40.0,,Turnover by D. Favors (lost ball; steal by F. Korkmaz),13,20
1,2:25.0,Personal foul by D. Favors (drawn by J. Embiid),,13,20
1,2:18.0,,Violation by Team (kicked ball),13,20
1,2:08.0,J. Redick makes 2-pt jump shot from 24 ft (assist by T. McConnell),,15,20
1,1:52.0,,D. Exum misses 2-pt layup from 3 ft,15,20
1,1:50.0,Defensive rebound by J. Embiid,,15,20
1,1:45.0,T. McConnell makes 2-pt jump shot from 11 ft,,17,20
1,1:34.0,,Personal foul by J. Bolden (drawn by J. Crowder),17,20
1,1:34.0,,J. Crowder misses free throw 1 of 2,17,20
1,1:34.0,,Offensive rebound by Team,17,20
1,1:34.0,,J. Crowder makes free throw 2 of 2,17,21
1,1:24.0,T. McConnell makes 2-pt jump shot from 16 ft (assist by J. Embiid),,19,21
1,1:03.0,,K. Korver misses 2-pt jump shot from 13 ft,19,21
1,0:59.0,,Offensive rebound by D. Favors,19,21
1,0:57.0,,K. Korver misses 3-pt jump shot from 25 ft,19,21
1,0:55.0,Defensive rebound by J. Embiid,,19,21
1,0:49.0,J. Bolden misses 3-pt jump shot from 25 ft,,19,21
1,0:46.0,,Defensive rebound by D. Exum,19,21
1,0:38.0,,D. Exum makes 2-pt layup from 5 ft,19,23
1,0:38.0,,Shooting foul by T. McConnell (drawn by D. Exum),19,23
1,0:38.0,Technical foul by T. McConnell,,19,23
1,0:38.0,,K. Korver makes technical free throw,19,24
1,0:38.0,,D. Exum makes free throw 1 of 1,19,25
1,0:32.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by J. Redick),,22,25
1,0:07.0,,K. Korver makes 3-pt jump shot from 26 ft (assist by J. Ingles),22,28
1,0:07.0,,Shooting foul by J. Bolden (drawn by K. Korver),22,28
1,0:07.0,,K. Korver makes free throw 1 of 1,22,29
1,0:00.0,J. Embiid misses 3-pt jump shot from 24 ft,,22,29
1,0:00.0,Offensive rebound by Team,,22,29
2,11:50.0,,Personal foul by J. Bolden (drawn by J. Crowder),22,29
2,11:39.0,,D. Exum misses 2-pt jump shot from 16 ft,22,29
2,11:37.0,Defensive rebound by T. McConnell,,22,29
2,11:26.0,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),,24,29
2,11:16.0,,K. Korver misses 3-pt jump shot from 25 ft,24,29
2,11:14.0,Defensive rebound by J. Bolden,,24,29
2,11:08.0,Personal foul by D. Favors (drawn by J. Embiid),,24,29
2,11:08.0,,T. Sefolosha enters the game for J. Crowder,24,29
2,10:50.0,J. Embiid makes 2-pt hook shot from 3 ft,,26,29
2,10:39.0,,D. Exum misses 2-pt layup from 3 ft,26,29
2,10:38.0,,Offensive rebound by D. Exum,26,29
2,10:32.0,,D. Exum makes 3-pt jump shot from 23 ft (assist by J. Ingles),26,32
2,10:17.0,Turnover by T. McConnell (bad pass; steal by J. Ingles),,26,32
2,10:11.0,,Turnover by J. Ingles (dbl dribble),26,32
2,10:11.0,W. Chandler enters the game for J. Bolden,,26,32
2,10:02.0,J. Redick makes 3-pt jump shot from 23 ft (assist by J. Embiid),,29,32
2,10:02.0,Shooting foul by K. Korver (drawn by J. Redick),,29,32
2,10:02.0,J. Redick makes free throw 1 of 1,,30,32
2,9:48.0,,D. Exum makes 3-pt jump shot from 26 ft (assist by D. Favors),30,35
2,9:21.0,W. Chandler makes 2-pt jump shot from 12 ft (assist by T. McConnell),,32,35
2,9:05.0,,J. Ingles makes 2-pt layup from 4 ft,32,37
2,8:52.0,W. Chandler misses 3-pt jump shot from 25 ft,,32,37
2,8:50.0,,Defensive rebound by Team,32,37
2,8:50.0,,R. Gobert enters the game for D. Favors,32,37
2,8:50.0,,D. Mitchell enters the game for J. Ingles,32,37
2,8:39.0,,Personal foul by T. McConnell (drawn by D. Mitchell),32,37
2,8:39.0,,R. O'Neale enters the game for K. Korver,32,37
2,8:31.0,,Turnover by D. Mitchell (bad pass),32,37
2,8:09.0,J. Embiid makes 2-pt jump shot from 17 ft,,34,37
2,7:55.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Exum),34,39
2,7:41.0,T. McConnell makes 2-pt jump shot from 16 ft,,36,39
2,7:25.0,,D. Exum makes 2-pt dunk from 2 ft,36,41
2,7:07.0,J. Embiid makes 2-pt layup from 2 ft (assist by W. Chandler),,38,41
2,6:51.0,,D. Mitchell makes 2-pt jump shot from 19 ft,38,43
2,6:37.0,J. Redick makes 2-pt jump shot from 3 ft,,40,43
2,6:37.0,Shooting foul by R. O'Neale (drawn by J. Redick),,40,43
2,6:37.0,,Utah full timeout,40,43
2,6:37.0,M. Muscala enters the game for J. Embiid,,40,43
2,6:37.0,B. Simmons enters the game for T. McConnell,,40,43
2,6:37.0,,R. Rubio enters the game for D. Exum,40,43
2,6:37.0,J. Redick makes free throw 1 of 1,,41,43
2,6:21.0,,R. Gobert misses 2-pt layup from 4 ft,41,43
2,6:17.0,,Offensive rebound by R. Rubio,41,43
2,6:15.0,,D. Mitchell misses 3-pt jump shot from 26 ft,41,43
2,6:12.0,Defensive rebound by M. Muscala,,41,43
2,6:07.0,Personal foul by R. Rubio (drawn by J. Butler),,41,43
2,6:07.0,L. Shamet enters the game for J. Redick,,41,43
2,5:58.0,J. Butler makes 2-pt jump shot from 18 ft (assist by B. Simmons),,43,43
2,5:45.0,,D. Mitchell makes 3-pt jump shot from 30 ft,43,46
2,5:21.0,L. Shamet misses 3-pt jump shot from 24 ft,,43,46
2,5:17.0,,Defensive rebound by D. Mitchell,43,46
2,5:15.0,,Turnover by D. Mitchell (bad pass),43,46
2,5:03.0,B. Simmons makes 2-pt dunk from 1 ft (assist by M. Muscala),,45,46
2,4:42.0,,Turnover by R. Gobert (bad pass; steal by B. Simmons),45,46
2,4:31.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by B. Simmons),,48,46
2,4:29.0,,Utah full timeout,48,46
2,4:29.0,,J. Crowder enters the game for R. O'Neale,48,46
2,4:29.0,,J. Ingles enters the game for T. Sefolosha,48,46
2,4:10.0,,J. Crowder misses 3-pt jump shot from 25 ft,48,46
2,4:08.0,,Offensive rebound by Team,48,46
2,4:03.0,,J. Ingles makes 2-pt jump shot from 10 ft (assist by R. Gobert),48,48
2,3:46.0,J. Butler misses 2-pt jump shot from 16 ft,,48,48
2,3:44.0,,Defensive rebound by J. Crowder,48,48
2,3:31.0,,J. Ingles makes 2-pt layup from 3 ft (assist by R. Gobert),48,50
2,3:30.0,Philadelphia full timeout,,48,50
2,3:30.0,J. Embiid enters the game for J. Butler,,48,50
2,3:30.0,F. Korkmaz enters the game for W. Chandler,,48,50
2,3:30.0,J. Redick enters the game for L. Shamet,,48,50
2,3:06.0,Turnover by J. Embiid (bad pass; steal by J. Ingles),,48,50
2,3:02.0,,R. Rubio misses 2-pt layup from 4 ft (block by J. Embiid),48,50
2,3:02.0,,Offensive rebound by Team,48,50
2,2:57.0,,J. Ingles misses 2-pt layup from 7 ft,48,50
2,2:55.0,Defensive rebound by B. Simmons,,48,50
2,2:52.0,J. Redick misses 3-pt jump shot from 25 ft,,48,50
2,2:48.0,,Defensive rebound by J. Crowder,48,50
2,2:43.0,,J. Ingles misses 3-pt jump shot from 25 ft,48,50
2,2:39.0,Defensive rebound by F. Korkmaz,,48,50
2,2:30.0,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),,50,50
2,2:20.0,,D. Mitchell misses 3-pt jump shot from 24 ft,50,50
2,2:13.0,Defensive rebound by J. Embiid,,50,50
2,2:04.0,Turnover by J. Embiid (bad pass; steal by D. Mitchell),,50,50
2,1:56.0,,J. Ingles misses 2-pt layup from 4 ft,50,50
2,1:54.0,Defensive rebound by J. Embiid,,50,50
2,1:49.0,F. Korkmaz misses 3-pt jump shot from 23 ft,,50,50
2,1:45.0,,Defensive rebound by R. Gobert,50,50
2,1:27.0,,R. Rubio misses 3-pt jump shot from 24 ft,50,50
2,1:24.0,Defensive rebound by B. Simmons,,50,50
2,1:18.0,B. Simmons makes 2-pt layup from 2 ft,,52,50
2,0:58.0,,R. Gobert makes 2-pt hook shot from 7 ft (assist by R. Rubio),52,52
2,0:43.0,J. Redick makes 3-pt jump shot from 22 ft (assist by B. Simmons),,55,52
2,0:28.0,,J. Crowder misses 3-pt jump shot from 25 ft,55,52
2,0:25.0,Defensive rebound by F. Korkmaz,,55,52
2,0:03.0,B. Simmons makes 2-pt hook shot from 7 ft (assist by J. Embiid),,57,52
2,0:00.0,,D. Mitchell misses 3-pt jump shot from 30 ft,57,52
2,0:00.0,,Offensive rebound by Team,57,52
3,11:50.0,,D. Favors misses 3-pt jump shot from 23 ft,57,52
3,11:45.0,Defensive rebound by J. Embiid,,57,52
3,11:28.0,Turnover by W. Chandler (bad pass; steal by R. Gobert),,57,52
3,11:20.0,,D. Mitchell misses 3-pt jump shot from 25 ft,57,52
3,11:17.0,Defensive rebound by J. Butler,,57,52
3,11:06.0,Personal foul by D. Mitchell (drawn by W. Chandler),,57,52
3,10:53.0,Turnover by J. Embiid (lost ball; steal by R. Gobert),,57,52
3,10:50.0,,Turnover by D. Mitchell (lost ball; steal by B. Simmons),57,52
3,10:45.0,W. Chandler misses 3-pt jump shot from 23 ft,,57,52
3,10:42.0,,Defensive rebound by D. Mitchell,57,52
3,10:37.0,,Turnover by R. Rubio (step out of bounds),57,52
3,10:23.0,J. Embiid misses 3-pt jump shot from 25 ft,,57,52
3,10:20.0,,Defensive rebound by R. Gobert,57,52
3,10:01.0,,R. Rubio misses 2-pt jump shot from 10 ft,57,52
3,9:57.0,Defensive rebound by B. Simmons,,57,52
3,9:53.0,Shooting foul by D. Mitchell (drawn by B. Simmons),,57,52
3,9:53.0,B. Simmons makes free throw 1 of 2,,58,52
3,9:53.0,B. Simmons misses free throw 2 of 2,,58,52
3,9:49.0,,Defensive rebound by R. Gobert,58,52
3,9:38.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by J. Ingles),58,55
3,9:19.0,J. Butler makes 3-pt jump shot from 24 ft (assist by W. Chandler),,61,55
3,9:04.0,,R. Rubio misses 2-pt jump shot from 19 ft (block by B. Simmons),61,55
3,9:01.0,Defensive rebound by W. Chandler,,61,55
3,9:01.0,Personal foul by R. Rubio (drawn by B. Simmons),,61,55
3,8:49.0,Shooting foul by J. Ingles (drawn by J. Butler),,61,55
3,8:49.0,J. Butler makes free throw 1 of 2,,62,55
3,8:49.0,J. Butler makes free throw 2 of 2,,63,55
3,8:30.0,,D. Mitchell misses 2-pt jump shot from 18 ft,63,55
3,8:28.0,Defensive rebound by J. Redick,,63,55
3,8:23.0,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),,66,55
3,8:20.0,,Utah full timeout,66,55
3,8:20.0,,J. Crowder enters the game for D. Favors,66,55
3,8:20.0,,K. Korver enters the game for J. Ingles,66,55
3,8:07.0,,R. Rubio misses 3-pt jump shot from 25 ft,66,55
3,8:04.0,Defensive rebound by B. Simmons,,66,55
3,8:01.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Butler),,69,55
3,7:39.0,,Personal foul by W. Chandler (drawn by R. Rubio),69,55
3,7:31.0,,Shooting foul by J. Embiid (drawn by R. Gobert),69,55
3,7:31.0,,R. Gobert makes free throw 1 of 2,69,56
3,7:31.0,,R. Gobert makes free throw 2 of 2,69,57
3,7:12.0,J. Redick misses 2-pt jump shot from 16 ft,,69,57
3,7:09.0,Offensive rebound by J. Embiid,,69,57
3,7:06.0,Turnover by B. Simmons (bad pass; steal by J. Crowder),,69,57
3,6:53.0,,J. Crowder misses 2-pt layup from 2 ft,69,57
3,6:51.0,Defensive rebound by J. Embiid,,69,57
3,6:47.0,W. Chandler misses 3-pt jump shot from 23 ft,,69,57
3,6:43.0,,Defensive rebound by R. Gobert,69,57
3,6:37.0,,Turnover by D. Mitchell (out of bounds lost ball),69,57
3,6:37.0,T. McConnell enters the game for J. Embiid,,69,57
3,6:37.0,M. Muscala enters the game for J. Redick,,69,57
3,6:32.0,Personal foul by D. Mitchell (drawn by J. Butler),,69,57
3,6:32.0,J. Butler makes free throw 1 of 2,,70,57
3,6:32.0,L. Shamet enters the game for W. Chandler,,70,57
3,6:32.0,J. Butler makes free throw 2 of 2,,71,57
3,6:17.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Gobert),71,60
3,5:51.0,T. McConnell misses 2-pt jump shot from 12 ft,,71,60
3,5:49.0,,Defensive rebound by R. Rubio,71,60
3,5:46.0,,K. Korver misses 3-pt jump shot from 25 ft,71,60
3,5:42.0,Defensive rebound by T. McConnell,,71,60
3,5:37.0,Turnover by B. Simmons (bad pass; steal by D. Mitchell),,71,60
3,5:30.0,,Turnover by R. Rubio (bad pass; steal by J. Butler),71,60
3,5:22.0,Philadelphia full timeout,,71,60
3,5:20.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,73,60
3,5:04.0,,K. Korver misses 3-pt jump shot from 25 ft,73,60
3,5:01.0,Defensive rebound by M. Muscala,,73,60
3,4:55.0,M. Muscala makes 3-pt jump shot from 25 ft (assist by B. Simmons),,76,60
3,4:33.0,,D. Mitchell makes 2-pt jump shot from 10 ft,76,62
3,4:20.0,L. Shamet misses 2-pt layup from 2 ft,,76,62
3,4:16.0,Offensive rebound by L. Shamet,,76,62
3,4:16.0,L. Shamet makes 2-pt layup from 1 ft,,78,62
3,4:00.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Gobert),78,65
3,3:49.0,Personal foul by K. Korver (drawn by L. Shamet),,78,65
3,3:49.0,L. Shamet makes free throw 1 of 2,,79,65
3,3:49.0,,D. Exum enters the game for R. Gobert,79,65
3,3:49.0,,D. Favors enters the game for K. Korver,79,65
3,3:49.0,,J. Ingles enters the game for R. Rubio,79,65
3,3:49.0,L. Shamet makes free throw 2 of 2,,80,65
3,3:39.0,,Turnover by D. Favors (bad pass),80,65
3,3:39.0,,Loose ball foul by D. Mitchell (drawn by M. Muscala),80,65
3,3:39.0,M. Muscala makes free throw 1 of 2,,81,65
3,3:39.0,,K. Korver enters the game for D. Mitchell,81,65
3,3:39.0,M. Muscala makes free throw 2 of 2,,82,65
3,3:27.0,,Shooting foul by J. Butler (drawn by D. Exum),82,65
3,3:27.0,,D. Exum makes free throw 1 of 2,82,66
3,3:27.0,,D. Exum makes free throw 2 of 2,82,67
3,3:14.0,M. Muscala misses 3-pt jump shot from 24 ft,,82,67
3,3:09.0,Offensive rebound by B. Simmons,,82,67
3,3:09.0,B. Simmons misses 2-pt dunk from 1 ft,,82,67
3,3:08.0,Offensive rebound by B. Simmons,,82,67
3,3:06.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by T. McConnell),,85,67
3,2:50.0,,Shooting foul by L. Shamet (drawn by D. Exum),85,67
3,2:50.0,,D. Exum makes free throw 1 of 2,85,68
3,2:50.0,J. Bolden enters the game for M. Muscala,,85,68
3,2:50.0,J. Embiid enters the game for L. Shamet,,85,68
3,2:50.0,F. Korkmaz enters the game for B. Simmons,,85,68
3,2:50.0,,D. Exum makes free throw 2 of 2,85,69
3,2:35.0,Personal foul by D. Favors (drawn by J. Embiid),,85,69
3,2:35.0,J. Embiid makes free throw 1 of 2,,86,69
3,2:35.0,J. Embiid misses free throw 2 of 2,,86,69
3,2:32.0,,Defensive rebound by D. Favors,86,69
3,2:18.0,,Shooting foul by J. Embiid (drawn by D. Favors),86,69
3,2:18.0,,D. Favors misses free throw 1 of 2,86,69
3,2:18.0,,Offensive rebound by Team,86,69
3,2:18.0,,D. Favors makes free throw 2 of 2,86,70
3,2:07.0,T. McConnell makes 2-pt jump shot from 16 ft (assist by J. Embiid),,88,70
3,1:38.0,,D. Exum makes 3-pt jump shot from 24 ft,88,73
3,1:30.0,Personal foul by D. Favors (drawn by J. Embiid),,88,73
3,1:30.0,J. Embiid makes free throw 1 of 2,,89,73
3,1:30.0,J. Embiid makes free throw 2 of 2,,90,73
3,1:13.0,,Personal foul by T. McConnell (drawn by K. Korver),90,73
3,1:13.0,,K. Korver misses free throw 1 of 2,90,73
3,1:13.0,,Offensive rebound by Team,90,73
3,1:13.0,,R. Gobert enters the game for J. Crowder,90,73
3,1:13.0,,T. Sefolosha enters the game for D. Favors,90,73
3,1:13.0,,K. Korver makes free throw 2 of 2,90,74
3,1:04.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by T. McConnell),,93,74
3,0:47.0,,D. Exum makes 2-pt jump shot from 7 ft,93,76
3,0:28.0,T. McConnell misses 3-pt jump shot from 23 ft,,93,76
3,0:25.0,Offensive rebound by J. Embiid,,93,76
3,0:25.0,J. Embiid makes 2-pt layup from 1 ft,,95,76
3,0:05.0,,D. Exum misses 2-pt jump shot from 7 ft,95,76
3,0:04.0,,Offensive rebound by D. Exum,95,76
3,0:02.0,,J. Ingles makes 3-pt jump shot from 29 ft (assist by T. Sefolosha),95,79
4,11:36.0,Turnover by J. Embiid (lost ball; steal by T. Sefolosha),,95,79
4,11:31.0,,J. Ingles misses 2-pt layup from 2 ft (block by J. Embiid),95,79
4,11:28.0,Defensive rebound by J. Redick,,95,79
4,11:12.0,J. Embiid misses 2-pt jump shot from 17 ft,,95,79
4,11:09.0,,Defensive rebound by T. Sefolosha,95,79
4,11:01.0,,Personal foul by J. Bolden (drawn by R. Gobert),95,79
4,10:56.0,,Turnover by R. Gobert (offensive foul),95,79
4,10:56.0,,Offensive foul by R. Gobert (drawn by F. Korkmaz),95,79
4,10:32.0,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by J. Embiid),,98,79
4,10:15.0,,K. Korver misses 2-pt layup from 3 ft (block by J. Bolden),98,79
4,10:15.0,,Offensive rebound by Team,98,79
4,10:15.0,,R. O'Neale enters the game for K. Korver,98,79
4,10:10.0,,Personal foul by J. Embiid (drawn by R. Gobert),98,79
4,10:02.0,,J. Ingles misses 2-pt layup from 6 ft (block by J. Embiid),98,79
4,9:58.0,Defensive rebound by J. Embiid,,98,79
4,9:53.0,J. Bolden makes 2-pt dunk from 1 ft (assist by T. McConnell),,100,79
4,9:32.0,,D. Exum misses 3-pt jump shot from 25 ft,100,79
4,9:29.0,Defensive rebound by J. Embiid,,100,79
4,9:15.0,J. Bolden makes 2-pt layup from 2 ft (assist by T. McConnell),,102,79
4,9:09.0,,Utah full timeout,102,79
4,9:09.0,,D. Mitchell enters the game for J. Ingles,102,79
4,8:58.0,,D. Exum misses 3-pt jump shot from 25 ft,102,79
4,8:57.0,,Offensive rebound by D. Exum,102,79
4,8:55.0,,D. Exum misses 2-pt jump shot from 9 ft (block by J. Embiid),102,79
4,8:55.0,Defensive rebound by J. Redick,,102,79
4,8:54.0,Personal foul by D. Exum (drawn by J. Redick),,102,79
4,8:54.0,,R. Rubio enters the game for R. O'Neale,102,79
4,8:39.0,J. Embiid misses 2-pt layup from 3 ft,,102,79
4,8:39.0,,Defensive rebound by Team,102,79
4,8:26.0,,D. Mitchell makes 2-pt jump shot from 18 ft (assist by R. Gobert),102,81
4,8:25.0,Philadelphia full timeout,,102,81
4,8:25.0,J. Butler enters the game for J. Bolden,,102,81
4,8:25.0,M. Muscala enters the game for F. Korkmaz,,102,81
4,8:25.0,B. Simmons enters the game for T. McConnell,,102,81
4,8:06.0,Turnover by B. Simmons (bad pass),,102,81
4,7:56.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Rubio),102,84
4,7:35.0,B. Simmons makes 2-pt jump shot from 15 ft,,104,84
4,7:23.0,,Shooting foul by J. Embiid (drawn by R. Gobert),104,84
4,7:23.0,,R. Gobert makes free throw 1 of 2,104,85
4,7:23.0,,R. Gobert misses free throw 2 of 2,104,85
4,7:21.0,Defensive rebound by J. Embiid,,104,85
4,7:14.0,Personal foul by R. Gobert (drawn by J. Embiid),,104,85
4,6:57.0,J. Butler misses 2-pt jump shot from 20 ft,,104,85
4,6:55.0,,Defensive rebound by T. Sefolosha,104,85
4,6:46.0,,T. Sefolosha makes 2-pt jump shot from 10 ft (assist by D. Mitchell),104,87
4,6:31.0,J. Redick makes 3-pt jump shot from 25 ft (assist by M. Muscala),,107,87
