QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
1,11:44.0,,E. Bledsoe misses 2-pt jump shot from 12 ft,0,0
1,11:42.0,,Offensive rebound by G. Antetokounmpo,0,0
1,11:39.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),0,3
1,11:30.0,,Violation by Team (kicked ball),0,3
1,11:24.0,C. Zeller misses 2-pt jump shot from 19 ft,,0,3
1,11:21.0,,Defensive rebound by G. Antetokounmpo,0,3
1,11:15.0,,M. Brogdon misses 3-pt jump shot from 27 ft,0,3
1,11:11.0,Defensive rebound by M. Williams,,0,3
1,11:06.0,N. Batum makes 2-pt jump shot from 18 ft,,2,3
1,10:47.0,,K. Middleton misses 2-pt jump shot from 13 ft,2,3
1,10:45.0,Defensive rebound by C. Zeller,,2,3
1,10:39.0,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),,4,3
1,10:28.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),4,6
1,10:14.0,K. Walker makes 3-pt jump shot from 28 ft (assist by C. Zeller),,7,6
1,9:58.0,,Turnover by M. Brogdon (lost ball; steal by M. Williams),7,6
1,9:45.0,Turnover by C. Zeller (bad pass; steal by E. Bledsoe),,7,6
1,9:45.0,,Personal foul by K. Walker (drawn by E. Bledsoe),7,6
1,9:36.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),7,8
1,9:15.0,C. Zeller misses 2-pt jump shot from 12 ft,,7,8
1,9:13.0,Offensive rebound by M. Bridges,,7,8
1,9:10.0,K. Walker misses 3-pt jump shot from 27 ft,,7,8
1,9:08.0,Offensive rebound by C. Zeller,,7,8
1,9:06.0,N. Batum misses 3-pt jump shot from 26 ft,,7,8
1,9:00.0,,Defensive rebound by G. Antetokounmpo,7,8
1,8:55.0,,B. Lopez misses 3-pt jump shot from 28 ft,7,8
1,8:52.0,Defensive rebound by N. Batum,,7,8
1,8:44.0,C. Zeller misses 2-pt layup from 3 ft,,7,8
1,8:41.0,,Defensive rebound by B. Lopez,7,8
1,8:37.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,7,8
1,8:33.0,Defensive rebound by M. Williams,,7,8
1,8:32.0,K. Walker makes 2-pt layup from 1 ft (assist by M. Williams),,9,8
1,8:32.0,,Violation by Team (def goaltending),9,8
1,8:08.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by M. Brogdon),9,11
1,7:53.0,K. Walker misses 2-pt jump shot from 13 ft,,9,11
1,7:53.0,,Defensive rebound by M. Brogdon,9,11
1,7:45.0,,K. Middleton misses 3-pt jump shot from 27 ft,9,11
1,7:42.0,Defensive rebound by N. Batum,,9,11
1,7:36.0,Turnover by N. Batum (bad pass; steal by B. Lopez),,9,11
1,7:31.0,,Personal foul by M. Bridges (drawn by B. Lopez),9,11
1,7:31.0,J. Lamb enters the game for M. Bridges,,9,11
1,7:31.0,,N. Mirotić enters the game for M. Brogdon,9,11
1,7:23.0,,Turnover by G. Antetokounmpo (traveling),9,11
1,7:05.0,K. Walker makes 2-pt jump shot from 13 ft (assist by C. Zeller),,11,11
1,6:46.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by K. Middleton),11,14
1,6:20.0,Turnover by Team (shot clock),,11,14
1,6:20.0,,Milwaukee full timeout,11,14
1,6:20.0,F. Kaminsky enters the game for C. Zeller,,11,14
1,6:20.0,,P. Connaughton enters the game for G. Antetokounmpo,11,14
1,6:07.0,,K. Middleton misses 3-pt jump shot from 27 ft,11,14
1,6:06.0,Defensive rebound by Team,,11,14
1,5:50.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by N. Batum),,14,14
1,5:37.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,14,14
1,5:37.0,Defensive rebound by F. Kaminsky,,14,14
1,5:28.0,Personal foul by P. Connaughton (drawn by J. Lamb),,14,14
1,5:28.0,,T. Snell enters the game for E. Bledsoe,14,14
1,5:18.0,M. Williams misses 2-pt hook shot from 6 ft,,14,14
1,5:16.0,,Defensive rebound by N. Mirotić,14,14
1,5:12.0,,K. Middleton misses 2-pt layup from 3 ft,14,14
