QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
1,11:43.0,,N. Jokić makes 2-pt layup from 2 ft (assist by P. Millsap),0,2
1,11:21.0,K. Faried makes 2-pt jump shot from 4 ft (assist by P. Tucker),,2,2
1,11:05.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by W. Barton),2,5
1,10:45.0,J. Harden makes 3-pt jump shot from 25 ft,,5,5
1,10:30.0,,M. Beasley misses 3-pt jump shot from 25 ft,5,5
1,10:27.0,Defensive rebound by C. Paul,,5,5
1,10:16.0,J. Harden makes 2-pt layup from 1 ft,,7,5
1,9:57.0,,M. Morris misses 3-pt jump shot from 24 ft,7,5
1,9:55.0,Defensive rebound by J. Harden,,7,5
1,9:49.0,E. Gordon makes 2-pt layup from 1 ft (assist by J. Harden),,9,5
1,9:25.0,,M. Morris misses 3-pt jump shot from 25 ft,9,5
1,9:24.0,,Offensive rebound by N. Jokić,9,5
1,9:23.0,,N. Jokić misses 2-pt layup from 3 ft,9,5
1,9:23.0,,Offensive rebound by W. Barton,9,5
1,9:13.0,,P. Millsap makes 2-pt jump shot from 3 ft (assist by M. Morris),9,7
1,8:50.0,Turnover by K. Faried (lost ball; steal by N. Jokić),,9,7
1,8:45.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),9,10
1,8:26.0,P. Tucker misses 3-pt jump shot from 25 ft,,9,10
1,8:24.0,,Defensive rebound by Team,9,10
1,8:06.0,,W. Barton makes 2-pt jump shot from 17 ft (assist by N. Jokić),9,12
1,8:00.0,Turnover by J. Harden (bad pass),,9,12
1,7:47.0,,W. Barton misses 2-pt jump shot from 15 ft,9,12
1,7:45.0,,Offensive rebound by N. Jokić,9,12
1,7:44.0,,N. Jokić makes 2-pt layup from 1 ft,9,14
1,7:32.0,C. Paul misses 3-pt jump shot from 26 ft,,9,14
1,7:28.0,Offensive rebound by K. Faried,,9,14
1,7:27.0,C. Paul makes 3-pt jump shot from 24 ft (assist by K. Faried),,12,14
1,7:18.0,,Turnover by N. Jokić (lost ball),12,14
1,7:17.0,,Loose ball foul by N. Jokić (drawn by P. Tucker),12,14
1,6:58.0,Shooting foul by M. Beasley (drawn by J. Harden),,12,14
1,6:58.0,,Denver full timeout,12,14
1,6:58.0,J. Ennis enters the game for K. Faried,,12,14
1,6:58.0,A. Rivers enters the game for C. Paul,,12,14
1,6:58.0,J. Harden makes free throw 1 of 3,,13,14
1,6:58.0,J. Harden misses free throw 2 of 3,,13,14
1,6:58.0,Offensive rebound by Team,,13,14
1,6:58.0,J. Harden makes free throw 3 of 3,,14,14
1,6:42.0,,Personal foul by P. Tucker (drawn by N. Jokić),14,14
1,6:35.0,,N. Jokić makes 2-pt jump shot from 8 ft (assist by W. Barton),14,16
1,6:10.0,J. Harden makes 3-pt jump shot from 25 ft,,17,16
1,6:00.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by M. Morris),17,18
1,5:47.0,J. Ennis makes 3-pt jump shot from 25 ft (assist by J. Harden),,20,18
1,5:46.0,,Denver full timeout,20,18
1,5:46.0,G. Green enters the game for E. Gordon,,20,18
1,5:46.0,,T. Craig enters the game for W. Barton,20,18
