QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MINNESOTA_ACTION,OKLAHOMA CITY_SCORE,MINNESOTA_SCORE
1,12:00.0,Violation by Team (jump ball),,0,0
1,11:40.0,,K. Towns misses 2-pt jump shot from 8 ft,0,0
1,11:37.0,Defensive rebound by P. George,,0,0
1,11:28.0,J. Grant misses 2-pt jump shot from 17 ft,,0,0
1,11:24.0,Offensive rebound by S. Adams,,0,0
1,11:15.0,S. Adams makes 2-pt layup from 1 ft,,2,0
1,10:54.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),2,3
1,10:40.0,Shooting foul by K. Towns (drawn by J. Grant),,2,3
1,10:40.0,J. Grant makes free throw 1 of 2,,3,3
1,10:40.0,J. Grant misses free throw 2 of 2,,3,3
1,10:40.0,,Defensive rebound by J. Teague,3,3
1,10:26.0,,Personal foul by P. George (drawn by D. Šarić),3,3
1,10:21.0,,A. Wiggins misses 3-pt jump shot from 27 ft,3,3
1,10:19.0,Defensive rebound by R. Westbrook,,3,3
1,10:12.0,R. Westbrook misses 2-pt layup from 1 ft,,3,3
1,10:10.0,,Defensive rebound by J. Teague,3,3
1,10:04.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Teague),3,6
1,9:50.0,P. George misses 2-pt jump shot from 11 ft,,3,6
1,9:47.0,,Defensive rebound by D. Šarić,3,6
1,9:40.0,,Shooting foul by T. Ferguson (drawn by J. Teague),3,6
1,9:40.0,,J. Teague makes free throw 1 of 2,3,7
1,9:40.0,,J. Teague misses free throw 2 of 2,3,7
1,9:36.0,Defensive rebound by R. Westbrook,,3,7
1,9:21.0,R. Westbrook misses 3-pt jump shot from 25 ft,,3,7
1,9:19.0,,Defensive rebound by K. Towns,3,7
1,9:04.0,,D. Šarić makes 2-pt hook shot from 1 ft,3,9
1,8:53.0,Turnover by S. Adams (bad pass; steal by K. Towns),,3,9
1,8:43.0,,K. Towns makes 2-pt dunk from 2 ft (assist by A. Wiggins),3,11
1,8:38.0,Personal foul by K. Towns (drawn by R. Westbrook),,3,11
1,8:38.0,,T. Gibson enters the game for K. Towns,3,11
1,8:32.0,T. Ferguson misses 3-pt jump shot from 26 ft,,3,11
1,8:29.0,,Defensive rebound by D. Šarić,3,11
1,8:12.0,,T. Gibson misses 2-pt layup from 3 ft,3,11
1,8:09.0,,Offensive rebound by J. Okogie,3,11
1,8:06.0,,A. Wiggins misses 2-pt jump shot from 22 ft,3,11
1,8:04.0,Defensive rebound by P. George,,3,11
1,7:57.0,P. George misses 3-pt jump shot from 24 ft,,3,11
1,7:54.0,,Defensive rebound by A. Wiggins,3,11
1,7:41.0,,J. Teague makes 2-pt hook shot from 6 ft,3,13
1,7:32.0,Shooting foul by A. Wiggins (drawn by P. George),,3,13
1,7:32.0,P. George makes free throw 1 of 2,,4,13
1,7:32.0,P. George misses free throw 2 of 2,,4,13
1,7:29.0,Offensive rebound by S. Adams,,4,13
1,7:28.0,S. Adams makes 2-pt hook shot from 7 ft,,6,13
1,7:13.0,,D. Šarić misses 3-pt jump shot from 25 ft,6,13
1,7:13.0,,Offensive rebound by T. Gibson,6,13
1,7:08.0,,Turnover by D. Šarić (traveling),6,13
1,7:08.0,N. Noel enters the game for S. Adams,,6,13
1,6:58.0,P. George misses 3-pt jump shot from 23 ft,,6,13
1,6:56.0,Offensive rebound by R. Westbrook,,6,13
1,6:51.0,R. Westbrook misses 2-pt layup from 4 ft,,6,13
1,6:48.0,,Defensive rebound by J. Okogie,6,13
1,6:45.0,,Minnesota full timeout,6,13
1,6:40.0,,Turnover by J. Teague (out of bounds lost ball),6,13
1,6:28.0,N. Noel makes 2-pt layup from 2 ft (assist by R. Westbrook),,8,13
1,6:18.0,,J. Teague makes 2-pt layup at rim,8,15
1,6:07.0,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,11,15
1,5:54.0,,Personal foul by T. Ferguson (drawn by D. Šarić),11,15
1,5:54.0,D. Schröder enters the game for T. Ferguson,,11,15
1,5:40.0,,Turnover by Team (shot clock),11,15
1,5:37.0,Offensive foul by N. Noel (drawn by J. Okogie),,11,15
1,5:37.0,Turnover by N. Noel (offensive foul),,11,15
1,5:25.0,,Shooting foul by D. Schröder (drawn by D. Šarić),11,15
1,5:25.0,,D. Šarić makes free throw 1 of 2,11,16
1,5:25.0,T. Ferguson enters the game for P. George,,11,16
1,5:25.0,,D. Rose enters the game for J. Okogie,11,16
1,5:25.0,,D. Šarić makes free throw 2 of 2,11,17
1,5:09.0,J. Grant misses 2-pt layup from 2 ft,,11,17
1,5:05.0,Offensive rebound by R. Westbrook,,11,17
1,5:05.0,R. Westbrook makes 2-pt layup from 1 ft,,13,17
1,4:46.0,,Turnover by D. Šarić (lost ball; steal by T. Ferguson),13,17
1,4:43.0,J. Grant misses 2-pt layup from 8 ft,,13,17
1,4:40.0,,Defensive rebound by T. Gibson,13,17
1,4:30.0,,J. Teague misses 2-pt jump shot from 3 ft,13,17
1,4:27.0,Defensive rebound by R. Westbrook,,13,17
1,4:18.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,16,17
1,4:06.0,,Turnover by J. Teague (lost ball; steal by N. Noel),16,17
1,4:00.0,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),,18,17
1,4:00.0,,Minnesota full timeout,18,17
1,4:00.0,,A. Tolliver enters the game for D. Šarić,18,17
1,3:49.0,,Offensive foul by A. Wiggins (drawn by T. Ferguson),18,17
1,3:49.0,,Turnover by A. Wiggins (offensive foul),18,17
1,3:34.0,Shooting foul by T. Gibson (drawn by T. Ferguson),,18,17
1,3:34.0,T. Ferguson makes free throw 1 of 2,,19,17
1,3:34.0,,T. Jones enters the game for J. Teague,19,17
1,3:34.0,,J. Okogie enters the game for A. Wiggins,19,17
1,3:34.0,T. Ferguson makes free throw 2 of 2,,20,17
1,3:23.0,,D. Rose misses 2-pt layup from 8 ft (block by N. Noel),20,17
1,3:22.0,Defensive rebound by N. Noel,,20,17
1,3:17.0,R. Westbrook misses 2-pt layup from 2 ft,,20,17
1,3:15.0,,Defensive rebound by A. Tolliver,20,17
1,3:07.0,,D. Rose misses 2-pt layup from 1 ft,20,17
1,3:04.0,Defensive rebound by J. Grant,,20,17
1,3:03.0,Turnover by J. Grant (step out of bounds),,20,17
1,2:48.0,,T. Gibson makes 2-pt jump shot from 10 ft (assist by T. Jones),20,19
1,2:39.0,R. Westbrook misses 2-pt jump shot from 15 ft,,20,19
1,2:36.0,,Defensive rebound by J. Okogie,20,19
1,2:26.0,,Shooting foul by N. Noel (drawn by T. Gibson),20,19
1,2:26.0,,T. Gibson misses free throw 1 of 2,20,19
1,2:26.0,,Offensive rebound by Team,20,19
1,2:26.0,S. Adams enters the game for N. Noel,,20,19
1,2:26.0,P. George enters the game for R. Westbrook,,20,19
1,2:26.0,,T. Gibson makes free throw 2 of 2,20,20
1,2:16.0,P. George misses 2-pt jump shot from 15 ft,,20,20
1,2:12.0,,Defensive rebound by T. Gibson,20,20
1,2:04.0,,D. Rose makes 2-pt layup at rim (assist by T. Gibson),20,22
1,1:52.0,Personal foul by T. Gibson (drawn by S. Adams),,20,22
1,1:52.0,S. Adams misses free throw 1 of 2,,20,22
1,1:52.0,Offensive rebound by Team,,20,22
1,1:52.0,M. Morris enters the game for T. Ferguson,,20,22
1,1:52.0,A. Nader enters the game for J. Grant,,20,22
1,1:52.0,S. Adams makes free throw 2 of 2,,21,22
1,1:30.0,,T. Jones makes 2-pt jump shot from 7 ft,21,24
1,1:18.0,Shooting foul by A. Tolliver (drawn by S. Adams),,21,24
1,1:18.0,S. Adams makes free throw 1 of 2,,22,24
1,1:18.0,,K. Bates-Diop enters the game for T. Gibson,22,24
1,1:18.0,,G. Dieng enters the game for J. Okogie,22,24
1,1:18.0,S. Adams misses free throw 2 of 2,,22,24
1,1:15.0,,Defensive rebound by G. Dieng,22,24
1,0:59.0,,D. Rose makes 2-pt jump shot from 13 ft,22,26
1,0:44.0,Turnover by S. Adams (lost ball; steal by G. Dieng),,22,26
1,0:38.0,,D. Rose makes 2-pt jump shot from 11 ft (assist by A. Tolliver),22,28
1,0:32.0,Personal foul by G. Dieng (drawn by D. Schröder),,22,28
1,0:32.0,D. Schröder makes free throw 1 of 2,,23,28
1,0:32.0,,Violation by Team (delay of game),23,28
1,0:32.0,D. Schröder makes free throw 2 of 2,,24,28
1,0:17.0,,D. Rose makes 2-pt jump shot from 14 ft,24,30
1,0:02.0,A. Nader misses 3-pt jump shot from 23 ft,,24,30
1,0:02.0,Offensive rebound by S. Adams,,24,30
2,11:44.0,M. Morris makes 3-pt jump shot from 23 ft (assist by D. Schröder),,27,30
2,11:25.0,,K. Bates-Diop makes 2-pt layup from 2 ft (assist by D. Rose),27,32
2,11:13.0,Shooting foul by G. Dieng (drawn by S. Adams),,27,32
