QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
1,11:44.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by K. Towns),0,2
1,11:33.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,3,2
1,11:11.0,,A. Wiggins misses 2-pt layup from 6 ft,3,2
1,11:09.0,Defensive rebound by J. Butler,,3,2
1,11:05.0,Turnover by B. Simmons (bad pass),,3,2
1,10:57.0,,D. Šarić misses 3-pt jump shot from 25 ft,3,2
1,10:53.0,Defensive rebound by T. Harris,,3,2
1,10:48.0,T. Harris makes 3-pt jump shot from 25 ft,,6,2
1,10:35.0,,J. Okogie misses 2-pt jump shot from 19 ft,6,2
1,10:31.0,Defensive rebound by T. Harris,,6,2
1,10:23.0,J. Bolden misses 3-pt jump shot from 24 ft,,6,2
1,10:19.0,,Defensive rebound by A. Wiggins,6,2
1,10:15.0,,T. Jones makes 2-pt jump shot from 5 ft,6,4
1,9:54.0,T. Harris misses 3-pt jump shot from 25 ft,,6,4
1,9:52.0,,Defensive rebound by D. Šarić,6,4
1,9:36.0,,D. Šarić misses 2-pt hook shot from 6 ft,6,4
1,9:34.0,Defensive rebound by T. Harris,,6,4
1,9:21.0,Personal foul by D. Šarić (drawn by J. Bolden),,6,4
1,9:19.0,J. Redick misses 2-pt jump shot from 18 ft,,6,4
1,9:16.0,,Defensive rebound by D. Šarić,6,4
1,9:11.0,,T. Jones misses 3-pt jump shot from 25 ft,6,4
1,9:08.0,Defensive rebound by B. Simmons,,6,4
1,9:05.0,J. Butler misses 2-pt layup from 1 ft,,6,4
1,9:05.0,Offensive rebound by J. Butler,,6,4
1,9:02.0,J. Redick misses 2-pt jump shot from 19 ft,,6,4
1,8:58.0,,Defensive rebound by T. Jones,6,4
1,8:55.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by T. Jones),6,6
1,8:55.0,Philadelphia full timeout,,6,6
1,8:40.0,T. Harris misses 2-pt jump shot from 20 ft,,6,6
1,8:36.0,,Defensive rebound by J. Okogie,6,6
1,8:31.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Jones),6,8
1,8:23.0,J. Butler makes 3-pt jump shot from 24 ft (assist by B. Simmons),,9,8
