QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
1,11:45.0,J. Harris misses 3-pt jump shot from 25 ft,,0,0
1,11:44.0,,Defensive rebound by Team,0,0
1,11:34.0,,Shooting foul by J. Allen (drawn by R. Gobert),0,0
1,11:34.0,,R. Gobert makes free throw 1 of 2,0,1
1,11:34.0,,R. Gobert makes free throw 2 of 2,0,2
1,11:24.0,Turnover by D. Russell (lost ball; steal by R. Rubio),,0,2
1,11:11.0,,D. Favors misses 2-pt dunk from 2 ft (block by J. Allen),0,2
1,11:07.0,Defensive rebound by J. Harris,,0,2
1,11:02.0,Shooting foul by R. Gobert (drawn by J. Allen),,0,2
1,11:02.0,J. Allen makes free throw 1 of 2,,1,2
1,11:02.0,J. Allen makes free throw 2 of 2,,2,2
1,10:52.0,,Offensive foul by J. Ingles (drawn by J. Harris),2,2
1,10:52.0,,Turnover by J. Ingles (offensive foul),2,2
1,10:37.0,Personal foul by R. Rubio (drawn by D. Russell),,2,2
1,10:32.0,D. Russell misses 2-pt jump shot from 13 ft,,2,2
1,10:29.0,,Defensive rebound by J. Ingles,2,2
1,10:21.0,,R. Rubio misses 2-pt jump shot from 13 ft,2,2
1,10:19.0,Defensive rebound by J. Allen,,2,2
1,10:06.0,J. Harris misses 2-pt jump shot from 4 ft (block by D. Favors),,2,2
1,10:04.0,,Defensive rebound by R. Rubio,2,2
1,9:56.0,,Shooting foul by R. Kurucs (drawn by R. Rubio),2,2
1,9:56.0,,R. Rubio makes free throw 1 of 2,2,3
1,9:56.0,,R. Rubio makes free throw 2 of 2,2,4
1,9:48.0,C. LeVert misses 2-pt jump shot from 13 ft,,2,4
1,9:45.0,,Defensive rebound by R. Gobert,2,4
1,9:42.0,,Turnover by D. Mitchell (bad pass),2,4
1,9:32.0,J. Harris makes 2-pt jump shot from 16 ft (assist by D. Russell),,4,4
1,9:20.0,,J. Ingles misses 3-pt jump shot from 23 ft,4,4
1,9:17.0,Defensive rebound by J. Allen,,4,4
1,9:09.0,D. Russell makes 2-pt layup from 5 ft,,6,4
1,8:57.0,,D. Favors makes 2-pt layup from 2 ft (assist by D. Mitchell),6,6
1,8:57.0,,Shooting foul by R. Kurucs (drawn by D. Favors),6,6
1,8:57.0,,D. Favors makes free throw 1 of 1,6,7
1,8:50.0,D. Russell makes 3-pt jump shot from 25 ft (assist by J. Allen),,9,7
1,8:31.0,,R. Rubio misses 3-pt jump shot from 24 ft,9,7
1,8:28.0,,Offensive rebound by R. Gobert,9,7
1,8:26.0,,R. Rubio misses 3-pt jump shot from 26 ft,9,7
1,8:24.0,Defensive rebound by R. Kurucs,,9,7
1,8:10.0,D. Russell misses 2-pt jump shot from 16 ft,,9,7
1,8:08.0,,Defensive rebound by J. Ingles,9,7
1,7:57.0,,Turnover by R. Rubio (bad pass; steal by J. Allen),9,7
1,7:44.0,D. Russell misses 3-pt jump shot from 25 ft,,9,7
1,7:40.0,,Defensive rebound by R. Gobert,9,7
1,7:26.0,,D. Favors misses 2-pt dunk from 2 ft (block by J. Allen),9,7
