QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,CLEVELAND_ACTION,CHARLOTTE_SCORE,CLEVELAND_SCORE
1,11:44.0,,R. Hood makes 2-pt jump shot from 20 ft (assist by T. Thompson),0,2
1,11:27.0,K. Walker misses 2-pt jump shot from 13 ft,,0,2
1,11:23.0,,Defensive rebound by T. Thompson,0,2
1,11:16.0,,J. Smith misses 2-pt jump shot from 15 ft,0,2
1,11:14.0,Defensive rebound by K. Walker,,0,2
1,11:08.0,N. Batum misses 3-pt jump shot from 25 ft,,0,2
1,11:04.0,Offensive rebound by C. Zeller,,0,2
1,11:02.0,N. Batum makes 2-pt layup from 2 ft (assist by C. Zeller),,2,2
1,10:42.0,,R. Hood misses 2-pt jump shot from 15 ft,2,2
1,10:38.0,Defensive rebound by K. Walker,,2,2
1,10:31.0,K. Walker misses 2-pt layup from 1 ft,,2,2
1,10:29.0,,Defensive rebound by T. Thompson,2,2
1,10:26.0,,C. Sexton misses 2-pt jump shot from 20 ft,2,2
1,10:22.0,,Offensive rebound by C. Sexton,2,2
1,10:21.0,,C. Sexton makes 2-pt layup from 1 ft,2,4
1,10:03.0,,Violation by Team (kicked ball),2,4
1,9:56.0,J. Lamb makes 2-pt jump shot from 20 ft (assist by C. Zeller),,4,4
1,9:34.0,,T. Thompson misses 2-pt layup from 1 ft,4,4
1,9:32.0,Defensive rebound by J. Lamb,,4,4
1,9:29.0,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),,7,4
1,9:14.0,,C. Sexton makes 2-pt jump shot from 14 ft (assist by J. Smith),7,6
1,9:01.0,N. Batum misses 2-pt layup from 1 ft,,7,6
1,8:58.0,,Defensive rebound by T. Thompson,7,6
1,8:55.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by C. Sexton),7,9
1,8:32.0,N. Batum makes 2-pt jump shot from 22 ft (assist by C. Zeller),,9,9
1,8:13.0,,Shooting foul by C. Zeller (drawn by T. Thompson),9,9
1,8:13.0,,T. Thompson makes free throw 1 of 2,9,10
1,8:13.0,,T. Thompson misses free throw 2 of 2,9,10
1,8:09.0,,Offensive rebound by L. Nance,9,10
1,8:05.0,,R. Hood misses 2-pt jump shot from 5 ft,9,10
1,8:02.0,Defensive rebound by J. Lamb,,9,10
1,7:52.0,K. Walker misses 3-pt jump shot from 26 ft,,9,10
1,7:48.0,,Defensive rebound by R. Hood,9,10
1,7:38.0,,J. Smith misses 2-pt jump shot from 2 ft,9,10
1,7:30.0,,Offensive rebound by T. Thompson,9,10
1,7:30.0,,T. Thompson makes 2-pt layup from 1 ft,9,12
1,7:23.0,Personal foul by C. Sexton (drawn by C. Zeller),,9,12
1,7:18.0,K. Walker misses 3-pt jump shot from 26 ft,,9,12
1,7:16.0,,Defensive rebound by L. Nance,9,12
1,7:06.0,,J. Smith makes 2-pt jump shot from 18 ft,9,14
1,6:52.0,M. Williams misses 3-pt jump shot from 25 ft,,9,14
1,6:49.0,,Defensive rebound by L. Nance,9,14
1,6:47.0,,J. Smith misses 3-pt jump shot from 26 ft,9,14
1,6:42.0,,Offensive rebound by C. Sexton,9,14
1,6:41.0,,C. Sexton misses 2-pt layup from 1 ft,9,14
1,6:38.0,,Offensive rebound by T. Thompson,9,14
1,6:37.0,,T. Thompson makes 2-pt hook shot from 1 ft,9,16
1,6:37.0,Charlotte full timeout,,9,16
1,6:37.0,W. Hernangómez enters the game for C. Zeller,,9,16
1,6:17.0,K. Walker misses 3-pt jump shot from 26 ft,,9,16
1,6:14.0,,Defensive rebound by L. Nance,9,16
1,6:00.0,,R. Hood makes 2-pt layup from 1 ft,9,18
1,6:00.0,Violation by Team (def goaltending),,9,18
1,5:45.0,J. Lamb misses 2-pt jump shot from 16 ft,,9,18
1,5:42.0,Offensive rebound by N. Batum,,9,18
1,5:42.0,N. Batum misses 2-pt layup at rim,,9,18
1,5:42.0,Offensive rebound by N. Batum,,9,18
1,5:42.0,N. Batum misses 2-pt layup at rim,,9,18
1,5:42.0,Offensive rebound by Team,,9,18
1,5:33.0,J. Lamb makes 2-pt jump shot from 4 ft (assist by N. Batum),,11,18
1,5:19.0,,J. Smith misses 3-pt jump shot from 25 ft,11,18
1,5:17.0,Defensive rebound by W. Hernangómez,,11,18
1,5:12.0,N. Batum misses 3-pt jump shot from 25 ft,,11,18
1,5:09.0,,Defensive rebound by T. Thompson,11,18
1,4:53.0,,L. Nance makes 3-pt jump shot from 25 ft (assist by R. Hood),11,21
1,4:33.0,N. Batum makes 2-pt jump shot from 6 ft,,13,21
1,4:21.0,,C. Sexton makes 3-pt jump shot from 26 ft,13,24
1,4:06.0,J. Lamb makes 2-pt hook shot from 1 ft (assist by K. Walker),,15,24
1,3:54.0,,J. Smith makes 2-pt jump shot from 16 ft,15,26
1,3:40.0,W. Hernangómez misses 2-pt layup from 3 ft (block by J. Smith),,15,26
1,3:40.0,Offensive rebound by Team,,15,26
1,3:40.0,M. Bridges enters the game for J. Lamb,,15,26
1,3:40.0,M. Monk enters the game for K. Walker,,15,26
1,3:40.0,T. Parker enters the game for M. Williams,,15,26
1,3:40.0,,J. Clarkson enters the game for J. Smith,15,26
1,3:40.0,,D. Nwaba enters the game for T. Thompson,15,26
1,3:33.0,N. Batum misses 2-pt layup from 3 ft,,15,26
1,3:29.0,Offensive rebound by W. Hernangómez,,15,26
1,3:29.0,W. Hernangómez misses 2-pt layup at rim,,15,26
1,3:29.0,,Defensive rebound by R. Hood,15,26
1,3:24.0,,D. Nwaba makes 2-pt dunk from 1 ft (assist by R. Hood),15,28
1,3:03.0,M. Monk makes 2-pt jump shot from 19 ft,,17,28
1,2:53.0,,Personal foul by W. Hernangómez (drawn by L. Nance),17,28
1,2:53.0,,Cleveland full timeout,17,28
1,2:53.0,D. Bacon enters the game for N. Batum,,17,28
1,2:53.0,,A. Harrison enters the game for C. Sexton,17,28
1,2:46.0,,R. Hood misses 2-pt layup from 1 ft,17,28
1,2:43.0,,Offensive rebound by L. Nance,17,28
1,2:36.0,,J. Clarkson misses 2-pt jump shot from 17 ft,17,28
1,2:33.0,Defensive rebound by M. Bridges,,17,28
1,2:15.0,W. Hernangómez misses 2-pt jump shot from 17 ft,,17,28
1,2:11.0,,Defensive rebound by D. Nwaba,17,28
1,2:03.0,,D. Nwaba makes 3-pt jump shot from 25 ft (assist by J. Clarkson),17,31
1,1:43.0,W. Hernangómez makes 2-pt hook shot from 14 ft,,19,31
1,1:20.0,,R. Hood makes 3-pt jump shot from 23 ft,19,34
1,1:10.0,Personal foul by A. Harrison (drawn by T. Parker),,19,34
1,1:10.0,,J. Smith enters the game for R. Hood,19,34
1,1:10.0,,A. Žižić enters the game for L. Nance,19,34
1,1:08.0,Personal foul by D. Nwaba (drawn by M. Bridges),,19,34
1,1:08.0,M. Bridges makes free throw 1 of 2,,20,34
1,1:08.0,M. Bridges makes free throw 2 of 2,,21,34
1,0:58.0,,J. Clarkson makes 2-pt jump shot from 18 ft,21,36
1,0:45.0,T. Parker makes 2-pt layup from 2 ft,,23,36
1,0:34.0,,Turnover by J. Clarkson (bad pass; steal by W. Hernangómez),23,36
1,0:23.0,M. Bridges misses 3-pt jump shot from 23 ft,,23,36
1,0:22.0,,Defensive rebound by Team,23,36
