QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
1,11:36.0,D. Favors misses 3-pt jump shot from 23 ft,,0,0
1,11:32.0,,Defensive rebound by G. Harris,0,0
1,11:16.0,,J. Murray makes 2-pt jump shot from 12 ft (assist by N. Jokić),0,2
1,10:57.0,D. Mitchell makes 2-pt jump shot from 21 ft (assist by D. Favors),,2,2
1,10:47.0,,Personal foul by J. Ingles (drawn by J. Murray),2,2
1,10:36.0,,J. Murray misses 2-pt layup from 1 ft,2,2
1,10:34.0,Defensive rebound by D. Mitchell,,2,2
1,10:28.0,Turnover by R. Rubio (bad pass; steal by T. Craig),,2,2
1,10:23.0,,Turnover by N. Jokić (bad pass; steal by R. Rubio),2,2
1,10:19.0,R. Rubio makes 3-pt jump shot from 26 ft (assist by J. Ingles),,5,2
1,10:02.0,,N. Jokić makes 2-pt hook shot from 6 ft,5,4
1,9:36.0,D. Mitchell misses 3-pt jump shot from 31 ft,,5,4
1,9:33.0,,Defensive rebound by Team,5,4
1,9:17.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),5,6
1,9:01.0,J. Ingles misses 3-pt jump shot from 23 ft,,5,6
1,9:00.0,,Defensive rebound by N. Jokić,5,6
1,8:54.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),5,8
1,8:38.0,D. Mitchell misses 3-pt jump shot from 26 ft,,5,8
1,8:35.0,,Defensive rebound by G. Harris,5,8
1,8:28.0,,N. Jokić misses 2-pt layup from 2 ft (block by D. Favors),5,8
1,8:25.0,Defensive rebound by D. Favors,,5,8
1,8:21.0,R. Rubio makes 2-pt layup from 3 ft,,7,8
1,8:16.0,,Turnover by N. Jokić (bad pass; steal by R. Rubio),7,8
1,8:16.0,Shooting foul by J. Murray (drawn by R. Rubio),,7,8
1,8:16.0,R. Rubio makes free throw 1 of 2,,8,8
1,8:16.0,R. Rubio makes free throw 2 of 2,,9,8
1,8:09.0,,J. Murray misses 2-pt jump shot from 17 ft,9,8
1,8:06.0,Defensive rebound by J. Ingles,,9,8
1,7:56.0,R. Rubio misses 3-pt jump shot from 23 ft,,9,8
1,7:53.0,,Defensive rebound by G. Harris,9,8
1,7:45.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by G. Harris),9,11
1,7:24.0,D. Mitchell misses 2-pt hook shot from 8 ft,,9,11
1,7:21.0,,Defensive rebound by N. Jokić,9,11
1,7:12.0,,P. Millsap misses 3-pt jump shot from 25 ft,9,11
1,7:10.0,,Offensive rebound by N. Jokić,9,11
1,7:10.0,,Personal foul by D. Mitchell (drawn by N. Jokić),9,11
1,7:04.0,,G. Harris makes 2-pt jump shot from 14 ft (assist by N. Jokić),9,13
1,6:46.0,Personal foul by P. Millsap (drawn by J. Ingles),,9,13
1,6:46.0,,Denver full timeout,9,13
1,6:46.0,J. Crowder enters the game for D. Favors,,9,13
1,6:37.0,Turnover by R. Gobert (3 sec),,9,13
1,6:37.0,R. O'Neale enters the game for J. Ingles,,9,13
1,6:12.0,,J. Murray misses 2-pt jump shot from 20 ft,9,13
1,6:08.0,Defensive rebound by D. Mitchell,,9,13
1,5:49.0,D. Mitchell makes 2-pt layup from 2 ft,,11,13
1,5:38.0,,Turnover by T. Craig (bad pass; steal by D. Mitchell),11,13
1,5:30.0,R. Rubio misses 3-pt jump shot from 24 ft,,11,13
1,5:28.0,,Defensive rebound by P. Millsap,11,13
1,5:21.0,,N. Jokić misses 2-pt layup from 2 ft (block by J. Crowder),11,13
1,5:18.0,Defensive rebound by D. Mitchell,,11,13
1,5:15.0,R. O'Neale makes 2-pt layup from 2 ft (assist by D. Mitchell),,13,13
1,5:14.0,,Denver full timeout,13,13
1,5:14.0,,J. Hernangómez enters the game for T. Craig,13,13
1,5:14.0,,M. Morris enters the game for J. Murray,13,13
1,4:51.0,,Shooting foul by R. Gobert (drawn by N. Jokić),13,13
1,4:51.0,,N. Jokić misses free throw 1 of 2,13,13
1,4:51.0,,Offensive rebound by Team,13,13
1,4:51.0,,T. Lyles enters the game for P. Millsap,13,13
1,4:51.0,,N. Jokić makes free throw 2 of 2,13,14
1,4:43.0,D. Mitchell misses 2-pt layup from 2 ft,,13,14
1,4:41.0,,Defensive rebound by T. Lyles,13,14
