QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
1,11:46.0,,Personal foul by K. Huerter (drawn by J. Winslow),0,0
1,11:37.0,,K. Olynyk misses 2-pt jump shot from 22 ft,0,0
1,11:34.0,Defensive rebound by K. Bazemore,,0,0
1,11:22.0,K. Bazemore misses 3-pt jump shot from 25 ft,,0,0
1,11:16.0,,Defensive rebound by D. Waiters,0,0
1,11:10.0,,Turnover by D. Waiters (lost ball; steal by D. Dedmon),0,0
1,11:03.0,K. Bazemore misses 3-pt jump shot from 23 ft,,0,0
1,10:59.0,,Defensive rebound by J. Winslow,0,0
1,10:52.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by B. Adebayo),0,3
1,10:34.0,K. Bazemore makes 2-pt dunk from 1 ft (assist by D. Dedmon),,2,3
1,10:20.0,,J. Richardson makes 2-pt jump shot from 15 ft,2,5
1,10:05.0,Turnover by T. Young (bad pass),,2,5
1,9:57.0,,J. Winslow makes 3-pt jump shot from 24 ft (assist by B. Adebayo),2,8
1,9:45.0,D. Dedmon misses 3-pt jump shot from 25 ft,,2,8
1,9:43.0,,Defensive rebound by J. Winslow,2,8
1,9:37.0,,B. Adebayo makes 2-pt dunk at rim (assist by J. Winslow),2,10
1,9:31.0,Atlanta full timeout,,2,10
1,9:23.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by K. Bazemore),,5,10
1,9:07.0,,D. Waiters misses 2-pt layup from 1 ft,5,10
1,9:05.0,Defensive rebound by A. Len,,5,10
1,9:00.0,K. Huerter misses 3-pt jump shot from 24 ft,,5,10
1,8:58.0,,Defensive rebound by J. Richardson,5,10
1,8:52.0,,Turnover by D. Waiters (bad pass),5,10
1,8:39.0,K. Bazemore misses 2-pt jump shot from 11 ft (block by D. Waiters),,5,10
1,8:37.0,Offensive rebound by K. Bazemore,,5,10
1,8:35.0,T. Young misses 3-pt jump shot from 26 ft,,5,10
1,8:33.0,Offensive rebound by D. Dedmon,,5,10
1,8:22.0,K. Huerter makes 2-pt layup from 1 ft (assist by T. Young),,7,10
1,8:11.0,,J. Winslow misses 3-pt jump shot from 25 ft,7,10
1,8:10.0,,Offensive rebound by B. Adebayo,7,10
1,8:10.0,,Personal foul by K. Bazemore (drawn by B. Adebayo),7,10
1,7:57.0,,J. Richardson makes 2-pt jump shot from 13 ft (assist by B. Adebayo),7,12
1,7:44.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by A. Len),,10,12
1,7:25.0,,J. Richardson makes 2-pt layup from 2 ft (assist by J. Winslow),10,14
1,7:20.0,Shooting foul by B. Adebayo (drawn by D. Dedmon),,10,14
1,7:20.0,D. Dedmon misses free throw 1 of 2,,10,14
1,7:20.0,Offensive rebound by Team,,10,14
1,7:20.0,D. Dedmon makes free throw 2 of 2,,11,14
1,7:04.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by J. Richardson),11,17
1,6:52.0,A. Len misses 3-pt jump shot from 26 ft,,11,17
1,6:50.0,,Defensive rebound by B. Adebayo,11,17
1,6:48.0,,Turnover by B. Adebayo (bad pass; steal by T. Young),11,17
