QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
1,11:44.0,,Turnover by N. Jokić (bad pass; steal by K. Durant),0,0
1,11:39.0,K. Durant makes 2-pt jump shot from 12 ft,,2,0
1,11:25.0,,M. Beasley misses 2-pt jump shot from 12 ft,2,0
1,11:21.0,Defensive rebound by D. Green,,2,0
1,11:14.0,Personal foul by N. Jokić (drawn by K. Durant),,2,0
1,11:11.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,5,0
1,10:51.0,,P. Millsap makes 2-pt layup from 2 ft,5,2
1,10:39.0,K. Looney misses 2-pt jump shot from 9 ft,,5,2
1,10:38.0,Offensive rebound by Team,,5,2
1,10:33.0,K. Thompson misses 3-pt jump shot from 23 ft,,5,2
1,10:30.0,,Defensive rebound by P. Millsap,5,2
1,10:13.0,,N. Jokić misses 2-pt layup from 3 ft (block by K. Looney),5,2
1,10:10.0,Defensive rebound by K. Thompson,,5,2
1,10:00.0,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Durant),,8,2
1,9:46.0,,N. Jokić misses 2-pt jump shot from 4 ft,8,2
1,9:43.0,Defensive rebound by K. Looney,,8,2
1,9:32.0,S. Curry misses 3-pt jump shot from 26 ft,,8,2
1,9:29.0,Offensive rebound by K. Looney,,8,2
1,9:29.0,Shooting foul by P. Millsap (drawn by K. Looney),,8,2
1,9:29.0,K. Looney makes free throw 1 of 2,,9,2
1,9:29.0,K. Looney misses free throw 2 of 2,,9,2
1,9:25.0,Offensive rebound by K. Looney,,9,2
1,9:21.0,K. Thompson makes 2-pt dunk from 1 ft (assist by S. Curry),,11,2
1,9:21.0,,Denver full timeout,11,2
1,9:08.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by N. Jokić),11,5
1,8:46.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),,14,5
1,8:28.0,,N. Jokić makes 2-pt jump shot from 7 ft,14,7
1,8:21.0,K. Thompson makes 3-pt jump shot from 22 ft (assist by K. Durant),,17,7
1,8:01.0,,P. Millsap makes 2-pt jump shot from 2 ft (assist by N. Jokić),17,9
1,7:52.0,K. Durant makes 3-pt jump shot from 24 ft (assist by D. Green),,20,9
1,7:32.0,,J. Murray makes 2-pt jump shot from 21 ft (assist by N. Jokić),20,11
1,7:18.0,K. Thompson makes 2-pt jump shot from 20 ft (assist by K. Durant),,22,11
1,7:04.0,,P. Millsap makes 2-pt jump shot from 14 ft (assist by J. Murray),22,13
1,7:04.0,,W. Barton enters the game for M. Beasley,22,13
