QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
1,11:46.0,B. Lopez makes 2-pt hook shot from 3 ft (assist by G. Antetokounmpo),,2,0
1,11:33.0,,L. James makes 3-pt jump shot from 24 ft (assist by R. Rondo),2,3
1,11:16.0,Turnover by B. Lopez (lost ball; steal by L. James),,2,3
1,11:11.0,,K. Kuzma misses 2-pt jump shot from 9 ft,2,3
1,11:09.0,,Offensive rebound by B. Ingram,2,3
1,11:06.0,,R. Rondo misses 3-pt jump shot from 25 ft,2,3
1,11:03.0,Defensive rebound by G. Antetokounmpo,,2,3
1,10:58.0,K. Middleton makes 2-pt jump shot from 10 ft (assist by G. Antetokounmpo),,4,3
1,10:43.0,,B. Ingram makes 2-pt jump shot from 14 ft (assist by L. James),4,5
1,10:29.0,Turnover by B. Lopez (lost ball; steal by R. Rondo),,4,5
1,10:21.0,,Turnover by K. Kuzma (off goaltending),4,5
1,10:12.0,Def 3 sec tech foul by Team,,4,5
1,10:12.0,K. Middleton makes technical free throw,,5,5
1,10:00.0,K. Middleton misses 2-pt jump shot from 12 ft,,5,5
1,9:56.0,Offensive rebound by K. Middleton,,5,5
1,9:56.0,Offensive foul by G. Antetokounmpo (drawn by K. Kuzma),,5,5
1,9:56.0,Turnover by G. Antetokounmpo (offensive foul),,5,5
1,9:47.0,,L. James misses 3-pt jump shot from 25 ft,5,5
1,9:45.0,,Offensive rebound by R. Rondo,5,5
1,9:41.0,,R. Rondo misses 3-pt jump shot from 26 ft,5,5
1,9:39.0,Defensive rebound by E. Bledsoe,,5,5
1,9:35.0,E. Bledsoe makes 2-pt layup from 3 ft,,7,5
1,9:35.0,Shooting foul by B. Ingram (drawn by E. Bledsoe),,7,5
1,9:35.0,E. Bledsoe makes free throw 1 of 1,,8,5
1,9:26.0,,R. Rondo misses 3-pt jump shot from 26 ft,8,5
1,9:23.0,Defensive rebound by G. Antetokounmpo,,8,5
1,9:17.0,K. Middleton misses 3-pt jump shot from 26 ft,,8,5
1,9:15.0,,Defensive rebound by B. Ingram,8,5
1,9:06.0,,K. Kuzma misses 3-pt jump shot from 27 ft,8,5
1,9:03.0,Defensive rebound by G. Antetokounmpo,,8,5
1,8:53.0,M. Brogdon misses 2-pt layup from 1 ft,,8,5
1,8:51.0,,Defensive rebound by K. Kuzma,8,5
1,8:47.0,,Turnover by L. James (bad pass),8,5
1,8:36.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,8,5
1,8:35.0,,Defensive rebound by Team,8,5
1,8:13.0,,B. Ingram makes 2-pt jump shot from 3 ft,8,7
1,8:06.0,Personal foul by K. Kuzma (drawn by G. Antetokounmpo),,8,7
1,7:59.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,8,7
1,7:57.0,,Defensive rebound by B. Ingram,8,7
1,7:49.0,,R. Rondo misses 3-pt jump shot from 24 ft,8,7
1,7:46.0,Defensive rebound by G. Antetokounmpo,,8,7
1,7:37.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,8,7
1,7:34.0,,Defensive rebound by L. James,8,7
1,7:24.0,,R. Rondo misses 3-pt jump shot from 28 ft,8,7
1,7:21.0,Defensive rebound by G. Antetokounmpo,,8,7
1,7:18.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,10,7
1,6:58.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by L. James),10,10
1,6:41.0,B. Lopez misses 3-pt jump shot from 27 ft,,10,10
1,6:38.0,,Defensive rebound by L. James,10,10
1,6:33.0,,R. Rondo misses 3-pt jump shot from 23 ft,10,10
1,6:28.0,Defensive rebound by G. Antetokounmpo,,10,10
1,6:24.0,Personal foul by R. Rondo (drawn by B. Lopez),,10,10
1,6:24.0,,LA Lakers full timeout,10,10
1,6:24.0,P. Connaughton enters the game for G. Antetokounmpo,,10,10
1,6:24.0,N. Mirotić enters the game for M. Brogdon,,10,10
1,6:10.0,E. Bledsoe misses 2-pt jump shot from 20 ft,,10,10
1,6:08.0,,Defensive rebound by L. James,10,10
1,6:03.0,,R. Bullock misses 3-pt jump shot from 24 ft,10,10
1,6:00.0,Defensive rebound by P. Connaughton,,10,10
1,5:46.0,B. Lopez misses 2-pt layup from 2 ft,,10,10
1,5:44.0,Offensive rebound by P. Connaughton,,10,10
1,5:38.0,P. Connaughton makes 2-pt jump shot from 21 ft (assist by K. Middleton),,12,10
1,5:09.0,,L. James misses 3-pt jump shot from 30 ft,12,10
1,5:07.0,Defensive rebound by B. Lopez,,12,10
1,4:55.0,B. Lopez makes 3-pt jump shot from 29 ft (assist by N. Mirotić),,15,10
1,4:51.0,,LA Lakers full timeout,15,10
1,4:51.0,I. Canaan enters the game for E. Bledsoe,,15,10
1,4:51.0,E. İlyasova enters the game for B. Lopez,,15,10
1,4:51.0,,J. Hart enters the game for K. Kuzma,15,10
1,4:51.0,,M. Muscala enters the game for R. Rondo,15,10
1,4:40.0,,Personal foul by E. İlyasova (drawn by B. Ingram),15,10
1,4:36.0,,R. Bullock makes 2-pt layup at rim (assist by M. Muscala),15,12
1,4:27.0,N. Mirotić misses 3-pt jump shot from 27 ft,,15,12
1,4:22.0,,Defensive rebound by B. Ingram,15,12
1,4:20.0,,B. Ingram makes 2-pt jump shot from 13 ft,15,14
1,3:51.0,K. Middleton makes 3-pt jump shot from 26 ft,,18,14
1,3:40.0,,L. James makes 2-pt dunk from 3 ft (assist by B. Ingram),18,16
1,3:28.0,Turnover by N. Mirotić (traveling),,18,16
1,3:05.0,,B. Ingram makes 2-pt jump shot from 19 ft,18,18
1,2:56.0,K. Middleton makes 3-pt jump shot from 26 ft,,21,18
1,2:46.0,,B. Ingram makes 2-pt layup from 2 ft,21,20
1,2:32.0,E. İlyasova misses 2-pt jump shot from 5 ft,,21,20
1,2:30.0,,Defensive rebound by R. Bullock,21,20
1,2:19.0,,Shooting foul by K. Middleton (drawn by L. James),21,20
