QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
1,11:46.0,D. Russell misses 3-pt jump shot from 24 ft,,0,0
1,11:43.0,,Defensive rebound by L. Dončić,0,0
1,11:30.0,,L. Dončić misses 2-pt layup from 5 ft,0,0
1,11:28.0,,Offensive rebound by L. Dončić,0,0
1,11:27.0,,L. Dončić misses 2-pt layup from 2 ft (block by J. Allen),0,0
1,11:26.0,,Offensive rebound by Team,0,0
1,11:21.0,,Shooting foul by J. Allen (drawn by L. Dončić),0,0
1,11:21.0,,L. Dončić makes free throw 1 of 2,0,1
1,11:21.0,,L. Dončić makes free throw 2 of 2,0,2
1,11:14.0,J. Harris misses 3-pt jump shot from 25 ft,,0,2
1,11:12.0,,Defensive rebound by D. Jordan,0,2
1,11:08.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,0,2
1,11:05.0,Defensive rebound by D. Russell,,0,2
1,10:51.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by D. Russell),,3,2
1,10:33.0,,Shooting foul by J. Allen (drawn by D. Jordan),3,2
1,10:33.0,,D. Jordan makes free throw 1 of 2,3,3
1,10:33.0,E. Davis enters the game for J. Allen,,3,3
1,10:33.0,,D. Jordan misses free throw 2 of 2,3,3
1,10:31.0,Defensive rebound by E. Davis,,3,3
1,10:18.0,A. Crabbe makes 3-pt jump shot from 27 ft (assist by D. Russell),,6,3
1,10:04.0,,L. Dončić makes 2-pt layup from 2 ft (assist by D. Jordan),6,5
1,9:48.0,D. Russell misses 3-pt jump shot from 25 ft,,6,5
1,9:46.0,,Defensive rebound by D. Jordan,6,5
1,9:31.0,,L. Dončić makes 2-pt jump shot from 8 ft (assist by D. Jordan),6,7
1,9:17.0,E. Davis makes 2-pt layup from 2 ft (assist by J. Dudley),,8,7
1,8:53.0,,D. Smith misses 2-pt layup from 2 ft,8,7
1,8:51.0,Defensive rebound by E. Davis,,8,7
1,8:44.0,D. Russell misses 2-pt jump shot from 20 ft,,8,7
1,8:41.0,,Defensive rebound by D. Jordan,8,7
1,8:37.0,,H. Barnes makes 3-pt jump shot from 27 ft (assist by D. Smith),8,10
1,8:15.0,D. Russell misses 3-pt jump shot from 27 ft,,8,10
1,8:12.0,Offensive rebound by E. Davis,,8,10
1,8:08.0,Turnover by J. Harris (bad pass; steal by H. Barnes),,8,10
1,8:08.0,,Personal foul by A. Crabbe (drawn by D. Finney-Smith),8,10
1,7:57.0,,D. Smith makes 2-pt dunk at rim (assist by L. Dončić),8,12
1,7:43.0,J. Dudley makes 2-pt layup from 2 ft (assist by D. Russell),,10,12
1,7:43.0,Shooting foul by L. Dončić (drawn by J. Dudley),,10,12
1,7:43.0,J. Dudley misses free throw 1 of 1,,10,12
1,7:43.0,,Defensive rebound by H. Barnes,10,12
1,7:29.0,,D. Jordan misses 2-pt jump shot from 15 ft,10,12
1,7:25.0,Defensive rebound by A. Crabbe,,10,12
1,7:15.0,Turnover by D. Russell (bad pass),,10,12
1,7:15.0,,Dallas full timeout,10,12
1,7:00.0,,L. Dončić makes 2-pt jump shot from 11 ft,10,14
1,6:48.0,J. Harris misses 2-pt jump shot from 17 ft,,10,14
1,6:44.0,,Defensive rebound by H. Barnes,10,14
1,6:38.0,,D. Finney-Smith misses 2-pt layup from 4 ft,10,14
1,6:36.0,,Offensive rebound by D. Jordan,10,14
1,6:35.0,,D. Jordan makes 2-pt dunk at rim,10,16
1,6:09.0,D. Russell makes 2-pt layup from 3 ft,,12,16
1,5:44.0,,H. Barnes misses 3-pt jump shot from 23 ft,12,16
1,5:41.0,Defensive rebound by J. Dudley,,12,16
1,5:32.0,J. Dudley misses 2-pt jump shot from 17 ft,,12,16
1,5:30.0,,Defensive rebound by D. Jordan,12,16
1,5:24.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by D. Smith),12,19
1,5:22.0,Brooklyn full timeout,,12,19
1,5:22.0,D. Carroll enters the game for A. Crabbe,,12,19
