QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
1,11:41.0,J. Layman misses 2-pt layup from 1 ft (block by M. Turner),,0,0
1,11:37.0,,Defensive rebound by B. Bogdanović,0,0
1,11:35.0,,B. Bogdanović misses 2-pt layup from 6 ft,0,0
1,11:32.0,,Offensive rebound by T. Young,0,0
1,11:26.0,,Shooting foul by J. Nurkić (drawn by M. Turner),0,0
1,11:26.0,,M. Turner misses free throw 1 of 2,0,0
1,11:26.0,,Offensive rebound by Team,0,0
1,11:26.0,,M. Turner misses free throw 2 of 2,0,0
1,11:24.0,Defensive rebound by J. Nurkić,,0,0
1,11:15.0,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),,2,0
1,10:54.0,,M. Turner misses 2-pt jump shot from 15 ft,2,0
1,10:52.0,Defensive rebound by J. Layman,,2,0
1,10:38.0,J. Layman misses 3-pt jump shot from 28 ft,,2,0
1,10:36.0,Offensive rebound by A. Aminu,,2,0
1,10:27.0,Turnover by A. Aminu (bad pass; steal by D. Collison),,2,0
1,10:22.0,,D. Collison makes 2-pt layup from 2 ft (assist by V. Oladipo),2,2
1,10:01.0,C. McCollum makes 2-pt jump shot from 14 ft,,4,2
1,9:36.0,,T. Young misses 2-pt hook shot from 4 ft,4,2
1,9:33.0,Defensive rebound by A. Aminu,,4,2
1,9:28.0,Turnover by J. Nurkić (offensive foul),,4,2
1,9:28.0,Offensive foul by J. Nurkić (drawn by V. Oladipo),,4,2
1,9:28.0,M. Leonard enters the game for J. Nurkić,,4,2
1,9:10.0,,D. Collison makes 2-pt jump shot from 17 ft,4,4
1,8:57.0,Turnover by M. Leonard (offensive foul),,4,4
1,8:57.0,Offensive foul by M. Leonard (drawn by D. Collison),,4,4
1,8:48.0,,D. Collison makes 2-pt jump shot from 20 ft,4,6
1,8:26.0,Shooting foul by M. Turner (drawn by A. Aminu),,4,6
1,8:26.0,A. Aminu makes free throw 1 of 2,,5,6
1,8:26.0,A. Aminu makes free throw 2 of 2,,6,6
1,8:15.0,,M. Turner makes 2-pt jump shot from 21 ft (assist by V. Oladipo),6,8
1,8:02.0,A. Aminu misses 2-pt jump shot from 5 ft,,6,8
1,7:58.0,,Defensive rebound by V. Oladipo,6,8
1,7:48.0,,D. Collison misses 2-pt layup from 2 ft (block by C. McCollum),6,8
1,7:45.0,Defensive rebound by C. McCollum,,6,8
1,7:32.0,D. Lillard misses 3-pt jump shot from 29 ft,,6,8
1,7:30.0,,Defensive rebound by V. Oladipo,6,8
1,7:18.0,Violation by Team (kicked ball),,6,8
1,7:04.0,,B. Bogdanović misses 2-pt layup from 1 ft,6,8
1,7:03.0,,Offensive rebound by M. Turner,6,8
1,7:03.0,,M. Turner misses 2-pt layup at rim,6,8
1,7:03.0,,Offensive rebound by Team,6,8
