QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
1,11:41.0,,J. Isaac makes 2-pt jump shot from 22 ft,0,2
1,11:25.0,K. Thompson misses 2-pt jump shot from 12 ft,,0,2
1,11:25.0,,Defensive rebound by A. Gordon,0,2
1,11:18.0,,A. Gordon misses 2-pt jump shot from 14 ft,0,2
1,11:15.0,Defensive rebound by A. McKinnie,,0,2
1,11:06.0,D. Cousins misses 3-pt jump shot from 26 ft,,0,2
1,11:01.0,,Defensive rebound by A. Gordon,0,2
1,10:56.0,,A. Gordon makes 2-pt layup from 1 ft,0,4
1,10:41.0,S. Curry misses 2-pt layup from 2 ft,,0,4
1,10:37.0,,Defensive rebound by N. Vučević,0,4
1,10:35.0,,J. Isaac makes 2-pt dunk from 2 ft (assist by D. Augustin),0,6
1,10:21.0,D. Cousins makes 2-pt layup at rim (assist by S. Curry),,2,6
1,10:05.0,,Turnover by N. Vučević (off goaltending),2,6
1,9:54.0,K. Thompson misses 3-pt jump shot from 26 ft,,2,6
1,9:49.0,,Defensive rebound by A. Gordon,2,6
1,9:43.0,,Turnover by A. Gordon (bad pass),2,6
1,9:32.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,5,6
1,9:19.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by N. Vučević),5,9
1,9:09.0,D. Cousins makes 2-pt jump shot from 8 ft,,7,9
1,8:51.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),7,11
1,8:32.0,K. Thompson misses 3-pt jump shot from 26 ft,,7,11
1,8:29.0,,Defensive rebound by J. Isaac,7,11
1,8:13.0,,N. Vučević misses 2-pt layup from 1 ft,7,11
1,8:10.0,Defensive rebound by A. McKinnie,,7,11
1,7:59.0,D. Cousins misses 3-pt jump shot from 26 ft,,7,11
1,7:55.0,,Defensive rebound by A. Gordon,7,11
1,7:48.0,,J. Isaac makes 2-pt layup from 2 ft (assist by A. Gordon),7,13
1,7:48.0,Golden State full timeout,,7,13
