QUARTER,TIME_REMAINING,PHOENIX_ACTION,INDIANA_ACTION,PHOENIX_SCORE,INDIANA_SCORE
1,11:38.0,,B. Bogdanović makes 2-pt jump shot from 5 ft,0,2
1,11:38.0,,Shooting foul by D. Booker (drawn by B. Bogdanović),0,2
1,11:38.0,,B. Bogdanović makes free throw 1 of 1,0,3
1,11:21.0,Turnover by M. Bridges (bad pass; steal by V. Oladipo),,0,3
1,11:16.0,,V. Oladipo misses 2-pt layup at rim,0,3
1,11:14.0,Defensive rebound by M. Bridges,,0,3
1,11:08.0,D. Ayton misses 2-pt jump shot from 3 ft,,0,3
1,11:07.0,Offensive rebound by D. Melton,,0,3
1,11:07.0,D. Melton misses 2-pt layup from 2 ft,,0,3
1,11:06.0,,Defensive rebound by T. Young,0,3
1,10:58.0,,M. Turner misses 3-pt jump shot from 26 ft,0,3
1,10:55.0,Defensive rebound by D. Melton,,0,3
1,10:44.0,T. Warren misses 2-pt jump shot from 6 ft,,0,3
1,10:39.0,Offensive rebound by D. Ayton,,0,3
1,10:39.0,D. Ayton makes 2-pt layup at rim,,2,3
1,10:16.0,,D. Collison misses 2-pt jump shot from 19 ft (block by D. Ayton),2,3
1,10:13.0,Defensive rebound by M. Bridges,,2,3
1,10:07.0,D. Melton misses 2-pt jump shot from 14 ft,,2,3
1,10:07.0,Offensive rebound by Team,,2,3
1,10:01.0,D. Booker misses 3-pt jump shot from 26 ft,,2,3
1,9:58.0,,Defensive rebound by B. Bogdanović,2,3
1,9:44.0,,Turnover by V. Oladipo (bad pass; steal by M. Bridges),2,3
1,9:39.0,Turnover by M. Bridges (bad pass),,2,3
1,9:27.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),2,5
1,9:14.0,Personal foul by T. Young (drawn by T. Warren),,2,5
1,9:08.0,M. Bridges makes 2-pt jump shot from 9 ft (assist by D. Booker),,4,5
1,8:50.0,,M. Turner misses 2-pt jump shot from 19 ft,4,5
1,8:49.0,Defensive rebound by D. Melton,,4,5
1,8:42.0,Turnover by D. Melton (bad pass; steal by M. Turner),,4,5
1,8:39.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),4,7
1,8:17.0,T. Warren misses 2-pt jump shot from 11 ft,,4,7
1,8:14.0,,Defensive rebound by V. Oladipo,4,7
1,8:08.0,,Turnover by D. Collison (bad pass),4,7
1,8:02.0,T. Warren makes 2-pt layup from 1 ft (assist by D. Melton),,6,7
1,7:46.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),6,10
1,7:31.0,Turnover by T. Warren (bad pass; steal by T. Young),,6,10
1,7:25.0,,T. Young makes 2-pt layup at rim (assist by B. Bogdanović),6,12
