QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MEMPHIS_ACTION,CLEVELAND_SCORE,MEMPHIS_SCORE
1,11:38.0,,J. Jackson makes 2-pt layup at rim,0,2
1,11:13.0,C. Osman misses 3-pt jump shot from 25 ft,,0,2
1,11:12.0,,Defensive rebound by Team,0,2
1,11:12.0,Loose ball foul by A. Žižić (drawn by J. Jackson),,0,2
1,10:55.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by M. Conley),0,4
1,10:35.0,Turnover by C. Sexton (bad pass; steal by M. Gasol),,0,4
1,10:20.0,,Turnover by J. Jackson (bad pass; steal by A. Burks),0,4
1,10:18.0,Shooting foul by G. Temple (drawn by A. Burks),,0,4
1,10:18.0,A. Burks makes free throw 1 of 2,,1,4
1,10:18.0,A. Burks misses free throw 2 of 2,,1,4
1,10:16.0,,Defensive rebound by K. Anderson,1,4
1,9:57.0,,M. Gasol misses 2-pt jump shot from 8 ft,1,4
1,9:52.0,Defensive rebound by A. Burks,,1,4
1,9:44.0,A. Žižić misses 2-pt jump shot from 13 ft,,1,4
1,9:42.0,,Defensive rebound by K. Anderson,1,4
1,9:38.0,,Personal foul by L. Nance (drawn by J. Jackson),1,4
1,9:32.0,,M. Gasol misses 3-pt jump shot from 26 ft,1,4
1,9:29.0,Defensive rebound by C. Osman,,1,4
1,9:12.0,C. Sexton misses 2-pt jump shot from 12 ft,,1,4
1,9:09.0,,Defensive rebound by J. Jackson,1,4
1,8:50.0,,J. Jackson misses 3-pt jump shot from 25 ft,1,4
1,8:47.0,Defensive rebound by A. Burks,,1,4
1,8:39.0,L. Nance misses 2-pt jump shot from 12 ft,,1,4
1,8:32.0,,Defensive rebound by G. Temple,1,4
1,8:28.0,,Turnover by M. Conley (bad pass; steal by L. Nance),1,4
1,8:21.0,C. Sexton misses 2-pt jump shot from 11 ft,,1,4
1,8:16.0,,Defensive rebound by G. Temple,1,4
1,7:56.0,,Turnover by Team (shot clock),1,4
1,7:39.0,A. Burks misses 2-pt layup from 1 ft,,1,4
1,7:37.0,Offensive rebound by A. Žižić,,1,4
1,7:36.0,A. Žižić misses 2-pt layup from 2 ft (block by J. Jackson),,1,4
1,7:33.0,,Defensive rebound by M. Gasol,1,4
1,7:32.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Conley),1,6
1,7:32.0,,Shooting foul by C. Osman (drawn by K. Anderson),1,6
1,7:32.0,,K. Anderson makes free throw 1 of 1,1,7
1,7:14.0,Turnover by L. Nance (bad pass),,1,7
1,7:02.0,,M. Conley makes 2-pt jump shot from 10 ft,1,9
1,7:01.0,Cleveland full timeout,,1,9
1,7:01.0,C. Frye enters the game for A. Žižić,,1,9
1,6:49.0,C. Osman misses 2-pt layup from 2 ft,,1,9
1,6:47.0,,Defensive rebound by G. Temple,1,9
1,6:27.0,,M. Conley misses 3-pt jump shot from 26 ft,1,9
1,6:24.0,Defensive rebound by L. Nance,,1,9
1,6:11.0,Turnover by A. Burks (bad pass),,1,9
1,6:11.0,,S. Mack enters the game for M. Conley,1,9
1,5:54.0,,M. Gasol misses 2-pt jump shot from 17 ft,1,9
1,5:48.0,Defensive rebound by C. Osman,,1,9
