QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
1,11:46.0,,S. Curry misses 3-pt jump shot from 27 ft,0,0
1,11:44.0,Defensive rebound by E. Freedom,,0,0
1,11:31.0,C. McCollum misses 2-pt jump shot from 13 ft,,0,0
1,11:30.0,Offensive rebound by E. Freedom,,0,0
1,11:28.0,E. Freedom misses 2-pt layup from 4 ft,,0,0
1,11:27.0,Offensive rebound by A. Aminu,,0,0
1,11:25.0,C. McCollum makes 2-pt layup from 4 ft (assist by A. Aminu),,2,0
1,11:12.0,,Turnover by A. Bogut (lost ball; steal by E. Freedom),2,0
1,11:04.0,D. Lillard makes 3-pt jump shot from 28 ft,,5,0
1,10:58.0,,Personal foul by M. Harkless (drawn by D. Green),5,0
1,10:54.0,,K. Thompson makes 2-pt jump shot from 18 ft (assist by A. Bogut),5,2
1,10:30.0,Offensive foul by E. Freedom (drawn by D. Green),,5,2
1,10:30.0,Turnover by E. Freedom (offensive foul),,5,2
1,10:14.0,,K. Thompson misses 3-pt jump shot from 27 ft,5,2
1,10:12.0,,Offensive rebound by A. Bogut,5,2
1,10:08.0,,Shooting foul by D. Lillard (drawn by S. Curry),5,2
1,10:08.0,,S. Curry makes free throw 1 of 3,5,3
1,10:08.0,,S. Curry makes free throw 2 of 3,5,4
1,10:08.0,,S. Curry makes free throw 3 of 3,5,5
1,9:57.0,Turnover by C. McCollum (lost ball; steal by A. Bogut),,5,5
1,9:51.0,,S. Curry makes 2-pt layup from 2 ft,5,7
1,9:34.0,Turnover by D. Lillard (bad pass),,5,7
1,9:22.0,,Offensive foul by D. Green (drawn by D. Lillard),5,7
1,9:22.0,,Turnover by D. Green (offensive foul),5,7
1,9:04.0,M. Harkless makes 2-pt hook shot from 7 ft (assist by A. Aminu),,7,7
1,8:53.0,,K. Thompson misses 2-pt jump shot from 17 ft,7,7
1,8:52.0,Defensive rebound by M. Harkless,,7,7
1,8:41.0,A. Aminu misses 2-pt layup from 7 ft,,7,7
1,8:40.0,,Defensive rebound by D. Green,7,7
1,8:29.0,,D. Green makes 2-pt layup from 1 ft (assist by K. Thompson),7,9
1,8:15.0,D. Lillard makes 2-pt jump shot from 18 ft,,9,9
1,7:57.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. Green),9,11
1,7:42.0,E. Freedom misses 2-pt jump shot from 18 ft,,9,11
1,7:41.0,,Defensive rebound by D. Green,9,11
1,7:31.0,,K. Thompson makes 2-pt jump shot from 11 ft,9,13
1,7:11.0,M. Harkless misses 3-pt jump shot from 26 ft (block by D. Green),,9,13
1,7:10.0,,Defensive rebound by D. Green,9,13
1,7:04.0,,K. Thompson misses 3-pt jump shot from 29 ft,9,13
1,7:02.0,Defensive rebound by E. Freedom,,9,13
1,6:53.0,C. McCollum misses 3-pt jump shot from 26 ft,,9,13
1,6:51.0,,Defensive rebound by A. Bogut,9,13
1,6:48.0,,K. Thompson misses 2-pt layup from 2 ft,9,13
1,6:47.0,Defensive rebound by E. Freedom,,9,13
1,6:37.0,Turnover by D. Lillard (bad pass),,9,13
1,6:37.0,,Golden State full timeout,9,13
1,6:37.0,,K. Looney enters the game for A. Bogut,9,13
1,6:20.0,,K. Looney misses 2-pt jump shot from 16 ft,9,13
1,6:19.0,,Offensive rebound by S. Curry,9,13
1,6:12.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),9,15
1,5:48.0,M. Harkless makes 2-pt layup from 6 ft (assist by E. Freedom),,11,15
1,5:36.0,,Turnover by K. Thompson (traveling),11,15
1,5:19.0,C. McCollum misses 2-pt jump shot from 12 ft,,11,15
1,5:18.0,,Defensive rebound by S. Curry,11,15
1,5:10.0,,S. Curry misses 3-pt jump shot from 29 ft,11,15
1,5:09.0,Defensive rebound by Team,,11,15
1,5:09.0,,A. McKinnie enters the game for A. Iguodala,11,15
1,4:57.0,D. Lillard misses 3-pt jump shot from 28 ft,,11,15
1,4:56.0,,Defensive rebound by S. Curry,11,15
1,4:50.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),11,17
1,4:36.0,M. Harkless makes 3-pt jump shot from 28 ft (assist by E. Freedom),,14,17
