QUARTER,TIME_REMAINING,NEW YORK_ACTION,ORLANDO_ACTION,NEW YORK_SCORE,ORLANDO_SCORE
1,11:45.0,,A. Gordon misses 2-pt layup from 1 ft,0,0
1,11:41.0,,Offensive rebound by J. Isaac,0,0
1,11:41.0,,J. Isaac misses 2-pt dunk at rim,0,0
1,11:41.0,Defensive rebound by E. Mudiay,,0,0
1,11:40.0,M. Hezonja misses 2-pt layup from 3 ft,,0,0
1,11:39.0,Offensive rebound by M. Robinson,,0,0
1,11:39.0,M. Robinson misses 2-pt layup from 6 ft,,0,0
1,11:38.0,,Defensive rebound by D. Augustin,0,0
1,11:33.0,,Turnover by D. Augustin (lost ball; steal by M. Hezonja),0,0
1,11:28.0,M. Robinson makes 2-pt layup from 2 ft (assist by M. Hezonja),,2,0
1,11:17.0,,A. Gordon misses 2-pt layup from 2 ft,2,0
1,11:17.0,Defensive rebound by M. Robinson,,2,0
1,11:09.0,D. Dotson misses 3-pt jump shot from 26 ft,,2,0
1,11:06.0,,Defensive rebound by N. Vučević,2,0
1,10:58.0,,N. Vučević makes 2-pt hook shot from 2 ft (assist by D. Augustin),2,2
1,10:43.0,M. Hezonja misses 2-pt jump shot from 21 ft (block by J. Isaac),,2,2
1,10:43.0,,Defensive rebound by E. Fournier,2,2
1,10:42.0,,Personal foul by M. Robinson (drawn by E. Fournier),2,2
1,10:34.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),2,4
1,10:15.0,M. Robinson makes 2-pt dunk from 3 ft (assist by E. Mudiay),,4,4
1,10:05.0,,Turnover by D. Augustin (bad pass; steal by E. Mudiay),4,4
1,9:59.0,K. Knox makes 2-pt layup from 1 ft (assist by E. Mudiay),,6,4
1,9:47.0,,E. Fournier makes 2-pt dunk from 2 ft (assist by D. Augustin),6,6
1,9:34.0,K. Knox makes 3-pt jump shot from 26 ft (assist by E. Mudiay),,9,6
1,9:21.0,,Turnover by N. Vučević (lost ball; steal by K. Knox),9,6
1,9:17.0,Turnover by K. Knox (bad pass; steal by D. Augustin),,9,6
1,9:12.0,,Turnover by D. Augustin (bad pass; steal by M. Robinson),9,6
1,9:08.0,M. Hezonja makes 2-pt layup from 1 ft,,11,6
1,9:08.0,Shooting foul by E. Fournier (drawn by M. Hezonja),,11,6
1,9:08.0,M. Hezonja makes free throw 1 of 1,,12,6
1,8:53.0,,A. Gordon misses 2-pt layup from 2 ft,12,6
1,8:50.0,Defensive rebound by K. Knox,,12,6
1,8:40.0,K. Knox makes 2-pt layup from 2 ft (assist by M. Hezonja),,14,6
1,8:17.0,,N. Vučević misses 2-pt hook shot from 6 ft,14,6
1,8:15.0,Defensive rebound by M. Robinson,,14,6
1,8:11.0,E. Mudiay misses 2-pt layup at rim,,14,6
1,8:07.0,,Defensive rebound by N. Vučević,14,6
1,7:57.0,,D. Augustin misses 2-pt layup from 2 ft,14,6
1,7:56.0,,Offensive rebound by J. Isaac,14,6
1,7:56.0,,J. Isaac misses 2-pt layup at rim,14,6
1,7:56.0,,Offensive rebound by N. Vučević,14,6
1,7:56.0,,Shooting foul by M. Hezonja (drawn by N. Vučević),14,6
1,7:56.0,,N. Vučević makes free throw 1 of 2,14,7
1,7:56.0,,N. Vučević makes free throw 2 of 2,14,8
1,7:44.0,M. Hezonja misses 2-pt layup from 3 ft,,14,8
1,7:41.0,,Defensive rebound by A. Gordon,14,8
1,7:35.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by A. Gordon),14,10
1,7:16.0,E. Mudiay misses 2-pt jump shot from 7 ft,,14,10
1,7:13.0,,Defensive rebound by N. Vučević,14,10
1,7:12.0,,Personal foul by D. Dotson (drawn by A. Gordon),14,10
1,7:08.0,,Shooting foul by M. Hezonja (drawn by A. Gordon),14,10
1,7:08.0,,A. Gordon misses free throw 1 of 2,14,10
1,7:08.0,,Offensive rebound by Team,14,10
1,7:08.0,L. Thomas enters the game for M. Hezonja,,14,10
1,7:08.0,,A. Gordon misses free throw 2 of 2,14,10
1,7:06.0,Defensive rebound by L. Thomas,,14,10
1,6:49.0,D. Dotson makes 2-pt jump shot from 14 ft (assist by E. Mudiay),,16,10
1,6:29.0,,N. Vučević makes 2-pt hook shot from 5 ft (assist by A. Gordon),16,12
1,6:09.0,L. Thomas makes 2-pt jump shot from 18 ft (assist by E. Mudiay),,18,12
1,5:51.0,,Offensive foul by N. Vučević (drawn by L. Thomas),18,12
1,5:51.0,,Turnover by N. Vučević (offensive foul),18,12
1,5:51.0,,Orlando full timeout,18,12
1,5:51.0,,W. Iwundu enters the game for A. Gordon,18,12
1,5:37.0,Shooting foul by D. Augustin (drawn by E. Mudiay),,18,12
1,5:37.0,E. Mudiay makes free throw 1 of 2,,19,12
1,5:37.0,E. Mudiay makes free throw 2 of 2,,20,12
1,5:17.0,,E. Fournier makes 2-pt layup from 1 ft (assist by W. Iwundu),20,14
1,5:02.0,M. Robinson makes 2-pt layup at rim (assist by D. Dotson),,22,14
1,4:40.0,,N. Vučević makes 2-pt hook shot from 3 ft,22,16
1,4:22.0,E. Mudiay misses 3-pt jump shot from 26 ft,,22,16
1,4:20.0,,Defensive rebound by J. Isaac,22,16
1,4:03.0,,W. Iwundu misses 3-pt jump shot from 26 ft,22,16
1,3:59.0,,Offensive rebound by J. Isaac,22,16
1,3:59.0,,J. Isaac misses 2-pt layup at rim,22,16
