QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
1,11:44.0,R. Hood misses 2-pt jump shot from 22 ft,,0,0
1,11:41.0,,Defensive rebound by J. Embiid,0,0
1,11:26.0,,J. Redick misses 3-pt jump shot from 26 ft,0,0
1,11:22.0,Defensive rebound by C. Osman,,0,0
1,11:13.0,Personal foul by W. Chandler (drawn by C. Sexton),,0,0
1,11:08.0,C. Sexton makes 2-pt jump shot from 16 ft,,2,0
1,10:47.0,,J. Redick misses 2-pt layup from 6 ft,2,0
1,10:45.0,Defensive rebound by C. Osman,,2,0
1,10:44.0,,Violation by Team (kicked ball),2,0
1,10:40.0,C. Sexton makes 2-pt jump shot from 18 ft,,4,0
1,10:19.0,,W. Chandler misses 3-pt jump shot from 26 ft,4,0
1,10:15.0,Defensive rebound by T. Thompson,,4,0
1,10:10.0,Personal foul by J. Redick (drawn by T. Thompson),,4,0
1,10:04.0,C. Sexton misses 2-pt layup from 3 ft,,4,0
1,10:00.0,Offensive rebound by T. Thompson,,4,0
1,10:00.0,T. Thompson misses 2-pt dunk from 1 ft,,4,0
1,10:00.0,Offensive rebound by T. Thompson,,4,0
1,9:57.0,T. Thompson misses 2-pt layup from 3 ft (block by B. Simmons),,4,0
1,9:57.0,,Defensive rebound by J. Embiid,4,0
1,9:41.0,,J. Butler misses 2-pt jump shot from 16 ft,4,0
1,9:41.0,Defensive rebound by Team,,4,0
1,9:41.0,,Loose ball foul by B. Simmons (drawn by C. Sexton),4,0
1,9:19.0,R. Hood misses 2-pt jump shot from 12 ft,,4,0
1,9:16.0,Offensive rebound by T. Thompson,,4,0
1,9:13.0,C. Osman makes 3-pt jump shot from 26 ft (assist by D. Nwaba),,7,0
1,9:01.0,,B. Simmons makes 2-pt layup from 4 ft (assist by J. Embiid),7,2
1,8:51.0,T. Thompson misses 2-pt jump shot from 15 ft,,7,2
1,8:48.0,,Defensive rebound by J. Embiid,7,2
1,8:40.0,,J. Embiid makes 2-pt jump shot from 17 ft (assist by B. Simmons),7,4
1,8:18.0,C. Sexton makes 2-pt layup from 1 ft,,9,4
1,8:03.0,,B. Simmons makes 2-pt jump shot from 10 ft (assist by W. Chandler),9,6
1,7:42.0,C. Osman makes 2-pt jump shot from 15 ft,,11,6
1,7:25.0,,W. Chandler misses 2-pt layup from 2 ft,11,6
1,7:23.0,Defensive rebound by C. Sexton,,11,6
1,7:18.0,C. Osman misses 3-pt jump shot from 28 ft,,11,6
1,7:18.0,,Defensive rebound by Team,11,6
1,7:18.0,Loose ball foul by T. Thompson (drawn by J. Embiid),,11,6
1,7:18.0,,A. Johnson enters the game for J. Embiid,11,6
1,7:18.0,,L. Shamet enters the game for J. Redick,11,6
1,7:05.0,,J. Butler makes 2-pt jump shot from 11 ft,11,8
1,6:47.0,R. Hood makes 3-pt jump shot from 26 ft (assist by C. Sexton),,14,8
1,6:27.0,,J. Butler misses 3-pt jump shot from 23 ft,14,8
1,6:25.0,Defensive rebound by T. Thompson,,14,8
1,6:13.0,D. Nwaba misses 2-pt jump shot from 7 ft,,14,8
1,6:09.0,Offensive rebound by T. Thompson,,14,8
1,6:08.0,T. Thompson makes 2-pt hook shot from 2 ft,,16,8
