QUARTER,TIME_REMAINING,CLEVELAND_ACTION,CHICAGO_ACTION,CLEVELAND_SCORE,CHICAGO_SCORE
1,11:37.0,L. Nance misses 2-pt hook shot from 5 ft,,0,0
1,11:37.0,,Defensive rebound by Team,0,0
1,11:19.0,,J. Holiday makes 2-pt jump shot from 21 ft (assist by Z. LaVine),0,2
1,11:01.0,L. Nance makes 2-pt dunk at rim (assist by J. Smith),,2,2
1,10:41.0,,Turnover by J. Holiday (bad pass; steal by T. Thompson),2,2
1,10:31.0,C. Sexton makes 2-pt jump shot from 14 ft,,4,2
1,10:22.0,,R. Arcidiacono makes 2-pt layup from 3 ft,4,4
1,10:22.0,,Shooting foul by C. Sexton (drawn by R. Arcidiacono),4,4
1,10:22.0,,R. Arcidiacono misses free throw 1 of 1,4,4
1,10:22.0,Defensive rebound by L. Nance,,4,4
1,10:07.0,C. Sexton misses 3-pt jump shot from 26 ft,,4,4
1,10:04.0,,Defensive rebound by Z. LaVine,4,4
1,9:59.0,,Z. LaVine misses 2-pt jump shot from 9 ft (block by L. Nance),4,4
1,9:56.0,Defensive rebound by J. Smith,,4,4
1,9:43.0,R. Hood misses 2-pt layup from 4 ft,,4,4
1,9:37.0,Offensive rebound by T. Thompson,,4,4
1,9:37.0,T. Thompson misses 2-pt layup from 1 ft,,4,4
1,9:36.0,,Defensive rebound by W. Carter,4,4
1,9:34.0,,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),4,6
1,9:12.0,J. Smith misses 3-pt jump shot from 24 ft,,4,6
1,9:12.0,,Defensive rebound by W. Carter,4,6
1,9:02.0,,R. Arcidiacono makes 2-pt layup from 1 ft,4,8
1,8:51.0,Turnover by C. Sexton (bad pass; steal by Z. LaVine),,4,8
1,8:47.0,,Z. LaVine makes 2-pt dunk at rim,4,10
1,8:44.0,Cleveland full timeout,,4,10
1,8:31.0,R. Hood misses 2-pt jump shot from 19 ft,,4,10
1,8:25.0,Offensive rebound by T. Thompson,,4,10
1,8:25.0,T. Thompson makes 2-pt layup from 1 ft,,6,10
1,8:16.0,,Shooting foul by J. Smith (drawn by J. Parker),6,10
1,8:16.0,,J. Parker makes free throw 1 of 2,6,11
1,8:16.0,,J. Parker makes free throw 2 of 2,6,12
1,7:59.0,J. Smith misses 2-pt jump shot from 23 ft,,6,12
1,7:54.0,,Defensive rebound by W. Carter,6,12
1,7:51.0,,J. Parker misses 2-pt layup from 1 ft (block by L. Nance),6,12
1,7:51.0,,Offensive rebound by Team,6,12
1,7:49.0,,J. Parker misses 3-pt jump shot from 24 ft,6,12
1,7:46.0,Defensive rebound by C. Sexton,,6,12
1,7:28.0,R. Hood makes 2-pt jump shot from 10 ft,,8,12
1,7:28.0,,Violation by Team (def goaltending),8,12
1,7:11.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),8,14
1,6:57.0,Shooting foul by R. Arcidiacono (drawn by T. Thompson),,8,14
1,6:57.0,T. Thompson makes free throw 1 of 2,,9,14
1,6:57.0,T. Thompson misses free throw 2 of 2,,9,14
1,6:54.0,,Defensive rebound by R. Arcidiacono,9,14
1,6:42.0,,W. Carter makes 2-pt jump shot from 3 ft (assist by Z. LaVine),9,16
