QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MIAMI_ACTION,CLEVELAND_SCORE,MIAMI_SCORE
1,11:52.0,,B. Adebayo makes 2-pt jump shot from 3 ft,0,2
1,11:41.0,K. Love makes 3-pt jump shot from 25 ft (assist by C. Sexton),,3,2
1,11:21.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by D. Waiters),3,5
1,10:58.0,K. Love makes 2-pt jump shot from 21 ft,,5,5
1,10:41.0,,Personal foul by K. Love (drawn by B. Adebayo),5,5
1,10:31.0,,J. Winslow makes 2-pt layup from 4 ft (assist by J. Richardson),5,7
1,10:17.0,K. Love makes 3-pt jump shot from 26 ft (assist by C. Sexton),,8,7
1,9:51.0,,Shooting foul by B. Knight (drawn by B. Adebayo),8,7
1,9:51.0,,B. Adebayo misses free throw 1 of 2,8,7
1,9:51.0,,Offensive rebound by Team,8,7
1,9:51.0,,B. Adebayo makes free throw 2 of 2,8,8
1,9:32.0,Turnover by C. Sexton (bad pass),,8,8
1,9:17.0,,J. Richardson misses 2-pt jump shot from 17 ft,8,8
1,9:15.0,Defensive rebound by B. Knight,,8,8
1,9:04.0,Turnover by C. Osman (bad pass),,8,8
1,8:53.0,,K. Olynyk misses 2-pt jump shot from 19 ft,8,8
1,8:51.0,Defensive rebound by L. Nance,,8,8
1,8:34.0,Turnover by C. Sexton (bad pass; steal by J. Winslow),,8,8
1,8:34.0,,Personal take foul by C. Osman (drawn by J. Winslow),8,8
1,8:17.0,,J. Winslow misses 3-pt jump shot from 25 ft,8,8
1,8:14.0,Defensive rebound by L. Nance,,8,8
1,8:09.0,Personal foul by B. Adebayo (drawn by C. Sexton),,8,8
1,8:01.0,Turnover by C. Sexton (bad pass),,8,8
1,7:44.0,,D. Waiters misses 2-pt layup from 4 ft,8,8
1,7:41.0,Defensive rebound by K. Love,,8,8
1,7:39.0,C. Sexton makes 2-pt dunk from 1 ft,,10,8
1,7:25.0,Violation by Team (kicked ball),,10,8
1,7:17.0,,B. Adebayo makes 2-pt dunk from 3 ft (assist by J. Richardson),10,10
1,6:57.0,C. Osman misses 2-pt jump shot from 8 ft,,10,10
1,6:53.0,,Defensive rebound by B. Adebayo,10,10
1,6:42.0,,K. Olynyk misses 3-pt jump shot from 23 ft,10,10
1,6:39.0,Defensive rebound by C. Osman,,10,10
1,6:28.0,Turnover by C. Sexton (out of bounds lost ball),,10,10
1,6:28.0,,Miami full timeout,10,10
1,6:28.0,M. Chriss enters the game for B. Knight,,10,10
1,6:28.0,J. Clarkson enters the game for L. Nance,,10,10
1,6:09.0,,Shooting foul by K. Love (drawn by K. Olynyk),10,10
