QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,WASHINGTON_ACTION,LA CLIPPERS_SCORE,WASHINGTON_SCORE
1,11:46.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),0,2
1,11:30.0,T. Harris makes 3-pt jump shot from 26 ft,,3,2
1,11:06.0,,O. Porter misses 3-pt jump shot from 25 ft,3,2
1,11:01.0,Defensive rebound by T. Harris,,3,2
1,11:00.0,M. Gortat misses 2-pt layup from 2 ft (block by J. Wall),,3,2
1,11:00.0,Offensive rebound by Team,,3,2
1,10:58.0,T. Harris misses 2-pt jump shot from 15 ft,,3,2
1,10:54.0,,Defensive rebound by J. Wall,3,2
1,10:50.0,,J. Wall makes 3-pt jump shot from 25 ft,3,5
1,10:33.0,Turnover by A. Bradley (bad pass),,3,5
1,10:25.0,,J. Wall misses 3-pt jump shot from 25 ft,3,5
1,10:23.0,Defensive rebound by T. Harris,,3,5
1,10:16.0,M. Gortat misses 2-pt layup from 2 ft (block by O. Porter),,3,5
1,10:13.0,Offensive rebound by S. Gilgeous-Alexander,,3,5
1,10:07.0,Personal foul by J. Wall (drawn by S. Gilgeous-Alexander),,3,5
1,10:06.0,Personal foul by K. Oubre (drawn by T. Harris),,3,5
1,9:55.0,T. Harris makes 2-pt jump shot from 11 ft,,5,5
1,9:43.0,,Personal foul by A. Bradley (drawn by B. Beal),5,5
1,9:37.0,,B. Beal misses 2-pt jump shot from 6 ft,5,5
1,9:37.0,Defensive rebound by Team,,5,5
1,9:24.0,M. Gortat makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),,7,5
1,9:11.0,,B. Beal misses 2-pt jump shot from 15 ft,7,5
1,9:08.0,Defensive rebound by M. Gortat,,7,5
1,8:53.0,M. Gortat misses 2-pt dunk from 3 ft (block by T. Bryant),,7,5
1,8:49.0,,Defensive rebound by T. Bryant,7,5
1,8:44.0,,T. Bryant makes 2-pt layup at rim (assist by J. Wall),7,7
1,8:21.0,T. Harris makes 3-pt jump shot from 26 ft (assist by D. Gallinari),,10,7
1,8:03.0,,K. Oubre misses 2-pt layup from 3 ft,10,7
1,8:00.0,Defensive rebound by T. Harris,,10,7
1,7:52.0,A. Bradley makes 2-pt jump shot from 19 ft,,12,7
1,7:32.0,,B. Beal makes 2-pt jump shot from 17 ft,12,9
1,7:17.0,A. Bradley makes 2-pt jump shot from 12 ft (assist by D. Gallinari),,14,9
1,7:04.0,,Turnover by T. Bryant (bad pass; steal by S. Gilgeous-Alexander),14,9
1,6:59.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,16,9
1,6:59.0,,Washington full timeout,16,9
1,6:41.0,,T. Bryant misses 3-pt jump shot from 22 ft,16,9
1,6:38.0,Defensive rebound by D. Gallinari,,16,9
1,6:28.0,Turnover by A. Bradley (bad pass; steal by O. Porter),,16,9
1,6:24.0,,J. Wall makes 2-pt dunk from 1 ft (assist by B. Beal),16,11
1,6:11.0,T. Harris makes 2-pt layup from 1 ft (assist by M. Gortat),,18,11
