QUARTER,TIME_REMAINING,ATLANTA_ACTION,CHICAGO_ACTION,ATLANTA_SCORE,CHICAGO_SCORE
1,11:35.0,A. Len makes 3-pt jump shot from 25 ft (assist by K. Huerter),,3,0
1,11:12.0,,L. Markkanen misses 3-pt jump shot from 25 ft,3,0
1,11:07.0,Defensive rebound by K. Bazemore,,3,0
1,11:00.0,A. Len misses 2-pt layup from 1 ft,,3,0
1,10:58.0,,Defensive rebound by L. Markkanen,3,0
1,10:53.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 25 ft (assist by Z. LaVine),3,3
1,10:32.0,A. Len makes 2-pt hook shot from 5 ft (assist by D. Dedmon),,5,3
1,10:14.0,,Z. LaVine misses 2-pt jump shot from 21 ft,5,3
1,10:11.0,Defensive rebound by A. Len,,5,3
1,10:03.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,7,3
1,9:45.0,,L. Markkanen misses 2-pt jump shot from 20 ft,7,3
1,9:43.0,Defensive rebound by D. Dedmon,,7,3
1,9:36.0,A. Len misses 3-pt jump shot from 23 ft,,7,3
1,9:32.0,,Defensive rebound by L. Markkanen,7,3
1,9:24.0,,K. Dunn misses 2-pt layup from 3 ft (block by A. Len),7,3
1,9:22.0,Defensive rebound by K. Bazemore,,7,3
1,9:19.0,K. Huerter makes 2-pt dunk at rim (assist by K. Bazemore),,9,3
1,9:19.0,,Chicago full timeout,9,3
1,9:19.0,,Turnover by T. Luwawu-Cabarrot (inbound),9,3
1,9:12.0,K. Bazemore misses 2-pt jump shot from 19 ft,,9,3
1,9:08.0,,Defensive rebound by T. Luwawu-Cabarrot,9,3
1,8:58.0,,Z. LaVine misses 2-pt layup from 2 ft,9,3
1,8:54.0,,Offensive rebound by R. Lopez,9,3
1,8:54.0,,R. Lopez makes 2-pt dunk at rim,9,5
1,8:37.0,T. Young makes 2-pt layup at rim (assist by D. Dedmon),,11,5
1,8:37.0,Shooting foul by K. Dunn (drawn by T. Young),,11,5
1,8:37.0,T. Young makes free throw 1 of 1,,12,5
1,8:24.0,,K. Dunn makes 2-pt jump shot from 17 ft,12,7
1,8:13.0,T. Young misses 3-pt jump shot from 27 ft,,12,7
1,8:11.0,Offensive rebound by K. Bazemore,,12,7
1,8:02.0,Shooting foul by R. Lopez (drawn by A. Len),,12,7
1,8:02.0,A. Len makes free throw 1 of 2,,13,7
1,8:02.0,A. Len makes free throw 2 of 2,,14,7
1,7:56.0,,K. Dunn makes 3-pt jump shot from 25 ft,14,10
1,7:40.0,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Dedmon),,14,10
1,7:40.0,D. Dedmon misses free throw 1 of 2,,14,10
1,7:40.0,Offensive rebound by Team,,14,10
1,7:40.0,B. Johnson enters the game for K. Huerter,,14,10
1,7:40.0,D. Dedmon makes free throw 2 of 2,,15,10
1,7:26.0,,R. Lopez makes 2-pt hook shot from 3 ft (assist by K. Dunn),15,12
1,7:19.0,T. Young makes 2-pt layup from 1 ft,,17,12
1,7:13.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by K. Dunn),17,14
1,6:52.0,K. Bazemore misses 3-pt jump shot from 24 ft,,17,14
1,6:52.0,,Defensive rebound by Team,17,14
1,6:52.0,Loose ball foul by A. Len (drawn by R. Lopez),,17,14
1,6:52.0,A. Poythress enters the game for D. Dedmon,,17,14
1,6:38.0,,K. Dunn makes 2-pt jump shot from 11 ft,17,16
1,6:28.0,Turnover by B. Johnson (step out of bounds),,17,16
1,6:28.0,,W. Selden enters the game for L. Markkanen,17,16
1,6:15.0,,Z. LaVine misses 2-pt jump shot from 7 ft,17,16
1,6:10.0,Defensive rebound by B. Johnson,,17,16
1,6:03.0,T. Young misses 2-pt jump shot from 7 ft,,17,16
1,6:01.0,,Defensive rebound by W. Selden,17,16
1,5:49.0,,R. Lopez makes 2-pt layup from 1 ft (assist by W. Selden),17,18
1,5:41.0,Atlanta full timeout,,17,18
1,5:41.0,Technical foul by T. Young,,17,18
1,5:41.0,,Technical foul by K. Dunn,17,18
1,5:41.0,J. Adams enters the game for K. Bazemore,,17,18
1,5:41.0,D. Bembry enters the game for T. Young,,17,18
1,5:41.0,,C. Felício enters the game for Z. LaVine,17,18
1,5:41.0,,S. Harrison enters the game for R. Lopez,17,18
1,5:22.0,J. Adams makes 3-pt jump shot from 25 ft (assist by A. Len),,20,18
1,5:09.0,,Shooting foul by A. Poythress (drawn by W. Selden),20,18
1,5:09.0,,W. Selden misses free throw 1 of 2,20,18
1,5:09.0,,Offensive rebound by Team,20,18
1,5:09.0,D. Dedmon enters the game for A. Len,,20,18
1,5:09.0,,W. Selden makes free throw 2 of 2,20,19
1,4:57.0,B. Johnson makes 2-pt jump shot from 11 ft (assist by A. Poythress),,22,19
1,4:41.0,,Turnover by W. Selden (lost ball; steal by B. Johnson),22,19
1,4:41.0,Personal foul by W. Selden (drawn by B. Johnson),,22,19
1,4:23.0,J. Adams makes 3-pt jump shot from 26 ft (assist by D. Bembry),,25,19
1,4:05.0,,W. Selden makes 2-pt jump shot from 19 ft,25,21
1,3:48.0,D. Bembry misses 2-pt layup from 1 ft,,25,21
1,3:45.0,,Defensive rebound by C. Felício,25,21
1,3:40.0,,K. Dunn misses 3-pt jump shot from 25 ft,25,21
1,3:36.0,Defensive rebound by D. Bembry,,25,21
1,3:33.0,B. Johnson makes 3-pt jump shot from 25 ft (assist by D. Bembry),,28,21
1,3:15.0,,K. Dunn misses 2-pt jump shot from 10 ft,28,21
1,3:13.0,Defensive rebound by D. Dedmon,,28,21
1,3:10.0,J. Adams misses 3-pt jump shot from 25 ft,,28,21
1,3:07.0,,Defensive rebound by T. Luwawu-Cabarrot,28,21
1,2:59.0,,C. Felício makes 2-pt jump shot from 6 ft (assist by S. Harrison),28,23
1,2:43.0,D. Bembry misses 2-pt layup from 5 ft (block by S. Harrison),,28,23
1,2:43.0,Offensive rebound by Team,,28,23
1,2:43.0,,R. Arcidiacono enters the game for K. Dunn,28,23
1,2:43.0,,A. Blakeney enters the game for T. Luwawu-Cabarrot,28,23
1,2:34.0,D. Bembry misses 3-pt jump shot from 26 ft,,28,23
1,2:31.0,,Defensive rebound by A. Blakeney,28,23
1,2:12.0,,R. Arcidiacono makes 2-pt layup from 2 ft (assist by W. Selden),28,25
1,1:53.0,J. Adams makes 3-pt jump shot from 26 ft (assist by D. Bembry),,31,25
1,1:26.0,,A. Blakeney misses 2-pt jump shot from 5 ft,31,25
1,1:23.0,Defensive rebound by J. Adams,,31,25
1,1:22.0,Personal foul by A. Blakeney (drawn by D. Dedmon),,31,25
1,1:22.0,D. Dedmon makes free throw 1 of 2,,32,25
1,1:22.0,J. Anderson enters the game for A. Poythress,,32,25
1,1:22.0,D. Dedmon makes free throw 2 of 2,,33,25
1,1:06.0,,C. Felício makes 2-pt jump shot from 16 ft,33,27
1,0:54.0,Turnover by D. Bembry (out of bounds lost ball),,33,27
1,0:42.0,,W. Selden misses 3-pt jump shot from 25 ft,33,27
1,0:39.0,Defensive rebound by J. Adams,,33,27
1,0:32.0,D. Dedmon makes 2-pt dunk at rim (assist by J. Adams),,35,27
1,0:14.0,,C. Felício makes 2-pt jump shot from 17 ft (assist by R. Arcidiacono),35,29
1,0:01.0,Turnover by J. Adams (bad pass; steal by R. Arcidiacono),,35,29
1,0:00.0,,Shooting foul by D. Bembry (drawn by R. Arcidiacono),35,29
1,0:00.0,,R. Arcidiacono makes free throw 1 of 3,35,30
1,0:00.0,,R. Arcidiacono makes free throw 2 of 3,35,31
1,0:00.0,,R. Arcidiacono makes free throw 3 of 3,35,32
2,11:47.0,,C. Felício makes 2-pt hook shot from 6 ft,35,34
2,11:27.0,A. Len makes 3-pt jump shot from 26 ft (assist by V. Carter),,38,34
2,11:02.0,,S. Harrison misses 3-pt jump shot from 25 ft,38,34
2,10:59.0,,Offensive rebound by C. Felício,38,34
2,10:55.0,,W. Selden makes 2-pt layup from 2 ft (assist by C. Felício),38,36
