QUARTER,TIME_REMAINING,DALLAS_ACTION,OKLAHOMA CITY_ACTION,DALLAS_SCORE,OKLAHOMA CITY_SCORE
1,11:42.0,Violation by Team (kicked ball),,0,0
1,11:34.0,,R. Westbrook misses 2-pt layup from 1 ft,0,0
1,11:31.0,Defensive rebound by W. Matthews,,0,0
1,11:27.0,Personal foul by T. Ferguson (drawn by D. Jordan),,0,0
1,11:17.0,W. Matthews misses 2-pt jump shot from 6 ft,,0,0
1,11:15.0,,Defensive rebound by R. Westbrook,0,0
1,11:10.0,,P. George makes 2-pt layup from 1 ft,0,2
1,11:02.0,Turnover by L. Dončić (bad pass; steal by P. George),,0,2
1,11:00.0,,P. George makes 2-pt dunk from 1 ft,0,4
1,10:38.0,L. Dončić misses 3-pt jump shot from 24 ft,,0,4
1,10:35.0,,Defensive rebound by R. Westbrook,0,4
1,10:30.0,,P. George misses 3-pt jump shot from 25 ft,0,4
1,10:27.0,Defensive rebound by D. Jordan,,0,4
1,10:16.0,Shooting foul by R. Westbrook (drawn by D. Smith),,0,4
1,10:16.0,D. Smith makes free throw 1 of 2,,1,4
1,10:16.0,D. Smith makes free throw 2 of 2,,2,4
1,10:03.0,,Shooting foul by W. Matthews (drawn by P. George),2,4
1,10:03.0,,P. George makes free throw 1 of 2,2,5
1,10:03.0,,P. George makes free throw 2 of 2,2,6
1,9:53.0,D. Smith misses 3-pt jump shot from 25 ft,,2,6
1,9:50.0,,Defensive rebound by J. Grant,2,6
1,9:37.0,,R. Westbrook makes 2-pt dunk from 1 ft (assist by S. Adams),2,8
1,9:10.0,W. Matthews misses 3-pt jump shot from 26 ft,,2,8
1,9:06.0,,Defensive rebound by S. Adams,2,8
1,8:57.0,,R. Westbrook misses 2-pt jump shot from 14 ft,2,8
1,8:55.0,Defensive rebound by D. Jordan,,2,8
1,8:44.0,D. Smith misses 2-pt layup from 3 ft,,2,8
1,8:42.0,,Defensive rebound by S. Adams,2,8
1,8:40.0,,Shooting foul by D. Jordan (drawn by T. Ferguson),2,8
1,8:40.0,,T. Ferguson makes free throw 1 of 2,2,9
1,8:40.0,Dallas full timeout,,2,9
1,8:40.0,,T. Ferguson misses free throw 2 of 2,2,9
1,8:37.0,Defensive rebound by H. Barnes,,2,9
1,8:21.0,L. Dončić makes 3-pt jump shot from 24 ft (assist by D. Smith),,5,9
1,8:02.0,,P. George misses 2-pt layup from 3 ft,5,9
1,8:00.0,Defensive rebound by D. Jordan,,5,9
1,7:43.0,Turnover by D. Smith (bad pass; steal by P. George),,5,9
1,7:39.0,,Shooting foul by D. Smith (drawn by S. Adams),5,9
1,7:39.0,,S. Adams misses free throw 1 of 2,5,9
1,7:39.0,,Offensive rebound by Team,5,9
1,7:39.0,,S. Adams misses free throw 2 of 2,5,9
1,7:37.0,Defensive rebound by D. Jordan,,5,9
1,7:15.0,Turnover by Team (shot clock),,5,9
1,7:04.0,,Shooting foul by H. Barnes (drawn by J. Grant),5,9
1,7:04.0,,J. Grant makes free throw 1 of 2,5,10
1,7:04.0,,J. Grant makes free throw 2 of 2,5,11
1,6:55.0,,Violation by Team (kicked ball),5,11
1,6:50.0,Turnover by L. Dončić (bad pass; steal by P. George),,5,11
1,6:44.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),5,14
1,6:26.0,W. Matthews misses 3-pt jump shot from 26 ft,,5,14
1,6:25.0,,Defensive rebound by J. Grant,5,14
