QUARTER,TIME_REMAINING,BOSTON_ACTION,INDIANA_ACTION,BOSTON_SCORE,INDIANA_SCORE
1,11:44.0,,T. Young misses 2-pt layup from 5 ft,0,0
1,11:42.0,Defensive rebound by J. Tatum,,0,0
1,11:27.0,Shooting foul by D. Collison (drawn by K. Irving),,0,0
1,11:27.0,K. Irving misses free throw 1 of 2,,0,0
1,11:27.0,Offensive rebound by Team,,0,0
1,11:27.0,K. Irving makes free throw 2 of 2,,1,0
1,11:16.0,,B. Bogdanović misses 2-pt jump shot from 14 ft,1,0
1,11:13.0,Defensive rebound by A. Horford,,1,0
1,11:09.0,J. Brown makes 2-pt layup from 2 ft,,3,0
1,10:58.0,,Offensive foul by B. Bogdanović (drawn by K. Irving),3,0
1,10:58.0,,Turnover by B. Bogdanović (offensive foul),3,0
1,10:52.0,K. Irving makes 2-pt jump shot from 10 ft,,5,0
1,10:34.0,,D. Collison misses 3-pt jump shot from 23 ft,5,0
1,10:31.0,Defensive rebound by K. Irving,,5,0
1,10:28.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by K. Irving),,8,0
1,10:25.0,,Indiana full timeout,8,0
1,10:03.0,,M. Turner misses 2-pt jump shot from 20 ft,8,0
1,10:00.0,Defensive rebound by A. Horford,,8,0
1,9:51.0,A. Horford misses 3-pt jump shot from 27 ft,,8,0
1,9:48.0,,Defensive rebound by D. Collison,8,0
1,9:31.0,,T. Young makes 3-pt jump shot from 23 ft (assist by D. Collison),8,3
1,9:03.0,A. Horford misses 2-pt jump shot from 19 ft,,8,3
1,9:02.0,Offensive rebound by Team,,8,3
1,9:02.0,Turnover by Team (shot clock),,8,3
1,8:50.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),8,5
1,8:50.0,,Shooting foul by J. Brown (drawn by B. Bogdanović),8,5
1,8:50.0,,B. Bogdanović makes free throw 1 of 1,8,6
1,8:29.0,Turnover by J. Tatum (out of bounds lost ball),,8,6
1,8:13.0,,T. Young misses 2-pt jump shot from 20 ft,8,6
1,8:10.0,Defensive rebound by J. Tatum,,8,6
1,7:56.0,J. Brown misses 3-pt jump shot from 26 ft,,8,6
1,7:54.0,,Defensive rebound by W. Matthews,8,6
1,7:43.0,,D. Collison makes 2-pt jump shot from 17 ft,8,8
1,7:25.0,J. Brown misses 2-pt jump shot from 9 ft,,8,8
1,7:22.0,,Defensive rebound by T. Young,8,8
1,7:15.0,,Shooting foul by K. Irving (drawn by B. Bogdanović),8,8
1,7:15.0,,B. Bogdanović makes free throw 1 of 2,8,9
1,7:15.0,G. Hayward enters the game for A. Horford,,8,9
1,7:15.0,,B. Bogdanović makes free throw 2 of 2,8,10
1,6:57.0,J. Brown misses 2-pt layup from 1 ft (block by M. Turner),,8,10
1,6:54.0,,Defensive rebound by M. Turner,8,10
1,6:48.0,,D. Collison makes 3-pt jump shot from 28 ft,8,13
1,6:32.0,K. Irving misses 3-pt jump shot from 26 ft,,8,13
1,6:29.0,Offensive rebound by Team,,8,13
1,6:29.0,Away from play foul by W. Matthews (drawn by A. Baynes),,8,13
1,6:29.0,K. Irving makes free throw 1 of 1,,9,13
1,6:19.0,G. Hayward makes 2-pt jump shot from 13 ft (assist by J. Tatum),,11,13
1,6:10.0,,D. Collison misses 2-pt layup from 4 ft,11,13
1,6:07.0,,Offensive rebound by M. Turner,11,13
1,6:07.0,,M. Turner makes 2-pt dunk at rim,11,15
1,5:55.0,J. Tatum makes 2-pt jump shot from 6 ft,,13,15
1,5:35.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,13,15
1,5:32.0,Defensive rebound by J. Brown,,13,15
1,5:27.0,Offensive foul by J. Tatum (drawn by W. Matthews),,13,15
1,5:27.0,Turnover by J. Tatum (offensive foul),,13,15
1,5:12.0,,T. Young misses 3-pt jump shot from 23 ft,13,15
1,5:10.0,Defensive rebound by K. Irving,,13,15
1,5:04.0,J. Tatum makes 2-pt layup from 2 ft (assist by K. Irving),,15,15
1,4:45.0,,M. Turner makes 2-pt layup from 2 ft (assist by B. Bogdanović),15,17
1,4:28.0,J. Tatum misses 2-pt jump shot from 8 ft,,15,17
1,4:26.0,,Defensive rebound by B. Bogdanović,15,17
1,4:21.0,,B. Bogdanović misses 2-pt layup from 3 ft,15,17
1,4:21.0,Defensive rebound by J. Brown,,15,17
1,4:14.0,J. Brown makes 2-pt layup from 5 ft,,17,17
1,3:57.0,,W. Matthews misses 3-pt jump shot from 26 ft,17,17
1,3:54.0,Defensive rebound by J. Brown,,17,17
1,3:54.0,Boston full timeout,,17,17
1,3:54.0,A. Horford enters the game for A. Baynes,,17,17
1,3:54.0,M. Morris enters the game for J. Tatum,,17,17
1,3:54.0,,T. Evans enters the game for B. Bogdanović,17,17
1,3:54.0,,D. Sabonis enters the game for T. Young,17,17
1,3:40.0,M. Morris misses 3-pt jump shot from 27 ft,,17,17
1,3:37.0,,Defensive rebound by D. Collison,17,17
1,3:26.0,,D. Collison misses 2-pt layup at rim,17,17
1,3:23.0,Defensive rebound by A. Horford,,17,17
1,3:09.0,A. Horford misses 2-pt jump shot from 3 ft,,17,17
1,3:06.0,Offensive rebound by M. Morris,,17,17
1,3:06.0,M. Morris misses 2-pt layup from 1 ft,,17,17
1,3:05.0,Offensive rebound by A. Horford,,17,17
1,3:04.0,A. Horford misses 2-pt layup from 1 ft (block by M. Turner),,17,17
1,3:01.0,,Defensive rebound by W. Matthews,17,17
1,2:58.0,,T. Evans misses 2-pt layup from 2 ft,17,17
1,2:55.0,,Offensive rebound by M. Turner,17,17
1,2:55.0,,M. Turner misses 2-pt layup at rim,17,17
1,2:53.0,Defensive rebound by J. Brown,,17,17
1,2:49.0,Offensive foul by G. Hayward (drawn by D. Collison),,17,17
1,2:49.0,Turnover by G. Hayward (offensive foul),,17,17
1,2:49.0,T. Rozier enters the game for J. Brown,,17,17
1,2:49.0,,A. Holiday enters the game for D. Collison,17,17
1,2:49.0,,C. Joseph enters the game for W. Matthews,17,17
1,2:35.0,,T. Evans misses 2-pt layup from 2 ft,17,17
1,2:33.0,Defensive rebound by G. Hayward,,17,17
1,2:29.0,Personal foul by A. Holiday (drawn by T. Rozier),,17,17
1,2:29.0,J. Tatum enters the game for M. Morris,,17,17
1,2:23.0,A. Horford misses 3-pt jump shot from 27 ft,,17,17
1,2:19.0,,Defensive rebound by D. Sabonis,17,17
1,2:08.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by D. Sabonis),17,20
1,1:52.0,Turnover by K. Irving (bad pass),,17,20
1,1:52.0,,B. Bogdanović enters the game for M. Turner,17,20
1,1:44.0,,D. Sabonis makes 2-pt layup from 4 ft (assist by C. Joseph),17,22
1,1:30.0,Shooting foul by T. Evans (drawn by G. Hayward),,17,22
1,1:30.0,G. Hayward makes free throw 1 of 2,,18,22
1,1:30.0,M. Morris enters the game for K. Irving,,18,22
1,1:30.0,G. Hayward makes free throw 2 of 2,,19,22
1,1:17.0,,Shooting foul by A. Horford (drawn by D. Sabonis),19,22
1,1:17.0,,D. Sabonis misses free throw 1 of 2,19,22
1,1:17.0,,Offensive rebound by Team,19,22
1,1:17.0,,D. Sabonis makes free throw 2 of 2,19,23
1,0:55.0,G. Hayward makes 2-pt dunk from 1 ft (assist by A. Horford),,21,23
1,0:33.0,,B. Bogdanović misses 3-pt jump shot from 33 ft,21,23
1,0:30.0,Defensive rebound by T. Rozier,,21,23
1,0:21.0,G. Hayward misses 2-pt layup from 3 ft,,21,23
1,0:19.0,Offensive rebound by Team,,21,23
1,0:19.0,Turnover by G. Hayward (traveling),,21,23
1,0:06.0,,D. Sabonis misses 3-pt jump shot from 26 ft,21,23
1,0:02.0,Defensive rebound by J. Tatum,,21,23
1,0:00.0,T. Rozier misses 3-pt jump shot from 32 ft,,21,23
1,0:00.0,Offensive rebound by Team,,21,23
2,11:41.0,M. Morris makes 2-pt jump shot from 10 ft,,23,23
2,11:20.0,,C. Joseph misses 3-pt jump shot from 23 ft,23,23
2,11:18.0,,Offensive rebound by D. Sabonis,23,23
2,11:16.0,,T. Evans misses 3-pt jump shot from 26 ft,23,23
2,11:14.0,Defensive rebound by J. Tatum,,23,23
2,11:06.0,J. Tatum misses 2-pt jump shot from 8 ft,,23,23
2,11:04.0,Offensive rebound by A. Horford,,23,23
2,11:04.0,Shooting foul by T. Evans (drawn by A. Horford),,23,23
2,11:04.0,A. Horford makes free throw 1 of 2,,24,23
2,11:04.0,A. Horford makes free throw 2 of 2,,25,23
2,10:45.0,,C. Joseph makes 2-pt hook shot from 4 ft,25,25
2,10:31.0,Personal foul by A. Holiday (drawn by T. Rozier),,25,25
2,10:19.0,A. Horford makes 2-pt jump shot from 13 ft,,27,25
2,10:08.0,,T. Evans misses 2-pt layup from 1 ft,27,25
2,10:06.0,Defensive rebound by G. Hayward,,27,25
2,9:59.0,A. Horford misses 3-pt jump shot from 26 ft,,27,25
2,9:56.0,,Defensive rebound by D. Sabonis,27,25
2,9:46.0,,Turnover by B. Bogdanović (bad pass; steal by G. Hayward),27,25
2,9:43.0,T. Rozier makes 2-pt dunk at rim (assist by G. Hayward),,29,25
2,9:42.0,,Indiana full timeout,29,25
2,9:42.0,,T. Young enters the game for B. Bogdanović,29,25
2,9:20.0,,T. Evans misses 2-pt layup from 2 ft (block by G. Hayward),29,25
2,9:17.0,Defensive rebound by A. Horford,,29,25
2,9:08.0,J. Tatum misses 3-pt jump shot from 25 ft,,29,25
2,9:06.0,,Defensive rebound by T. Evans,29,25
2,8:55.0,,A. Holiday misses 2-pt jump shot from 17 ft,29,25
2,8:53.0,Defensive rebound by J. Tatum,,29,25
2,8:38.0,T. Rozier makes 2-pt jump shot from 12 ft,,31,25
2,8:27.0,,Offensive foul by A. Holiday (drawn by T. Rozier),31,25
2,8:27.0,,Turnover by A. Holiday (offensive foul),31,25
2,8:27.0,J. Brown enters the game for G. Hayward,,31,25
2,8:27.0,D. Theis enters the game for A. Horford,,31,25
2,8:27.0,,W. Matthews enters the game for A. Holiday,31,25
2,8:16.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by J. Brown),,34,25
2,7:51.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by D. Sabonis),34,28
2,7:32.0,M. Morris makes 2-pt jump shot from 18 ft (assist by T. Rozier),,36,28
2,7:19.0,,T. Evans misses 3-pt jump shot from 27 ft,36,28
2,7:14.0,,Offensive rebound by T. Young,36,28
2,7:14.0,,T. Young misses 2-pt layup at rim,36,28
