QUARTER,TIME_REMAINING,UTAH_ACTION,NEW ORLEANS_ACTION,UTAH_SCORE,NEW ORLEANS_SCORE
1,11:48.0,,J. Holiday misses 3-pt jump shot from 25 ft,0,0
1,11:47.0,,Offensive rebound by Team,0,0
1,11:47.0,Loose ball foul by D. Mitchell (drawn by E. Payton),,0,0
1,11:37.0,,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),0,2
1,11:23.0,Turnover by R. Rubio (bad pass; steal by J. Randle),,0,2
1,11:12.0,,J. Randle misses 2-pt layup from 2 ft,0,2
1,11:08.0,Defensive rebound by D. Favors,,0,2
1,11:04.0,D. Mitchell makes 2-pt layup from 1 ft,,2,2
1,10:51.0,,E. Payton misses 2-pt jump shot from 9 ft,2,2
1,10:48.0,Defensive rebound by R. Gobert,,2,2
1,10:34.0,D. Favors misses 3-pt jump shot from 23 ft,,2,2
1,10:31.0,,Defensive rebound by N. Mirotić,2,2
1,10:26.0,,Offensive foul by E. Payton (drawn by R. Rubio),2,2
1,10:26.0,,Turnover by E. Payton (offensive foul),2,2
1,10:15.0,Turnover by J. Ingles (bad pass; steal by E. Moore),,2,2
1,10:13.0,,Personal foul by D. Favors (drawn by N. Mirotić),2,2
1,10:09.0,,J. Randle misses 3-pt jump shot from 26 ft,2,2
1,10:09.0,Defensive rebound by Team,,2,2
1,9:51.0,R. Rubio misses 2-pt jump shot from 19 ft,,2,2
1,9:46.0,Offensive rebound by D. Favors,,2,2
1,9:44.0,R. Rubio makes 2-pt jump shot from 16 ft,,4,2
1,9:36.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by J. Holiday),4,5
1,9:17.0,D. Favors misses 2-pt layup from 2 ft,,4,5
1,9:17.0,,Defensive rebound by Team,4,5
1,9:05.0,,Shooting foul by D. Favors (drawn by E. Moore),4,5
1,9:05.0,,E. Moore makes free throw 1 of 2,4,6
1,9:05.0,J. Crowder enters the game for D. Favors,,4,6
1,9:05.0,,E. Moore makes free throw 2 of 2,4,7
1,8:58.0,J. Crowder misses 3-pt jump shot from 26 ft,,4,7
1,8:56.0,Offensive rebound by R. Gobert,,4,7
1,8:56.0,Shooting foul by N. Mirotić (drawn by R. Gobert),,4,7
1,8:56.0,R. Gobert makes free throw 1 of 2,,5,7
1,8:56.0,R. Gobert makes free throw 2 of 2,,6,7
1,8:45.0,,J. Randle misses 2-pt jump shot from 10 ft (block by R. Gobert),6,7
1,8:41.0,Defensive rebound by D. Mitchell,,6,7
1,8:34.0,Turnover by J. Ingles (bad pass),,6,7
1,8:17.0,,N. Mirotić makes 2-pt hook shot from 9 ft,6,9
1,8:02.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by J. Ingles),,9,9
1,7:42.0,,N. Mirotić misses 2-pt jump shot from 17 ft,9,9
1,7:40.0,Defensive rebound by R. Gobert,,9,9
1,7:26.0,R. Rubio misses 3-pt jump shot from 25 ft,,9,9
1,7:23.0,,Defensive rebound by J. Randle,9,9
1,7:14.0,,J. Holiday makes 2-pt layup from 1 ft,9,11
1,6:57.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Crowder),,12,11
1,6:42.0,,E. Moore misses 2-pt jump shot from 12 ft,12,11
1,6:40.0,Defensive rebound by R. Gobert,,12,11
1,6:31.0,R. Gobert misses 2-pt layup from 1 ft (block by J. Randle),,12,11
1,6:28.0,,Defensive rebound by N. Mirotić,12,11
1,6:24.0,,Shooting foul by J. Ingles (drawn by J. Randle),12,11
1,6:24.0,,New Orleans full timeout,12,11
1,6:24.0,,J. Randle makes free throw 1 of 2,12,12
1,6:24.0,,J. Randle makes free throw 2 of 2,12,13
1,6:12.0,R. Rubio makes 2-pt layup from 1 ft (assist by D. Mitchell),,14,13
1,5:59.0,,J. Randle misses 3-pt jump shot from 24 ft,14,13
1,5:57.0,Defensive rebound by R. Gobert,,14,13
1,5:51.0,Personal foul by J. Randle (drawn by R. Gobert),,14,13
1,5:44.0,J. Ingles misses 2-pt layup from 8 ft,,14,13
1,5:44.0,,Defensive rebound by Team,14,13
1,5:44.0,R. O'Neale enters the game for J. Ingles,,14,13
1,5:44.0,Violation by Team (delay of game),,14,13
1,5:33.0,,J. Holiday misses 3-pt jump shot from 26 ft,14,13
1,5:30.0,Defensive rebound by R. Gobert,,14,13
1,5:18.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Crowder),,16,13
1,5:08.0,,N. Mirotić makes 3-pt jump shot from 26 ft (assist by E. Payton),16,16
1,4:49.0,R. Rubio makes 2-pt layup from 1 ft (assist by R. O'Neale),,18,16
1,4:38.0,Personal foul by J. Randle (drawn by R. O'Neale),,18,16
1,4:38.0,,Turnover by J. Randle (turnover),18,16
1,4:38.0,,I. Clark enters the game for E. Payton,18,16
1,4:38.0,,S. Hill enters the game for J. Randle,18,16
1,4:28.0,D. Mitchell misses 3-pt jump shot from 26 ft,,18,16
1,4:28.0,,Defensive rebound by Team,18,16
1,4:18.0,,J. Holiday makes 2-pt layup from 1 ft (assist by S. Hill),18,18
1,4:08.0,R. O'Neale misses 3-pt jump shot from 24 ft,,18,18
1,4:06.0,Offensive rebound by R. Gobert,,18,18
1,4:06.0,R. Gobert misses 2-pt layup from 2 ft (block by S. Hill),,18,18
1,4:06.0,Offensive rebound by Team,,18,18
1,4:06.0,D. Exum enters the game for R. Rubio,,18,18
1,4:04.0,R. Gobert makes 2-pt layup from 2 ft (assist by R. O'Neale),,20,18
1,3:53.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by E. Moore),20,20
1,3:36.0,Turnover by D. Exum (lost ball; steal by J. Holiday),,20,20
1,3:31.0,,I. Clark misses 3-pt jump shot from 24 ft,20,20
1,3:25.0,Defensive rebound by R. O'Neale,,20,20
1,3:23.0,Personal foul by I. Clark (drawn by J. Crowder),,20,20
1,3:18.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,23,20
1,3:07.0,,N. Mirotić makes 3-pt jump shot from 27 ft (assist by E. Moore),23,23
1,3:06.0,Utah full timeout,,23,23
1,3:06.0,D. Favors enters the game for R. Gobert,,23,23
1,3:06.0,,W. Johnson enters the game for E. Moore,23,23
1,2:53.0,D. Favors makes 2-pt dunk at rim (assist by D. Mitchell),,25,23
1,2:34.0,,Personal foul by J. Crowder (drawn by J. Holiday),25,23
1,2:34.0,,J. Holiday makes free throw 1 of 2,25,24
1,2:34.0,,J. Holiday makes free throw 2 of 2,25,25
1,2:25.0,J. Crowder misses 3-pt jump shot from 25 ft,,25,25
1,2:24.0,,Defensive rebound by S. Hill,25,25
1,2:15.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by J. Holiday),25,27
1,2:06.0,Personal foul by S. Hill (drawn by D. Favors),,25,27
1,2:06.0,A. Burks enters the game for D. Mitchell,,25,27
1,2:06.0,J. Ingles enters the game for R. O'Neale,,25,27
1,2:06.0,,J. Okafor enters the game for N. Mirotić,25,27
1,2:00.0,J. Ingles misses 2-pt jump shot from 5 ft (block by J. Holiday),,25,27
1,2:00.0,Offensive rebound by Team,,25,27
1,1:50.0,D. Exum makes 2-pt jump shot from 19 ft (assist by J. Crowder),,27,27
1,1:23.0,,J. Holiday makes 2-pt jump shot from 17 ft,27,29
1,1:10.0,J. Ingles misses 3-pt jump shot from 24 ft,,27,29
1,1:07.0,,Defensive rebound by W. Johnson,27,29
1,0:52.0,,J. Okafor misses 2-pt hook shot from 5 ft,27,29
1,0:50.0,Defensive rebound by A. Burks,,27,29
1,0:47.0,Personal foul by W. Johnson (drawn by J. Ingles),,27,29
1,0:47.0,J. Ingles misses free throw 1 of 2,,27,29
1,0:47.0,Offensive rebound by Team,,27,29
1,0:47.0,,F. Jackson enters the game for J. Holiday,27,29
1,0:47.0,J. Ingles makes free throw 2 of 2,,28,29
1,0:28.0,,J. Okafor makes 2-pt layup from 1 ft,28,31
1,0:11.0,Turnover by A. Burks (step out of bounds),,28,31
1,0:00.0,,J. Okafor misses 2-pt layup from 6 ft (block by D. Favors),28,31
1,0:00.0,,Offensive rebound by Team,28,31
2,11:49.0,J. Ingles makes 2-pt layup from 1 ft,,30,31
2,11:41.0,,S. Hill misses 3-pt jump shot from 25 ft,30,31
2,11:41.0,Defensive rebound by J. Ingles,,30,31
2,11:33.0,D. Exum makes 2-pt layup from 2 ft,,32,31
2,11:13.0,,W. Johnson misses 3-pt jump shot from 25 ft,32,31
2,11:11.0,Defensive rebound by D. Favors,,32,31
2,11:01.0,D. Exum misses 3-pt jump shot from 23 ft,,32,31
2,10:57.0,,Defensive rebound by J. Okafor,32,31
2,10:50.0,,J. Okafor misses 2-pt layup from 2 ft (block by D. Favors),32,31
2,10:46.0,Defensive rebound by D. Favors,,32,31
2,10:38.0,D. Favors misses 2-pt layup from 3 ft,,32,31
2,10:37.0,,Defensive rebound by S. Hill,32,31
2,10:31.0,,I. Clark misses 2-pt jump shot from 3 ft,32,31
2,10:31.0,,Offensive rebound by Team,32,31
2,10:31.0,G. Niang enters the game for J. Crowder,,32,31
2,10:26.0,,F. Jackson misses 3-pt jump shot from 25 ft,32,31
2,10:22.0,Defensive rebound by D. Favors,,32,31
2,10:13.0,G. Niang makes 3-pt jump shot from 23 ft (assist by J. Ingles),,35,31
2,9:57.0,,S. Hill misses 2-pt layup from 1 ft,35,31
2,9:55.0,Defensive rebound by G. Niang,,35,31
2,9:45.0,J. Ingles misses 3-pt jump shot from 25 ft,,35,31
2,9:43.0,,Defensive rebound by J. Okafor,35,31
2,9:43.0,,J. Holiday enters the game for I. Clark,35,31
2,9:43.0,,J. Randle enters the game for J. Okafor,35,31
2,9:35.0,,J. Holiday makes 2-pt jump shot from 12 ft,35,33
2,9:18.0,Shooting foul by W. Johnson (drawn by G. Niang),,35,33
2,9:18.0,G. Niang makes free throw 1 of 2,,36,33
2,9:18.0,R. O'Neale enters the game for J. Ingles,,36,33
2,9:18.0,G. Niang makes free throw 2 of 2,,37,33
2,9:01.0,,J. Randle misses 2-pt hook shot from 3 ft,37,33
2,8:59.0,Defensive rebound by D. Favors,,37,33
2,8:54.0,D. Exum misses 2-pt layup from 1 ft,,37,33
2,8:52.0,,Defensive rebound by J. Randle,37,33
2,8:40.0,,Turnover by J. Holiday (lost ball; steal by G. Niang),37,33
2,8:30.0,D. Favors makes 2-pt hook shot from 8 ft (assist by G. Niang),,39,33
2,8:11.0,,J. Randle makes 2-pt jump shot from 16 ft,39,35
2,7:51.0,R. O'Neale misses 3-pt jump shot from 23 ft,,39,35
2,7:48.0,,Defensive rebound by S. Hill,39,35
2,7:45.0,,S. Hill misses 2-pt layup from 2 ft (block by A. Burks),39,35
2,7:45.0,,Offensive rebound by Team,39,35
2,7:45.0,R. Gobert enters the game for A. Burks,,39,35
2,7:45.0,D. Mitchell enters the game for D. Exum,,39,35
2,7:45.0,R. Rubio enters the game for D. Favors,,39,35
2,7:45.0,,N. Mirotić enters the game for S. Hill,39,35
2,7:45.0,,E. Payton enters the game for W. Johnson,39,35
2,7:42.0,,Turnover by N. Mirotić (bad pass; steal by D. Mitchell),39,35
2,7:37.0,Personal foul by F. Jackson (drawn by D. Mitchell),,39,35
2,7:30.0,R. O'Neale makes 2-pt layup from 2 ft (assist by R. Rubio),,41,35
2,7:30.0,,Violation by Team (def goaltending),41,35
2,7:15.0,,N. Mirotić misses 2-pt jump shot from 6 ft,41,35
2,7:13.0,Defensive rebound by R. Gobert,,41,35
2,7:09.0,Utah full timeout,,41,35
2,7:09.0,,E. Moore enters the game for F. Jackson,41,35
2,7:02.0,R. Rubio makes 2-pt jump shot from 17 ft (assist by D. Mitchell),,43,35
2,7:02.0,Shooting foul by E. Payton (drawn by R. Rubio),,43,35
2,7:02.0,R. Rubio makes free throw 1 of 1,,44,35
2,6:43.0,,J. Randle misses 3-pt jump shot from 23 ft,44,35
