QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MIAMI_ACTION,OKLAHOMA CITY_SCORE,MIAMI_SCORE
1,11:37.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,2,0
1,11:20.0,,T. Johnson makes 2-pt layup from 1 ft (assist by J. Johnson),2,2
1,11:05.0,P. George misses 2-pt jump shot from 16 ft,,2,2
1,11:02.0,,Defensive rebound by H. Whiteside,2,2
1,10:41.0,,J. Johnson misses 3-pt jump shot from 25 ft,2,2
1,10:37.0,,Offensive rebound by H. Whiteside,2,2
1,10:35.0,,H. Whiteside makes 2-pt layup from 5 ft,2,4
1,10:20.0,S. Adams makes 2-pt jump shot from 4 ft (assist by P. George),,4,4
1,10:10.0,,Turnover by J. Johnson (bad pass),4,4
1,9:44.0,J. Grant misses 2-pt layup from 5 ft,,4,4
1,9:40.0,Offensive rebound by S. Adams,,4,4
1,9:40.0,S. Adams misses 2-pt layup from 1 ft,,4,4
1,9:38.0,Offensive rebound by J. Grant,,4,4
1,9:35.0,Turnover by P. George (bad pass),,4,4
1,9:24.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),4,6
1,9:11.0,Turnover by S. Adams (lost ball; steal by J. Richardson),,4,6
1,9:05.0,,T. Johnson misses 3-pt jump shot from 25 ft,4,6
1,9:02.0,Defensive rebound by P. George,,4,6
1,8:59.0,R. Westbrook misses 2-pt jump shot from 14 ft (block by H. Whiteside),,4,6
1,8:58.0,,Defensive rebound by H. Whiteside,4,6
1,8:57.0,,Turnover by H. Whiteside (step out of bounds),4,6
1,8:52.0,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,7,6
1,8:41.0,,Personal foul by P. George (drawn by J. Richardson),7,6
1,8:34.0,,Turnover by H. Whiteside (traveling),7,6
1,8:27.0,P. George makes 2-pt jump shot from 6 ft (assist by R. Westbrook),,9,6
1,8:27.0,Shooting foul by J. Winslow (drawn by P. George),,9,6
1,8:27.0,P. George makes free throw 1 of 1,,10,6
1,8:16.0,,J. Winslow makes 2-pt jump shot from 12 ft,10,8
1,8:06.0,R. Westbrook makes 2-pt layup from 1 ft,,12,8
1,7:56.0,,J. Richardson misses 2-pt layup from 1 ft,12,8
1,7:54.0,Defensive rebound by S. Adams,,12,8
1,7:46.0,P. George makes 2-pt layup from 1 ft (assist by J. Grant),,14,8
1,7:26.0,,T. Johnson misses 2-pt layup from 2 ft,14,8
1,7:24.0,Defensive rebound by R. Westbrook,,14,8
1,7:21.0,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),,16,8
1,7:21.0,,Miami full timeout,16,8
1,7:01.0,,J. Johnson makes 3-pt jump shot from 25 ft (assist by H. Whiteside),16,11
1,6:44.0,S. Adams makes 2-pt jump shot from 7 ft (assist by R. Westbrook),,18,11
1,6:34.0,,Shooting foul by J. Grant (drawn by H. Whiteside),18,11
1,6:34.0,,H. Whiteside misses free throw 1 of 2,18,11
1,6:34.0,,Offensive rebound by Team,18,11
1,6:34.0,,H. Whiteside misses free throw 2 of 2,18,11
1,6:31.0,Defensive rebound by R. Westbrook,,18,11
1,6:18.0,S. Adams misses 2-pt layup from 5 ft,,18,11
1,6:12.0,Offensive rebound by R. Westbrook,,18,11
1,6:12.0,R. Westbrook makes 2-pt layup from 1 ft,,20,11
1,6:02.0,,J. Richardson misses 3-pt jump shot from 26 ft,20,11
1,5:58.0,Defensive rebound by R. Westbrook,,20,11
1,5:53.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,23,11
1,5:34.0,,J. Johnson makes 2-pt jump shot from 7 ft (assist by T. Johnson),23,13
1,5:26.0,Turnover by R. Westbrook (bad pass; steal by J. Richardson),,23,13
1,5:23.0,,J. Richardson makes 2-pt dunk from 1 ft (assist by J. Johnson),23,15
1,5:05.0,T. Ferguson misses 2-pt jump shot from 11 ft,,23,15
1,4:59.0,,Defensive rebound by H. Whiteside,23,15
1,4:54.0,,T. Johnson misses 3-pt jump shot from 23 ft,23,15
1,4:52.0,Defensive rebound by J. Grant,,23,15
1,4:52.0,D. Schröder enters the game for T. Ferguson,,23,15
1,4:52.0,,D. Wade enters the game for J. Winslow,23,15
1,4:41.0,P. George misses 2-pt jump shot from 19 ft,,23,15
1,4:39.0,,Defensive rebound by T. Johnson,23,15
1,4:34.0,,J. Johnson misses 2-pt layup from 1 ft,23,15
1,4:33.0,Defensive rebound by Team,,23,15
1,4:23.0,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),,25,15
1,3:59.0,,Turnover by D. Wade (bad pass; steal by J. Grant),25,15
1,3:53.0,J. Grant misses 2-pt jump shot from 5 ft,,25,15
1,3:50.0,,Defensive rebound by H. Whiteside,25,15
1,3:50.0,A. Nader enters the game for P. George,,25,15
1,3:50.0,,B. Adebayo enters the game for J. Johnson,25,15
1,3:50.0,,K. Olynyk enters the game for T. Johnson,25,15
1,3:50.0,,D. Waiters enters the game for H. Whiteside,25,15
1,3:38.0,,Shooting foul by A. Nader (drawn by D. Wade),25,15
1,3:38.0,,D. Wade makes free throw 1 of 2,25,16
1,3:38.0,N. Noel enters the game for S. Adams,,25,16
1,3:38.0,,D. Wade makes free throw 2 of 2,25,17
1,3:12.0,N. Noel makes 2-pt dunk from 1 ft (assist by R. Westbrook),,27,17
1,2:57.0,,B. Adebayo misses 2-pt dunk from 1 ft,27,17
1,2:55.0,Defensive rebound by R. Westbrook,,27,17
1,2:52.0,Shooting foul by J. Richardson (drawn by R. Westbrook),,27,17
1,2:52.0,Oklahoma City full timeout,,27,17
1,2:52.0,P. Patterson enters the game for J. Grant,,27,17
1,2:52.0,R. Westbrook makes free throw 1 of 2,,28,17
1,2:52.0,R. Westbrook misses free throw 2 of 2,,28,17
1,2:49.0,,Defensive rebound by B. Adebayo,28,17
1,2:27.0,,K. Olynyk makes 2-pt jump shot from 16 ft,28,19
