QUARTER,TIME_REMAINING,UTAH_ACTION,PORTLAND_ACTION,UTAH_SCORE,PORTLAND_SCORE
1,11:40.0,J. Ingles makes 2-pt layup from 1 ft (assist by R. Rubio),,2,0
1,11:20.0,,C. McCollum makes 2-pt jump shot from 15 ft (assist by D. Lillard),2,2
1,11:12.0,Personal foul by M. Leonard (drawn by J. Ingles),,2,2
1,11:06.0,D. Favors makes 2-pt hook shot from 2 ft (assist by R. Rubio),,4,2
1,10:46.0,,C. McCollum makes 2-pt jump shot from 12 ft,4,4
1,10:28.0,Turnover by R. Rubio (traveling),,4,4
1,10:11.0,,M. Leonard makes 2-pt jump shot from 9 ft (assist by A. Aminu),4,6
1,10:00.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),,7,6
1,9:41.0,,D. Lillard makes 2-pt jump shot from 22 ft,7,8
1,9:28.0,Shooting foul by M. Harkless (drawn by J. Ingles),,7,8
1,9:28.0,J. Ingles makes free throw 1 of 2,,8,8
1,9:28.0,J. Ingles makes free throw 2 of 2,,9,8
1,9:22.0,,Personal foul by R. Rubio (drawn by D. Lillard),9,8
1,9:17.0,,D. Lillard misses 3-pt jump shot from 26 ft,9,8
1,9:15.0,Defensive rebound by R. Gobert,,9,8
1,9:05.0,D. Favors misses 3-pt jump shot from 23 ft,,9,8
1,9:03.0,Offensive rebound by D. Mitchell,,9,8
1,9:01.0,D. Mitchell makes 2-pt layup from 1 ft,,11,8
1,8:51.0,,D. Lillard makes 2-pt jump shot from 15 ft,11,10
1,8:34.0,R. Gobert makes 2-pt hook shot from 2 ft (assist by R. Rubio),,13,10
1,8:11.0,,C. McCollum makes 2-pt jump shot from 7 ft (assist by M. Leonard),13,12
1,7:57.0,R. Gobert misses 2-pt dunk from 2 ft,,13,12
1,7:54.0,,Defensive rebound by D. Lillard,13,12
1,7:47.0,,M. Leonard makes 3-pt jump shot from 22 ft (assist by A. Aminu),13,15
1,7:28.0,R. Rubio misses 2-pt jump shot from 20 ft,,13,15
1,7:26.0,,Defensive rebound by A. Aminu,13,15
1,7:20.0,,C. McCollum makes 2-pt jump shot from 2 ft (assist by D. Lillard),13,17
1,7:20.0,Utah full timeout,,13,17
1,7:20.0,J. Crowder enters the game for D. Favors,,13,17
1,7:03.0,Shooting foul by M. Harkless (drawn by D. Mitchell),,13,17
1,7:03.0,K. Korver enters the game for J. Ingles,,13,17
1,7:03.0,R. O'Neale enters the game for R. Rubio,,13,17
1,7:03.0,D. Mitchell makes free throw 1 of 2,,14,17
1,7:03.0,D. Mitchell makes free throw 2 of 2,,15,17
1,6:42.0,,D. Lillard misses 2-pt jump shot from 15 ft,15,17
1,6:41.0,,Offensive rebound by M. Harkless,15,17
1,6:39.0,,A. Aminu misses 3-pt jump shot from 25 ft,15,17
1,6:36.0,Defensive rebound by R. Gobert,,15,17
1,6:27.0,D. Mitchell makes 2-pt layup from 1 ft,,17,17
