QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
1,11:46.0,K. O'Quinn makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,2,0
1,11:26.0,,B. Portis makes 3-pt jump shot from 27 ft (assist by B. Beal),2,3
1,11:03.0,Turnover by T. Young (back court),,2,3
1,10:54.0,,B. Portis misses 3-pt jump shot from 26 ft,2,3
1,10:50.0,Defensive rebound by B. Bogdanović,,2,3
1,10:47.0,Personal foul by T. Satoranský (drawn by D. Collison),,2,3
1,10:29.0,D. Collison misses 2-pt layup from 6 ft (block by J. Green),,2,3
1,10:25.0,,Defensive rebound by B. Portis,2,3
1,10:16.0,,B. Portis makes 2-pt hook shot from 6 ft (assist by T. Ariza),2,5
1,10:07.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,4,5
1,10:01.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),4,7
1,9:48.0,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by D. Collison),,6,7
1,9:48.0,Shooting foul by B. Portis (drawn by B. Bogdanović),,6,7
1,9:48.0,B. Bogdanović misses free throw 1 of 1,,6,7
1,9:46.0,,Defensive rebound by B. Portis,6,7
1,9:34.0,,B. Portis misses 2-pt jump shot from 9 ft,6,7
1,9:31.0,Defensive rebound by K. O'Quinn,,6,7
1,9:29.0,Turnover by B. Bogdanović (palming),,6,7
1,9:20.0,,J. Green misses 3-pt jump shot from 26 ft,6,7
1,9:17.0,,Offensive rebound by B. Portis,6,7
1,9:17.0,,B. Portis misses 2-pt layup from 6 ft,6,7
1,9:17.0,Defensive rebound by B. Bogdanović,,6,7
1,8:55.0,W. Matthews misses 3-pt jump shot from 22 ft,,6,7
1,8:51.0,Offensive rebound by T. Young,,6,7
1,8:50.0,W. Matthews makes 2-pt layup from 2 ft (assist by T. Young),,8,7
1,8:36.0,,Turnover by B. Beal (lost ball; steal by W. Matthews),8,7
1,8:35.0,Personal foul by B. Beal (drawn by B. Bogdanović),,8,7
1,8:25.0,Turnover by D. Collison (lost ball; steal by T. Satoranský),,8,7
1,8:21.0,,T. Ariza misses 3-pt jump shot from 26 ft,8,7
1,8:17.0,Defensive rebound by K. O'Quinn,,8,7
1,8:01.0,Turnover by K. O'Quinn (lost ball; steal by T. Satoranský),,8,7
1,7:55.0,,T. Ariza makes 2-pt dunk from 1 ft (assist by B. Portis),8,9
1,7:32.0,T. Young makes 2-pt jump shot from 7 ft,,10,9
1,7:12.0,,J. Green misses 3-pt jump shot from 26 ft,10,9
1,7:11.0,Defensive rebound by Team,,10,9
1,6:58.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by K. O'Quinn),,13,9
1,6:42.0,,B. Beal makes 2-pt jump shot from 10 ft,13,11
1,6:28.0,W. Matthews misses 3-pt jump shot from 26 ft,,13,11
1,6:26.0,,Defensive rebound by B. Portis,13,11
1,6:20.0,,T. Ariza makes 2-pt jump shot from 12 ft,13,13
1,6:20.0,,Shooting foul by K. O'Quinn (drawn by T. Ariza),13,13
1,6:20.0,,Washington full timeout,13,13
1,6:20.0,,T. Ariza misses free throw 1 of 1,13,13
1,6:17.0,Defensive rebound by D. Collison,,13,13
1,6:07.0,T. Young makes 2-pt dunk from 1 ft (assist by D. Collison),,15,13
1,5:52.0,,B. Beal misses 3-pt jump shot from 26 ft,15,13
1,5:50.0,Defensive rebound by T. Young,,15,13
1,5:40.0,W. Matthews makes 2-pt jump shot from 16 ft (assist by T. Young),,17,13
1,5:20.0,,B. Portis misses 2-pt jump shot from 15 ft,17,13
1,5:18.0,Defensive rebound by B. Bogdanović,,17,13
1,5:03.0,K. O'Quinn misses 2-pt jump shot from 14 ft,,17,13
1,5:00.0,,Defensive rebound by T. Ariza,17,13
1,4:56.0,,Turnover by T. Ariza (bad pass; steal by K. O'Quinn),17,13
1,4:42.0,B. Bogdanović makes 2-pt layup from 2 ft,,19,13
1,4:42.0,Shooting foul by B. Portis (drawn by B. Bogdanović),,19,13
1,4:42.0,D. Sabonis enters the game for K. O'Quinn,,19,13
1,4:42.0,,T. Bryant enters the game for J. Green,19,13
1,4:42.0,,J. Parker enters the game for B. Portis,19,13
1,4:42.0,,C. Randle enters the game for T. Satoranský,19,13
1,4:42.0,B. Bogdanović misses free throw 1 of 1,,19,13
1,4:40.0,,Defensive rebound by T. Ariza,19,13
1,4:28.0,,Personal foul by W. Matthews (drawn by T. Bryant),19,13
1,4:16.0,,Turnover by T. Bryant (traveling),19,13
1,3:51.0,D. Sabonis misses 2-pt hook shot from 12 ft,,19,13
1,3:48.0,,Defensive rebound by T. Bryant,19,13
1,3:40.0,,T. Bryant misses 2-pt jump shot from 16 ft,19,13
1,3:36.0,Defensive rebound by T. Young,,19,13
1,3:29.0,T. Young makes 2-pt layup from 2 ft (assist by B. Bogdanović),,21,13
1,3:23.0,,Turnover by J. Parker (turnover),21,13
1,3:23.0,,Loose ball foul by J. Parker (drawn by T. Young),21,13
1,3:23.0,T. Young makes free throw 1 of 2,,22,13
1,3:23.0,C. Joseph enters the game for B. Bogdanović,,22,13
1,3:23.0,T. Young makes free throw 2 of 2,,23,13
1,3:07.0,,T. Bryant makes 2-pt dunk at rim (assist by C. Randle),23,15
1,2:54.0,D. Collison makes 2-pt layup from 2 ft,,25,15
1,2:42.0,,Turnover by J. Parker (out of bounds lost ball),25,15
1,2:42.0,Indiana full timeout,,25,15
1,2:42.0,T. Leaf enters the game for T. Young,,25,15
1,2:42.0,,W. Johnson enters the game for T. Ariza,25,15
1,2:24.0,D. Sabonis misses 2-pt hook shot from 7 ft,,25,15
1,2:21.0,,Defensive rebound by T. Bryant,25,15
1,2:02.0,,Turnover by T. Bryant (bad pass; steal by D. Sabonis),25,15
1,1:53.0,T. Leaf misses 2-pt jump shot from 18 ft,,25,15
1,1:50.0,,Defensive rebound by J. Parker,25,15
1,1:46.0,,W. Johnson misses 3-pt jump shot from 24 ft,25,15
1,1:40.0,Defensive rebound by D. Sabonis,,25,15
1,1:37.0,D. Collison makes 2-pt layup from 2 ft,,27,15
1,1:16.0,,B. Beal makes 2-pt jump shot from 17 ft (assist by T. Bryant),27,17
1,0:58.0,C. Joseph misses 3-pt jump shot from 25 ft,,27,17
1,0:54.0,,Defensive rebound by B. Beal,27,17
1,0:51.0,,T. Bryant makes 2-pt layup from 2 ft (assist by B. Beal),27,19
1,0:39.0,D. Collison misses 2-pt jump shot from 17 ft,,27,19
1,0:36.0,,Defensive rebound by B. Beal,27,19
1,0:29.0,,B. Beal misses 2-pt jump shot from 3 ft,27,19
1,0:28.0,,Offensive rebound by T. Bryant,27,19
1,0:28.0,,T. Bryant makes 2-pt layup from 2 ft,27,21
1,0:05.0,D. Sabonis makes 2-pt hook shot from 8 ft (assist by W. Matthews),,29,21
1,0:01.0,,B. Beal misses 3-pt jump shot from 27 ft,29,21
1,0:01.0,,Offensive rebound by Team,29,21
2,11:52.0,,Offensive foul by C. Randle (drawn by C. Joseph),29,21
2,11:52.0,,Turnover by C. Randle (offensive foul),29,21
2,11:39.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Evans),,31,21
2,11:19.0,,C. Randle makes 2-pt jump shot from 6 ft,31,23
2,11:08.0,Turnover by T. Evans (bad pass; steal by C. Randle),,31,23
2,11:03.0,,C. Randle makes 2-pt layup from 2 ft,31,25
2,10:45.0,D. Sabonis misses 2-pt layup from 3 ft (block by J. Parker),,31,25
2,10:43.0,Offensive rebound by D. Sabonis,,31,25
2,10:42.0,D. Sabonis makes 2-pt layup from 2 ft,,33,25
