QUARTER,TIME_REMAINING,ORLANDO_ACTION,MEMPHIS_ACTION,ORLANDO_SCORE,MEMPHIS_SCORE
1,11:43.0,Personal foul by J. Holiday (drawn by A. Gordon),,0,0
1,11:37.0,A. Gordon misses 2-pt hook shot from 3 ft,,0,0
1,11:34.0,,Defensive rebound by J. Holiday,0,0
1,11:28.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,0,0
1,11:26.0,Defensive rebound by Team,,0,0
1,11:11.0,N. Vučević misses 2-pt hook shot from 5 ft,,0,0
1,11:08.0,,Defensive rebound by J. Holiday,0,0
1,11:03.0,,A. Bradley misses 2-pt jump shot from 17 ft,0,0
1,10:58.0,Defensive rebound by E. Fournier,,0,0
1,10:48.0,N. Vučević misses 2-pt hook shot from 8 ft,,0,0
1,10:44.0,,Defensive rebound by J. Valančiūnas,0,0
1,10:25.0,,B. Caboclo makes 2-pt layup from 3 ft (assist by A. Bradley),0,2
1,10:03.0,A. Gordon misses 2-pt jump shot from 14 ft,,0,2
1,10:02.0,,Defensive rebound by M. Conley,0,2
1,9:55.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,0,2
1,9:51.0,Defensive rebound by A. Gordon,,0,2
1,9:42.0,D. Augustin misses 2-pt layup from 4 ft (block by B. Caboclo),,0,2
1,9:42.0,Offensive rebound by Team,,0,2
1,9:35.0,E. Fournier misses 2-pt jump shot from 7 ft (block by J. Valančiūnas),,0,2
1,9:32.0,Offensive rebound by E. Fournier,,0,2
1,9:31.0,Personal foul by J. Holiday (drawn by J. Isaac),,0,2
1,9:20.0,N. Vučević misses 3-pt jump shot from 25 ft,,0,2
1,9:17.0,,Defensive rebound by J. Holiday,0,2
1,9:08.0,,M. Conley makes 2-pt jump shot from 5 ft,0,4
1,8:55.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by D. Augustin),,3,4
1,8:38.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by J. Valančiūnas),3,6
1,8:16.0,N. Vučević makes 2-pt jump shot from 10 ft,,5,6
1,8:01.0,,B. Caboclo misses 3-pt jump shot from 26 ft,5,6
1,7:58.0,,Offensive rebound by J. Valančiūnas,5,6
1,7:56.0,,J. Valančiūnas makes 2-pt dunk from 1 ft,5,8
1,7:27.0,N. Vučević misses 2-pt hook shot from 5 ft,,5,8
1,7:24.0,Offensive rebound by N. Vučević,,5,8
1,7:24.0,N. Vučević misses 2-pt layup from 3 ft,,5,8
1,7:23.0,,Defensive rebound by J. Valančiūnas,5,8
1,7:13.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by M. Conley),5,10
1,6:57.0,N. Vučević makes 2-pt layup from 3 ft (assist by D. Augustin),,7,10
1,6:43.0,,Shooting foul by E. Fournier (drawn by M. Conley),7,10
1,6:43.0,,Memphis full timeout,7,10
1,6:43.0,,C. Miles enters the game for J. Holiday,7,10
1,6:43.0,,M. Conley makes free throw 1 of 2,7,11
1,6:43.0,,M. Conley makes free throw 2 of 2,7,12
1,6:29.0,N. Vučević misses 2-pt hook shot from 8 ft,,7,12
1,6:26.0,,Defensive rebound by J. Valančiūnas,7,12
1,6:19.0,,M. Conley makes 2-pt jump shot from 16 ft,7,14
1,6:05.0,A. Gordon misses 2-pt jump shot from 12 ft,,7,14
1,6:02.0,,Defensive rebound by B. Caboclo,7,14
1,5:45.0,,M. Conley misses 2-pt jump shot from 9 ft,7,14
1,5:42.0,Defensive rebound by J. Isaac,,7,14
1,5:32.0,A. Gordon misses 3-pt jump shot from 23 ft,,7,14
1,5:31.0,Offensive rebound by N. Vučević,,7,14
1,5:30.0,A. Gordon misses 2-pt jump shot from 11 ft,,7,14
1,5:29.0,Offensive rebound by J. Isaac,,7,14
1,5:28.0,J. Isaac misses 2-pt layup from 2 ft,,7,14
1,5:25.0,,Defensive rebound by M. Conley,7,14
1,5:17.0,,Turnover by J. Valančiūnas (traveling),7,14
1,5:17.0,W. Iwundu enters the game for A. Gordon,,7,14
1,5:17.0,,J. Noah enters the game for B. Caboclo,7,14
1,5:17.0,,C. Parsons enters the game for J. Valančiūnas,7,14
1,5:02.0,N. Vučević misses 3-pt jump shot from 26 ft,,7,14
1,4:58.0,,Defensive rebound by M. Conley,7,14
1,4:55.0,,J. Noah makes 2-pt layup from 1 ft (assist by M. Conley),7,16
1,4:30.0,N. Vučević misses 2-pt jump shot from 14 ft,,7,16
1,4:26.0,,Defensive rebound by C. Parsons,7,16
1,4:16.0,,Turnover by C. Parsons (bad pass),7,16
1,4:16.0,,D. Wright enters the game for M. Conley,7,16
1,4:02.0,N. Vučević makes 2-pt hook shot from 6 ft (assist by D. Augustin),,9,16
1,3:52.0,,C. Miles makes 3-pt jump shot from 24 ft (assist by J. Noah),9,19
1,3:33.0,D. Augustin misses 2-pt jump shot from 19 ft,,9,19
1,3:29.0,,Defensive rebound by J. Noah,9,19
1,3:18.0,,Shooting foul by J. Isaac (drawn by C. Miles),9,19
1,3:18.0,,C. Miles makes free throw 1 of 2,9,20
1,3:18.0,J. Grant enters the game for D. Augustin,,9,20
1,3:18.0,T. Ross enters the game for E. Fournier,,9,20
1,3:18.0,,T. Dorsey enters the game for A. Bradley,9,20
1,3:18.0,,C. Miles makes free throw 2 of 2,9,21
1,3:05.0,J. Isaac misses 3-pt jump shot from 26 ft,,9,21
1,3:01.0,,Defensive rebound by T. Dorsey,9,21
1,2:54.0,,C. Miles misses 3-pt jump shot from 25 ft,9,21
1,2:50.0,Defensive rebound by J. Grant,,9,21
1,2:41.0,J. Isaac makes 3-pt jump shot from 22 ft (assist by N. Vučević),,12,21
1,2:28.0,,Personal foul by J. Grant (drawn by J. Noah),12,21
1,2:28.0,Orlando full timeout,,12,21
1,2:28.0,K. Birch enters the game for J. Isaac,,12,21
1,2:28.0,A. Gordon enters the game for N. Vučević,,12,21
1,2:19.0,,C. Miles makes 2-pt jump shot from 15 ft (assist by C. Parsons),12,23
1,2:00.0,T. Ross misses 2-pt jump shot from 13 ft,,12,23
1,1:58.0,,Defensive rebound by J. Noah,12,23
1,1:43.0,,T. Dorsey misses 3-pt jump shot from 26 ft,12,23
1,1:40.0,,Offensive rebound by C. Miles,12,23
1,1:34.0,,C. Miles misses 3-pt jump shot from 25 ft,12,23
1,1:29.0,Defensive rebound by W. Iwundu,,12,23
1,1:26.0,Shooting foul by C. Parsons (drawn by W. Iwundu),,12,23
1,1:26.0,W. Iwundu makes free throw 1 of 2,,13,23
1,1:26.0,W. Iwundu makes free throw 2 of 2,,14,23
1,1:05.0,,C. Parsons makes 3-pt jump shot from 27 ft (assist by D. Wright),14,26
1,0:43.0,Orlando full timeout,,14,26
1,0:41.0,T. Ross makes 3-pt jump shot from 26 ft (assist by A. Gordon),,17,26
1,0:26.0,,Turnover by T. Dorsey (traveling),17,26
1,0:07.0,Turnover by T. Ross (traveling),,17,26
1,0:00.0,,Offensive rebound by Team,17,26
1,0:02.0,,D. Wright misses 2-pt layup from 4 ft,17,26
2,11:47.0,,C. Parsons makes 2-pt layup from 3 ft,17,28
2,11:26.0,Shooting foul by J. Noah (drawn by K. Birch),,17,28
2,11:26.0,K. Birch makes free throw 1 of 2,,18,28
2,11:26.0,K. Birch makes free throw 2 of 2,,19,28
2,11:15.0,,Turnover by C. Parsons (bad pass; steal by K. Birch),19,28
2,11:09.0,Turnover by A. Gordon (bad pass; steal by C. Miles),,19,28
2,10:58.0,,Turnover by C. Miles (lost ball; steal by T. Ross),19,28
2,10:54.0,A. Gordon makes 2-pt dunk at rim (assist by T. Ross),,21,28
2,10:42.0,,C. Miles misses 2-pt layup from 3 ft,21,28
2,10:40.0,Defensive rebound by E. Fournier,,21,28
2,10:35.0,K. Birch makes 2-pt dunk from 1 ft (assist by E. Fournier),,23,28
2,10:35.0,,Memphis full timeout,23,28
2,10:35.0,,A. Bradley enters the game for T. Dorsey,23,28
2,10:35.0,,M. Conley enters the game for D. Wright,23,28
2,10:17.0,,Shooting foul by K. Birch (drawn by J. Noah),23,28
2,10:17.0,,J. Noah makes free throw 1 of 2,23,29
2,10:17.0,,J. Noah misses free throw 2 of 2,23,29
2,10:15.0,Defensive rebound by K. Birch,,23,29
2,10:03.0,T. Ross makes 2-pt dunk from 1 ft (assist by A. Gordon),,25,29
2,9:43.0,,A. Bradley misses 2-pt jump shot from 16 ft,25,29
2,9:39.0,Defensive rebound by T. Ross,,25,29
2,9:29.0,A. Gordon misses 3-pt jump shot from 24 ft,,25,29
2,9:23.0,Offensive rebound by K. Birch,,25,29
2,9:22.0,T. Ross misses 3-pt jump shot from 29 ft,,25,29
2,9:18.0,Offensive rebound by J. Grant,,25,29
2,9:16.0,K. Birch makes 2-pt dunk at rim (assist by A. Gordon),,27,29
2,8:59.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by C. Miles),27,32
2,8:45.0,E. Fournier misses 3-pt jump shot from 25 ft,,27,32
2,8:42.0,,Defensive rebound by M. Conley,27,32
2,8:39.0,,M. Conley makes 2-pt layup from 4 ft,27,34
2,8:39.0,,Shooting foul by E. Fournier (drawn by M. Conley),27,34
