QUARTER,TIME_REMAINING,ORLANDO_ACTION,UTAH_ACTION,ORLANDO_SCORE,UTAH_SCORE
1,11:42.0,,J. Ingles misses 2-pt jump shot from 16 ft,0,0
1,11:39.0,Defensive rebound by J. Isaac,,0,0
1,11:25.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by A. Gordon),,3,0
1,11:12.0,,J. Ingles makes 2-pt layup from 2 ft (assist by R. Gobert),3,2
1,10:54.0,Shooting foul by D. Favors (drawn by J. Isaac),,3,2
1,10:54.0,J. Isaac makes free throw 1 of 2,,4,2
1,10:54.0,J. Isaac misses free throw 2 of 2,,4,2
1,10:52.0,,Defensive rebound by R. Gobert,4,2
1,10:44.0,,J. Ingles misses 2-pt layup from 3 ft,4,2
1,10:43.0,,Offensive rebound by Team,4,2
1,10:34.0,,Turnover by D. Favors (traveling),4,2
1,10:20.0,E. Fournier misses 3-pt jump shot from 23 ft,,4,2
1,10:17.0,,Defensive rebound by R. Gobert,4,2
1,10:09.0,,R. Neto misses 2-pt jump shot from 12 ft,4,2
1,10:06.0,Defensive rebound by A. Gordon,,4,2
1,9:56.0,N. Vučević makes 2-pt jump shot from 18 ft,,6,2
1,9:35.0,,D. Favors makes 2-pt dunk from 2 ft (assist by R. Gobert),6,4
1,9:14.0,Turnover by N. Vučević (3 sec),,6,4
1,9:00.0,,Shooting foul by E. Fournier (drawn by D. Mitchell),6,4
1,9:00.0,,D. Mitchell makes free throw 1 of 2,6,5
1,9:00.0,,D. Mitchell misses free throw 2 of 2,6,5
1,8:57.0,Defensive rebound by N. Vučević,,6,5
1,8:42.0,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),,8,5
1,8:31.0,,J. Ingles misses 2-pt layup from 3 ft,8,5
1,8:30.0,,Offensive rebound by Team,8,5
1,8:22.0,,R. Gobert misses 2-pt layup from 2 ft,8,5
1,8:20.0,Defensive rebound by N. Vučević,,8,5
1,8:14.0,D. Augustin makes 2-pt jump shot from 10 ft,,10,5
1,8:12.0,,Utah full timeout,10,5
1,8:12.0,,R. O'Neale enters the game for R. Neto,10,5
1,7:59.0,,D. Mitchell misses 2-pt layup from 3 ft (block by J. Isaac),10,5
1,7:56.0,Defensive rebound by A. Gordon,,10,5
1,7:55.0,J. Isaac misses 2-pt layup from 1 ft (block by R. O'Neale),,10,5
1,7:55.0,Offensive rebound by Team,,10,5
1,7:55.0,,J. Crowder enters the game for D. Favors,10,5
1,7:50.0,A. Gordon makes 3-pt jump shot from 22 ft (assist by N. Vučević),,13,5
1,7:41.0,,D. Mitchell makes 2-pt jump shot from 10 ft,13,7
1,7:29.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by D. Augustin),,16,7
1,7:00.0,,Turnover by R. O'Neale (bad pass; steal by N. Vučević),16,7
1,6:55.0,Turnover by D. Augustin (bad pass),,16,7
1,6:40.0,,D. Mitchell misses 2-pt jump shot from 16 ft,16,7
1,6:35.0,Defensive rebound by A. Gordon,,16,7
1,6:27.0,N. Vučević makes 3-pt jump shot from 24 ft (assist by A. Gordon),,19,7
1,6:03.0,,Turnover by J. Ingles (bad pass; steal by E. Fournier),19,7
1,6:00.0,D. Augustin misses 3-pt jump shot from 25 ft,,19,7
