QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
1,11:41.0,,D. Powell misses 2-pt layup from 1 ft,0,0
1,11:39.0,Defensive rebound by D. White,,0,0
1,11:17.0,L. Aldridge misses 3-pt jump shot from 23 ft,,0,0
1,11:14.0,Offensive rebound by D. White,,0,0
1,11:09.0,D. White makes 2-pt jump shot from 22 ft (assist by J. Poeltl),,2,0
1,10:49.0,,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by L. Dončić),2,2
1,10:29.0,B. Forbes makes 2-pt jump shot from 18 ft (assist by J. Poeltl),,4,2
1,10:19.0,,J. Brunson makes 2-pt jump shot from 14 ft,4,4
1,10:04.0,L. Aldridge misses 2-pt jump shot from 12 ft,,4,4
1,10:04.0,,Defensive rebound by D. Finney-Smith,4,4
1,9:54.0,,Turnover by L. Dončić (bad pass; steal by J. Poeltl),4,4
1,9:45.0,B. Forbes misses 3-pt jump shot from 25 ft,,4,4
1,9:41.0,,Defensive rebound by D. Powell,4,4
1,9:27.0,,J. Brunson misses 2-pt jump shot from 10 ft,4,4
1,9:23.0,Defensive rebound by L. Aldridge,,4,4
1,9:17.0,D. White makes 2-pt jump shot from 20 ft,,6,4
1,8:59.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Brunson),6,7
1,8:39.0,D. White makes 3-pt jump shot from 25 ft (assist by B. Forbes),,9,7
1,8:16.0,,L. Dončić misses 2-pt hook shot from 4 ft,9,7
1,8:13.0,Defensive rebound by D. DeRozan,,9,7
1,8:06.0,D. DeRozan misses 2-pt jump shot from 17 ft,,9,7
1,8:04.0,,Defensive rebound by D. Finney-Smith,9,7
1,7:58.0,,Shooting foul by J. Poeltl (drawn by D. Powell),9,7
1,7:58.0,,D. Powell makes free throw 1 of 2,9,8
1,7:58.0,,D. Powell makes free throw 2 of 2,9,9
1,7:41.0,D. DeRozan makes 2-pt jump shot from 10 ft (assist by L. Aldridge),,11,9
1,7:25.0,,D. Powell misses 2-pt layup from 3 ft,11,9
1,7:23.0,,Offensive rebound by D. Finney-Smith,11,9
1,7:20.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),11,12
1,6:59.0,L. Aldridge misses 2-pt hook shot from 3 ft,,11,12
1,6:58.0,Offensive rebound by L. Aldridge,,11,12
1,6:56.0,L. Aldridge makes 2-pt layup from 1 ft,,13,12
1,6:36.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),13,15
1,6:35.0,San Antonio full timeout,,13,15
1,6:35.0,,T. Hardaway enters the game for L. Dončić,13,15
1,6:24.0,D. DeRozan misses 2-pt jump shot from 10 ft,,13,15
1,6:21.0,,Defensive rebound by D. Nowitzki,13,15
1,6:13.0,,Personal foul by D. White (drawn by T. Hardaway),13,15
1,6:05.0,,T. Hardaway misses 2-pt jump shot from 8 ft,13,15
1,6:05.0,,Offensive rebound by Team,13,15
1,6:05.0,M. Belinelli enters the game for B. Forbes,,13,15
1,6:05.0,P. Mills enters the game for D. White,,13,15
1,5:56.0,,Turnover by D. Finney-Smith (bad pass; steal by D. DeRozan),13,15
1,5:50.0,P. Mills misses 3-pt jump shot from 23 ft,,13,15
1,5:48.0,Offensive rebound by L. Aldridge,,13,15
1,5:44.0,L. Aldridge misses 2-pt jump shot from 16 ft,,13,15
1,5:42.0,,Defensive rebound by D. Finney-Smith,13,15
1,5:34.0,,J. Brunson makes 2-pt layup from 2 ft,13,17
1,5:12.0,Shooting foul by D. Powell (drawn by L. Aldridge),,13,17
1,5:12.0,L. Aldridge makes free throw 1 of 2,,14,17
1,5:12.0,D. Bertāns enters the game for J. Poeltl,,14,17
1,5:12.0,,M. Kleber enters the game for D. Nowitzki,14,17
1,5:12.0,L. Aldridge makes free throw 2 of 2,,15,17
1,5:02.0,,Shooting foul by L. Aldridge (drawn by D. Powell),15,17
1,5:02.0,,D. Powell makes free throw 1 of 2,15,18
1,5:02.0,,D. Powell makes free throw 2 of 2,15,19
1,4:53.0,,Violation by Team (kicked ball),15,19
1,4:45.0,D. DeRozan makes 2-pt jump shot from 8 ft (assist by P. Mills),,17,19
1,4:30.0,,D. Powell misses 3-pt jump shot from 25 ft,17,19
1,4:27.0,Defensive rebound by D. DeRozan,,17,19
1,4:21.0,D. DeRozan makes 2-pt layup from 1 ft,,19,19
1,4:19.0,,Dallas full timeout,19,19
1,4:19.0,J. Poeltl enters the game for L. Aldridge,,19,19
1,4:19.0,,L. Dončić enters the game for J. Brunson,19,19
1,4:19.0,,J. Jackson enters the game for D. Powell,19,19
1,4:05.0,,T. Hardaway misses 3-pt jump shot from 25 ft,19,19
1,4:03.0,Defensive rebound by J. Poeltl,,19,19
1,3:51.0,P. Mills misses 2-pt layup at rim,,19,19
1,3:49.0,Offensive rebound by J. Poeltl,,19,19
1,3:48.0,J. Poeltl makes 2-pt layup from 1 ft,,21,19
1,3:34.0,,Offensive foul by M. Kleber (drawn by D. DeRozan),21,19
1,3:34.0,,Turnover by M. Kleber (offensive foul),21,19
1,3:25.0,Shooting foul by M. Kleber (drawn by D. DeRozan),,21,19
1,3:25.0,D. DeRozan makes free throw 1 of 2,,22,19
1,3:25.0,,S. Mejri enters the game for M. Kleber,22,19
1,3:25.0,D. DeRozan makes free throw 2 of 2,,23,19
1,3:10.0,,Personal foul by D. DeRozan (drawn by L. Dončić),23,19
1,3:00.0,,J. Jackson misses 3-pt jump shot from 23 ft,23,19
1,2:56.0,Defensive rebound by M. Belinelli,,23,19
1,2:43.0,P. Mills makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,26,19
1,2:33.0,,T. Hardaway makes 2-pt layup from 1 ft,26,21
1,2:15.0,D. DeRozan makes 2-pt jump shot from 15 ft,,28,21
1,2:04.0,,L. Dončić misses 2-pt jump shot from 9 ft,28,21
1,2:02.0,Defensive rebound by D. Bertāns,,28,21
1,1:55.0,M. Belinelli misses 3-pt jump shot from 25 ft,,28,21
1,1:52.0,Offensive rebound by J. Poeltl,,28,21
1,1:50.0,D. DeRozan makes 2-pt jump shot from 12 ft (assist by J. Poeltl),,30,21
1,1:47.0,,Dallas full timeout,30,21
1,1:33.0,,Shooting foul by J. Poeltl (drawn by L. Dončić),30,21
1,1:33.0,,L. Dončić misses free throw 1 of 2,30,21
1,1:33.0,,Offensive rebound by Team,30,21
1,1:33.0,D. Eubanks enters the game for J. Poeltl,,30,21
1,1:33.0,,D. Nowitzki enters the game for D. Finney-Smith,30,21
1,1:33.0,,D. Powell enters the game for S. Mejri,30,21
1,1:33.0,,L. Dončić misses free throw 2 of 2,30,21
1,1:31.0,Defensive rebound by D. Bertāns,,30,21
1,1:19.0,D. DeRozan makes 2-pt layup from 1 ft,,32,21
1,1:09.0,,L. Dončić misses 2-pt layup from 1 ft,32,21
1,1:07.0,Defensive rebound by D. Eubanks,,32,21
1,1:05.0,P. Mills misses 3-pt jump shot from 25 ft,,32,21
1,1:01.0,,Defensive rebound by L. Dončić,32,21
1,0:55.0,,D. Powell misses 3-pt jump shot from 25 ft,32,21
1,0:55.0,Defensive rebound by D. Bertāns,,32,21
1,0:48.0,Personal foul by D. Powell (drawn by D. DeRozan),,32,21
1,0:48.0,,D. Harris enters the game for J. Jackson,32,21
1,0:38.0,D. DeRozan makes 2-pt jump shot from 18 ft (assist by D. Eubanks),,34,21
1,0:23.0,,D. Harris makes 3-pt jump shot from 23 ft (assist by L. Dončić),34,24
1,0:00.0,M. Belinelli misses 3-pt jump shot from 25 ft,,34,24
1,0:00.0,Offensive rebound by Team,,34,24
2,11:45.0,D. Bertāns misses 3-pt jump shot from 23 ft,,34,24
2,11:43.0,,Defensive rebound by T. Hardaway,34,24
2,11:24.0,,D. Harris misses 3-pt jump shot from 25 ft,34,24
2,11:21.0,Defensive rebound by D. Eubanks,,34,24
2,11:16.0,Offensive foul by D. Eubanks (drawn by M. Kleber),,34,24
2,11:16.0,Turnover by D. Eubanks (offensive foul),,34,24
2,11:03.0,,L. Dončić misses 3-pt jump shot from 25 ft,34,24
2,10:59.0,Defensive rebound by D. Eubanks,,34,24
2,10:48.0,D. Eubanks misses 2-pt layup from 3 ft (block by L. Dončić),,34,24
2,10:45.0,,Defensive rebound by T. Hardaway,34,24
2,10:39.0,,T. Hardaway misses 3-pt jump shot from 26 ft,34,24
2,10:35.0,Defensive rebound by D. Bertāns,,34,24
2,10:29.0,Personal foul by D. Harris (drawn by B. Forbes),,34,24
2,10:29.0,L. Aldridge enters the game for D. Eubanks,,34,24
2,10:29.0,,J. Brunson enters the game for L. Dončić,34,24
2,10:24.0,D. White misses 3-pt jump shot from 25 ft,,34,24
2,10:21.0,Offensive rebound by B. Forbes,,34,24
2,10:15.0,B. Forbes makes 2-pt jump shot from 15 ft (assist by L. Aldridge),,36,24
2,9:58.0,,Personal foul by B. Forbes (drawn by D. Harris),36,24
2,9:58.0,,D. Powell enters the game for D. Nowitzki,36,24
2,9:52.0,,J. Brunson misses 3-pt jump shot from 23 ft,36,24
2,9:50.0,Defensive rebound by B. Forbes,,36,24
2,9:46.0,Personal foul by D. Harris (drawn by B. Forbes),,36,24
2,9:46.0,J. Poeltl enters the game for D. Bertāns,,36,24
2,9:33.0,L. Aldridge makes 2-pt hook shot from 7 ft,,38,24
2,9:18.0,,J. Brunson misses 3-pt jump shot from 25 ft,38,24
2,9:18.0,Defensive rebound by J. Poeltl,,38,24
2,9:02.0,L. Aldridge misses 2-pt jump shot from 12 ft,,38,24
2,8:59.0,,Defensive rebound by T. Hardaway,38,24
2,8:54.0,,J. Brunson makes 2-pt jump shot from 5 ft,38,26
2,8:24.0,D. White makes 2-pt jump shot from 17 ft,,40,26
2,8:05.0,,D. Powell makes 2-pt dunk at rim (assist by D. Harris),40,28
2,7:50.0,M. Belinelli misses 3-pt jump shot from 24 ft,,40,28
2,7:47.0,,Defensive rebound by D. Powell,40,28
2,7:31.0,,T. Hardaway misses 2-pt jump shot from 19 ft,40,28
2,7:29.0,Defensive rebound by B. Forbes,,40,28
2,7:17.0,L. Aldridge makes 2-pt hook shot from 6 ft,,42,28
2,6:52.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by D. Harris),42,31
2,6:43.0,San Antonio full timeout,,42,31
2,6:43.0,D. DeRozan enters the game for M. Belinelli,,42,31
2,6:43.0,,D. Finney-Smith enters the game for T. Hardaway,42,31
2,6:38.0,Turnover by D. White (out of bounds lost ball),,42,31
2,6:21.0,,D. Powell misses 2-pt layup from 2 ft,42,31
2,6:17.0,,Offensive rebound by D. Finney-Smith,42,31
2,6:17.0,,D. Finney-Smith makes 2-pt layup from 1 ft,42,33
2,6:01.0,D. White makes 3-pt jump shot from 24 ft (assist by B. Forbes),,45,33
2,5:40.0,,J. Brunson makes 2-pt hook shot from 5 ft,45,35
2,5:28.0,D. White makes 2-pt jump shot from 9 ft,,47,35
2,5:14.0,,D. Powell misses 3-pt jump shot from 26 ft,47,35
2,5:14.0,Defensive rebound by B. Forbes,,47,35
2,5:02.0,D. White misses 2-pt jump shot from 12 ft,,47,35
2,5:00.0,,Defensive rebound by J. Brunson,47,35
2,4:47.0,,D. Harris makes 2-pt layup at rim (assist by M. Kleber),47,37
2,4:24.0,D. White makes 2-pt jump shot from 8 ft,,49,37
2,4:10.0,,Shooting foul by D. White (drawn by J. Brunson),49,37
2,4:10.0,,J. Brunson makes free throw 1 of 2,49,38
2,4:10.0,P. Mills enters the game for D. White,,49,38
2,4:10.0,,L. Dončić enters the game for D. Harris,49,38
2,4:10.0,,J. Brunson makes free throw 2 of 2,49,39
2,3:54.0,D. DeRozan makes 2-pt jump shot from 10 ft,,51,39
2,3:54.0,Shooting foul by D. Finney-Smith (drawn by D. DeRozan),,51,39
2,3:54.0,D. DeRozan makes free throw 1 of 1,,52,39
2,3:43.0,,L. Dončić misses 2-pt jump shot from 6 ft,52,39
2,3:40.0,,Offensive rebound by D. Powell,52,39
2,3:35.0,,M. Kleber misses 3-pt jump shot from 26 ft,52,39
2,3:32.0,Defensive rebound by D. DeRozan,,52,39
2,3:25.0,B. Forbes makes 2-pt jump shot from 10 ft (assist by P. Mills),,54,39
2,3:11.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Dončić),54,42
2,2:48.0,L. Aldridge makes 2-pt jump shot from 10 ft (assist by P. Mills),,56,42
2,2:33.0,,J. Brunson makes 3-pt jump shot from 22 ft (assist by M. Kleber),56,45
2,2:18.0,Turnover by P. Mills (bad pass),,56,45
2,2:18.0,,Dallas full timeout,56,45
2,2:18.0,M. Belinelli enters the game for B. Forbes,,56,45
2,2:18.0,D. Bertāns enters the game for J. Poeltl,,56,45
2,2:04.0,,L. Dončić misses 2-pt jump shot from 13 ft,56,45
2,2:02.0,Defensive rebound by L. Aldridge,,56,45
2,1:57.0,Turnover by M. Belinelli (bad pass),,56,45
2,1:42.0,,Personal foul by P. Mills (drawn by J. Brunson),56,45
2,1:33.0,,L. Dončić misses 2-pt layup from 5 ft,56,45
2,1:31.0,,Offensive rebound by D. Powell,56,45
2,1:29.0,,J. Brunson makes 3-pt jump shot from 23 ft (assist by D. Powell),56,48
2,1:09.0,L. Aldridge makes 2-pt hook shot from 9 ft (assist by M. Belinelli),,58,48
2,0:59.0,,L. Dončić makes 2-pt jump shot from 10 ft,58,50
2,0:47.0,D. Bertāns makes 2-pt dunk from 1 ft (assist by D. DeRozan),,60,50
2,0:31.0,,L. Dončić makes 3-pt jump shot from 28 ft,60,53
2,0:15.0,D. DeRozan misses 2-pt layup from 3 ft (block by L. Dončić),,60,53
2,0:12.0,,Defensive rebound by M. Kleber,60,53
2,0:02.0,,Turnover by L. Dončić (lost ball; steal by L. Aldridge),60,53
2,0:00.0,P. Mills misses 2-pt layup from 1 ft,,60,53
2,0:00.0,Offensive rebound by Team,,60,53
3,11:41.0,D. DeRozan misses 2-pt jump shot from 11 ft,,60,53
3,11:38.0,,Defensive rebound by D. Nowitzki,60,53
3,11:21.0,,Turnover by L. Dončić (lost ball; steal by D. DeRozan),60,53
3,11:14.0,L. Aldridge misses 2-pt jump shot from 18 ft,,60,53
3,11:11.0,,Defensive rebound by L. Dončić,60,53
3,11:05.0,,L. Dončić misses 2-pt layup from 4 ft (block by J. Poeltl),60,53
3,11:02.0,Defensive rebound by J. Poeltl,,60,53
3,10:45.0,B. Forbes misses 2-pt jump shot from 8 ft,,60,53
3,10:42.0,,Defensive rebound by L. Dončić,60,53
3,10:38.0,,D. Finney-Smith misses 3-pt jump shot from 27 ft,60,53
3,10:37.0,Defensive rebound by Team,,60,53
3,10:19.0,L. Aldridge makes 2-pt jump shot from 12 ft (assist by D. White),,62,53
3,10:08.0,,L. Dončić misses 3-pt jump shot from 25 ft,62,53
3,10:08.0,,Offensive rebound by D. Powell,62,53
3,9:54.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,62,53
3,9:53.0,,Offensive rebound by Team,62,53
