QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
3,9:53.0,Loose ball foul by D. DeRozan (drawn by L. Dončić),,62,53
3,9:43.0,,Turnover by J. Brunson (bad pass),62,53
3,9:26.0,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. White),,64,53
3,9:08.0,,D. Powell makes 2-pt jump shot from 7 ft,64,55
3,8:53.0,J. Poeltl makes 2-pt layup from 2 ft (assist by D. White),,66,55
3,8:34.0,,Turnover by L. Dončić (bad pass; steal by J. Poeltl),66,55
3,8:26.0,D. White misses 2-pt layup at rim,,66,55
3,8:23.0,,Defensive rebound by J. Brunson,66,55
3,8:18.0,,J. Brunson makes 2-pt jump shot from 7 ft,66,57
3,8:02.0,D. DeRozan misses 2-pt jump shot from 17 ft,,66,57
3,8:00.0,,Defensive rebound by J. Brunson,66,57
3,7:55.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by J. Brunson),66,60
3,7:53.0,San Antonio full timeout,,66,60
3,7:53.0,D. Bertāns enters the game for J. Poeltl,,66,60
3,7:53.0,,M. Kleber enters the game for D. Nowitzki,66,60
3,7:36.0,D. White misses 2-pt jump shot from 21 ft,,66,60
3,7:33.0,,Defensive rebound by D. Powell,66,60
3,7:23.0,,J. Brunson makes 3-pt jump shot from 24 ft (assist by L. Dončić),66,63
3,7:23.0,,Violation by Team (kicked ball),66,63
3,7:01.0,D. White makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,69,63
3,6:41.0,,Shooting foul by B. Forbes (drawn by L. Dončić),69,63
3,6:41.0,,L. Dončić misses free throw 1 of 3,69,63
3,6:41.0,,Offensive rebound by Team,69,63
3,6:41.0,,L. Dončić misses free throw 2 of 3,69,63
3,6:41.0,,Offensive rebound by Team,69,63
3,6:41.0,,L. Dončić misses free throw 3 of 3,69,63
3,6:37.0,Defensive rebound by L. Aldridge,,69,63
3,6:20.0,D. DeRozan makes 2-pt layup from 1 ft,,71,63
3,6:08.0,,L. Dončić makes 2-pt jump shot from 3 ft,71,65
3,5:57.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,73,65
3,5:42.0,,D. Powell misses 2-pt layup from 5 ft (block by D. Bertāns),73,65
3,5:40.0,,Offensive rebound by Team,73,65
3,5:40.0,P. Mills enters the game for D. White,,73,65
3,5:40.0,,T. Hardaway enters the game for L. Dončić,73,65
3,5:35.0,,Shooting foul by P. Mills (drawn by J. Brunson),73,65
3,5:35.0,,J. Brunson makes free throw 1 of 3,73,66
3,5:35.0,,J. Brunson makes free throw 2 of 3,73,67
3,5:35.0,,J. Brunson makes free throw 3 of 3,73,68
3,5:21.0,L. Aldridge makes 2-pt jump shot from 13 ft (assist by D. DeRozan),,75,68
3,5:02.0,,Shooting foul by L. Aldridge (drawn by M. Kleber),75,68
3,5:02.0,,M. Kleber misses free throw 1 of 2,75,68
3,5:02.0,,Offensive rebound by Team,75,68
3,5:02.0,M. Belinelli enters the game for B. Forbes,,75,68
3,5:02.0,,M. Kleber misses free throw 2 of 2,75,68
3,5:00.0,Defensive rebound by D. Bertāns,,75,68
3,4:50.0,Shooting foul by J. Brunson (drawn by D. DeRozan),,75,68
3,4:50.0,D. DeRozan makes free throw 1 of 2,,76,68
3,4:50.0,D. DeRozan makes free throw 2 of 2,,77,68
3,4:30.0,,D. Powell makes 2-pt layup from 1 ft (assist by J. Brunson),77,70
3,4:13.0,D. Bertāns misses 3-pt jump shot from 29 ft,,77,70
3,4:11.0,Offensive rebound by L. Aldridge,,77,70
3,4:10.0,Shooting foul by D. Powell (drawn by L. Aldridge),,77,70
3,4:10.0,L. Aldridge makes free throw 1 of 2,,78,70
3,4:10.0,L. Aldridge makes free throw 2 of 2,,79,70
3,3:59.0,,Personal foul by P. Mills (drawn by J. Brunson),79,70
3,3:59.0,,J. Brunson makes free throw 1 of 2,79,71
3,3:59.0,J. Poeltl enters the game for L. Aldridge,,79,71
3,3:59.0,,D. Nowitzki enters the game for D. Powell,79,71
3,3:59.0,,J. Brunson makes free throw 2 of 2,79,72
3,3:49.0,D. DeRozan misses 2-pt jump shot from 20 ft,,79,72
3,3:47.0,,Defensive rebound by J. Brunson,79,72
3,3:43.0,,J. Brunson misses 3-pt jump shot from 25 ft,79,72
3,3:40.0,Defensive rebound by J. Poeltl,,79,72
3,3:32.0,M. Belinelli misses 3-pt jump shot from 26 ft,,79,72
3,3:29.0,,Defensive rebound by M. Kleber,79,72
3,3:20.0,,T. Hardaway misses 2-pt jump shot from 16 ft,79,72
3,3:16.0,Defensive rebound by J. Poeltl,,79,72
3,3:05.0,Turnover by D. DeRozan (traveling),,79,72
3,3:05.0,Technical foul by D. DeRozan,,79,72
3,3:05.0,,D. Nowitzki misses technical free throw,79,72
3,3:05.0,,Offensive rebound by Team,79,72
3,2:51.0,,T. Hardaway misses 3-pt jump shot from 25 ft,79,72
3,2:48.0,Defensive rebound by M. Belinelli,,79,72
3,2:43.0,M. Belinelli misses 2-pt jump shot from 19 ft,,79,72
3,2:40.0,,Defensive rebound by D. Nowitzki,79,72
3,2:33.0,,T. Hardaway makes 2-pt layup at rim,79,74
3,2:18.0,Turnover by D. DeRozan (bad pass; steal by J. Brunson),,79,74
3,2:01.0,,D. Finney-Smith misses 3-pt jump shot from 25 ft,79,74
3,1:57.0,Defensive rebound by P. Mills,,79,74
3,1:39.0,D. Bertāns misses 2-pt jump shot from 7 ft,,79,74
3,1:37.0,,Defensive rebound by D. Finney-Smith,79,74
3,1:32.0,,T. Hardaway misses 2-pt layup from 1 ft,79,74
3,1:32.0,,Offensive rebound by Team,79,74
3,1:32.0,,Dallas full timeout,79,74
3,1:32.0,D. White enters the game for P. Mills,,79,74
3,1:32.0,,L. Dončić enters the game for J. Brunson,79,74
3,1:18.0,,T. Hardaway misses 2-pt layup from 5 ft,79,74
3,1:18.0,Defensive rebound by Team,,79,74
3,1:18.0,,Loose ball foul by M. Kleber (drawn by M. Belinelli),79,74
3,1:18.0,,D. Harris enters the game for D. Finney-Smith,79,74
3,1:04.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. White),,82,74
3,0:45.0,,L. Dončić misses 3-pt jump shot from 25 ft,82,74
3,0:43.0,Defensive rebound by Team,,82,74
3,0:34.0,D. DeRozan makes 2-pt jump shot from 11 ft,,84,74
3,0:17.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,84,74
3,0:15.0,Defensive rebound by M. Belinelli,,84,74
3,0:08.0,D. White misses 2-pt layup from 2 ft,,84,74
3,0:07.0,,Defensive rebound by L. Dončić,84,74
3,0:00.0,,Turnover by L. Dončić (lost ball; steal by D. White),84,74
4,11:49.0,,Turnover by L. Dončić (bad pass; steal by D. White),84,74
4,11:46.0,B. Forbes misses 3-pt jump shot from 26 ft,,84,74
4,11:42.0,,Defensive rebound by D. Harris,84,74
4,11:35.0,,Personal foul by D. Bertāns (drawn by L. Dončić),84,74
4,11:30.0,,Turnover by L. Dončić (bad pass; steal by D. White),84,74
4,11:24.0,L. Aldridge makes 2-pt dunk at rim (assist by D. White),,86,74
4,11:23.0,,Dallas full timeout,86,74
4,11:05.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by L. Dončić),86,77
4,10:55.0,Offensive foul by L. Aldridge (drawn by M. Kleber),,86,77
4,10:55.0,Turnover by L. Aldridge (offensive foul),,86,77
4,10:55.0,J. Poeltl enters the game for D. Bertāns,,86,77
4,10:42.0,,T. Hardaway misses 3-pt jump shot from 25 ft,86,77
4,10:39.0,Defensive rebound by D. White,,86,77
4,10:24.0,L. Aldridge misses 2-pt jump shot from 13 ft,,86,77
4,10:20.0,,Defensive rebound by T. Hardaway,86,77
4,10:12.0,,Turnover by M. Kleber (bad pass; steal by B. Forbes),86,77
4,10:05.0,Offensive foul by D. White (drawn by D. Harris),,86,77
4,10:05.0,Turnover by D. White (offensive foul),,86,77
4,9:54.0,,D. Harris makes 3-pt jump shot from 25 ft (assist by M. Kleber),86,80
4,9:52.0,San Antonio full timeout,,86,80
4,9:39.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,89,80
4,9:39.0,Shooting foul by T. Hardaway (drawn by M. Belinelli),,89,80
4,9:39.0,M. Belinelli makes free throw 1 of 1,,90,80
4,9:23.0,,D. Harris makes 3-pt jump shot from 24 ft (assist by L. Dončić),90,83
4,8:59.0,M. Belinelli misses 3-pt jump shot from 25 ft,,90,83
4,8:58.0,,Defensive rebound by Team,90,83
4,8:45.0,,L. Dončić makes 2-pt dunk at rim (assist by M. Kleber),90,85
4,8:26.0,L. Aldridge makes 2-pt jump shot from 11 ft (assist by D. White),,92,85
4,8:11.0,,L. Dončić misses 3-pt jump shot from 26 ft,92,85
4,8:10.0,Defensive rebound by Team,,92,85
4,7:53.0,Turnover by L. Aldridge (out of bounds lost ball),,92,85
4,7:53.0,,J. Brunson enters the game for D. Harris,92,85
4,7:43.0,,Personal foul by J. Poeltl (drawn by D. Powell),92,85
4,7:43.0,D. DeRozan enters the game for B. Forbes,,92,85
4,7:43.0,,D. Finney-Smith enters the game for T. Hardaway,92,85
4,7:40.0,,Shooting foul by D. White (drawn by D. Powell),92,85
4,7:40.0,,D. Powell makes free throw 1 of 2,92,86
4,7:40.0,P. Mills enters the game for D. White,,92,86
4,7:40.0,,D. Powell makes free throw 2 of 2,92,87
4,7:24.0,D. DeRozan misses 2-pt jump shot from 13 ft,,92,87
4,7:21.0,,Defensive rebound by M. Kleber,92,87
4,7:11.0,,D. Powell misses 3-pt jump shot from 23 ft,92,87
4,7:09.0,,Offensive rebound by D. Finney-Smith,92,87
4,7:08.0,,Personal foul by D. DeRozan (drawn by L. Dončić),92,87
4,7:08.0,D. Bertāns enters the game for J. Poeltl,,92,87
4,7:04.0,,L. Dončić misses 3-pt jump shot from 24 ft,92,87
4,7:01.0,Defensive rebound by D. Bertāns,,92,87
4,6:52.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,95,87
4,6:51.0,,Dallas full timeout,95,87
4,6:51.0,D. White enters the game for M. Belinelli,,95,87
4,6:51.0,,D. Harris enters the game for L. Dončić,95,87
4,6:35.0,,D. Harris misses 2-pt layup from 3 ft (block by L. Aldridge),95,87
4,6:32.0,,Offensive rebound by M. Kleber,95,87
4,6:31.0,,D. Powell makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),95,89
4,6:31.0,,Shooting foul by P. Mills (drawn by D. Powell),95,89
4,6:31.0,,D. Powell makes free throw 1 of 1,95,90
4,6:20.0,D. DeRozan misses 2-pt jump shot from 13 ft,,95,90
4,6:14.0,,Defensive rebound by D. Harris,95,90
4,6:08.0,,D. Harris misses 3-pt jump shot from 26 ft,95,90
4,6:04.0,Defensive rebound by L. Aldridge,,95,90
4,5:54.0,Turnover by D. DeRozan (offensive foul),,95,90
4,5:54.0,Offensive foul by D. DeRozan (drawn by D. Harris),,95,90
4,5:34.0,,Turnover by D. Harris (bad pass; steal by D. DeRozan),95,90
4,5:16.0,Offensive foul by L. Aldridge (drawn by D. Powell),,95,90
4,5:16.0,Turnover by L. Aldridge (offensive foul),,95,90
4,5:16.0,,L. Dončić enters the game for D. Harris,95,90
4,4:58.0,,M. Kleber makes 2-pt jump shot from 21 ft (assist by D. Finney-Smith),95,92
4,4:57.0,San Antonio full timeout,,95,92
4,4:42.0,Shooting foul by M. Kleber (drawn by D. DeRozan),,95,92
4,4:42.0,D. DeRozan makes free throw 1 of 2,,96,92
4,4:42.0,D. DeRozan makes free throw 2 of 2,,97,92
4,4:20.0,,D. Powell misses 3-pt jump shot from 23 ft,97,92
4,4:18.0,,Offensive rebound by L. Dončić,97,92
4,4:05.0,,Turnover by L. Dončić (bad pass; steal by D. DeRozan),97,92
4,3:50.0,L. Aldridge misses 2-pt jump shot from 16 ft,,97,92
4,3:47.0,,Defensive rebound by D. Powell,97,92
4,3:29.0,,L. Dončić makes 2-pt jump shot from 5 ft,97,94
4,3:07.0,D. Bertāns makes 3-pt jump shot from 23 ft (assist by D. White),,100,94
4,2:46.0,,J. Brunson makes 2-pt layup from 1 ft,100,96
4,2:26.0,D. White makes 2-pt jump shot from 9 ft,,102,96
4,2:11.0,,Shooting foul by D. White (drawn by L. Dončić),102,96
4,2:11.0,,L. Dončić misses free throw 1 of 2,102,96
4,2:11.0,,Offensive rebound by Team,102,96
4,2:11.0,,L. Dončić makes free throw 2 of 2,102,97
4,1:58.0,D. White misses 3-pt jump shot from 26 ft,,102,97
4,1:56.0,,Defensive rebound by J. Brunson,102,97
4,1:49.0,,D. Powell makes 2-pt hook shot from 4 ft (assist by J. Brunson),102,99
4,1:36.0,D. DeRozan makes 2-pt jump shot from 16 ft,,104,99
