QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
1,11:43.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by J. Murray),,2,0
1,11:20.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by D. Dedmon),2,3
1,11:02.0,J. Murray misses 2-pt jump shot from 16 ft,,2,3
1,10:57.0,Offensive rebound by N. Jokić,,2,3
1,10:48.0,Shooting foul by D. Dedmon (drawn by T. Lyles),,2,3
1,10:48.0,T. Lyles makes free throw 1 of 2,,3,3
1,10:48.0,T. Lyles makes free throw 2 of 2,,4,3
1,10:28.0,,K. Bazemore misses 3-pt jump shot from 26 ft,4,3
1,10:26.0,Defensive rebound by T. Lyles,,4,3
1,10:16.0,T. Lyles makes 2-pt jump shot from 8 ft (assist by N. Jokić),,6,3
1,10:03.0,,J. Collins misses 3-pt jump shot from 25 ft,6,3
1,10:00.0,Defensive rebound by J. Hernangómez,,6,3
1,9:54.0,N. Jokić makes 2-pt layup from 2 ft (assist by T. Craig),,8,3
1,9:42.0,,Turnover by T. Young (lost ball; steal by N. Jokić),8,3
1,9:39.0,T. Craig misses 2-pt layup from 2 ft (block by T. Young),,8,3
1,9:39.0,Offensive rebound by Team,,8,3
1,9:32.0,Turnover by J. Murray (lost ball; steal by K. Huerter),,8,3
1,9:29.0,,T. Young misses 2-pt layup from 1 ft (block by J. Hernangómez),8,3
1,9:29.0,,Offensive rebound by Team,8,3
1,9:10.0,,D. Dedmon makes 2-pt layup from 5 ft (assist by K. Bazemore),8,5
1,8:54.0,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by T. Craig),,11,5
1,8:42.0,,J. Collins misses 2-pt dunk from 1 ft,11,5
1,8:40.0,Defensive rebound by J. Hernangómez,,11,5
1,8:27.0,Turnover by J. Murray (bad pass; steal by K. Bazemore),,11,5
1,8:22.0,,J. Collins makes 2-pt dunk from 1 ft (assist by K. Bazemore),11,7
1,8:14.0,Personal foul by K. Bazemore (drawn by N. Jokić),,11,7
1,8:03.0,N. Jokić makes 2-pt layup from 3 ft,,13,7
1,7:54.0,,T. Young misses 2-pt layup from 1 ft (block by T. Craig),13,7
1,7:49.0,,Offensive rebound by J. Collins,13,7
1,7:45.0,,Turnover by K. Bazemore (bad pass; steal by N. Jokić),13,7
1,7:39.0,J. Hernangómez misses 2-pt dunk from 1 ft (block by K. Bazemore),,13,7
1,7:36.0,Offensive rebound by Team,,13,7
1,7:31.0,T. Craig makes 2-pt layup from 1 ft (assist by N. Jokić),,15,7
1,7:31.0,Shooting foul by T. Young (drawn by T. Craig),,15,7
1,7:31.0,,D. Bembry enters the game for K. Bazemore,15,7
1,7:31.0,,A. Len enters the game for D. Dedmon,15,7
1,7:31.0,T. Craig misses free throw 1 of 1,,15,7
1,7:31.0,,Defensive rebound by J. Collins,15,7
1,7:21.0,,T. Young misses 2-pt jump shot from 3 ft (block by T. Craig),15,7
1,7:18.0,Defensive rebound by T. Lyles,,15,7
1,7:15.0,T. Lyles misses 3-pt jump shot from 25 ft,,15,7
1,7:11.0,,Defensive rebound by K. Huerter,15,7
1,7:06.0,,Atlanta full timeout,15,7
1,7:06.0,,J. Adams enters the game for T. Young,15,7
1,6:57.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Bembry),15,9
1,6:43.0,N. Jokić makes 2-pt hook shot from 7 ft (assist by T. Lyles),,17,9
1,6:33.0,,K. Huerter misses 3-pt jump shot from 26 ft,17,9
