QUARTER,TIME_REMAINING,BOSTON_ACTION,SAN ANTONIO_ACTION,BOSTON_SCORE,SAN ANTONIO_SCORE
1,11:44.0,,L. Aldridge misses 2-pt jump shot from 19 ft,0,0
1,11:41.0,Defensive rebound by Team,,0,0
1,11:25.0,J. Tatum misses 2-pt jump shot from 11 ft,,0,0
1,11:22.0,,Defensive rebound by D. White,0,0
1,11:11.0,,B. Forbes makes 2-pt jump shot from 17 ft (assist by L. Aldridge),0,2
1,11:00.0,K. Irving makes 2-pt jump shot from 9 ft,,2,2
1,10:43.0,,Turnover by D. White (lost ball; steal by A. Horford),2,2
1,10:40.0,K. Irving makes 3-pt jump shot from 27 ft,,5,2
1,10:19.0,,L. Aldridge misses 2-pt jump shot from 10 ft,5,2
1,10:16.0,,Offensive rebound by J. Poeltl,5,2
1,10:13.0,,B. Forbes misses 2-pt jump shot from 12 ft,5,2
1,10:10.0,,Offensive rebound by Team,5,2
1,10:06.0,,D. DeRozan misses 2-pt jump shot from 8 ft,5,2
1,10:02.0,Defensive rebound by A. Horford,,5,2
1,9:53.0,M. Morris makes 2-pt layup from 4 ft (assist by A. Horford),,7,2
1,9:53.0,Shooting foul by J. Poeltl (drawn by M. Morris),,7,2
1,9:53.0,M. Morris makes free throw 1 of 1,,8,2
1,9:43.0,,Personal foul by M. Smart (drawn by D. DeRozan),8,2
1,9:34.0,,B. Forbes misses 3-pt jump shot from 25 ft,8,2
1,9:31.0,Defensive rebound by J. Tatum,,8,2
1,9:28.0,K. Irving misses 3-pt jump shot from 27 ft,,8,2
1,9:24.0,,Defensive rebound by J. Poeltl,8,2
1,9:12.0,,Offensive foul by D. DeRozan (drawn by M. Smart),8,2
1,9:12.0,,Turnover by D. DeRozan (offensive foul),8,2
1,9:03.0,J. Tatum misses 3-pt jump shot from 27 ft,,8,2
1,8:58.0,Offensive rebound by K. Irving,,8,2
1,8:58.0,Violation by Team (kicked ball),,8,2
1,8:39.0,,D. DeRozan makes 2-pt jump shot from 12 ft,8,4
1,8:14.0,M. Morris misses 2-pt jump shot from 11 ft,,8,4
1,8:10.0,,Defensive rebound by J. Poeltl,8,4
1,8:05.0,,B. Forbes makes 3-pt jump shot from 27 ft,8,7
1,7:52.0,M. Smart makes 2-pt layup from 6 ft (assist by A. Horford),,10,7
1,7:36.0,,D. DeRozan misses 2-pt jump shot from 8 ft,10,7
1,7:36.0,Defensive rebound by Team,,10,7
1,7:27.0,M. Morris misses 2-pt layup from 5 ft (block by L. Aldridge),,10,7
1,7:22.0,,Defensive rebound by D. DeRozan,10,7
1,7:12.0,,L. Aldridge misses 2-pt jump shot from 11 ft,10,7
1,7:05.0,Defensive rebound by K. Irving,,10,7
1,6:57.0,A. Horford misses 2-pt layup from 7 ft (block by L. Aldridge),,10,7
1,6:53.0,,Defensive rebound by J. Poeltl,10,7
1,6:52.0,,Turnover by J. Poeltl (offensive foul),10,7
1,6:52.0,,Offensive foul by J. Poeltl (drawn by J. Tatum),10,7
1,6:52.0,,San Antonio full timeout,10,7
1,6:52.0,,D. Bertāns enters the game for J. Poeltl,10,7
1,6:49.0,J. Tatum makes 2-pt dunk from 4 ft (assist by K. Irving),,12,7
1,6:36.0,,D. DeRozan misses 2-pt jump shot from 4 ft (block by J. Tatum),12,7
1,6:36.0,,Offensive rebound by Team,12,7
1,6:28.0,,D. White makes 2-pt layup from 6 ft (assist by D. DeRozan),12,9
1,6:04.0,J. Tatum misses 3-pt jump shot from 27 ft,,12,9
1,6:00.0,,Defensive rebound by D. DeRozan,12,9
1,5:54.0,,L. Aldridge misses 2-pt hook shot from 6 ft,12,9
1,5:51.0,,Offensive rebound by L. Aldridge,12,9
1,5:49.0,,L. Aldridge misses 2-pt layup from 5 ft,12,9
1,5:49.0,,Offensive rebound by D. Bertāns,12,9
1,5:48.0,,D. Bertāns misses 2-pt layup from 1 ft,12,9
1,5:48.0,,Offensive rebound by D. Bertāns,12,9
1,5:41.0,,D. DeRozan misses 2-pt jump shot from 17 ft,12,9
