QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
1,11:42.0,N. Mirotić makes 2-pt jump shot from 19 ft (assist by K. Middleton),,2,0
1,11:30.0,,K. Irving misses 2-pt layup from 1 ft,2,0
1,11:28.0,,Offensive rebound by K. Irving,2,0
1,11:26.0,,K. Irving makes 2-pt jump shot from 11 ft,2,2
1,11:09.0,Shooting foul by K. Irving (drawn by G. Antetokounmpo),,2,2
1,11:09.0,G. Antetokounmpo misses free throw 1 of 2,,2,2
1,11:09.0,Offensive rebound by Team,,2,2
1,11:09.0,G. Antetokounmpo makes free throw 2 of 2,,3,2
1,10:56.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by M. Morris),3,5
1,10:39.0,K. Middleton misses 3-pt jump shot from 26 ft,,3,5
1,10:37.0,,Defensive rebound by K. Irving,3,5
1,10:27.0,,Turnover by J. Tatum (bad pass; steal by K. Middleton),3,5
1,10:22.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by K. Middleton),,5,5
1,10:07.0,,Turnover by K. Irving (bad pass),5,5
1,9:49.0,G. Antetokounmpo makes 2-pt hook shot from 9 ft,,7,5
1,9:37.0,,A. Horford misses 3-pt jump shot from 27 ft,7,5
1,9:35.0,Defensive rebound by G. Antetokounmpo,,7,5
1,9:29.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,7,5
1,9:27.0,,Defensive rebound by J. Tatum,7,5
1,9:19.0,,J. Brown makes 2-pt layup from 1 ft (assist by J. Tatum),7,7
1,9:04.0,N. Mirotić misses 3-pt jump shot from 26 ft,,7,7
1,9:02.0,,Defensive rebound by J. Brown,7,7
1,8:55.0,,Personal foul by E. Bledsoe (drawn by J. Brown),7,7
1,8:46.0,,J. Brown makes 2-pt jump shot from 9 ft (assist by J. Tatum),7,9
1,8:36.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,7,9
1,8:34.0,,Defensive rebound by J. Tatum,7,9
1,8:16.0,,J. Tatum makes 2-pt jump shot from 19 ft (assist by K. Irving),7,11
1,7:57.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,9,11
1,7:57.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,9,11
1,7:57.0,G. Hill enters the game for E. Bledsoe,,9,11
1,7:57.0,G. Antetokounmpo makes free throw 1 of 1,,10,11
1,7:49.0,,Personal foul by K. Middleton (drawn by J. Tatum),10,11
1,7:34.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Tatum),10,13
1,7:32.0,Milwaukee full timeout,,10,13
1,7:32.0,E. Bledsoe enters the game for K. Middleton,,10,13
1,7:14.0,B. Lopez misses 2-pt dunk from 1 ft,,10,13
1,7:12.0,,Defensive rebound by J. Brown,10,13
1,7:01.0,,K. Irving misses 2-pt jump shot from 10 ft,10,13
1,6:59.0,Defensive rebound by E. Bledsoe,,10,13
1,6:52.0,N. Mirotić misses 3-pt jump shot from 28 ft,,10,13
1,6:50.0,,Defensive rebound by Team,10,13
1,6:50.0,E. İlyasova enters the game for B. Lopez,,10,13
1,6:50.0,,G. Hayward enters the game for J. Tatum,10,13
1,6:38.0,,K. Irving misses 3-pt jump shot from 23 ft,10,13
1,6:36.0,Defensive rebound by E. İlyasova,,10,13
1,6:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,12,13
1,6:16.0,,A. Horford makes 2-pt layup from 2 ft (assist by K. Irving),12,15
1,6:16.0,,Shooting foul by G. Antetokounmpo (drawn by A. Horford),12,15
1,6:16.0,K. Middleton enters the game for N. Mirotić,,12,15
1,6:16.0,,M. Smart enters the game for J. Brown,12,15
1,6:16.0,,A. Horford makes free throw 1 of 1,12,16
1,6:04.0,E. Bledsoe misses 2-pt jump shot from 19 ft,,12,16
1,6:02.0,,Defensive rebound by A. Horford,12,16
1,5:57.0,,K. Irving misses 3-pt jump shot from 26 ft,12,16
1,5:55.0,,Offensive rebound by M. Morris,12,16
1,5:47.0,,K. Irving makes 2-pt layup from 1 ft (assist by A. Horford),12,18
1,5:36.0,Turnover by K. Middleton (lost ball; steal by K. Irving),,12,18
1,5:28.0,,M. Smart misses 3-pt jump shot from 26 ft,12,18
1,5:26.0,Defensive rebound by K. Middleton,,12,18
1,5:07.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. İlyasova),,15,18
1,4:47.0,,Turnover by M. Smart (bad pass; steal by G. Antetokounmpo),15,18
1,4:42.0,Turnover by E. Bledsoe (bad pass),,15,18
1,4:42.0,P. Connaughton enters the game for E. Bledsoe,,15,18
1,4:28.0,,K. Irving misses 2-pt layup from 1 ft,15,18
1,4:26.0,,Offensive rebound by K. Irving,15,18
1,4:24.0,,K. Irving misses 2-pt jump shot from 11 ft,15,18
1,4:22.0,Defensive rebound by P. Connaughton,,15,18
1,4:13.0,K. Middleton misses 2-pt jump shot from 9 ft,,15,18
1,4:10.0,,Defensive rebound by M. Morris,15,18
1,4:05.0,,Shooting foul by G. Hill (drawn by M. Morris),15,18
1,4:05.0,,M. Morris makes free throw 1 of 2,15,19
1,4:05.0,B. Lopez enters the game for G. Antetokounmpo,,15,19
1,4:05.0,,A. Baynes enters the game for A. Horford,15,19
1,4:05.0,,M. Morris makes free throw 2 of 2,15,20
1,3:49.0,E. İlyasova misses 2-pt layup from 2 ft,,15,20
1,3:48.0,,Defensive rebound by G. Hayward,15,20
1,3:43.0,,M. Smart misses 3-pt jump shot from 25 ft,15,20
1,3:40.0,Defensive rebound by K. Middleton,,15,20
1,3:22.0,E. İlyasova makes 2-pt layup from 4 ft (assist by G. Hill),,17,20
1,3:05.0,,M. Morris makes 2-pt jump shot from 8 ft (assist by M. Smart),17,22
1,2:51.0,E. İlyasova misses 3-pt jump shot from 25 ft,,17,22
1,2:49.0,,Defensive rebound by K. Irving,17,22
1,2:42.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by K. Irving),17,25
1,2:23.0,K. Middleton misses 2-pt jump shot from 17 ft,,17,25
1,2:21.0,,Defensive rebound by M. Morris,17,25
1,2:16.0,,Personal foul by E. İlyasova (drawn by M. Morris),17,25
1,2:16.0,,Boston full timeout,17,25
1,2:16.0,,T. Rozier enters the game for K. Irving,17,25
1,2:16.0,,M. Morris makes free throw 1 of 2,17,26
