QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
1,11:43.0,J. Allen misses 2-pt jump shot from 15 ft,,0,0
1,11:40.0,,Defensive rebound by N. Vučević,0,0
1,11:30.0,,Turnover by D. Augustin (bad pass; steal by D. Russell),0,0
1,11:14.0,J. Allen makes 2-pt layup from 1 ft (assist by R. Kurucs),,2,0
1,11:00.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by J. Isaac),2,2
1,10:44.0,J. Harris misses 2-pt layup from 1 ft (block by J. Isaac),,2,2
1,10:41.0,,Defensive rebound by A. Gordon,2,2
1,10:39.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by A. Gordon),2,4
1,10:39.0,Brooklyn full timeout,,2,4
1,10:27.0,D. Russell misses 2-pt layup from 9 ft,,2,4
1,10:25.0,,Defensive rebound by N. Vučević,2,4
1,10:18.0,,A. Gordon makes 2-pt layup from 2 ft,2,6
1,10:05.0,D. Russell makes 2-pt jump shot from 10 ft (assist by J. Allen),,4,6
1,9:44.0,,E. Fournier misses 2-pt layup from 1 ft,4,6
1,9:39.0,,Offensive rebound by N. Vučević,4,6
1,9:39.0,,N. Vučević misses 2-pt layup from 1 ft,4,6
1,9:39.0,,Offensive rebound by N. Vučević,4,6
1,9:36.0,,N. Vučević misses 2-pt layup from 1 ft,4,6
1,9:34.0,,Offensive rebound by N. Vučević,4,6
1,9:34.0,,N. Vučević misses 2-pt layup from 1 ft,4,6
1,9:33.0,Defensive rebound by R. Kurucs,,4,6
1,9:22.0,T. Graham misses 2-pt hook shot from 5 ft,,4,6
1,9:19.0,Offensive rebound by T. Graham,,4,6
1,9:13.0,R. Kurucs misses 2-pt layup from 5 ft,,4,6
1,9:13.0,,Defensive rebound by Team,4,6
1,9:13.0,Loose ball foul by R. Kurucs (drawn by N. Vučević),,4,6
1,8:59.0,,N. Vučević misses 2-pt hook shot from 11 ft,4,6
1,8:52.0,,Offensive rebound by J. Isaac,4,6
1,8:52.0,,J. Isaac makes 2-pt dunk from 1 ft,4,8
1,8:45.0,J. Harris misses 2-pt jump shot from 15 ft,,4,8
1,8:43.0,,Defensive rebound by J. Isaac,4,8
1,8:36.0,,J. Isaac misses 3-pt jump shot from 26 ft,4,8
1,8:33.0,Defensive rebound by J. Allen,,4,8
1,8:21.0,Turnover by J. Harris (bad pass; steal by E. Fournier),,4,8
1,8:18.0,,E. Fournier misses 2-pt layup from 1 ft,4,8
1,8:18.0,Defensive rebound by D. Russell,,4,8
1,8:04.0,Personal foul by E. Fournier (drawn by T. Graham),,4,8
1,8:04.0,D. Carroll enters the game for R. Kurucs,,4,8
