QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
1,6:41.0,,Philadelphia full timeout,16,18
1,6:41.0,,T. McConnell enters the game for W. Chandler,16,18
1,6:41.0,,M. Muscala enters the game for J. Embiid,16,18
1,6:41.0,,L. Shamet enters the game for J. Redick,16,18
1,6:31.0,,Turnover by L. Shamet (bad pass; steal by M. Hezonja),16,18
1,6:25.0,M. Hezonja makes 2-pt dunk from 2 ft,,18,18
1,6:09.0,,M. Muscala makes 2-pt hook shot from 6 ft (assist by L. Shamet),18,20
1,5:45.0,M. Hezonja misses 3-pt jump shot from 28 ft,,18,20
1,5:43.0,,Defensive rebound by Team,18,20
1,5:35.0,,J. Butler misses 3-pt jump shot from 27 ft,18,20
1,5:31.0,,Offensive rebound by M. Muscala,18,20
1,5:26.0,,B. Simmons makes 2-pt layup from 2 ft,18,22
1,5:13.0,E. Mudiay misses 2-pt layup from 1 ft,,18,22
1,5:11.0,,Defensive rebound by T. McConnell,18,22
1,5:04.0,,M. Muscala misses 3-pt jump shot from 27 ft,18,22
1,4:59.0,,Offensive rebound by B. Simmons,18,22
1,4:59.0,,B. Simmons misses 2-pt layup from 1 ft,18,22
1,4:58.0,Defensive rebound by N. Vonleh,,18,22
1,4:55.0,N. Vonleh makes 2-pt dunk at rim,,20,22
1,4:35.0,,M. Muscala makes 2-pt layup from 1 ft (assist by B. Simmons),20,24
1,4:16.0,Personal foul by M. Muscala (drawn by E. Freedom),,20,24
1,4:16.0,T. Burke enters the game for M. Hezonja,,20,24
1,4:16.0,K. Knox enters the game for E. Mudiay,,20,24
1,4:16.0,,F. Korkmaz enters the game for J. Butler,20,24
1,4:05.0,T. Hardaway misses 3-pt jump shot from 25 ft,,20,24
1,4:02.0,Offensive rebound by E. Freedom,,20,24
1,4:01.0,Turnover by E. Freedom (lost ball; steal by T. McConnell),,20,24
1,3:47.0,,M. Muscala makes 3-pt jump shot from 26 ft (assist by T. McConnell),20,27
1,3:39.0,New York full timeout,,20,27
1,3:39.0,M. Robinson enters the game for E. Freedom,,20,27
1,3:25.0,T. Hardaway makes 2-pt layup from 1 ft,,22,27
1,3:25.0,Shooting foul by F. Korkmaz (drawn by T. Hardaway),,22,27
1,3:25.0,,J. Embiid enters the game for L. Shamet,22,27
1,3:25.0,,J. Redick enters the game for B. Simmons,22,27
1,3:25.0,T. Hardaway makes free throw 1 of 1,,23,27
1,3:12.0,,Turnover by J. Redick (bad pass),23,27
1,3:12.0,A. Trier enters the game for N. Vonleh,,23,27
1,2:56.0,T. Burke misses 3-pt jump shot from 27 ft,,23,27
1,2:52.0,,Defensive rebound by M. Muscala,23,27
1,2:48.0,,T. McConnell makes 2-pt layup from 1 ft,23,29
1,2:35.0,T. Burke misses 2-pt layup from 2 ft,,23,29
1,2:34.0,,Defensive rebound by J. Embiid,23,29
1,2:34.0,F. Ntilikina enters the game for T. Hardaway,,23,29
1,2:34.0,,Personal foul by M. Robinson (drawn by J. Embiid),23,29
1,2:19.0,,J. Embiid misses 2-pt layup from 2 ft,23,29
1,2:16.0,Defensive rebound by A. Trier,,23,29
1,2:13.0,A. Trier makes 2-pt jump shot from 12 ft,,25,29
1,1:58.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),25,32
1,1:46.0,A. Trier misses 2-pt jump shot from 22 ft,,25,32
1,1:43.0,,Defensive rebound by T. McConnell,25,32
1,1:31.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Embiid),25,34
1,1:14.0,K. Knox misses 2-pt jump shot from 6 ft,,25,34
1,1:12.0,,Defensive rebound by M. Muscala,25,34
1,1:09.0,,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by T. McConnell),25,37
1,0:51.0,A. Trier makes 2-pt layup from 1 ft (assist by K. Knox),,27,37
1,0:33.0,,Shooting foul by M. Robinson (drawn by J. Embiid),27,37
1,0:33.0,,J. Embiid makes free throw 1 of 2,27,38
1,0:33.0,,J. Embiid makes free throw 2 of 2,27,39
1,0:28.0,Offensive foul by M. Robinson (drawn by T. McConnell),,27,39
1,0:28.0,Turnover by M. Robinson (offensive foul),,27,39
1,0:10.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),27,41
1,0:03.0,A. Trier misses 2-pt layup from 4 ft (block by T. McConnell),,27,41
1,0:03.0,,Defensive rebound by Team,27,41
1,0:03.0,N. Vonleh enters the game for M. Robinson,,27,41
1,0:00.0,,F. Korkmaz misses 3-pt jump shot from 30 ft,27,41
1,0:00.0,,Offensive rebound by Team,27,41
2,11:44.0,K. Knox makes 2-pt layup from 2 ft,,29,41
2,11:25.0,,J. Redick misses 2-pt layup from 4 ft,29,41
2,11:20.0,,Offensive rebound by J. Embiid,29,41
2,11:20.0,,J. Embiid misses 2-pt layup from 1 ft,29,41
2,11:19.0,Defensive rebound by K. Knox,,29,41
