QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
1,11:41.0,Turnover by D. Smith (lost ball; steal by R. Gay),,0,0
1,11:30.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. DeRozan),0,2
1,11:15.0,W. Matthews makes 2-pt jump shot from 9 ft (assist by D. Jordan),,2,2
1,10:54.0,,L. Aldridge misses 2-pt jump shot from 16 ft,2,2
1,10:51.0,Defensive rebound by H. Barnes,,2,2
1,10:46.0,H. Barnes misses 2-pt jump shot from 17 ft,,2,2
1,10:42.0,,Defensive rebound by R. Gay,2,2
1,10:35.0,,B. Forbes makes 2-pt jump shot from 21 ft (assist by L. Aldridge),2,4
1,10:11.0,W. Matthews misses 2-pt layup from 2 ft,,2,4
1,10:09.0,,Defensive rebound by R. Gay,2,4
1,10:00.0,,L. Aldridge misses 2-pt jump shot from 21 ft,2,4
1,9:57.0,Defensive rebound by D. Jordan,,2,4
1,9:49.0,Offensive foul by D. Jordan (drawn by D. Cunningham),,2,4
1,9:49.0,Turnover by D. Jordan (offensive foul),,2,4
1,9:29.0,,D. DeRozan misses 2-pt jump shot from 14 ft,2,4
1,9:26.0,Defensive rebound by D. Jordan,,2,4
1,9:18.0,D. Smith makes 2-pt jump shot from 16 ft,,4,4
1,8:58.0,,Turnover by R. Gay (lost ball; steal by D. Smith),4,4
1,8:50.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Smith),,7,4
1,8:27.0,,B. Forbes makes 2-pt layup from 1 ft (assist by D. DeRozan),7,6
1,8:11.0,L. Dončić makes 2-pt jump shot from 9 ft,,9,6
1,7:59.0,,B. Forbes misses 2-pt jump shot from 18 ft,9,6
1,7:56.0,Defensive rebound by D. Jordan,,9,6
1,7:49.0,W. Matthews misses 2-pt jump shot from 15 ft,,9,6
1,7:45.0,,Defensive rebound by Team,9,6
1,7:29.0,,L. Aldridge makes 2-pt hook shot from 4 ft,9,8
1,7:17.0,Turnover by L. Dončić (traveling),,9,8
1,6:57.0,,Shooting foul by W. Matthews (drawn by D. DeRozan),9,8
1,6:57.0,,San Antonio full timeout,9,8
1,6:57.0,,D. DeRozan makes free throw 1 of 2,9,9
1,6:57.0,,D. DeRozan makes free throw 2 of 2,9,10
1,6:38.0,H. Barnes misses 2-pt jump shot from 14 ft,,9,10
1,6:36.0,,Defensive rebound by D. Cunningham,9,10
1,6:29.0,,Shooting foul by H. Barnes (drawn by D. DeRozan),9,10
1,6:29.0,,D. DeRozan makes free throw 1 of 2,9,11
1,6:29.0,D. Finney-Smith enters the game for H. Barnes,,9,11
1,6:29.0,,P. Mills enters the game for B. Forbes,9,11
1,6:29.0,,D. DeRozan makes free throw 2 of 2,9,12
1,6:16.0,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by W. Matthews),,12,12
1,6:01.0,,P. Mills misses 2-pt jump shot from 20 ft,12,12
1,5:59.0,Defensive rebound by L. Dončić,,12,12
1,5:49.0,L. Dončić makes 2-pt jump shot from 13 ft,,14,12
1,5:28.0,,Turnover by L. Aldridge (lost ball; steal by L. Dončić),14,12
1,5:25.0,D. Smith makes 2-pt layup from 3 ft,,16,12
1,5:25.0,,Violation by Team (def goaltending),16,12
1,5:10.0,,R. Gay misses 2-pt jump shot from 3 ft,16,12
1,5:08.0,Defensive rebound by D. Jordan,,16,12
1,5:05.0,Turnover by L. Dončić (bad pass; steal by R. Gay),,16,12
1,5:04.0,,Personal foul by D. Smith (drawn by R. Gay),16,12
1,5:04.0,J. Barea enters the game for D. Smith,,16,12
1,5:04.0,,M. Belinelli enters the game for R. Gay,16,12
1,4:53.0,,L. Aldridge misses 2-pt jump shot from 10 ft,16,12
1,4:51.0,Defensive rebound by D. Jordan,,16,12
1,4:38.0,W. Matthews misses 3-pt jump shot from 26 ft,,16,12
1,4:36.0,,Defensive rebound by P. Mills,16,12
1,4:31.0,,Turnover by P. Mills (bad pass; steal by D. Finney-Smith),16,12
1,4:22.0,Turnover by D. Jordan (bad pass; steal by D. Cunningham),,16,12
1,4:11.0,,D. DeRozan makes 2-pt jump shot from 17 ft (assist by D. Cunningham),16,14
1,4:10.0,Dallas full timeout,,16,14
1,4:10.0,,P. Gasol enters the game for L. Aldridge,16,14
1,4:10.0,,R. Gay enters the game for D. Cunningham,16,14
1,4:10.0,,Q. Pondexter enters the game for D. DeRozan,16,14
1,3:55.0,D. Jordan misses 2-pt dunk at rim,,16,14
1,3:55.0,Offensive rebound by J. Barea,,16,14
1,3:48.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,16,14
1,3:48.0,,Defensive rebound by Q. Pondexter,16,14
1,3:29.0,,M. Belinelli makes 2-pt jump shot from 23 ft (assist by P. Gasol),16,16
1,3:13.0,Turnover by J. Barea (bad pass; steal by Q. Pondexter),,16,16
1,3:04.0,,M. Belinelli misses 3-pt jump shot from 26 ft,16,16
1,3:00.0,Defensive rebound by D. Jordan,,16,16
1,2:41.0,D. Jordan misses 2-pt hook shot from 2 ft (block by P. Gasol),,16,16
1,2:41.0,Offensive rebound by Team,,16,16
1,2:41.0,Turnover by Team (shot clock),,16,16
1,2:41.0,H. Barnes enters the game for L. Dončić,,16,16
1,2:41.0,J. Brunson enters the game for D. Jordan,,16,16
1,2:41.0,D. Powell enters the game for W. Matthews,,16,16
1,2:26.0,,Turnover by R. Gay (out of bounds lost ball),16,16
1,2:02.0,H. Barnes misses 3-pt jump shot from 27 ft,,16,16
1,2:01.0,,Defensive rebound by Q. Pondexter,16,16
1,1:53.0,,Loose ball foul by P. Gasol (drawn by D. Powell),16,16
1,1:53.0,,Turnover by P. Gasol (turnover),16,16
1,1:36.0,J. Barea misses 2-pt jump shot from 18 ft,,16,16
1,1:32.0,,Defensive rebound by R. Gay,16,16
1,1:24.0,,R. Gay makes 2-pt dunk at rim (assist by P. Gasol),16,18
1,0:59.0,D. Finney-Smith misses 2-pt layup from 2 ft (block by P. Gasol),,16,18
1,0:55.0,,Defensive rebound by M. Belinelli,16,18
1,0:53.0,Violation by Team (kicked ball),,16,18
1,0:53.0,M. Kleber enters the game for D. Finney-Smith,,16,18
1,0:49.0,,M. Belinelli misses 2-pt jump shot from 15 ft,16,18
1,0:47.0,Defensive rebound by D. Powell,,16,18
1,0:40.0,H. Barnes makes 2-pt layup from 2 ft,,18,18
1,0:40.0,Shooting foul by Q. Pondexter (drawn by H. Barnes),,18,18
1,0:40.0,H. Barnes misses free throw 1 of 1,,18,18
1,0:40.0,,Defensive rebound by R. Gay,18,18
1,0:36.0,,Turnover by R. Gay (bad pass; steal by J. Barea),18,18
1,0:32.0,M. Kleber misses 3-pt jump shot from 26 ft,,18,18
1,0:30.0,,Defensive rebound by Q. Pondexter,18,18
1,0:15.0,,Q. Pondexter makes 2-pt layup from 1 ft (assist by R. Gay),18,20
1,0:03.0,Offensive foul by H. Barnes (drawn by P. Mills),,18,20
1,0:03.0,Turnover by H. Barnes (offensive foul),,18,20
1,0:00.0,,Turnover by P. Gasol (lost ball; steal by D. Powell),18,20
2,11:49.0,,R. Gay makes 2-pt jump shot from 20 ft,18,22
2,11:29.0,J. Barea makes 2-pt layup from 3 ft (assist by J. Brunson),,20,22
2,11:17.0,,Personal foul by J. Brunson (drawn by M. Belinelli),20,22
2,11:17.0,,D. Cunningham enters the game for R. Gay,20,22
2,11:17.0,,D. DeRozan enters the game for Q. Pondexter,20,22
2,11:13.0,,P. Mills misses 2-pt jump shot from 18 ft,20,22
2,11:08.0,Defensive rebound by J. Barea,,20,22
2,11:00.0,J. Brunson misses 3-pt jump shot from 24 ft,,20,22
2,10:57.0,,Defensive rebound by D. Cunningham,20,22
2,10:50.0,,Personal foul by D. Powell (drawn by D. DeRozan),20,22
2,10:50.0,,B. Forbes enters the game for P. Mills,20,22
2,10:41.0,,M. Belinelli makes 2-pt layup from 2 ft (assist by D. DeRozan),20,24
2,10:41.0,,Shooting foul by M. Kleber (drawn by M. Belinelli),20,24
2,10:41.0,,L. Aldridge enters the game for D. Cunningham,20,24
2,10:41.0,,M. Belinelli makes free throw 1 of 1,20,25
2,10:30.0,J. Barea misses 2-pt jump shot from 13 ft,,20,25
2,10:28.0,,Defensive rebound by P. Gasol,20,25
2,10:13.0,,M. Belinelli misses 2-pt jump shot from 13 ft,20,25
2,10:11.0,Defensive rebound by D. Finney-Smith,,20,25
2,9:59.0,Personal foul by M. Belinelli (drawn by D. Powell),,20,25
2,9:52.0,M. Kleber misses 3-pt jump shot from 26 ft,,20,25
2,9:48.0,,Defensive rebound by Team,20,25
2,9:35.0,,Shooting foul by D. Powell (drawn by D. DeRozan),20,25
2,9:35.0,,D. DeRozan makes free throw 1 of 2,20,26
2,9:35.0,D. Jordan enters the game for J. Barea,,20,26
2,9:35.0,D. Smith enters the game for D. Powell,,20,26
2,9:35.0,,D. DeRozan makes free throw 2 of 2,20,27
2,9:25.0,D. Smith makes 2-pt layup from 1 ft (assist by D. Jordan),,22,27
2,9:04.0,,L. Aldridge misses 2-pt jump shot from 11 ft,22,27
2,9:03.0,Defensive rebound by D. Jordan,,22,27
2,8:53.0,J. Brunson makes 2-pt layup from 1 ft,,24,27
2,8:53.0,,San Antonio full timeout,24,27
2,8:53.0,,D. Cunningham enters the game for P. Gasol,24,27
2,8:35.0,,L. Aldridge makes 2-pt hook shot from 2 ft (assist by D. DeRozan),24,29
2,8:18.0,D. Smith misses 2-pt jump shot from 15 ft,,24,29
2,8:15.0,,Defensive rebound by M. Belinelli,24,29
2,8:07.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by M. Belinelli),24,31
2,7:44.0,J. Brunson makes 2-pt layup from 2 ft,,26,31
2,7:25.0,,D. DeRozan makes 2-pt jump shot from 17 ft,26,33
2,7:13.0,Turnover by D. Smith (bad pass; steal by D. DeRozan),,26,33
2,7:12.0,,D. DeRozan makes 2-pt layup from 1 ft,26,35
2,7:12.0,,Shooting foul by D. Finney-Smith (drawn by D. DeRozan),26,35
2,7:12.0,L. Dončić enters the game for J. Brunson,,26,35
2,7:12.0,W. Matthews enters the game for D. Finney-Smith,,26,35
2,7:12.0,,R. Gay enters the game for M. Belinelli,26,35
2,7:12.0,,P. Mills enters the game for B. Forbes,26,35
2,7:12.0,,D. DeRozan makes free throw 1 of 1,26,36
2,7:12.0,Violation by Team (def goaltending),,26,36
2,6:48.0,W. Matthews makes 2-pt jump shot from 12 ft,,28,36
2,6:30.0,,L. Aldridge misses 2-pt jump shot from 16 ft,28,36
2,6:30.0,Defensive rebound by L. Dončić,,28,36
2,6:25.0,Turnover by L. Dončić (lost ball; steal by P. Mills),,28,36
2,6:14.0,,L. Aldridge misses 2-pt hook shot from 1 ft (block by M. Kleber),28,36
2,6:14.0,,Offensive rebound by Team,28,36
2,6:08.0,,R. Gay misses 2-pt jump shot from 9 ft,28,36
2,6:04.0,,Offensive rebound by D. DeRozan,28,36
2,6:04.0,,Turnover by D. DeRozan (bad pass; steal by D. Smith),28,36
2,6:00.0,D. Smith misses 2-pt layup from 2 ft,,28,36
2,5:56.0,Offensive rebound by D. Jordan,,28,36
2,5:56.0,D. Jordan makes 2-pt layup at rim,,30,36
2,5:37.0,,D. Cunningham makes 2-pt jump shot from 21 ft (assist by L. Aldridge),30,38
2,5:25.0,Shooting foul by R. Gay (drawn by W. Matthews),,30,38
2,5:25.0,W. Matthews makes free throw 1 of 2,,31,38
2,5:25.0,H. Barnes enters the game for M. Kleber,,31,38
2,5:25.0,,M. Belinelli enters the game for D. DeRozan,31,38
2,5:25.0,W. Matthews makes free throw 2 of 2,,32,38
2,5:06.0,,L. Aldridge misses 2-pt hook shot from 6 ft,32,38
2,5:06.0,Defensive rebound by H. Barnes,,32,38
2,5:03.0,Turnover by L. Dončić (lost ball; steal by M. Belinelli),,32,38
2,5:00.0,,M. Belinelli misses 3-pt jump shot from 26 ft,32,38
2,4:58.0,,Offensive rebound by R. Gay,32,38
2,4:58.0,,R. Gay misses 2-pt layup from 1 ft (block by L. Dončić),32,38
2,4:58.0,,Offensive rebound by L. Aldridge,32,38
2,4:58.0,,Shooting foul by D. Smith (drawn by L. Aldridge),32,38
2,4:58.0,,L. Aldridge makes free throw 1 of 2,32,39
2,4:58.0,,L. Aldridge makes free throw 2 of 2,32,40
2,4:44.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,34,40
2,4:25.0,,D. Cunningham makes 2-pt dunk from 1 ft (assist by R. Gay),34,42
2,4:24.0,Dallas full timeout,,34,42
2,4:24.0,,D. DeRozan enters the game for M. Belinelli,34,42
2,4:09.0,H. Barnes misses 3-pt jump shot from 23 ft,,34,42
2,4:08.0,Offensive rebound by Team,,34,42
2,4:08.0,Personal foul by D. DeRozan (drawn by D. Jordan),,34,42
2,4:01.0,W. Matthews misses 3-pt jump shot from 26 ft,,34,42
2,3:58.0,,Defensive rebound by R. Gay,34,42
2,3:50.0,,R. Gay makes 3-pt jump shot from 26 ft (assist by D. DeRozan),34,45
2,3:35.0,W. Matthews makes 2-pt jump shot from 10 ft (assist by D. Smith),,36,45
2,3:19.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by R. Gay),36,47
2,3:06.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,38,47
2,2:53.0,,Turnover by R. Gay (out of bounds lost ball),38,47
2,2:53.0,,B. Forbes enters the game for P. Mills,38,47
2,2:44.0,Shooting foul by L. Aldridge (drawn by D. Jordan),,38,47
2,2:44.0,D. Jordan misses free throw 1 of 2,,38,47
2,2:44.0,Offensive rebound by Team,,38,47
2,2:44.0,D. Jordan misses free throw 2 of 2,,38,47
2,2:41.0,,Defensive rebound by D. Cunningham,38,47
2,2:25.0,,Personal foul by D. Jordan (drawn by L. Aldridge),38,47
2,2:25.0,,L. Aldridge makes free throw 1 of 2,38,48
2,2:25.0,,L. Aldridge makes free throw 2 of 2,38,49
2,2:15.0,D. Smith makes 2-pt layup from 1 ft,,40,49
2,2:01.0,,B. Forbes makes 2-pt jump shot from 3 ft (assist by L. Aldridge),40,51
2,1:50.0,Turnover by D. Smith (lost ball; steal by R. Gay),,40,51
2,1:39.0,,R. Gay makes 2-pt jump shot from 16 ft (assist by D. DeRozan),40,53
2,1:39.0,Dallas full timeout,,40,53
2,1:29.0,L. Dončić makes 3-pt jump shot from 26 ft,,43,53
2,1:06.0,,B. Forbes misses 2-pt jump shot from 17 ft,43,53
2,1:05.0,Defensive rebound by D. Jordan,,43,53
2,0:58.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),,45,53
2,0:41.0,,L. Aldridge misses 2-pt jump shot from 17 ft,45,53
2,0:39.0,Defensive rebound by L. Dončić,,45,53
2,0:32.0,L. Dončić misses 2-pt jump shot from 3 ft,,45,53
2,0:30.0,,Defensive rebound by D. Cunningham,45,53
2,0:09.0,,D. DeRozan misses 2-pt layup from 2 ft,45,53
2,0:07.0,Defensive rebound by D. Jordan,,45,53
2,0:00.0,D. Smith misses 2-pt layup from 2 ft,,45,53
2,0:00.0,Offensive rebound by Team,,45,53
3,11:45.0,,D. DeRozan misses 2-pt jump shot from 15 ft,45,53
3,11:42.0,Defensive rebound by D. Jordan,,45,53
3,11:36.0,D. Smith misses 3-pt jump shot from 26 ft,,45,53
3,11:32.0,,Defensive rebound by D. DeRozan,45,53
3,11:23.0,,Turnover by D. DeRozan (lost ball; steal by D. Jordan),45,53
3,11:23.0,Personal foul by D. DeRozan (drawn by D. Jordan),,45,53
3,11:05.0,L. Dončić makes 3-pt jump shot from 23 ft,,48,53
