QUARTER,TIME_REMAINING,TORONTO_ACTION,ORLANDO_ACTION,TORONTO_SCORE,ORLANDO_SCORE
1,11:40.0,D. Green makes 2-pt layup from 2 ft (assist by S. Ibaka),,2,0
1,11:26.0,,Offensive foul by A. Gordon (drawn by K. Leonard),2,0
1,11:26.0,,Turnover by A. Gordon (offensive foul),2,0
1,11:16.0,S. Ibaka makes 2-pt layup from 2 ft (assist by F. VanVleet),,4,0
1,10:56.0,,J. Isaac misses 2-pt jump shot from 16 ft,4,0
1,10:53.0,Defensive rebound by D. Green,,4,0
1,10:47.0,Turnover by D. Green (bad pass; steal by N. Vučević),,4,0
1,10:42.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by D. Augustin),4,2
1,10:33.0,P. Siakam misses 2-pt layup from 3 ft (block by J. Isaac),,4,2
1,10:29.0,,Defensive rebound by N. Vučević,4,2
1,10:29.0,,Personal foul by D. Green (drawn by D. Augustin),4,2
1,10:21.0,,Turnover by N. Vučević (off goaltending),4,2
1,10:07.0,F. VanVleet misses 3-pt jump shot from 25 ft,,4,2
1,10:02.0,,Defensive rebound by N. Vučević,4,2
1,10:00.0,,J. Isaac makes 2-pt layup from 2 ft,4,4
1,10:00.0,,Shooting foul by D. Green (drawn by J. Isaac),4,4
1,10:00.0,,J. Isaac makes free throw 1 of 1,4,5
1,9:41.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by F. VanVleet),,6,5
1,9:26.0,,E. Fournier misses 3-pt jump shot from 25 ft,6,5
1,9:21.0,Defensive rebound by P. Siakam,,6,5
1,9:15.0,D. Green misses 3-pt jump shot from 25 ft,,6,5
1,9:11.0,,Defensive rebound by A. Gordon,6,5
1,9:03.0,,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),6,7
1,8:45.0,F. VanVleet makes 3-pt jump shot from 23 ft (assist by S. Ibaka),,9,7
1,8:30.0,,E. Fournier misses 2-pt layup from 3 ft,9,7
1,8:30.0,Defensive rebound by Team,,9,7
1,8:15.0,K. Leonard makes 2-pt jump shot from 21 ft,,11,7
1,7:51.0,,N. Vučević misses 3-pt jump shot from 26 ft,11,7
1,7:48.0,Defensive rebound by D. Green,,11,7
1,7:43.0,F. VanVleet makes 2-pt layup from 3 ft (assist by D. Green),,13,7
1,7:43.0,,Orlando full timeout,13,7
1,7:24.0,,D. Augustin makes 2-pt jump shot from 4 ft,13,9
1,7:11.0,K. Leonard misses 3-pt jump shot from 24 ft,,13,9
1,7:08.0,,Defensive rebound by J. Isaac,13,9
1,7:01.0,,D. Augustin misses 2-pt hook shot from 5 ft (block by S. Ibaka),13,9
1,6:58.0,Defensive rebound by S. Ibaka,,13,9
1,6:56.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by D. Green),,16,9
1,6:40.0,,Turnover by D. Augustin (lost ball; steal by F. VanVleet),16,9
1,6:33.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by P. Siakam),,19,9
1,6:14.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by J. Isaac),19,12
1,5:58.0,K. Leonard makes 2-pt layup from 3 ft,,21,12
1,5:38.0,,E. Fournier misses 2-pt jump shot from 20 ft,21,12
1,5:38.0,Defensive rebound by Team,,21,12
1,5:38.0,D. Wright enters the game for D. Green,,21,12
1,5:38.0,,W. Iwundu enters the game for A. Gordon,21,12
1,5:25.0,S. Ibaka misses 2-pt hook shot from 11 ft,,21,12
1,5:23.0,,Defensive rebound by N. Vučević,21,12
1,5:07.0,,W. Iwundu makes 2-pt layup from 2 ft (assist by N. Vučević),21,14
1,4:53.0,Shooting foul by D. Augustin (drawn by F. VanVleet),,21,14
1,4:53.0,F. VanVleet makes free throw 1 of 2,,22,14
