QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MEMPHIS_ACTION,PHILADELPHIA_SCORE,MEMPHIS_SCORE
1,11:47.0,B. Simmons makes 2-pt jump shot from 9 ft,,2,0
1,11:30.0,,M. Gasol misses 2-pt jump shot from 20 ft,2,0
1,11:26.0,Defensive rebound by B. Simmons,,2,0
1,11:17.0,M. Fultz makes 2-pt jump shot from 6 ft (assist by L. Shamet),,4,0
1,10:56.0,,G. Temple makes 2-pt jump shot from 18 ft,4,2
1,10:45.0,L. Shamet misses 3-pt jump shot from 25 ft,,4,2
1,10:43.0,,Defensive rebound by M. Conley,4,2
1,10:38.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),4,4
1,10:31.0,B. Simmons makes 2-pt dunk at rim,,6,4
1,10:16.0,,M. Conley misses 2-pt layup from 2 ft (block by M. Fultz),6,4
1,10:12.0,,Offensive rebound by K. Anderson,6,4
1,10:11.0,,K. Anderson misses 2-pt layup from 1 ft,6,4
1,10:09.0,Defensive rebound by B. Simmons,,6,4
1,10:08.0,Turnover by B. Simmons (lost ball; steal by K. Anderson),,6,4
1,10:04.0,,K. Anderson misses 2-pt layup from 1 ft,6,4
1,10:01.0,Defensive rebound by B. Simmons,,6,4
1,9:57.0,L. Shamet misses 3-pt jump shot from 23 ft,,6,4
1,9:54.0,,Defensive rebound by M. Gasol,6,4
1,9:47.0,,Turnover by G. Temple (bad pass; steal by L. Shamet),6,4
1,9:43.0,J. Redick makes 2-pt layup from 1 ft (assist by L. Shamet),,8,4
1,9:42.0,,Memphis full timeout,8,4
1,9:32.0,,G. Temple misses 3-pt jump shot from 26 ft,8,4
1,9:29.0,,Offensive rebound by M. Gasol,8,4
1,9:15.0,,K. Anderson misses 2-pt jump shot from 21 ft,8,4
1,9:12.0,Defensive rebound by J. Embiid,,8,4
1,9:09.0,L. Shamet misses 2-pt layup at rim,,8,4
1,9:07.0,Offensive rebound by L. Shamet,,8,4
1,9:00.0,Offensive foul by J. Embiid (drawn by M. Conley),,8,4
1,9:00.0,Turnover by J. Embiid (offensive foul),,8,4
1,8:43.0,,M. Conley misses 2-pt layup from 1 ft,8,4
1,8:40.0,,Offensive rebound by M. Gasol,8,4
1,8:35.0,,K. Anderson makes 2-pt jump shot from 6 ft (assist by M. Gasol),8,6
1,8:22.0,Offensive foul by B. Simmons (drawn by K. Anderson),,8,6
1,8:22.0,Turnover by B. Simmons (offensive foul),,8,6
1,8:06.0,,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),8,8
1,7:54.0,J. Redick makes 2-pt jump shot from 20 ft (assist by J. Embiid),,10,8
1,7:32.0,,M. Gasol misses 2-pt jump shot from 11 ft,10,8
1,7:30.0,Defensive rebound by J. Embiid,,10,8
1,7:23.0,B. Simmons makes 2-pt dunk at rim (assist by J. Redick),,12,8
1,7:11.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by M. Conley),12,11
1,6:56.0,Turnover by J. Embiid (lost ball; steal by M. Gasol),,12,11
1,6:56.0,,Personal foul by J. Redick (drawn by G. Temple),12,11
1,6:56.0,A. Johnson enters the game for J. Embiid,,12,11
1,6:56.0,F. Korkmaz enters the game for M. Fultz,,12,11
1,6:56.0,T. McConnell enters the game for J. Redick,,12,11
1,6:56.0,,D. Brooks enters the game for J. Jackson,12,11
1,6:44.0,,M. Gasol misses 2-pt layup from 3 ft (block by A. Johnson),12,11
1,6:44.0,Defensive rebound by Team,,12,11
1,6:41.0,Personal foul by G. Temple (drawn by L. Shamet),,12,11
1,6:34.0,,Violation by Team (kicked ball),12,11
1,6:26.0,T. McConnell makes 2-pt jump shot from 6 ft,,14,11
1,6:03.0,,D. Brooks misses 2-pt layup from 2 ft (block by B. Simmons),14,11
1,6:01.0,Defensive rebound by T. McConnell,,14,11
1,6:01.0,Personal foul by D. Brooks (drawn by B. Simmons),,14,11
1,6:01.0,,S. Mack enters the game for G. Temple,14,11
