QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
1,11:38.0,Turnover by M. Turner (lost ball; steal by R. Hood),,0,0
1,11:28.0,,R. Hood makes 2-pt jump shot from 19 ft,0,2
1,11:03.0,M. Turner makes 2-pt layup from 2 ft (assist by T. Young),,2,2
1,10:50.0,,Personal foul by V. Oladipo (drawn by T. Thompson),2,2
1,10:44.0,,R. Hood misses 2-pt jump shot from 14 ft,2,2
1,10:42.0,,Offensive rebound by Team,2,2
1,10:25.0,,S. Dekker misses 2-pt jump shot from 13 ft,2,2
1,10:22.0,,Offensive rebound by T. Thompson,2,2
1,10:20.0,,T. Thompson misses 2-pt layup from 4 ft,2,2
1,10:16.0,,Offensive rebound by T. Thompson,2,2
1,10:15.0,,R. Hood misses 3-pt jump shot from 24 ft,2,2
1,10:13.0,Defensive rebound by B. Bogdanović,,2,2
1,9:54.0,B. Bogdanović makes 2-pt jump shot from 7 ft,,4,2
1,9:38.0,,T. Thompson makes 2-pt layup from 1 ft (assist by C. Osman),4,4
1,9:20.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,7,4
1,9:01.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by G. Hill),7,7
1,8:46.0,Turnover by V. Oladipo (lost ball; steal by S. Dekker),,7,7
1,8:33.0,,C. Osman makes 2-pt layup at rim (assist by R. Hood),7,9
1,8:24.0,Personal foul by R. Hood (drawn by B. Bogdanović),,7,9
1,8:10.0,D. Collison makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),,10,9
1,7:51.0,,C. Osman misses 3-pt jump shot from 25 ft,10,9
1,7:49.0,,Offensive rebound by S. Dekker,10,9
1,7:47.0,,S. Dekker makes 2-pt layup at rim,10,11
1,7:24.0,Turnover by B. Bogdanović (bad pass; steal by G. Hill),,10,11
1,7:18.0,,Turnover by C. Osman (lost ball; steal by D. Collison),10,11
1,7:16.0,Shooting foul by G. Hill (drawn by D. Collison),,10,11
1,7:16.0,D. Collison makes free throw 1 of 2,,11,11
1,7:16.0,D. Collison makes free throw 2 of 2,,12,11
1,7:01.0,,G. Hill makes 3-pt jump shot from 26 ft,12,14
1,6:37.0,M. Turner makes 2-pt jump shot from 7 ft (assist by V. Oladipo),,14,14
1,6:37.0,Shooting foul by R. Hood (drawn by M. Turner),,14,14
1,6:37.0,,Cleveland full timeout,14,14
1,6:37.0,,D. Nwaba enters the game for R. Hood,14,14
1,6:37.0,M. Turner makes free throw 1 of 1,,15,14
1,6:26.0,,G. Hill makes 2-pt jump shot from 2 ft,15,16
1,6:26.0,,Shooting foul by M. Turner (drawn by G. Hill),15,16
1,6:26.0,,G. Hill makes free throw 1 of 1,15,17
1,6:12.0,T. Young makes 2-pt hook shot from 2 ft,,17,17
1,6:01.0,,G. Hill misses 2-pt layup from 1 ft,17,17
1,5:58.0,,Offensive rebound by G. Hill,17,17
1,5:48.0,,D. Nwaba makes 3-pt jump shot from 23 ft (assist by C. Osman),17,20
1,5:31.0,M. Turner makes 2-pt jump shot from 16 ft (assist by D. Collison),,19,20
1,5:19.0,,Turnover by G. Hill (lost ball; steal by B. Bogdanović),19,20
1,5:15.0,V. Oladipo makes 2-pt layup from 2 ft (assist by B. Bogdanović),,21,20
1,4:46.0,,Turnover by Team (shot clock),21,20
1,4:32.0,V. Oladipo makes 2-pt layup from 2 ft,,23,20
1,4:08.0,,D. Nwaba misses 2-pt jump shot from 9 ft,23,20
1,4:01.0,,Offensive rebound by S. Dekker,23,20
1,4:01.0,,S. Dekker makes 2-pt layup from 1 ft,23,22
1,3:47.0,Turnover by D. Collison (traveling),,23,22
1,3:47.0,C. Joseph enters the game for B. Bogdanović,,23,22
1,3:47.0,D. Sabonis enters the game for T. Young,,23,22
1,3:34.0,,C. Osman misses 3-pt jump shot from 23 ft,23,22
1,3:31.0,,Offensive rebound by C. Osman,23,22
1,3:29.0,,C. Osman misses 2-pt layup from 1 ft,23,22
1,3:26.0,Defensive rebound by V. Oladipo,,23,22
1,3:13.0,Turnover by V. Oladipo (bad pass; steal by S. Dekker),,23,22
1,3:08.0,,C. Osman makes 2-pt layup at rim (assist by G. Hill),23,24
1,3:08.0,Indiana full timeout,,23,24
1,3:08.0,D. McDermott enters the game for D. Collison,,23,24
1,3:08.0,,K. Korver enters the game for S. Dekker,23,24
1,3:08.0,,L. Nance enters the game for G. Hill,23,24
1,3:08.0,,C. Sexton enters the game for C. Osman,23,24
1,3:08.0,,J. Smith enters the game for T. Thompson,23,24
1,2:49.0,V. Oladipo misses 3-pt jump shot from 27 ft,,23,24
1,2:45.0,,Defensive rebound by L. Nance,23,24
1,2:42.0,,D. Nwaba misses 2-pt layup from 1 ft,23,24
1,2:39.0,Defensive rebound by M. Turner,,23,24
1,2:29.0,Personal foul by K. Korver (drawn by M. Turner),,23,24
1,2:29.0,T. Leaf enters the game for M. Turner,,23,24
1,2:29.0,,J. Clarkson enters the game for D. Nwaba,23,24
1,2:23.0,C. Joseph misses 2-pt jump shot from 21 ft,,23,24
1,2:22.0,Offensive rebound by Team,,23,24
1,2:22.0,,Loose ball foul by J. Clarkson (drawn by C. Joseph),23,24
1,2:22.0,C. Joseph misses free throw 1 of 2,,23,24
1,2:22.0,Offensive rebound by Team,,23,24
1,2:22.0,C. Joseph makes free throw 2 of 2,,24,24
1,2:14.0,,K. Korver misses 3-pt jump shot from 25 ft,24,24
1,2:13.0,Defensive rebound by Team,,24,24
1,2:00.0,Turnover by T. Leaf (3 sec),,24,24
1,2:00.0,E. Sumner enters the game for V. Oladipo,,24,24
1,1:49.0,,J. Clarkson makes 2-pt jump shot from 13 ft (assist by L. Nance),24,26
1,1:33.0,T. Leaf misses 3-pt jump shot from 24 ft,,24,26
1,1:30.0,,Defensive rebound by C. Sexton,24,26
1,1:24.0,,Shooting foul by E. Sumner (drawn by C. Sexton),24,26
1,1:24.0,,C. Sexton makes free throw 1 of 2,24,27
1,1:24.0,,C. Sexton makes free throw 2 of 2,24,28
1,1:14.0,Turnover by C. Joseph (bad pass; steal by J. Clarkson),,24,28
1,1:09.0,,J. Clarkson misses 2-pt layup from 1 ft,24,28
1,1:06.0,Defensive rebound by T. Leaf,,24,28
1,1:00.0,D. Sabonis misses 2-pt layup from 3 ft,,24,28
1,1:00.0,Offensive rebound by D. Sabonis,,24,28
1,1:00.0,D. Sabonis makes 2-pt layup from 2 ft,,26,28
1,1:00.0,Shooting foul by K. Korver (drawn by D. Sabonis),,26,28
1,1:00.0,D. Sabonis makes free throw 1 of 1,,27,28
1,0:43.0,,L. Nance makes 2-pt dunk from 1 ft (assist by K. Korver),27,30
1,0:43.0,,Technical foul by C. Sexton,27,30
1,0:43.0,D. McDermott makes technical free throw,,28,30
1,0:32.0,C. Joseph makes 2-pt layup from 2 ft,,30,30
1,0:23.0,,Turnover by C. Sexton (back court),30,30
1,0:02.0,D. Sabonis misses 2-pt layup from 1 ft,,30,30
1,0:02.0,Offensive rebound by E. Sumner,,30,30
1,0:00.0,E. Sumner misses 2-pt jump shot from 18 ft,,30,30
1,0:00.0,Offensive rebound by Team,,30,30
2,11:47.0,,Turnover by J. Clarkson (bad pass; steal by E. Sumner),30,30
2,11:41.0,Turnover by D. Sabonis (out of bounds lost ball),,30,30
2,11:26.0,,K. Korver makes 2-pt jump shot from 15 ft (assist by J. Smith),30,32
2,11:14.0,D. McDermott misses 3-pt jump shot from 28 ft,,30,32
2,11:12.0,,Defensive rebound by L. Nance,30,32
2,10:59.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by K. Korver),30,34
2,10:59.0,B. Bogdanović enters the game for T. Leaf,,30,34
2,10:35.0,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by D. McDermott),,32,34
2,10:35.0,Shooting foul by J. Smith (drawn by B. Bogdanović),,32,34
2,10:35.0,B. Bogdanović makes free throw 1 of 1,,33,34
2,10:20.0,,K. Korver makes 2-pt layup from 1 ft (assist by L. Nance),33,36
2,10:02.0,Turnover by B. Bogdanović (traveling),,33,36
