QUARTER,TIME_REMAINING,DETROIT_ACTION,ORLANDO_ACTION,DETROIT_SCORE,ORLANDO_SCORE
1,11:32.0,,N. Vučević makes 2-pt jump shot from 12 ft (assist by D. Augustin),0,2
1,11:24.0,R. Bullock misses 3-pt jump shot from 23 ft,,0,2
1,11:20.0,,Defensive rebound by N. Vučević,0,2
1,11:07.0,,E. Fournier misses 2-pt jump shot from 5 ft,0,2
1,11:05.0,Defensive rebound by A. Drummond,,0,2
1,10:57.0,R. Bullock misses 2-pt layup from 3 ft,,0,2
1,10:54.0,,Defensive rebound by A. Gordon,0,2
1,10:44.0,,Turnover by N. Vučević (traveling),0,2
1,10:26.0,R. Jackson makes 2-pt layup from 8 ft (assist by A. Drummond),,2,2
1,10:03.0,,D. Augustin makes 2-pt layup from 2 ft (assist by N. Vučević),2,4
1,9:48.0,Turnover by R. Bullock (bad pass; steal by E. Fournier),,2,4
1,9:43.0,,E. Fournier makes 2-pt layup from 2 ft,2,6
1,9:25.0,R. Jackson makes 2-pt layup from 2 ft (assist by R. Bullock),,4,6
1,9:10.0,,E. Fournier misses 2-pt jump shot from 16 ft,4,6
1,9:07.0,Defensive rebound by B. Griffin,,4,6
1,9:00.0,B. Griffin misses 3-pt jump shot from 25 ft,,4,6
1,8:51.0,Offensive rebound by A. Drummond,,4,6
1,8:51.0,A. Drummond makes 2-pt layup from 1 ft,,6,6
1,8:37.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by D. Augustin),6,9
1,8:21.0,Turnover by B. Griffin (lost ball; steal by W. Iwundu),,6,9
1,8:16.0,,E. Fournier makes 2-pt dunk from 1 ft,6,11
1,8:08.0,Personal foul by W. Iwundu (drawn by R. Jackson),,6,11
1,7:57.0,Personal foul by E. Fournier (drawn by G. Robinson),,6,11
1,7:45.0,Turnover by B. Griffin (bad pass),,6,11
1,7:19.0,,D. Augustin misses 3-pt jump shot from 27 ft,6,11
1,7:19.0,,Offensive rebound by Team,6,11
1,7:19.0,,Turnover by Team (shot clock),6,11
1,7:07.0,Shooting foul by W. Iwundu (drawn by R. Jackson),,6,11
1,7:07.0,R. Jackson makes free throw 1 of 2,,7,11
1,7:07.0,R. Jackson makes free throw 2 of 2,,8,11
1,6:52.0,,W. Iwundu makes 2-pt layup from 4 ft (assist by E. Fournier),8,13
1,6:51.0,,Violation by Team (delay of game),8,13
1,6:39.0,G. Robinson misses 3-pt jump shot from 23 ft,,8,13
