QUARTER,TIME_REMAINING,HOUSTON_ACTION,SACRAMENTO_ACTION,HOUSTON_SCORE,SACRAMENTO_SCORE
1,11:48.0,,Turnover by B. Hield (bad pass; steal by P. Tucker),0,0
1,11:45.0,K. Faried misses 2-pt layup from 3 ft,,0,0
1,11:37.0,Offensive rebound by K. Faried,,0,0
1,11:37.0,K. Faried makes 2-pt layup from 1 ft,,2,0
1,11:25.0,,B. Hield misses 3-pt jump shot from 25 ft,2,0
1,11:22.0,Defensive rebound by K. Faried,,2,0
1,11:17.0,C. Paul misses 3-pt jump shot from 25 ft,,2,0
1,11:14.0,Offensive rebound by P. Tucker,,2,0
1,11:11.0,Turnover by P. Tucker (bad pass; steal by B. Bogdanović),,2,0
1,11:05.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by N. Bjelica),2,3
1,10:45.0,E. Gordon makes 3-pt jump shot from 26 ft (assist by C. Paul),,5,3
1,10:30.0,,N. Bjelica makes 2-pt layup from 1 ft (assist by D. Fox),5,5
1,10:10.0,J. Harden misses 2-pt layup from 3 ft (block by N. Bjelica),,5,5
1,10:07.0,,Defensive rebound by B. Hield,5,5
1,10:03.0,,Turnover by N. Bjelica (bad pass; steal by P. Tucker),5,5
1,9:58.0,J. Harden makes 2-pt layup from 2 ft,,7,5
1,9:51.0,,Turnover by D. Fox (bad pass; steal by P. Tucker),7,5
1,9:47.0,E. Gordon misses 3-pt jump shot from 26 ft,,7,5
1,9:45.0,,Defensive rebound by N. Bjelica,7,5
1,9:27.0,,D. Fox makes 2-pt layup from 1 ft (assist by B. Bogdanović),7,7
1,9:13.0,E. Gordon misses 3-pt jump shot from 25 ft,,7,7
1,9:09.0,,Defensive rebound by B. Bogdanović,7,7
1,9:08.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),7,9
1,8:43.0,C. Paul misses 2-pt layup from 2 ft,,7,9
1,8:41.0,Offensive rebound by P. Tucker,,7,9
1,8:40.0,P. Tucker misses 2-pt layup from 2 ft,,7,9
1,8:39.0,,Defensive rebound by N. Bjelica,7,9
1,8:35.0,,D. Fox misses 3-pt jump shot from 25 ft,7,9
1,8:35.0,,Offensive rebound by B. Hield,7,9
1,8:24.0,,Turnover by B. Hield (bad pass),7,9
1,8:10.0,J. Harden makes 3-pt jump shot from 26 ft,,10,9
1,7:55.0,,Turnover by D. Fox (bad pass; steal by J. Harden),10,9
1,7:50.0,E. Gordon misses 2-pt layup from 5 ft (block by D. Fox),,10,9
1,7:50.0,Offensive rebound by Team,,10,9
1,7:47.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Paul),,12,9
1,7:37.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),12,12
1,7:29.0,Personal foul by N. Bjelica (drawn by J. Harden),,12,12
1,7:11.0,J. Harden makes 2-pt layup from 2 ft,,14,12
1,7:02.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Fox),14,14
1,6:46.0,Personal foul by D. Fox (drawn by K. Faried),,14,14
1,6:46.0,,Sacramento full timeout,14,14
1,6:46.0,J. Ennis enters the game for E. Gordon,,14,14
1,6:46.0,A. Rivers enters the game for C. Paul,,14,14
1,6:46.0,,M. Bagley enters the game for W. Cauley-Stein,14,14
1,6:41.0,J. Ennis misses 2-pt layup from 2 ft,,14,14
1,6:39.0,,Defensive rebound by N. Bjelica,14,14
1,6:28.0,,B. Bogdanović misses 2-pt jump shot from 21 ft,14,14
1,6:21.0,,Offensive rebound by N. Bjelica,14,14
1,6:21.0,,Turnover by N. Bjelica (bad pass; steal by K. Faried),14,14
1,6:12.0,A. Rivers misses 3-pt jump shot from 25 ft,,14,14
1,6:08.0,,Defensive rebound by B. Hield,14,14
1,6:03.0,,B. Hield misses 3-pt jump shot from 25 ft,14,14
1,6:03.0,Defensive rebound by P. Tucker,,14,14
1,5:52.0,J. Harden misses 2-pt jump shot from 11 ft,,14,14
1,5:52.0,Offensive rebound by A. Rivers,,14,14
1,5:46.0,J. Ennis misses 2-pt layup from 3 ft,,14,14
1,5:43.0,,Defensive rebound by M. Bagley,14,14
1,5:40.0,,Personal foul by J. Ennis (drawn by D. Fox),14,14
1,5:40.0,G. Green enters the game for K. Faried,,14,14
1,5:40.0,,Y. Ferrell enters the game for D. Fox,14,14
1,5:32.0,,B. Hield misses 3-pt jump shot from 25 ft,14,14
1,5:28.0,,Offensive rebound by N. Bjelica,14,14
1,5:25.0,,N. Bjelica makes 2-pt layup from 3 ft,14,16
1,5:14.0,J. Harden misses 2-pt layup from 11 ft,,14,16
1,5:11.0,Offensive rebound by J. Harden,,14,16
1,5:11.0,J. Harden misses 2-pt layup from 3 ft (block by M. Bagley),,14,16
1,5:11.0,Offensive rebound by Team,,14,16
1,5:00.0,A. Rivers makes 2-pt layup from 2 ft,,16,16
1,4:41.0,,M. Bagley misses 3-pt jump shot from 25 ft,16,16
1,4:37.0,Defensive rebound by G. Green,,16,16
1,4:30.0,G. Green misses 2-pt jump shot from 6 ft,,16,16
1,4:27.0,,Defensive rebound by M. Bagley,16,16
1,4:23.0,,M. Bagley misses 2-pt hook shot from 7 ft,16,16
1,4:22.0,Defensive rebound by J. Ennis,,16,16
1,4:17.0,Personal foul by B. Bogdanović (drawn by J. Harden),,16,16
1,3:58.0,J. Harden misses 3-pt jump shot from 25 ft,,16,16
1,3:56.0,,Defensive rebound by B. Hield,16,16
1,3:51.0,,M. Bagley misses 2-pt jump shot from 5 ft,16,16
1,3:49.0,Defensive rebound by Team,,16,16
1,3:37.0,G. Green misses 3-pt jump shot from 26 ft,,16,16
1,3:33.0,,Defensive rebound by B. Bogdanović,16,16
1,3:25.0,,B. Hield misses 2-pt jump shot from 14 ft,16,16
1,3:24.0,,Offensive rebound by M. Bagley,16,16
1,3:24.0,,Shooting foul by J. Ennis (drawn by M. Bagley),16,16
1,3:24.0,,M. Bagley makes free throw 1 of 2,16,17
1,3:24.0,,H. Giles enters the game for N. Bjelica,16,17
1,3:24.0,,M. Bagley makes free throw 2 of 2,16,18
