QUARTER,TIME_REMAINING,HOUSTON_ACTION,NEW YORK_ACTION,HOUSTON_SCORE,NEW YORK_SCORE
1,11:47.0,P. Tucker misses 3-pt jump shot from 24 ft,,0,0
1,11:45.0,,Defensive rebound by L. Thomas,0,0
1,11:31.0,,L. Thomas misses 2-pt layup at rim (block by K. Faried),0,0
1,11:29.0,,Offensive rebound by Team,0,0
1,11:27.0,,T. Hardaway misses 2-pt jump shot from 18 ft,0,0
1,11:25.0,Defensive rebound by J. Harden,,0,0
1,11:05.0,J. Harden makes 3-pt jump shot from 26 ft,,3,0
1,11:05.0,Shooting foul by E. Mudiay (drawn by J. Harden),,3,0
1,11:05.0,J. Harden makes free throw 1 of 1,,4,0
1,10:58.0,,K. Knox misses 3-pt jump shot from 26 ft,4,0
1,10:56.0,Defensive rebound by K. Faried,,4,0
1,10:45.0,E. Gordon misses 2-pt layup from 1 ft (block by K. Knox),,4,0
1,10:44.0,Offensive rebound by P. Tucker,,4,0
1,10:43.0,P. Tucker misses 2-pt layup from 1 ft,,4,0
1,10:42.0,Offensive rebound by Team,,4,0
1,10:34.0,J. Harden makes 2-pt layup from 1 ft,,6,0
1,10:14.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by N. Vonleh),6,3
1,9:59.0,J. Harden misses 2-pt layup from 2 ft,,6,3
1,9:58.0,Offensive rebound by J. Harden,,6,3
1,9:57.0,J. Harden misses 2-pt layup from 1 ft,,6,3
1,9:55.0,Offensive rebound by J. Harden,,6,3
1,9:53.0,J. Harden misses 2-pt layup from 1 ft,,6,3
1,9:51.0,Offensive rebound by K. Faried,,6,3
1,9:51.0,K. Faried misses 2-pt layup at rim,,6,3
1,9:49.0,,Defensive rebound by T. Hardaway,6,3
1,9:46.0,,Shooting foul by A. Rivers (drawn by N. Vonleh),6,3
1,9:46.0,,N. Vonleh misses free throw 1 of 2,6,3
1,9:46.0,,Offensive rebound by Team,6,3
1,9:46.0,,N. Vonleh makes free throw 2 of 2,6,4
1,9:38.0,E. Gordon makes 2-pt layup from 1 ft,,8,4
1,9:25.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by T. Hardaway),8,7
1,9:03.0,A. Rivers misses 3-pt jump shot from 25 ft,,8,7
