QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,HOUSTON_ACTION,SACRAMENTO_SCORE,HOUSTON_SCORE
1,11:43.0,,E. Gordon misses 3-pt jump shot from 28 ft,0,0
1,11:40.0,Defensive rebound by W. Cauley-Stein,,0,0
1,11:16.0,M. Bagley misses 2-pt layup from 1 ft,,0,0
1,11:14.0,,Defensive rebound by J. Harden,0,0
1,11:09.0,,J. Harden misses 3-pt jump shot from 25 ft,0,0
1,11:07.0,Defensive rebound by D. Fox,,0,0
1,11:02.0,D. Fox makes 2-pt layup from 3 ft,,2,0
1,10:41.0,,Shooting foul by W. Cauley-Stein (drawn by J. Harden),2,0
1,10:41.0,,J. Harden makes free throw 1 of 2,2,1
1,10:41.0,,J. Harden makes free throw 2 of 2,2,2
1,10:30.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,5,2
1,10:13.0,,C. Paul makes 2-pt jump shot from 13 ft,5,4
1,10:04.0,Turnover by D. Fox (lost ball; steal by C. Paul),,5,4
1,9:54.0,,Turnover by E. Gordon (lost ball; steal by D. Fox),5,4
1,9:49.0,M. Bagley makes 2-pt layup from 1 ft,,7,4
1,9:36.0,,E. Gordon makes 2-pt jump shot from 1 ft,7,6
1,9:18.0,W. Cauley-Stein misses 2-pt hook shot from 6 ft,,7,6
1,9:16.0,,Defensive rebound by J. Harden,7,6
1,9:10.0,,J. Harden makes 3-pt jump shot from 26 ft,7,9
1,8:52.0,M. Bagley misses 3-pt jump shot from 26 ft,,7,9
1,8:52.0,,Defensive rebound by Team,7,9
1,8:35.0,,J. Harden misses 3-pt jump shot from 27 ft,7,9
1,8:33.0,Defensive rebound by W. Cauley-Stein,,7,9
1,8:11.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Hield),,9,9
1,7:58.0,,C. Capela misses 2-pt layup from 3 ft,9,9
1,7:56.0,Defensive rebound by B. Hield,,9,9
1,7:50.0,H. Barnes misses 3-pt jump shot from 22 ft,,9,9
1,7:48.0,,Defensive rebound by C. Capela,9,9
1,7:39.0,,Shooting foul by W. Cauley-Stein (drawn by J. Harden),9,9
1,7:39.0,,J. Harden makes free throw 1 of 2,9,10
1,7:39.0,B. Bogdanović enters the game for W. Cauley-Stein,,9,10
1,7:39.0,,J. Harden misses free throw 2 of 2,9,10
1,7:39.0,Defensive rebound by M. Bagley,,9,10
1,7:14.0,H. Barnes misses 2-pt jump shot from 15 ft,,9,10
1,7:13.0,,Defensive rebound by C. Capela,9,10
