QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW YORK_ACTION,DALLAS_SCORE,NEW YORK_SCORE
1,11:45.0,D. Jordan makes 2-pt hook shot from 4 ft (assist by L. Dončić),,2,0
1,11:29.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Knox),2,3
1,11:19.0,L. Dončić misses 3-pt jump shot from 26 ft,,2,3
1,11:18.0,,Defensive rebound by Team,2,3
1,11:08.0,,K. Knox misses 2-pt jump shot from 21 ft,2,3
1,11:06.0,Defensive rebound by L. Dončić,,2,3
1,11:00.0,L. Dončić makes 2-pt jump shot from 15 ft,,4,3
1,10:41.0,,T. Burke misses 3-pt jump shot from 23 ft,4,3
1,10:39.0,Defensive rebound by D. Smith,,4,3
1,10:33.0,W. Matthews makes 3-pt jump shot from 22 ft (assist by D. Smith),,7,3
1,10:20.0,,L. Thomas misses 3-pt jump shot from 24 ft,7,3
1,10:18.0,Defensive rebound by D. Jordan,,7,3
1,10:09.0,H. Barnes misses 2-pt jump shot from 20 ft,,7,3
1,10:07.0,,Defensive rebound by N. Vonleh,7,3
1,9:59.0,,N. Vonleh misses 2-pt layup from 1 ft,7,3
1,9:57.0,Defensive rebound by D. Smith,,7,3
1,9:45.0,D. Smith misses 3-pt jump shot from 27 ft,,7,3
1,9:43.0,,Defensive rebound by T. Hardaway,7,3
1,9:37.0,,K. Knox misses 3-pt jump shot from 25 ft,7,3
1,9:36.0,Defensive rebound by Team,,7,3
1,9:24.0,L. Dončić makes 2-pt dunk from 1 ft,,9,3
1,9:17.0,,New York full timeout,9,3
1,9:04.0,,K. Knox misses 2-pt jump shot from 22 ft,9,3
1,9:02.0,,Offensive rebound by N. Vonleh,9,3
1,9:00.0,,N. Vonleh makes 2-pt dunk at rim,9,5
1,8:32.0,L. Dončić misses 2-pt jump shot from 4 ft,,9,5
1,8:30.0,,Defensive rebound by N. Vonleh,9,5
1,8:23.0,,K. Knox misses 3-pt jump shot from 26 ft,9,5
1,8:21.0,Defensive rebound by H. Barnes,,9,5
1,8:09.0,Turnover by H. Barnes (back court),,9,5
1,7:59.0,,T. Hardaway misses 3-pt jump shot from 26 ft,9,5
1,7:57.0,Defensive rebound by D. Jordan,,9,5
1,7:43.0,D. Smith makes 2-pt layup from 1 ft,,11,5
1,7:32.0,,T. Burke makes 2-pt jump shot from 13 ft,11,7
1,7:09.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Smith),,14,7
1,6:59.0,,T. Burke makes 2-pt layup from 1 ft,14,9
1,6:44.0,Turnover by D. Smith (bad pass),,14,9
1,6:33.0,,L. Thomas makes 2-pt dunk at rim (assist by N. Vonleh),14,11
1,6:17.0,Turnover by D. Smith (bad pass; steal by T. Hardaway),,14,11
1,6:11.0,,T. Hardaway misses 3-pt jump shot from 25 ft,14,11
1,6:09.0,Defensive rebound by D. Jordan,,14,11
1,5:59.0,H. Barnes misses 3-pt jump shot from 23 ft,,14,11
1,5:57.0,,Defensive rebound by K. Knox,14,11
1,5:50.0,,New York full timeout,14,11
1,5:50.0,D. Finney-Smith enters the game for L. Dončić,,14,11
1,5:50.0,,M. Robinson enters the game for N. Vonleh,14,11
1,5:40.0,,Turnover by T. Hardaway (bad pass; steal by D. Finney-Smith),14,11
1,5:34.0,W. Matthews misses 3-pt jump shot from 26 ft,,14,11
1,5:32.0,,Defensive rebound by T. Hardaway,14,11
1,5:24.0,,Shooting foul by D. Finney-Smith (drawn by M. Robinson),14,11
1,5:24.0,,M. Robinson misses free throw 1 of 2,14,11
1,5:24.0,,Offensive rebound by Team,14,11
1,5:24.0,,M. Robinson misses free throw 2 of 2,14,11
1,5:22.0,Defensive rebound by D. Finney-Smith,,14,11
1,5:09.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by W. Matthews),,17,11
1,4:51.0,,T. Hardaway misses 2-pt jump shot from 19 ft,17,11
1,4:49.0,Defensive rebound by W. Matthews,,17,11
1,4:38.0,Shooting foul by M. Robinson (drawn by H. Barnes),,17,11
1,4:38.0,,D. Dotson enters the game for T. Hardaway,17,11
1,4:38.0,,A. Trier enters the game for K. Knox,17,11
1,4:38.0,H. Barnes makes free throw 1 of 2,,18,11
1,4:38.0,H. Barnes makes free throw 2 of 2,,19,11
1,4:18.0,,T. Burke makes 2-pt jump shot from 19 ft,19,13
1,3:56.0,W. Matthews misses 2-pt jump shot from 11 ft,,19,13
1,3:54.0,Offensive rebound by Team,,19,13
1,3:47.0,H. Barnes misses 3-pt jump shot from 23 ft,,19,13
