QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
1,11:47.0,,K. Leonard makes 2-pt jump shot from 9 ft,0,2
1,11:31.0,Turnover by A. Gordon (lost ball; steal by K. Lowry),,0,2
1,11:17.0,,Turnover by K. Lowry (bad pass; steal by A. Gordon),0,2
1,11:08.0,D. Augustin makes 2-pt jump shot from 13 ft,,2,2
1,10:55.0,,P. Siakam makes 2-pt layup from 3 ft (assist by K. Leonard),2,4
1,10:44.0,N. Vučević misses 3-pt jump shot from 26 ft,,2,4
1,10:41.0,,Defensive rebound by M. Gasol,2,4
1,10:37.0,,D. Green misses 3-pt jump shot from 26 ft,2,4
1,10:35.0,Defensive rebound by N. Vučević,,2,4
1,10:30.0,Personal foul by K. Lowry (drawn by D. Augustin),,2,4
1,10:22.0,A. Gordon misses 2-pt jump shot from 11 ft,,2,4
1,10:19.0,,Defensive rebound by K. Lowry,2,4
1,10:16.0,,Personal foul by D. Augustin (drawn by K. Lowry),2,4
1,10:10.0,,K. Leonard makes 2-pt jump shot from 17 ft,2,6
1,9:53.0,E. Fournier makes 2-pt jump shot from 16 ft (assist by N. Vučević),,4,6
1,9:43.0,,M. Gasol misses 3-pt jump shot from 26 ft,4,6
1,9:40.0,Defensive rebound by A. Gordon,,4,6
1,9:33.0,D. Augustin misses 2-pt jump shot from 1 ft,,4,6
1,9:30.0,,Defensive rebound by K. Leonard,4,6
1,9:27.0,,D. Green misses 3-pt jump shot from 23 ft,4,6
1,9:27.0,,Offensive rebound by Team,4,6
1,9:13.0,,P. Siakam misses 2-pt jump shot from 2 ft (block by J. Isaac),4,6
1,9:10.0,Defensive rebound by A. Gordon,,4,6
1,9:08.0,Shooting foul by D. Green (drawn by A. Gordon),,4,6
1,9:08.0,A. Gordon makes free throw 1 of 2,,5,6
1,9:08.0,A. Gordon makes free throw 2 of 2,,6,6
1,8:47.0,,K. Leonard makes 3-pt jump shot from 26 ft,6,9
1,8:34.0,E. Fournier misses 2-pt jump shot from 2 ft,,6,9
1,8:34.0,,Defensive rebound by D. Green,6,9
1,8:34.0,,Personal foul by E. Fournier (drawn by D. Green),6,9
1,8:19.0,,M. Gasol makes 2-pt jump shot from 4 ft (assist by K. Lowry),6,11
1,7:57.0,J. Isaac makes 2-pt layup from 2 ft (assist by D. Augustin),,8,11
1,7:50.0,,K. Lowry misses 3-pt jump shot from 25 ft,8,11
1,7:49.0,Defensive rebound by Team,,8,11
1,7:34.0,E. Fournier misses 2-pt jump shot from 2 ft,,8,11
1,7:34.0,,Defensive rebound by Team,8,11
1,7:17.0,,P. Siakam misses 3-pt jump shot from 24 ft,8,11
1,7:14.0,Defensive rebound by J. Isaac,,8,11
1,7:06.0,N. Vučević misses 2-pt hook shot from 3 ft,,8,11
1,7:04.0,,Defensive rebound by M. Gasol,8,11
1,6:52.0,,Personal foul by J. Isaac (drawn by K. Leonard),8,11
1,6:52.0,,Toronto full timeout,8,11
1,6:49.0,,Personal foul by A. Gordon (drawn by K. Leonard),8,11
1,6:43.0,,K. Lowry misses 3-pt jump shot from 26 ft,8,11
1,6:40.0,Defensive rebound by J. Isaac,,8,11
1,6:34.0,D. Augustin makes 2-pt hook shot from 6 ft,,10,11
1,6:20.0,,M. Gasol makes 2-pt jump shot from 21 ft (assist by P. Siakam),10,13
1,5:51.0,N. Vučević misses 2-pt hook shot from 2 ft,,10,13
1,5:49.0,,Defensive rebound by P. Siakam,10,13
1,5:39.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by M. Gasol),10,15
1,5:22.0,D. Augustin makes 2-pt layup from 1 ft,,12,15
1,5:22.0,,Violation by Team (def goaltending),12,15
1,5:12.0,,P. Siakam makes 2-pt hook shot from 2 ft,12,17
1,5:12.0,W. Iwundu enters the game for E. Fournier,,12,17
1,5:12.0,T. Ross enters the game for J. Isaac,,12,17
1,5:12.0,,F. VanVleet enters the game for K. Lowry,12,17
1,4:44.0,D. Augustin makes 3-pt jump shot from 25 ft (assist by T. Ross),,15,17
1,4:44.0,,S. Ibaka enters the game for P. Siakam,15,17
1,4:17.0,,S. Ibaka misses 2-pt hook shot from 4 ft,15,17
1,4:15.0,Defensive rebound by A. Gordon,,15,17
1,4:12.0,Shooting foul by D. Green (drawn by T. Ross),,15,17
1,4:12.0,T. Ross makes free throw 1 of 3,,16,17
1,4:12.0,T. Ross makes free throw 2 of 3,,17,17
1,4:12.0,M. Carter-Williams enters the game for D. Augustin,,17,17
1,4:12.0,,N. Powell enters the game for D. Green,17,17
1,4:12.0,T. Ross makes free throw 3 of 3,,18,17
1,3:52.0,,Shooting foul by W. Iwundu (drawn by K. Leonard),18,17
1,3:52.0,,K. Leonard makes free throw 1 of 2,18,18
1,3:52.0,,K. Leonard makes free throw 2 of 2,18,19
