QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
1,11:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,0,0
1,11:37.0,,Offensive rebound by M. Beasley,0,0
1,11:34.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by M. Beasley),0,2
1,11:11.0,J. Jackson misses 2-pt jump shot from 6 ft,,0,2
1,11:06.0,Offensive rebound by J. Jackson,,0,2
1,11:05.0,J. Jackson misses 2-pt layup from 2 ft (block by I. Zubac),,0,2
1,11:03.0,Offensive rebound by E. Okobo,,0,2
1,11:01.0,Turnover by D. Bender (step out of bounds),,0,2
1,10:40.0,,I. Zubac misses 2-pt hook shot from 5 ft,0,2
1,10:38.0,Defensive rebound by D. Bender,,0,2
1,10:30.0,D. Booker misses 2-pt layup from 2 ft,,0,2
1,10:24.0,Offensive rebound by D. Bender,,0,2
1,10:24.0,D. Bender makes 2-pt layup at rim,,2,2
1,10:10.0,,Shooting foul by D. Bender (drawn by I. Zubac),2,2
1,10:10.0,,I. Zubac makes free throw 1 of 2,2,3
1,10:10.0,,I. Zubac makes free throw 2 of 2,2,4
1,9:56.0,J. Jackson misses 3-pt jump shot from 25 ft,,2,4
1,9:52.0,,Defensive rebound by I. Zubac,2,4
1,9:45.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,2,4
1,9:41.0,,Offensive rebound by K. Caldwell-Pope,2,4
1,9:41.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,2,6
1,9:33.0,M. Bridges misses 3-pt jump shot from 25 ft,,2,6
1,9:30.0,,Defensive rebound by R. Rondo,2,6
1,9:17.0,,B. Ingram makes 2-pt layup from 3 ft,2,8
1,9:07.0,Turnover by D. Bender (bad pass),,2,8
1,8:49.0,,B. Ingram makes 2-pt hook shot from 5 ft,2,10
1,8:47.0,Phoenix full timeout,,2,10
1,8:41.0,J. Jackson misses 2-pt layup from 4 ft (block by I. Zubac),,2,10
1,8:41.0,Offensive rebound by Team,,2,10
1,8:31.0,E. Okobo misses 2-pt jump shot from 17 ft,,2,10
1,8:27.0,,Defensive rebound by R. Rondo,2,10
1,8:18.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,2,10
1,8:14.0,Defensive rebound by J. Jackson,,2,10
1,8:06.0,D. Bender misses 3-pt jump shot from 26 ft,,2,10
1,8:03.0,,Defensive rebound by I. Zubac,2,10
1,7:49.0,,B. Ingram makes 2-pt jump shot from 8 ft,2,12
1,7:32.0,M. Bridges makes 2-pt jump shot from 8 ft,,4,12
1,7:17.0,,I. Zubac misses 2-pt hook shot from 4 ft,4,12
1,7:15.0,,Offensive rebound by I. Zubac,4,12
1,7:13.0,,I. Zubac makes 2-pt layup from 1 ft,4,14
1,6:57.0,J. Jackson makes 2-pt layup from 5 ft (assist by D. Booker),,6,14
1,6:57.0,Shooting foul by M. Beasley (drawn by J. Jackson),,6,14
1,6:57.0,R. Holmes enters the game for D. Bender,,6,14
1,6:57.0,J. Jackson makes free throw 1 of 1,,7,14
1,6:41.0,,M. Beasley misses 2-pt layup from 4 ft (block by J. Jackson),7,14
1,6:40.0,Defensive rebound by M. Bridges,,7,14
1,6:40.0,K. Oubre enters the game for J. Jackson,,7,14
1,6:28.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by D. Booker),,10,14
1,6:25.0,,LA Lakers full timeout,10,14
1,6:25.0,,J. Hart enters the game for M. Beasley,10,14
1,6:10.0,,Turnover by K. Caldwell-Pope (bad pass; steal by R. Holmes),10,14
