QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
1,11:37.0,,E. Bledsoe makes 2-pt jump shot from 16 ft,0,2
1,11:24.0,Turnover by I. Shumpert (bad pass),,0,2
1,11:11.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,0,5
1,10:59.0,B. Hield makes 2-pt jump shot from 17 ft (assist by W. Cauley-Stein),,2,5
1,10:36.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,2,7
1,10:22.0,N. Bjelica misses 2-pt layup from 5 ft (block by B. Lopez),,2,7
1,10:21.0,Offensive rebound by W. Cauley-Stein,,2,7
1,10:21.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,4,7
1,10:09.0,,B. Lopez misses 3-pt jump shot from 27 ft,4,7
1,10:07.0,,Offensive rebound by G. Antetokounmpo,4,7
1,10:01.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,4,7
1,9:58.0,Defensive rebound by N. Bjelica,,4,7
1,9:55.0,B. Hield makes 3-pt jump shot from 27 ft,,7,7
1,9:40.0,,Turnover by E. Bledsoe (lost ball),7,7
1,9:35.0,B. Hield makes 2-pt layup from 1 ft,,9,7
1,9:19.0,,M. Brogdon misses 2-pt layup from 3 ft,9,7
1,9:17.0,Defensive rebound by N. Bjelica,,9,7
1,9:11.0,D. Fox makes 3-pt jump shot from 28 ft (assist by N. Bjelica),,12,7
1,8:57.0,,B. Lopez misses 3-pt jump shot from 27 ft,12,7
1,8:57.0,Defensive rebound by I. Shumpert,,12,7
1,8:47.0,N. Bjelica misses 2-pt jump shot from 3 ft,,12,7
1,8:45.0,Offensive rebound by N. Bjelica,,12,7
1,8:45.0,N. Bjelica makes 2-pt layup from 1 ft,,14,7
1,8:45.0,,Milwaukee full timeout,14,7
1,8:45.0,,Away from play foul by B. Hield (drawn by E. Bledsoe),14,7
1,8:45.0,,K. Middleton makes free throw 1 of 1,14,8
1,8:26.0,,B. Lopez misses 3-pt jump shot from 27 ft,14,8
1,8:23.0,,Offensive rebound by G. Antetokounmpo,14,8
1,8:18.0,,Shooting foul by D. Fox (drawn by E. Bledsoe),14,8
1,8:18.0,,E. Bledsoe makes free throw 1 of 2,14,9
1,8:18.0,,E. Bledsoe makes free throw 2 of 2,14,10
1,8:05.0,D. Fox misses 2-pt jump shot from 16 ft,,14,10
1,8:02.0,,Defensive rebound by E. Bledsoe,14,10
1,7:47.0,,M. Brogdon misses 2-pt layup from 2 ft,14,10
1,7:45.0,Defensive rebound by W. Cauley-Stein,,14,10
1,7:41.0,Turnover by B. Hield (bad pass),,14,10
1,7:30.0,,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),14,10
1,7:30.0,,G. Antetokounmpo makes free throw 1 of 2,14,11
1,7:30.0,,E. İlyasova enters the game for M. Brogdon,14,11
1,7:30.0,,G. Antetokounmpo makes free throw 2 of 2,14,12
1,7:23.0,D. Fox misses 2-pt layup from 3 ft,,14,12
1,7:21.0,Offensive rebound by B. Hield,,14,12
1,7:18.0,B. Hield misses 3-pt jump shot from 27 ft,,14,12
1,7:14.0,,Defensive rebound by K. Middleton,14,12
1,7:10.0,,K. Middleton makes 3-pt jump shot from 26 ft,14,15
1,7:01.0,I. Shumpert misses 3-pt jump shot from 27 ft,,14,15
1,6:58.0,,Defensive rebound by E. Bledsoe,14,15
