QUARTER,TIME_REMAINING,MEMPHIS_ACTION,PHILADELPHIA_ACTION,MEMPHIS_SCORE,PHILADELPHIA_SCORE
1,11:45.0,,B. Simmons makes 2-pt layup at rim,0,2
1,11:25.0,M. Conley misses 2-pt jump shot from 22 ft,,0,2
1,11:22.0,,Defensive rebound by J. Embiid,0,2
1,11:16.0,,B. Simmons makes 2-pt layup from 1 ft,0,4
1,10:49.0,M. Conley misses 2-pt jump shot from 20 ft,,0,4
1,10:46.0,,Defensive rebound by M. Muscala,0,4
1,10:43.0,,Shooting foul by G. Temple (drawn by M. Muscala),0,4
1,10:43.0,,M. Muscala makes free throw 1 of 2,0,5
1,10:43.0,,M. Muscala makes free throw 2 of 2,0,6
1,10:33.0,J. Jackson makes 3-pt jump shot from 30 ft (assist by M. Gasol),,3,6
1,10:16.0,,B. Simmons makes 2-pt layup from 6 ft (assist by J. Butler),3,8
1,9:59.0,J. Jackson misses 3-pt jump shot from 25 ft,,3,8
1,9:57.0,,Defensive rebound by M. Muscala,3,8
1,9:51.0,,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),3,10
1,9:50.0,Memphis full timeout,,3,10
1,9:35.0,M. Gasol misses 2-pt jump shot from 16 ft,,3,10
1,9:32.0,,Defensive rebound by J. Redick,3,10
1,9:21.0,,J. Redick misses 2-pt jump shot from 20 ft,3,10
1,9:18.0,Defensive rebound by J. Jackson,,3,10
1,9:02.0,Turnover by J. Jackson (traveling),,3,10
1,8:48.0,,Personal foul by M. Gasol (drawn by J. Embiid),3,10
1,8:47.0,,Turnover by J. Butler (bad pass),3,10
1,8:29.0,J. Jackson misses 3-pt jump shot from 29 ft,,3,10
1,8:25.0,,Defensive rebound by J. Embiid,3,10
1,8:07.0,,Turnover by B. Simmons (lost ball; steal by J. Jackson),3,10
1,7:57.0,J. Jackson makes 2-pt layup from 17 ft (assist by M. Conley),,5,10
1,7:50.0,,Offensive foul by J. Embiid (drawn by M. Gasol),5,10
1,7:50.0,,Turnover by J. Embiid (offensive foul),5,10
1,7:38.0,M. Gasol misses 2-pt jump shot from 17 ft,,5,10
1,7:34.0,,Defensive rebound by B. Simmons,5,10
1,7:29.0,,Turnover by B. Simmons (bad pass; steal by M. Conley),5,10
1,7:18.0,Turnover by M. Conley (bad pass; steal by J. Embiid),,5,10
1,7:13.0,,J. Embiid misses 2-pt dunk from 2 ft (block by J. Jackson),5,10
1,7:13.0,,Offensive rebound by Team,5,10
1,7:11.0,,J. Redick misses 2-pt jump shot from 13 ft (block by M. Conley),5,10
1,7:08.0,,Offensive rebound by B. Simmons,5,10
1,7:05.0,,B. Simmons misses 2-pt jump shot from 5 ft (block by J. Jackson),5,10
1,7:00.0,Defensive rebound by K. Anderson,,5,10
1,6:55.0,J. Jackson misses 2-pt hook shot from 10 ft,,5,10
1,6:53.0,,Defensive rebound by J. Embiid,5,10
1,6:49.0,,Shooting foul by K. Anderson (drawn by B. Simmons),5,10
1,6:49.0,,B. Simmons misses free throw 1 of 2,5,10
1,6:49.0,,Offensive rebound by Team,5,10
1,6:49.0,,A. Johnson enters the game for J. Embiid,5,10
1,6:49.0,,T. McConnell enters the game for M. Muscala,5,10
1,6:49.0,,L. Shamet enters the game for J. Redick,5,10
1,6:49.0,,B. Simmons misses free throw 2 of 2,5,10
1,6:47.0,Defensive rebound by K. Anderson,,5,10
1,6:35.0,M. Conley makes 2-pt jump shot from 15 ft,,7,10
1,6:28.0,,Personal foul by J. Jackson (drawn by B. Simmons),7,10
1,6:28.0,J. Green enters the game for M. Conley,,7,10
1,6:28.0,S. Mack enters the game for J. Jackson,,7,10
1,6:17.0,,J. Butler misses 3-pt jump shot from 27 ft,7,10
1,6:14.0,Defensive rebound by M. Gasol,,7,10
1,6:07.0,Turnover by M. Gasol (bad pass),,7,10
1,5:55.0,,J. Butler makes 2-pt jump shot from 11 ft,7,12
1,5:38.0,G. Temple makes 2-pt layup from 2 ft (assist by M. Gasol),,9,12
1,5:27.0,,Shooting foul by J. Green (drawn by B. Simmons),9,12
1,5:27.0,,B. Simmons misses free throw 1 of 2,9,12
1,5:27.0,,Offensive rebound by Team,9,12
1,5:27.0,M. Brooks enters the game for G. Temple,,9,12
1,5:27.0,,B. Simmons makes free throw 2 of 2,9,13
1,5:08.0,J. Green misses 3-pt jump shot from 24 ft,,9,13
1,5:04.0,,Defensive rebound by B. Simmons,9,13
1,4:58.0,,B. Simmons makes 2-pt layup from 5 ft,9,15
1,4:46.0,J. Green makes 2-pt dunk from 1 ft (assist by K. Anderson),,11,15
1,4:37.0,,J. Butler makes 2-pt layup from 2 ft (assist by T. McConnell),11,17
1,4:19.0,S. Mack misses 3-pt jump shot from 28 ft,,11,17
1,4:15.0,,Defensive rebound by J. Butler,11,17
