QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
1,11:47.0,W. Chandler makes 2-pt layup from 2 ft (assist by J. Embiid),,2,0
1,11:30.0,,T. Ariza misses 2-pt jump shot from 1 ft,2,0
1,11:27.0,,Offensive rebound by T. Ariza,2,0
1,11:27.0,,T. Ariza makes 2-pt layup at rim,2,2
1,11:19.0,J. Embiid makes 2-pt hook shot from 2 ft (assist by F. Korkmaz),,4,2
1,11:05.0,,B. Beal makes 3-pt jump shot from 26 ft,4,5
1,10:49.0,B. Simmons misses 2-pt jump shot from 16 ft,,4,5
1,10:45.0,,Defensive rebound by T. Ariza,4,5
1,10:33.0,,T. Satoranský misses 2-pt jump shot from 13 ft,4,5
1,10:29.0,Defensive rebound by J. Embiid,,4,5
1,10:18.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,4,5
1,10:15.0,,Defensive rebound by J. Green,4,5
1,10:10.0,,Turnover by B. Beal (bad pass; steal by F. Korkmaz),4,5
1,10:03.0,Turnover by B. Simmons (bad pass),,4,5
1,9:50.0,,Turnover by T. Satoranský (out of bounds lost ball),4,5
1,9:38.0,Personal foul by T. Bryant (drawn by J. Embiid),,4,5
1,9:25.0,Shooting foul by T. Ariza (drawn by J. Embiid),,4,5
1,9:25.0,J. Embiid makes free throw 1 of 2,,5,5
1,9:25.0,J. Embiid makes free throw 2 of 2,,6,5
1,9:09.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Ariza),6,8
1,8:52.0,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),,8,8
1,8:41.0,,T. Bryant misses 2-pt jump shot from 16 ft,8,8
1,8:37.0,Defensive rebound by B. Simmons,,8,8
1,8:33.0,Turnover by B. Simmons (bad pass; steal by T. Bryant),,8,8
1,8:29.0,,Turnover by T. Ariza (bad pass; steal by F. Korkmaz),8,8
1,8:25.0,Turnover by F. Korkmaz (bad pass; steal by T. Ariza),,8,8
1,8:20.0,,T. Ariza makes 2-pt dunk from 1 ft,8,10
