QUARTER,TIME_REMAINING,TORONTO_ACTION,HOUSTON_ACTION,TORONTO_SCORE,HOUSTON_SCORE
1,11:38.0,K. Lowry misses 3-pt jump shot from 26 ft,,0,0
1,11:35.0,,Defensive rebound by E. Gordon,0,0
1,11:29.0,,Personal foul by P. Siakam (drawn by E. Gordon),0,0
1,11:23.0,,E. Gordon misses 3-pt jump shot from 24 ft,0,0
1,11:22.0,Defensive rebound by S. Ibaka,,0,0
1,11:08.0,Turnover by S. Ibaka (lost ball; steal by P. Tucker),,0,0
1,11:05.0,,J. Harden misses 2-pt layup from 3 ft,0,0
1,11:05.0,,Offensive rebound by P. Tucker,0,0
1,11:02.0,,P. Tucker makes 2-pt hook shot from 1 ft,0,2
1,10:43.0,S. Ibaka makes 2-pt jump shot from 14 ft (assist by D. Green),,2,2
1,10:30.0,,A. Rivers misses 3-pt jump shot from 27 ft,2,2
1,10:29.0,,Offensive rebound by K. Faried,2,2
1,10:17.0,,E. Gordon misses 2-pt layup from 4 ft,2,2
1,10:16.0,Defensive rebound by K. Lowry,,2,2
1,10:10.0,D. Green misses 3-pt jump shot from 27 ft,,2,2
1,10:10.0,Offensive rebound by Team,,2,2
1,10:00.0,K. Leonard misses 2-pt jump shot from 13 ft,,2,2
1,9:59.0,,Defensive rebound by K. Faried,2,2
1,9:51.0,,J. Harden misses 2-pt layup from 5 ft,2,2
1,9:51.0,,Offensive rebound by K. Faried,2,2
1,9:44.0,,A. Rivers makes 2-pt layup from 4 ft (assist by P. Tucker),2,4
1,9:34.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,4,4
1,9:23.0,,Shooting foul by S. Ibaka (drawn by E. Gordon),4,4
1,9:23.0,,E. Gordon makes free throw 1 of 2,4,5
1,9:23.0,,E. Gordon makes free throw 2 of 2,4,6
1,9:12.0,D. Green makes 2-pt layup from 7 ft (assist by K. Lowry),,6,6
1,8:56.0,,Shooting foul by D. Green (drawn by J. Harden),6,6
1,8:56.0,,J. Harden makes free throw 1 of 2,6,7
1,8:56.0,,J. Harden makes free throw 2 of 2,6,8
1,8:40.0,K. Leonard makes 2-pt jump shot from 17 ft,,8,8
1,8:32.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by A. Rivers),8,11
1,8:13.0,Turnover by K. Lowry (bad pass; steal by E. Gordon),,8,11
1,8:02.0,,P. Tucker misses 3-pt jump shot from 23 ft,8,11
1,8:01.0,Defensive rebound by P. Siakam,,8,11
1,7:44.0,Turnover by K. Leonard (lost ball; steal by E. Gordon),,8,11
1,7:42.0,,Personal foul by K. Leonard (drawn by P. Tucker),8,11
1,7:27.0,,K. Faried makes 2-pt dunk from 1 ft (assist by J. Harden),8,13
1,7:09.0,S. Ibaka misses 2-pt jump shot from 19 ft,,8,13
1,7:08.0,,Defensive rebound by P. Tucker,8,13
1,6:58.0,,P. Tucker makes 3-pt jump shot from 25 ft (assist by J. Harden),8,16
1,6:58.0,Toronto full timeout,,8,16
1,6:58.0,,J. Ennis enters the game for A. Rivers,8,16
1,6:49.0,Personal foul by P. Tucker (drawn by K. Leonard),,8,16
1,6:35.0,S. Ibaka misses 3-pt jump shot from 27 ft,,8,16
1,6:34.0,,Defensive rebound by J. Harden,8,16
1,6:20.0,,J. Harden makes 3-pt jump shot from 27 ft,8,19
1,6:07.0,P. Siakam misses 2-pt jump shot from 7 ft,,8,19
1,6:05.0,Offensive rebound by Team,,8,19
1,6:05.0,,G. Green enters the game for E. Gordon,8,19
1,5:59.0,K. Lowry misses 3-pt jump shot from 28 ft,,8,19
1,5:58.0,,Defensive rebound by K. Faried,8,19
1,5:44.0,,J. Harden makes 2-pt jump shot from 4 ft,8,21
1,5:32.0,K. Leonard misses 2-pt layup from 6 ft,,8,21
1,5:31.0,,Defensive rebound by K. Faried,8,21
1,5:21.0,,Turnover by J. Harden (bad pass; steal by K. Leonard),8,21
1,5:19.0,K. Leonard makes 2-pt layup from 3 ft,,10,21
1,4:55.0,,J. Harden misses 3-pt jump shot from 26 ft,10,21
1,4:54.0,,Offensive rebound by J. Ennis,10,21
