QUARTER,TIME_REMAINING,INDIANA_ACTION,OKLAHOMA CITY_ACTION,INDIANA_SCORE,OKLAHOMA CITY_SCORE
1,11:38.0,,S. Adams makes 2-pt dunk at rim (assist by T. Ferguson),0,2
1,11:20.0,M. Turner misses 2-pt jump shot from 15 ft,,0,2
1,11:18.0,,Defensive rebound by R. Westbrook,0,2
1,11:13.0,,R. Westbrook makes 2-pt layup from 1 ft,0,4
1,11:08.0,Turnover by B. Bogdanović (step out of bounds),,0,4
1,10:53.0,,S. Adams makes 2-pt jump shot from 10 ft (assist by R. Westbrook),0,6
1,10:34.0,T. Young makes 2-pt hook shot from 7 ft,,2,6
1,10:16.0,,P. George misses 2-pt jump shot from 17 ft,2,6
1,10:13.0,,Offensive rebound by S. Adams,2,6
1,10:04.0,,T. Ferguson misses 2-pt dunk from 2 ft,2,6
1,10:03.0,Defensive rebound by T. Young,,2,6
1,9:51.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Collison),,5,6
1,9:30.0,,S. Adams misses 2-pt layup from 1 ft (block by M. Turner),5,6
1,9:26.0,Defensive rebound by M. Turner,,5,6
1,9:23.0,W. Matthews misses 3-pt jump shot from 23 ft,,5,6
1,9:19.0,,Defensive rebound by T. Ferguson,5,6
1,9:16.0,,Shooting foul by B. Bogdanović (drawn by R. Westbrook),5,6
1,9:16.0,,R. Westbrook misses free throw 1 of 2,5,6
1,9:16.0,,Offensive rebound by Team,5,6
1,9:16.0,,R. Westbrook makes free throw 2 of 2,5,7
1,9:02.0,W. Matthews makes 2-pt jump shot from 12 ft,,7,7
1,8:50.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),7,9
1,8:27.0,D. Collison misses 2-pt layup from 5 ft,,7,9
1,8:26.0,,Defensive rebound by R. Westbrook,7,9
1,8:20.0,,T. Ferguson misses 3-pt jump shot from 25 ft,7,9
1,8:16.0,,Offensive rebound by J. Grant,7,9
1,8:15.0,,T. Ferguson misses 3-pt jump shot from 24 ft,7,9
1,8:13.0,Defensive rebound by M. Turner,,7,9
1,8:05.0,Shooting foul by T. Ferguson (drawn by M. Turner),,7,9
1,8:05.0,M. Turner misses free throw 1 of 2,,7,9
1,8:05.0,Offensive rebound by Team,,7,9
1,8:05.0,M. Turner makes free throw 2 of 2,,8,9
1,7:49.0,,P. George makes 2-pt jump shot from 3 ft,8,11
1,7:36.0,B. Bogdanović misses 2-pt jump shot from 13 ft,,8,11
1,7:34.0,,Defensive rebound by R. Westbrook,8,11
1,7:28.0,,J. Grant misses 3-pt jump shot from 23 ft,8,11
1,7:24.0,,Offensive rebound by S. Adams,8,11
1,7:17.0,,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),8,14
1,6:55.0,,Oklahoma City full timeout,8,14
1,6:50.0,D. Collison makes 3-pt jump shot from 26 ft (assist by M. Turner),,11,14
1,6:32.0,,J. Grant misses 2-pt jump shot from 9 ft,11,14
1,6:29.0,Defensive rebound by D. Collison,,11,14
1,6:22.0,Turnover by D. Collison (lost ball; steal by R. Westbrook),,11,14
1,6:20.0,,P. George misses 3-pt jump shot from 25 ft,11,14
1,6:17.0,Defensive rebound by Team,,11,14
1,6:07.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),,13,14
1,5:56.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),13,17
1,5:56.0,,D. Schröder enters the game for P. George,13,17
1,5:37.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by W. Matthews),,15,17
1,5:19.0,,J. Grant misses 2-pt jump shot from 5 ft,15,17
1,5:17.0,Defensive rebound by M. Turner,,15,17
1,5:15.0,Turnover by M. Turner (bad pass; steal by D. Schröder),,15,17
1,5:10.0,,D. Schröder misses 3-pt jump shot from 23 ft,15,17
1,5:06.0,Defensive rebound by D. Collison,,15,17
1,4:58.0,D. Collison makes 2-pt jump shot from 20 ft,,17,17
1,4:47.0,,R. Westbrook misses 2-pt layup from 7 ft (block by W. Matthews),17,17
1,4:44.0,Defensive rebound by M. Turner,,17,17
1,4:39.0,D. Collison misses 2-pt layup from 5 ft,,17,17
1,4:35.0,,Defensive rebound by D. Schröder,17,17
1,4:23.0,,Shooting foul by D. Collison (drawn by S. Adams),17,17
1,4:23.0,,S. Adams misses free throw 1 of 2,17,17
1,4:23.0,,Offensive rebound by Team,17,17
1,4:23.0,D. Sabonis enters the game for T. Young,,17,17
1,4:23.0,,S. Adams misses free throw 2 of 2,17,17
1,4:21.0,Defensive rebound by M. Turner,,17,17
1,4:08.0,W. Matthews misses 2-pt layup from 2 ft,,17,17
1,4:04.0,Offensive rebound by D. Sabonis,,17,17
1,4:04.0,D. Sabonis makes 2-pt layup from 1 ft,,19,17
1,3:54.0,,Shooting foul by W. Matthews (drawn by S. Adams),19,17
1,3:54.0,,S. Adams makes free throw 1 of 2,19,18
