QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
2,11:22.0,D. Augustin makes 3-pt jump shot from 25 ft,,45,31
2,11:05.0,,T. Jones misses 2-pt jump shot from 13 ft (block by M. Bamba),45,31
2,11:03.0,Defensive rebound by J. Simmons,,45,31
2,10:59.0,T. Ross misses 3-pt jump shot from 25 ft,,45,31
2,10:55.0,,Defensive rebound by Team,45,31
2,10:43.0,,Personal foul by J. Simmons (drawn by A. Wiggins),45,31
2,10:36.0,,T. Jones makes 3-pt jump shot from 24 ft,45,34
2,10:18.0,Shooting foul by D. Šarić (drawn by A. Gordon),,45,34
2,10:18.0,A. Gordon makes free throw 1 of 2,,46,34
2,10:18.0,A. Gordon misses free throw 2 of 2,,46,34
2,10:15.0,,Defensive rebound by T. Jones,46,34
2,9:58.0,,A. Wiggins misses 3-pt jump shot from 25 ft,46,34
2,9:54.0,,Offensive rebound by G. Dieng,46,34
2,9:50.0,,Turnover by A. Tolliver (bad pass; steal by A. Gordon),46,34
2,9:46.0,A. Gordon makes 2-pt dunk from 1 ft,,48,34
2,9:29.0,,Shooting foul by M. Bamba (drawn by G. Dieng),48,34
2,9:29.0,,G. Dieng makes free throw 1 of 2,48,35
2,9:29.0,,J. Okogie enters the game for A. Wiggins,48,35
2,9:29.0,,G. Dieng makes free throw 2 of 2,48,36
2,9:12.0,T. Ross makes 3-pt jump shot from 25 ft,,51,36
2,9:00.0,,D. Šarić makes 2-pt jump shot from 16 ft (assist by T. Jones),51,38
2,8:49.0,J. Simmons makes 2-pt layup from 1 ft,,53,38
2,8:49.0,Shooting foul by D. Šarić (drawn by J. Simmons),,53,38
2,8:49.0,,K. Towns enters the game for G. Dieng,53,38
2,8:49.0,J. Simmons misses free throw 1 of 1,,53,38
2,8:47.0,,Defensive rebound by K. Towns,53,38
2,8:39.0,,K. Towns misses 3-pt jump shot from 25 ft,53,38
2,8:38.0,Defensive rebound by Team,,53,38
2,8:22.0,T. Ross misses 2-pt jump shot from 10 ft,,53,38
2,8:20.0,,Defensive rebound by K. Towns,53,38
2,8:13.0,,A. Tolliver makes 2-pt dunk from 1 ft (assist by J. Okogie),53,40
2,7:58.0,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),,55,40
2,7:47.0,,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),55,42
2,7:33.0,D. Augustin makes 2-pt layup from 1 ft,,57,42
2,7:27.0,,Turnover by D. Šarić (traveling),57,42
2,7:27.0,E. Fournier enters the game for D. Augustin,,57,42
2,7:22.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Simmons),,60,42
2,7:13.0,,Personal foul by M. Bamba (drawn by K. Towns),60,42
2,7:13.0,,J. Teague enters the game for T. Jones,60,42
2,7:06.0,,Shooting foul by E. Fournier (drawn by J. Okogie),60,42
2,7:06.0,,J. Okogie makes free throw 1 of 2,60,43
2,7:06.0,,J. Okogie makes free throw 2 of 2,60,44
2,6:58.0,T. Ross makes 3-pt jump shot from 24 ft (assist by J. Simmons),,63,44
2,6:39.0,,Turnover by J. Okogie (bad pass; steal by E. Fournier),63,44
2,6:31.0,J. Simmons misses 2-pt layup from 1 ft,,63,44
2,6:29.0,,Defensive rebound by K. Towns,63,44
2,6:28.0,,Personal foul by T. Ross (drawn by J. Teague),63,44
2,6:28.0,,Minnesota full timeout,63,44
2,6:28.0,Technical foul by T. Ross,,63,44
2,6:28.0,J. Isaac enters the game for M. Bamba,,63,44
2,6:28.0,N. Vučević enters the game for A. Gordon,,63,44
2,6:28.0,,K. Towns misses technical free throw,63,44
2,6:28.0,,Offensive rebound by Team,63,44
2,6:28.0,,J. Teague misses free throw 1 of 2,63,44
2,6:28.0,,Offensive rebound by Team,63,44
2,6:28.0,,J. Teague makes free throw 2 of 2,63,45
2,6:19.0,Turnover by N. Vučević (out of bounds lost ball),,63,45
2,6:12.0,,K. Towns misses 3-pt jump shot from 25 ft,63,45
2,6:09.0,Defensive rebound by J. Simmons,,63,45
2,6:04.0,E. Fournier misses 3-pt jump shot from 23 ft,,63,45
2,6:01.0,,Defensive rebound by A. Tolliver,63,45
2,5:53.0,,Shooting foul by J. Simmons (drawn by J. Teague),63,45
2,5:53.0,,J. Teague misses free throw 1 of 2,63,45
2,5:53.0,,Offensive rebound by Team,63,45
2,5:53.0,,T. Gibson enters the game for D. Šarić,63,45
2,5:53.0,,J. Teague misses free throw 2 of 2,63,45
2,5:49.0,Defensive rebound by T. Ross,,63,45
2,5:39.0,T. Ross misses 3-pt jump shot from 24 ft,,63,45
2,5:37.0,,Defensive rebound by K. Towns,63,45
2,5:32.0,,J. Okogie misses 3-pt jump shot from 25 ft,63,45
2,5:29.0,Defensive rebound by T. Ross,,63,45
2,5:19.0,T. Ross misses 3-pt jump shot from 26 ft,,63,45
2,5:19.0,,Defensive rebound by Team,63,45
2,5:02.0,,A. Tolliver makes 3-pt jump shot from 22 ft (assist by K. Towns),63,48
2,4:51.0,N. Vučević misses 2-pt layup from 1 ft (block by A. Tolliver),,63,48
2,4:49.0,,Defensive rebound by J. Okogie,63,48
2,4:43.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by J. Okogie),63,51
2,4:36.0,Personal foul by J. Teague (drawn by J. Simmons),,63,51
2,4:36.0,Orlando full timeout,,63,51
2,4:36.0,D. Augustin enters the game for J. Simmons,,63,51
2,4:26.0,J. Isaac makes 2-pt jump shot from 19 ft,,65,51
2,4:11.0,,A. Tolliver misses 3-pt jump shot from 23 ft,65,51
2,4:08.0,Defensive rebound by N. Vučević,,65,51
2,4:01.0,D. Augustin misses 2-pt jump shot from 14 ft,,65,51
2,3:59.0,,Defensive rebound by K. Towns,65,51
2,3:50.0,,J. Okogie makes 2-pt layup from 1 ft,65,53
2,3:30.0,E. Fournier makes 2-pt layup from 1 ft,,67,53
2,3:19.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by K. Towns),67,55
2,3:08.0,N. Vučević misses 3-pt jump shot from 24 ft,,67,55
2,3:05.0,,Defensive rebound by T. Gibson,67,55
2,2:59.0,,K. Towns misses 2-pt jump shot from 15 ft,67,55
2,2:54.0,Defensive rebound by J. Isaac,,67,55
2,2:50.0,Personal foul by K. Towns (drawn by N. Vučević),,67,55
2,2:50.0,A. Gordon enters the game for T. Ross,,67,55
2,2:50.0,,G. Dieng enters the game for J. Okogie,67,55
2,2:50.0,,A. Wiggins enters the game for K. Towns,67,55
2,2:35.0,A. Gordon misses 2-pt jump shot from 12 ft,,67,55
2,2:32.0,,Defensive rebound by G. Dieng,67,55
2,2:22.0,,A. Wiggins makes 2-pt layup from 5 ft,67,57
2,2:07.0,N. Vučević misses 2-pt hook shot from 6 ft,,67,57
2,2:04.0,,Defensive rebound by A. Tolliver,67,57
2,1:52.0,,T. Gibson makes 2-pt hook shot from 5 ft (assist by G. Dieng),67,59
2,1:38.0,Turnover by D. Augustin (bad pass; steal by A. Tolliver),,67,59
2,1:38.0,,Personal foul by N. Vučević (drawn by J. Teague),67,59
2,1:38.0,,J. Teague makes free throw 1 of 2,67,60
2,1:38.0,,J. Teague makes free throw 2 of 2,67,61
2,1:26.0,N. Vučević misses 3-pt jump shot from 25 ft,,67,61
2,1:25.0,Offensive rebound by Team,,67,61
2,1:25.0,,Loose ball foul by T. Gibson (drawn by J. Isaac),67,61
2,1:25.0,J. Isaac makes free throw 1 of 2,,68,61
2,1:25.0,M. Bamba enters the game for N. Vučević,,68,61
2,1:25.0,J. Isaac misses free throw 2 of 2,,68,61
2,1:23.0,,Defensive rebound by G. Dieng,68,61
2,1:02.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Wiggins),68,64
2,0:45.0,A. Gordon misses 2-pt jump shot from 7 ft,,68,64
2,0:44.0,,Defensive rebound by T. Gibson,68,64
2,0:29.0,,T. Gibson misses 2-pt layup from 2 ft,68,64
2,0:27.0,Defensive rebound by E. Fournier,,68,64
2,0:06.0,E. Fournier misses 2-pt jump shot from 12 ft,,68,64
2,0:03.0,,Defensive rebound by G. Dieng,68,64
2,0:00.0,,A. Tolliver misses 2-pt layup from 1 ft,68,64
2,0:00.0,,Offensive rebound by Team,68,64
3,11:45.0,J. Isaac misses 2-pt jump shot from 19 ft,,68,64
3,11:42.0,,Defensive rebound by T. Gibson,68,64
3,11:35.0,,K. Towns makes 2-pt layup at rim (assist by J. Teague),68,66
3,11:18.0,E. Fournier misses 3-pt jump shot from 23 ft,,68,66
3,11:15.0,,Defensive rebound by K. Towns,68,66
3,11:06.0,,A. Wiggins misses 2-pt jump shot from 13 ft (block by A. Gordon),68,66
3,11:04.0,Defensive rebound by D. Augustin,,68,66
3,11:04.0,Offensive foul by D. Augustin (drawn by J. Okogie),,68,66
3,11:04.0,Turnover by D. Augustin (offensive foul),,68,66
3,10:44.0,,J. Teague makes 2-pt layup from 2 ft,68,68
3,10:31.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Fournier),,70,68
3,10:17.0,,T. Gibson makes 2-pt layup at rim (assist by J. Teague),70,70
3,9:56.0,D. Augustin misses 3-pt jump shot from 23 ft,,70,70
3,9:54.0,,Defensive rebound by K. Towns,70,70
3,9:49.0,,J. Teague makes 3-pt jump shot from 25 ft,70,73
3,9:32.0,Turnover by E. Fournier (traveling),,70,73
3,9:26.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),70,75
3,9:26.0,Orlando full timeout,,70,75
3,9:10.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by D. Augustin),,72,75
3,8:54.0,,K. Towns misses 3-pt jump shot from 23 ft,72,75
3,8:50.0,Defensive rebound by J. Isaac,,72,75
3,8:44.0,D. Augustin misses 2-pt layup from 1 ft,,72,75
3,8:42.0,,Defensive rebound by T. Gibson,72,75
3,8:29.0,,T. Gibson makes 2-pt layup at rim (assist by J. Teague),72,77
3,8:14.0,J. Isaac misses 3-pt jump shot from 22 ft,,72,77
3,8:12.0,,Defensive rebound by T. Gibson,72,77
3,8:01.0,,T. Gibson misses 2-pt jump shot from 9 ft,72,77
3,8:01.0,,Offensive rebound by K. Towns,72,77
3,8:01.0,,K. Towns makes 2-pt layup from 1 ft,72,79
3,8:01.0,,Shooting foul by E. Fournier (drawn by K. Towns),72,79
3,8:01.0,,K. Towns makes free throw 1 of 1,72,80
3,7:47.0,Turnover by A. Gordon (bad pass; steal by T. Gibson),,72,80
3,7:42.0,,A. Wiggins makes 2-pt jump shot from 18 ft,72,82
3,7:24.0,A. Gordon misses 3-pt jump shot from 25 ft,,72,82
3,7:21.0,Offensive rebound by E. Fournier,,72,82
3,7:21.0,Personal foul by A. Wiggins (drawn by E. Fournier),,72,82
3,7:13.0,E. Fournier makes 2-pt jump shot from 11 ft,,74,82
3,7:13.0,Shooting foul by T. Gibson (drawn by E. Fournier),,74,82
3,7:13.0,E. Fournier makes free throw 1 of 1,,75,82
3,7:06.0,,Shooting foul by E. Fournier (drawn by J. Teague),75,82
3,7:06.0,,J. Teague misses free throw 1 of 2,75,82
3,7:06.0,,Offensive rebound by Team,75,82
3,7:06.0,,J. Teague makes free throw 2 of 2,75,83
3,6:49.0,E. Fournier misses 2-pt layup from 2 ft,,75,83
3,6:45.0,Offensive rebound by D. Augustin,,75,83
3,6:41.0,D. Augustin misses 3-pt jump shot from 25 ft,,75,83
3,6:38.0,,Defensive rebound by T. Gibson,75,83
3,6:15.0,,J. Teague makes 3-pt jump shot from 27 ft (assist by T. Gibson),75,86
3,5:58.0,E. Fournier misses 3-pt jump shot from 25 ft,,75,86
3,5:53.0,,Defensive rebound by T. Gibson,75,86
3,5:51.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Okogie),75,88
3,5:51.0,Orlando full timeout,,75,88
3,5:51.0,W. Iwundu enters the game for A. Gordon,,75,88
3,5:31.0,W. Iwundu misses 2-pt jump shot from 21 ft,,75,88
3,5:27.0,,Defensive rebound by K. Towns,75,88
3,5:18.0,,K. Towns misses 3-pt jump shot from 23 ft,75,88
3,5:15.0,,Offensive rebound by T. Gibson,75,88
3,5:07.0,,Offensive foul by T. Gibson (drawn by D. Augustin),75,88
3,5:07.0,,Turnover by T. Gibson (offensive foul),75,88
3,5:07.0,J. Simmons enters the game for D. Augustin,,75,88
3,5:07.0,,D. Šarić enters the game for T. Gibson,75,88
3,4:51.0,N. Vučević misses 2-pt jump shot from 12 ft,,75,88
3,4:48.0,,Defensive rebound by K. Towns,75,88
3,4:34.0,,Turnover by J. Teague (bad pass),75,88
3,4:17.0,E. Fournier misses 3-pt jump shot from 25 ft,,75,88
3,4:14.0,Offensive rebound by N. Vučević,,75,88
3,4:12.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by J. Simmons),,78,88
3,3:45.0,,A. Wiggins misses 3-pt jump shot from 25 ft,78,88
3,3:43.0,,Offensive rebound by D. Šarić,78,88
3,3:41.0,,D. Šarić misses 2-pt layup from 1 ft,78,88
3,3:39.0,,Offensive rebound by K. Towns,78,88
3,3:39.0,,K. Towns makes 2-pt dunk from 1 ft,78,90
3,3:29.0,E. Fournier makes 2-pt jump shot from 16 ft (assist by J. Simmons),,80,90
3,3:11.0,,K. Towns makes 2-pt jump shot from 9 ft,80,92
3,2:58.0,E. Fournier makes 2-pt layup at rim (assist by N. Vučević),,82,92
3,2:43.0,,Turnover by J. Okogie (bad pass; steal by J. Isaac),82,92
3,2:38.0,Turnover by E. Fournier (bad pass; steal by J. Teague),,82,92
3,2:33.0,,D. Šarić misses 3-pt jump shot from 26 ft,82,92
3,2:29.0,Defensive rebound by N. Vučević,,82,92
3,2:21.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by E. Fournier),,85,92
3,2:13.0,,Personal foul by J. Simmons (drawn by J. Teague),85,92
3,2:13.0,,Minnesota full timeout,85,92
3,2:13.0,M. Bamba enters the game for E. Fournier,,85,92
3,2:13.0,A. Gordon enters the game for J. Isaac,,85,92
3,2:13.0,T. Ross enters the game for N. Vučević,,85,92
3,2:13.0,,A. Tolliver enters the game for J. Okogie,85,92
3,2:04.0,,K. Towns misses 3-pt jump shot from 25 ft,85,92
3,2:01.0,Defensive rebound by A. Gordon,,85,92
3,1:51.0,Turnover by J. Simmons (bad pass; steal by D. Šarić),,85,92
3,1:35.0,,A. Wiggins misses 2-pt layup from 4 ft (block by M. Bamba),85,92
3,1:31.0,,Offensive rebound by J. Teague,85,92
3,1:29.0,,A. Wiggins misses 3-pt jump shot from 24 ft,85,92
3,1:25.0,Defensive rebound by W. Iwundu,,85,92
3,1:25.0,Personal foul by D. Šarić (drawn by W. Iwundu),,85,92
3,1:25.0,,T. Jones enters the game for J. Teague,85,92
3,1:16.0,J. Simmons misses 2-pt jump shot from 20 ft,,85,92
3,1:14.0,,Defensive rebound by K. Towns,85,92
3,1:00.0,,K. Towns makes 2-pt dunk from 1 ft (assist by A. Wiggins),85,94
3,0:43.0,J. Simmons misses 2-pt jump shot from 15 ft,,85,94
3,0:37.0,Offensive rebound by J. Simmons,,85,94
3,0:31.0,T. Ross misses 3-pt jump shot from 25 ft,,85,94
3,0:31.0,,Defensive rebound by D. Šarić,85,94
3,0:08.0,,A. Wiggins misses 3-pt jump shot from 26 ft,85,94
3,0:06.0,,Offensive rebound by K. Towns,85,94
3,0:06.0,,Shooting foul by M. Bamba (drawn by K. Towns),85,94
3,0:06.0,,K. Towns misses free throw 1 of 2,85,94
3,0:06.0,,Offensive rebound by Team,85,94
3,0:06.0,,K. Towns makes free throw 2 of 2,85,95
3,0:00.0,J. Simmons misses 2-pt layup from 4 ft (block by K. Towns),,85,95
3,0:00.0,Offensive rebound by Team,,85,95
4,11:44.0,,A. Tolliver makes 3-pt jump shot from 26 ft (assist by A. Wiggins),85,98
4,11:22.0,J. Simmons misses 2-pt layup from 2 ft,,85,98
4,11:19.0,,Defensive rebound by G. Dieng,85,98
4,11:07.0,,D. Šarić misses 2-pt jump shot from 21 ft,85,98
4,11:04.0,Defensive rebound by M. Bamba,,85,98
4,10:44.0,J. Simmons makes 2-pt dunk from 2 ft (assist by A. Gordon),,87,98
4,10:44.0,Shooting foul by G. Dieng (drawn by J. Simmons),,87,98
4,10:44.0,J. Simmons misses free throw 1 of 1,,87,98
4,10:42.0,,Defensive rebound by D. Šarić,87,98
4,10:31.0,,T. Jones misses 2-pt jump shot from 11 ft,87,98
4,10:25.0,,Offensive rebound by G. Dieng,87,98
4,10:20.0,,D. Šarić makes 3-pt jump shot from 23 ft (assist by A. Wiggins),87,101
4,9:59.0,Turnover by A. Gordon (bad pass; steal by D. Šarić),,87,101
4,9:55.0,,Personal foul by J. Simmons (drawn by D. Šarić),87,101
4,9:42.0,,T. Jones misses 3-pt jump shot from 26 ft,87,101
4,9:39.0,Defensive rebound by J. Simmons,,87,101
4,9:29.0,A. Gordon makes 2-pt layup at rim (assist by J. Simmons),,89,101
4,9:14.0,,T. Jones misses 2-pt jump shot from 13 ft,89,101
4,9:12.0,Defensive rebound by A. Gordon,,89,101
4,9:08.0,Personal foul by D. Šarić (drawn by A. Gordon),,89,101
4,9:08.0,J. Simmons misses 2-pt jump shot from 6 ft,,89,101
4,9:00.0,,Defensive rebound by A. Tolliver,89,101
4,8:38.0,,A. Wiggins misses 2-pt jump shot from 14 ft,89,101
4,8:34.0,Defensive rebound by J. Simmons,,89,101
4,8:30.0,T. Ross misses 3-pt jump shot from 28 ft,,89,101
4,8:26.0,,Defensive rebound by D. Šarić,89,101
4,8:21.0,,Minnesota full timeout,89,101
4,8:21.0,E. Fournier enters the game for J. Simmons,,89,101
4,8:21.0,,J. Okogie enters the game for G. Dieng,89,101
4,8:21.0,,K. Towns enters the game for A. Wiggins,89,101
4,8:09.0,,D. Šarić makes 2-pt layup from 1 ft (assist by J. Okogie),89,103
4,7:52.0,Shooting foul by J. Okogie (drawn by M. Bamba),,89,103
4,7:52.0,M. Bamba misses free throw 1 of 2,,89,103
4,7:52.0,Offensive rebound by Team,,89,103
4,7:52.0,M. Bamba misses free throw 2 of 2,,89,103
4,7:50.0,,Defensive rebound by A. Tolliver,89,103
4,7:35.0,,K. Towns misses 2-pt jump shot from 6 ft (block by M. Bamba),89,103
4,7:31.0,,Offensive rebound by K. Towns,89,103
4,7:30.0,,K. Towns makes 2-pt layup from 2 ft,89,105
4,7:22.0,D. Augustin misses 2-pt jump shot from 18 ft,,89,105
4,7:18.0,,Defensive rebound by T. Jones,89,105
4,7:13.0,,Flagrant foul type 1 by E. Fournier (drawn by K. Towns),89,105
4,7:13.0,,K. Towns makes flagrant free throw 1 of 2,89,106
4,7:13.0,,K. Towns makes flagrant free throw 2 of 2,89,107
4,7:08.0,,D. Šarić misses 3-pt jump shot from 26 ft,89,107
4,7:04.0,Defensive rebound by M. Bamba,,89,107
4,6:52.0,E. Fournier misses 2-pt jump shot from 13 ft,,89,107
4,6:52.0,,Defensive rebound by J. Okogie,89,107
4,6:40.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Jones),89,110
4,6:38.0,Orlando full timeout,,89,110
4,6:38.0,J. Isaac enters the game for M. Bamba,,89,110
4,6:38.0,N. Vučević enters the game for A. Gordon,,89,110
4,6:26.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by T. Ross),,91,110
4,5:59.0,,T. Jones makes 2-pt jump shot from 9 ft (assist by A. Tolliver),91,112
4,5:48.0,N. Vučević misses 3-pt jump shot from 25 ft,,91,112
4,5:44.0,,Defensive rebound by J. Okogie,91,112
4,5:35.0,,K. Towns misses 2-pt jump shot from 20 ft,91,112
4,5:32.0,Defensive rebound by D. Augustin,,91,112
4,5:32.0,,T. Gibson enters the game for T. Jones,91,112
4,5:32.0,,J. Teague enters the game for D. Šarić,91,112
4,5:23.0,N. Vučević makes 2-pt jump shot from 12 ft (assist by E. Fournier),,93,112
4,5:07.0,,Shooting foul by D. Augustin (drawn by J. Okogie),93,112
4,5:07.0,,J. Okogie makes free throw 1 of 2,93,113
4,5:07.0,,J. Okogie makes free throw 2 of 2,93,114
4,4:49.0,E. Fournier makes 2-pt jump shot from 7 ft,,95,114
4,4:28.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Teague),95,116
4,4:15.0,T. Ross makes 2-pt layup from 1 ft (assist by D. Augustin),,97,116
4,4:00.0,,J. Teague misses 2-pt layup from 2 ft,97,116
4,3:58.0,Defensive rebound by N. Vučević,,97,116
4,3:50.0,Turnover by E. Fournier (bad pass; steal by K. Towns),,97,116
4,3:45.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),97,118
4,3:45.0,Orlando full timeout,,97,118
