QUARTER,TIME_REMAINING,ORLANDO_ACTION,MINNESOTA_ACTION,ORLANDO_SCORE,MINNESOTA_SCORE
1,11:48.0,,Personal foul by J. Isaac (drawn by K. Towns),0,0
1,11:43.0,,Turnover by J. Teague (bad pass; steal by J. Isaac),0,0
1,11:37.0,J. Isaac makes 2-pt layup from 1 ft (assist by D. Augustin),,2,0
1,11:20.0,,A. Wiggins misses 2-pt jump shot from 15 ft,2,0
1,11:20.0,Defensive rebound by J. Isaac,,2,0
1,11:09.0,D. Augustin misses 2-pt jump shot from 6 ft,,2,0
1,11:07.0,,Defensive rebound by T. Gibson,2,0
1,11:03.0,,J. Teague makes 2-pt jump shot from 16 ft,2,2
1,10:41.0,A. Gordon misses 2-pt jump shot from 18 ft,,2,2
1,10:38.0,,Defensive rebound by J. Teague,2,2
1,10:32.0,,J. Teague makes 2-pt jump shot from 16 ft,2,4
1,10:14.0,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),,4,4
1,10:06.0,,J. Teague makes 2-pt jump shot from 18 ft,4,6
1,9:49.0,J. Isaac misses 2-pt layup from 1 ft,,4,6
1,9:48.0,,Defensive rebound by K. Towns,4,6
1,9:40.0,,K. Towns makes 2-pt hook shot from 7 ft (assist by J. Teague),4,8
1,9:26.0,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),,6,8
1,9:19.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),6,10
1,9:14.0,Orlando full timeout,,6,10
1,9:02.0,Turnover by E. Fournier (bad pass),,6,10
1,8:46.0,,A. Wiggins misses 2-pt layup from 2 ft (block by N. Vučević),6,10
1,8:43.0,,Offensive rebound by A. Wiggins,6,10
1,8:42.0,,A. Wiggins makes 2-pt layup from 1 ft,6,12
1,8:19.0,E. Fournier makes 2-pt jump shot from 14 ft (assist by N. Vučević),,8,12
1,8:01.0,,Turnover by T. Gibson (lost ball; steal by N. Vučević),8,12
1,7:55.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by A. Gordon),,11,12
1,7:45.0,,K. Towns misses 2-pt jump shot from 21 ft,11,12
1,7:44.0,Defensive rebound by Team,,11,12
1,7:44.0,,Loose ball foul by T. Gibson (drawn by A. Gordon),11,12
1,7:28.0,A. Gordon makes 2-pt jump shot from 10 ft (assist by N. Vučević),,13,12
1,7:07.0,,J. Okogie misses 2-pt jump shot from 19 ft,13,12
1,7:04.0,Defensive rebound by A. Gordon,,13,12
1,6:44.0,N. Vučević makes 2-pt hook shot from 8 ft,,15,12
1,6:32.0,,T. Gibson makes 2-pt jump shot from 17 ft (assist by J. Teague),15,14
1,6:14.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by A. Gordon),,18,14
1,6:03.0,,J. Teague misses 2-pt jump shot from 13 ft,18,14
1,6:00.0,Defensive rebound by N. Vučević,,18,14
1,5:56.0,Shooting foul by K. Towns (drawn by A. Gordon),,18,14
1,5:56.0,A. Gordon misses free throw 1 of 2,,18,14
1,5:56.0,Offensive rebound by Team,,18,14
1,5:56.0,A. Gordon makes free throw 2 of 2,,19,14
1,5:35.0,,J. Teague makes 2-pt jump shot from 16 ft,19,16
1,5:20.0,N. Vučević makes 2-pt dunk from 1 ft (assist by D. Augustin),,21,16
1,5:20.0,Shooting foul by J. Teague (drawn by N. Vučević),,21,16
1,5:20.0,W. Iwundu enters the game for A. Gordon,,21,16
1,5:20.0,,D. Šarić enters the game for T. Gibson,21,16
1,5:20.0,N. Vučević makes free throw 1 of 1,,22,16
1,5:08.0,,A. Wiggins misses 2-pt layup from 2 ft,22,16
1,5:05.0,Defensive rebound by N. Vučević,,22,16
1,5:01.0,D. Augustin makes 3-pt jump shot from 25 ft,,25,16
1,4:54.0,,Minnesota full timeout,25,16
1,4:54.0,J. Simmons enters the game for D. Augustin,,25,16
1,4:40.0,,J. Okogie misses 2-pt layup from 2 ft (block by J. Isaac),25,16
1,4:37.0,Defensive rebound by W. Iwundu,,25,16
1,4:36.0,Offensive foul by J. Isaac (drawn by K. Towns),,25,16
1,4:36.0,Turnover by J. Isaac (offensive foul),,25,16
1,4:26.0,,D. Šarić makes 2-pt layup from 2 ft (assist by J. Okogie),25,18
1,4:26.0,,Shooting foul by W. Iwundu (drawn by D. Šarić),25,18
1,4:26.0,,D. Šarić makes free throw 1 of 1,25,19
1,4:19.0,,Technical foul by S. Clifford,25,19
1,4:19.0,,K. Towns makes technical free throw,25,20
1,4:04.0,J. Isaac makes 2-pt dunk at rim (assist by E. Fournier),,27,20
1,3:51.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),27,22
1,3:51.0,,Shooting foul by N. Vučević (drawn by K. Towns),27,22
1,3:51.0,T. Ross enters the game for E. Fournier,,27,22
1,3:51.0,,T. Jones enters the game for J. Teague,27,22
1,3:51.0,,K. Towns makes free throw 1 of 1,27,23
1,3:36.0,Personal foul by K. Towns (drawn by N. Vučević),,27,23
1,3:36.0,,G. Dieng enters the game for J. Okogie,27,23
1,3:36.0,,A. Tolliver enters the game for K. Towns,27,23
1,3:27.0,T. Ross misses 2-pt jump shot from 19 ft,,27,23
1,3:24.0,,Defensive rebound by G. Dieng,27,23
1,3:16.0,,G. Dieng makes 2-pt jump shot from 13 ft (assist by T. Jones),27,25
1,2:58.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by W. Iwundu),,29,25
1,2:39.0,,T. Jones misses 2-pt jump shot from 6 ft,29,25
1,2:37.0,Defensive rebound by J. Simmons,,29,25
1,2:34.0,T. Ross misses 3-pt jump shot from 25 ft,,29,25
1,2:34.0,Offensive rebound by N. Vučević,,29,25
1,2:26.0,N. Vučević makes 2-pt layup from 1 ft,,31,25
1,2:26.0,,Minnesota full timeout,31,25
1,2:26.0,M. Bamba enters the game for J. Isaac,,31,25
1,2:26.0,A. Gordon enters the game for N. Vučević,,31,25
1,2:14.0,,Turnover by A. Wiggins (traveling),31,25
1,1:59.0,T. Ross misses 2-pt jump shot from 16 ft,,31,25
1,1:56.0,,Defensive rebound by G. Dieng,31,25
1,1:49.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Jones),31,27
1,1:43.0,W. Iwundu makes 2-pt dunk at rim (assist by J. Simmons),,33,27
1,1:23.0,,A. Wiggins makes 2-pt layup from 1 ft,33,29
1,1:08.0,M. Bamba makes 2-pt jump shot from 16 ft (assist by J. Simmons),,35,29
1,0:54.0,,Personal foul by W. Iwundu (drawn by A. Wiggins),35,29
1,0:44.0,,A. Wiggins makes 2-pt jump shot from 13 ft,35,31
1,0:29.0,T. Ross makes 2-pt jump shot from 16 ft,,37,31
1,0:11.0,,A. Wiggins misses 2-pt layup from 1 ft,37,31
1,0:09.0,Defensive rebound by M. Bamba,,37,31
1,0:02.0,M. Bamba makes 2-pt layup from 1 ft (assist by A. Gordon),,39,31
1,0:02.0,Shooting foul by A. Wiggins (drawn by M. Bamba),,39,31
1,0:02.0,M. Bamba makes free throw 1 of 1,,40,31
2,11:45.0,J. Simmons makes 2-pt layup from 1 ft (assist by A. Gordon),,42,31
2,11:25.0,,Turnover by A. Wiggins (lost ball; steal by D. Augustin),42,31
