QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
1,11:55.0,J. Ennis makes 2-pt layup from 2 ft,,2,0
1,11:35.0,,M. Turner misses 2-pt jump shot from 6 ft (block by C. Capela),2,0
1,11:35.0,,Offensive rebound by Team,2,0
1,11:30.0,,M. Turner misses 2-pt jump shot from 8 ft,2,0
1,11:28.0,Defensive rebound by C. Capela,,2,0
1,11:15.0,P. Tucker misses 3-pt jump shot from 25 ft,,2,0
1,11:11.0,,Defensive rebound by B. Bogdanović,2,0
1,10:52.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by D. Collison),2,2
1,10:31.0,J. Harden makes 2-pt layup from 1 ft (assist by C. Capela),,4,2
1,10:24.0,,D. Collison makes 2-pt layup from 2 ft,4,4
1,10:12.0,J. Ennis misses 2-pt layup from 2 ft (block by M. Turner),,4,4
1,10:08.0,Offensive rebound by C. Capela,,4,4
1,10:08.0,C. Capela misses 2-pt layup from 4 ft,,4,4
1,10:04.0,Offensive rebound by C. Capela,,4,4
1,10:04.0,C. Capela makes 2-pt dunk at rim,,6,4
1,9:51.0,,T. Young misses 2-pt layup from 2 ft,6,4
1,9:48.0,,Offensive rebound by T. Young,6,4
1,9:48.0,,T. Young makes 2-pt layup from 1 ft,6,6
1,9:39.0,J. Ennis makes 2-pt layup from 2 ft (assist by C. Paul),,8,6
1,9:24.0,,Turnover by T. Young (bad pass; steal by P. Tucker),8,6
1,9:13.0,J. Harden makes 3-pt jump shot from 27 ft,,11,6
1,8:52.0,,Personal foul by J. Harden (drawn by M. Turner),11,6
1,8:45.0,,V. Oladipo makes 2-pt layup from 1 ft,11,8
1,8:38.0,Personal foul by V. Oladipo (drawn by C. Paul),,11,8
1,8:29.0,C. Capela misses 2-pt layup from 1 ft (block by M. Turner),,11,8
1,8:25.0,,Defensive rebound by T. Young,11,8
1,8:15.0,,Shooting foul by J. Ennis (drawn by B. Bogdanović),11,8
1,8:15.0,,B. Bogdanović makes free throw 1 of 3,11,9
1,8:15.0,,B. Bogdanović makes free throw 2 of 3,11,10
1,8:15.0,,B. Bogdanović misses free throw 3 of 3,11,10
1,8:14.0,Defensive rebound by J. Harden,,11,10
1,8:05.0,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),,13,10
1,7:49.0,,T. Young misses 2-pt hook shot from 6 ft,13,10
1,7:47.0,Defensive rebound by C. Capela,,13,10
1,7:43.0,Personal foul by D. Collison (drawn by J. Harden),,13,10
1,7:27.0,J. Harden makes 3-pt jump shot from 27 ft,,16,10
1,7:12.0,,V. Oladipo misses 3-pt jump shot from 27 ft,16,10
1,7:10.0,Defensive rebound by C. Capela,,16,10
1,6:53.0,J. Ennis makes 3-pt jump shot from 28 ft (assist by J. Harden),,19,10
1,6:45.0,,Indiana full timeout,19,10
1,6:45.0,C. Anthony enters the game for C. Paul,,19,10
1,6:45.0,G. Green enters the game for P. Tucker,,19,10
1,6:38.0,,Indiana full timeout,19,10
1,6:30.0,,V. Oladipo makes 2-pt jump shot from 19 ft,19,12
