QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,PORTLAND_ACTION,GOLDEN STATE_SCORE,PORTLAND_SCORE
1,11:41.0,,M. Leonard makes 2-pt layup from 1 ft (assist by C. McCollum),0,2
1,11:22.0,A. McKinnie makes 3-pt jump shot from 23 ft (assist by D. Green),,3,2
1,11:08.0,,M. Leonard makes 2-pt dunk from 1 ft (assist by M. Harkless),3,4
1,10:51.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. Green),,6,4
1,10:37.0,,D. Lillard makes 3-pt jump shot from 27 ft (assist by C. McCollum),6,7
1,10:27.0,J. Bell makes 2-pt layup from 1 ft (assist by S. Curry),,8,7
1,10:04.0,,M. Harkless misses 3-pt jump shot from 25 ft,8,7
1,10:02.0,Defensive rebound by D. Green,,8,7
1,9:49.0,K. Thompson misses 3-pt jump shot from 25 ft,,8,7
1,9:47.0,,Defensive rebound by M. Harkless,8,7
1,9:38.0,,C. McCollum misses 2-pt jump shot from 9 ft,8,7
1,9:36.0,Defensive rebound by D. Green,,8,7
1,9:30.0,A. McKinnie makes 2-pt dunk from 1 ft (assist by S. Curry),,10,7
1,9:09.0,,M. Leonard makes 2-pt jump shot from 17 ft (assist by C. McCollum),10,9
1,8:57.0,S. Curry makes 2-pt layup from 6 ft,,12,9
1,8:57.0,Shooting foul by M. Leonard (drawn by S. Curry),,12,9
1,8:57.0,S. Curry makes free throw 1 of 1,,13,9
1,8:35.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),13,12
1,8:20.0,K. Thompson makes 2-pt jump shot from 9 ft (assist by J. Bell),,15,12
1,8:01.0,,Turnover by D. Lillard (lost ball; steal by K. Thompson),15,12
1,7:58.0,K. Thompson misses 3-pt jump shot from 25 ft,,15,12
1,7:55.0,,Defensive rebound by C. McCollum,15,12
1,7:47.0,,C. McCollum makes 2-pt jump shot from 14 ft,15,14
1,7:37.0,K. Thompson makes 2-pt layup from 2 ft (assist by J. Bell),,17,14
1,7:26.0,,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),17,16
1,7:15.0,S. Curry makes 3-pt jump shot from 23 ft (assist by D. Green),,20,16
1,6:50.0,,C. McCollum misses 2-pt jump shot from 20 ft,20,16
1,6:45.0,Defensive rebound by D. Green,,20,16
1,6:42.0,Shooting foul by C. McCollum (drawn by A. McKinnie),,20,16
1,6:42.0,,Portland full timeout,20,16
1,6:42.0,A. McKinnie misses free throw 1 of 2,,20,16
1,6:42.0,Offensive rebound by Team,,20,16
1,6:42.0,A. McKinnie makes free throw 2 of 2,,21,16
1,6:21.0,,D. Lillard makes 2-pt layup from 1 ft,21,18
1,6:05.0,Turnover by D. Green (bad pass),,21,18
1,5:41.0,,M. Leonard misses 2-pt dunk from 1 ft,21,18
1,5:39.0,,Offensive rebound by M. Harkless,21,18
1,5:37.0,,Personal foul by A. McKinnie (drawn by M. Leonard),21,18
1,5:35.0,,Turnover by D. Lillard (bad pass; steal by J. Bell),21,18
1,5:32.0,J. Bell makes 2-pt dunk from 1 ft,,23,18
1,5:17.0,,D. Lillard makes 2-pt jump shot from 21 ft (assist by M. Leonard),23,20
1,5:08.0,J. Bell makes 2-pt layup from 1 ft (assist by D. Green),,25,20
1,4:56.0,,C. McCollum misses 3-pt jump shot from 29 ft,25,20
1,4:53.0,,Offensive rebound by D. Lillard,25,20
1,4:48.0,,M. Leonard makes 3-pt jump shot from 26 ft (assist by D. Lillard),25,23
1,4:36.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),,28,23
1,4:36.0,K. Looney enters the game for J. Bell,,28,23
1,4:09.0,,C. McCollum misses 2-pt jump shot from 9 ft,28,23
1,4:08.0,,Offensive rebound by M. Harkless,28,23
1,4:08.0,,M. Harkless makes 2-pt layup from 2 ft,28,25
1,4:08.0,,Shooting foul by D. Green (drawn by M. Harkless),28,25
1,4:08.0,,R. Hood enters the game for A. Aminu,28,25
1,4:08.0,,M. Harkless misses free throw 1 of 1,28,25
1,4:06.0,Defensive rebound by K. Looney,,28,25
1,4:02.0,Golden State full timeout,,28,25
1,3:48.0,A. McKinnie misses 2-pt jump shot from 6 ft,,28,25
1,3:46.0,,Defensive rebound by D. Lillard,28,25
1,3:35.0,,M. Leonard makes 2-pt jump shot from 7 ft (assist by D. Lillard),28,27
1,3:28.0,A. McKinnie misses 2-pt layup from 1 ft,,28,27
1,3:26.0,,Defensive rebound by M. Leonard,28,27
1,3:23.0,,C. McCollum makes 2-pt layup from 1 ft,28,29
1,3:23.0,,Shooting foul by K. Looney (drawn by C. McCollum),28,29
1,3:23.0,J. Evans enters the game for A. McKinnie,,28,29
1,3:23.0,S. Livingston enters the game for K. Thompson,,28,29
1,3:23.0,,Z. Collins enters the game for M. Harkless,28,29
1,3:23.0,,C. McCollum makes free throw 1 of 1,28,30
1,3:11.0,S. Curry makes 3-pt jump shot from 24 ft,,31,30
1,2:47.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by M. Leonard),31,32
1,2:40.0,D. Green makes 2-pt jump shot from 5 ft,,33,32
1,2:24.0,,Turnover by Z. Collins (traveling),33,32
1,2:24.0,,S. Curry enters the game for C. McCollum,33,32
1,2:07.0,Turnover by D. Green (bad pass; steal by R. Hood),,33,32
