QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
1,11:45.0,,Offensive foul by M. Gasol (drawn by N. Jokić),0,0
1,11:45.0,,Turnover by M. Gasol (offensive foul),0,0
1,11:24.0,P. Millsap misses 2-pt jump shot from 12 ft,,0,0
1,11:21.0,,Defensive rebound by M. Gasol,0,0
1,11:17.0,,Offensive foul by J. Jackson (drawn by P. Millsap),0,0
1,11:17.0,,Turnover by J. Jackson (offensive foul),0,0
1,11:02.0,J. Murray misses 3-pt jump shot from 26 ft,,0,0
1,11:00.0,,Defensive rebound by M. Gasol,0,0
1,10:51.0,,Shooting foul by P. Millsap (drawn by J. Jackson),0,0
1,10:51.0,,J. Jackson makes free throw 1 of 2,0,1
1,10:51.0,,J. Jackson makes free throw 2 of 2,0,2
1,10:37.0,Turnover by G. Harris (3 sec),,0,2
1,10:28.0,,Personal foul by T. Craig (drawn by M. Conley),0,2
1,10:17.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Gasol),0,4
1,10:04.0,G. Harris misses 2-pt dunk at rim (block by J. Jackson),,0,4
1,10:02.0,Offensive rebound by N. Jokić,,0,4
1,9:59.0,Turnover by N. Jokić (bad pass; steal by J. Jackson),,0,4
1,9:53.0,,M. Gasol misses 2-pt layup from 2 ft,0,4
1,9:50.0,Defensive rebound by N. Jokić,,0,4
1,9:44.0,P. Millsap misses 3-pt jump shot from 26 ft,,0,4
1,9:42.0,,Defensive rebound by Team,0,4
1,9:29.0,,Turnover by K. Anderson (bad pass; steal by J. Murray),0,4
1,9:23.0,G. Harris makes 3-pt jump shot from 26 ft (assist by J. Murray),,3,4
1,9:05.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by M. Gasol),3,7
1,8:55.0,P. Millsap misses 2-pt layup from 1 ft,,3,7
1,8:53.0,Offensive rebound by P. Millsap,,3,7
1,8:53.0,Shooting foul by M. Conley (drawn by T. Craig),,3,7
1,8:53.0,T. Craig misses free throw 1 of 2,,3,7
1,8:53.0,Offensive rebound by Team,,3,7
1,8:53.0,T. Craig makes free throw 2 of 2,,4,7
1,8:39.0,,Turnover by G. Temple (bad pass; steal by N. Jokić),4,7
1,8:34.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,6,7
1,8:11.0,,M. Conley makes 2-pt layup from 1 ft,6,9
1,8:11.0,Violation by Team (def goaltending),,6,9
1,7:59.0,J. Murray makes 2-pt jump shot from 6 ft,,8,9
1,7:37.0,,J. Jackson misses 2-pt jump shot from 13 ft,8,9
1,7:34.0,Defensive rebound by N. Jokić,,8,9
1,7:22.0,J. Murray misses 2-pt layup at rim,,8,9
