QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
1,11:45.0,L. Dončić makes 2-pt hook shot from 8 ft,,2,0
1,11:22.0,,A. Davis misses 2-pt jump shot from 13 ft,2,0
1,11:22.0,Defensive rebound by D. Finney-Smith,,2,0
1,11:12.0,D. Jordan misses 2-pt hook shot from 4 ft,,2,0
1,11:09.0,,Defensive rebound by J. Randle,2,0
1,11:03.0,,J. Randle makes 3-pt jump shot from 27 ft (assist by A. Davis),2,3
1,10:43.0,D. Finney-Smith makes 2-pt layup from 2 ft,,4,3
1,10:35.0,,J. Randle misses 3-pt jump shot from 26 ft,4,3
1,10:32.0,Defensive rebound by H. Barnes,,4,3
1,10:26.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by L. Dončić),,7,3
1,10:10.0,,S. Hill misses 3-pt jump shot from 23 ft,7,3
1,10:08.0,Defensive rebound by D. Jordan,,7,3
1,9:57.0,Shooting foul by J. Holiday (drawn by L. Dončić),,7,3
1,9:57.0,L. Dončić makes free throw 1 of 2,,8,3
1,9:57.0,L. Dončić makes free throw 2 of 2,,9,3
1,9:50.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Frazier),9,5
1,9:40.0,,Violation by Team (kicked ball),9,5
1,9:33.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),,12,5
1,9:16.0,,A. Davis makes 2-pt jump shot from 18 ft,12,7
1,8:57.0,H. Barnes makes 2-pt layup from 2 ft (assist by L. Dončić),,14,7
1,8:45.0,,Turnover by T. Frazier (bad pass),14,7
1,8:33.0,Turnover by H. Barnes (out of bounds lost ball),,14,7
1,8:18.0,,J. Randle makes 2-pt layup from 3 ft,14,9
1,7:57.0,L. Dončić misses 2-pt jump shot from 16 ft,,14,9
1,7:53.0,,Defensive rebound by T. Frazier,14,9
1,7:51.0,,A. Davis makes 2-pt dunk from 1 ft (assist by T. Frazier),14,11
1,7:26.0,Turnover by H. Barnes (bad pass; steal by T. Frazier),,14,11
1,7:21.0,,J. Randle makes 2-pt layup from 2 ft (assist by T. Frazier),14,13
1,7:21.0,Dallas full timeout,,14,13
1,7:06.0,Turnover by D. Jordan (traveling),,14,13
1,7:03.0,,Turnover by S. Hill (bad pass; steal by W. Matthews),14,13
1,6:57.0,W. Matthews misses 3-pt jump shot from 25 ft,,14,13
1,6:55.0,,Defensive rebound by T. Frazier,14,13
1,6:44.0,,J. Randle makes 2-pt hook shot from 6 ft,14,15
1,6:33.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),,17,15
1,6:23.0,,A. Davis makes 2-pt dunk from 1 ft (assist by T. Frazier),17,17
1,6:11.0,L. Dončić misses 2-pt layup from 4 ft,,17,17
1,6:09.0,,Defensive rebound by T. Frazier,17,17
1,6:03.0,,Shooting foul by D. Finney-Smith (drawn by J. Holiday),17,17
1,6:03.0,,J. Holiday makes free throw 1 of 2,17,18
1,6:03.0,D. Harris enters the game for W. Matthews,,17,18
1,6:03.0,,J. Holiday makes free throw 2 of 2,17,19
1,5:50.0,Turnover by L. Dončić (bad pass; steal by J. Holiday),,17,19
1,5:44.0,,T. Frazier makes 2-pt layup from 2 ft (assist by A. Davis),17,21
1,5:23.0,H. Barnes misses 3-pt jump shot from 26 ft,,17,21
1,5:23.0,,Defensive rebound by Team,17,21
