QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
1,11:47.0,Turnover by S. Harrison (lost ball; steal by D. Green),,0,0
1,11:38.0,,K. Lowry makes 3-pt jump shot from 23 ft (assist by D. Green),0,3
1,11:11.0,Turnover by L. Markkanen (lost ball; steal by K. Leonard),,0,3
1,10:55.0,,Turnover by M. Gasol (bad pass),0,3
1,10:37.0,R. Arcidiacono misses 2-pt jump shot from 13 ft,,0,3
1,10:34.0,,Defensive rebound by M. Gasol,0,3
1,10:18.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Leonard),0,6
1,9:58.0,L. Markkanen misses 2-pt hook shot from 7 ft,,0,6
1,9:56.0,,Defensive rebound by D. Green,0,6
1,9:47.0,,K. Lowry misses 3-pt jump shot from 25 ft,0,6
1,9:43.0,Defensive rebound by R. Lopez,,0,6
1,9:34.0,W. Selden makes 2-pt jump shot from 16 ft,,2,6
1,9:20.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Lowry),2,8
1,9:07.0,W. Selden misses 3-pt jump shot from 25 ft,,2,8
1,9:04.0,,Defensive rebound by M. Gasol,2,8
1,8:51.0,,P. Siakam misses 2-pt jump shot from 7 ft (block by L. Markkanen),2,8
1,8:48.0,,Offensive rebound by P. Siakam,2,8
1,8:47.0,,P. Siakam misses 2-pt layup from 3 ft,2,8
1,8:47.0,Defensive rebound by L. Markkanen,,2,8
1,8:38.0,L. Markkanen misses 2-pt layup from 3 ft,,2,8
1,8:35.0,Offensive rebound by L. Markkanen,,2,8
1,8:35.0,L. Markkanen misses 2-pt layup from 1 ft,,2,8
1,8:35.0,Offensive rebound by L. Markkanen,,2,8
1,8:35.0,Shooting foul by M. Gasol (drawn by L. Markkanen),,2,8
1,8:35.0,L. Markkanen makes free throw 1 of 2,,3,8
1,8:35.0,L. Markkanen makes free throw 2 of 2,,4,8
1,8:25.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by K. Lowry),4,10
1,8:02.0,S. Harrison misses 2-pt jump shot from 16 ft,,4,10
1,7:59.0,,Defensive rebound by M. Gasol,4,10
1,7:52.0,,Turnover by K. Lowry (bad pass; steal by S. Harrison),4,10
1,7:46.0,Turnover by L. Markkanen (lost ball; steal by K. Leonard),,4,10
1,7:40.0,,K. Leonard misses 3-pt jump shot from 24 ft,4,10
1,7:36.0,Defensive rebound by S. Harrison,,4,10
1,7:22.0,R. Lopez makes 2-pt layup from 3 ft,,6,10
1,7:13.0,,P. Siakam makes 2-pt layup from 2 ft,6,12
1,7:00.0,Personal foul by D. Green (drawn by R. Arcidiacono),,6,12
1,6:54.0,W. Selden makes 2-pt jump shot from 8 ft,,8,12
1,6:38.0,,K. Leonard misses 2-pt jump shot from 16 ft,8,12
1,6:36.0,,Offensive rebound by K. Leonard,8,12
1,6:35.0,,K. Leonard misses 2-pt jump shot from 6 ft,8,12
1,6:33.0,Defensive rebound by R. Arcidiacono,,8,12
1,6:24.0,R. Arcidiacono misses 2-pt jump shot from 14 ft,,8,12
1,6:22.0,,Defensive rebound by M. Gasol,8,12
1,6:07.0,,P. Siakam makes 2-pt jump shot from 6 ft,8,14
1,5:53.0,Turnover by R. Lopez (lost ball; steal by M. Gasol),,8,14
1,5:38.0,,M. Gasol misses 2-pt hook shot from 5 ft,8,14
1,5:35.0,Defensive rebound by R. Lopez,,8,14
1,5:19.0,R. Lopez misses 2-pt layup from 2 ft,,8,14
