QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
1,0:46.0,Defensive rebound by A. Burks,,25,28
1,0:34.0,Personal foul by J. Tatum (drawn by A. Žižić),,25,28
1,0:34.0,A. Žižić misses free throw 1 of 2,,25,28
1,0:34.0,Offensive rebound by Team,,25,28
1,0:34.0,A. Žižić makes free throw 2 of 2,,26,28
1,0:28.0,,J. Tatum makes 2-pt jump shot from 7 ft (assist by T. Rozier),26,30
1,0:08.0,J. Clarkson misses 2-pt jump shot from 14 ft,,26,30
1,0:05.0,,Defensive rebound by G. Yabusele,26,30
1,0:01.0,,G. Yabusele misses 2-pt hook shot from 8 ft,26,30
1,0:01.0,,Offensive rebound by Team,26,30
2,11:47.0,,Turnover by T. Rozier (bad pass; steal by A. Burks),26,30
2,11:40.0,A. Burks makes 2-pt jump shot from 5 ft,,28,30
2,11:27.0,,G. Hayward makes 2-pt jump shot from 4 ft (assist by D. Theis),28,32
2,11:10.0,A. Harrison makes 2-pt layup from 3 ft (assist by L. Nance),,30,32
2,11:10.0,Shooting foul by G. Yabusele (drawn by A. Harrison),,30,32
2,11:10.0,A. Harrison makes free throw 1 of 1,,31,32
2,11:01.0,,T. Rozier misses 2-pt jump shot from 9 ft,31,32
2,10:59.0,Defensive rebound by Team,,31,32
2,10:42.0,Turnover by A. Harrison (bad pass),,31,32
2,10:33.0,,G. Hayward makes 2-pt jump shot from 14 ft,31,34
2,10:06.0,J. Clarkson misses 3-pt jump shot from 26 ft,,31,34
2,10:04.0,,Defensive rebound by J. Tatum,31,34
2,9:55.0,,D. Theis misses 3-pt jump shot from 23 ft,31,34
2,9:53.0,Defensive rebound by L. Nance,,31,34
2,9:39.0,J. Clarkson makes 3-pt jump shot from 27 ft (assist by A. Burks),,34,34
2,9:21.0,,T. Rozier misses 2-pt jump shot from 16 ft,34,34
2,9:20.0,,Offensive rebound by Team,34,34
2,9:20.0,Loose ball foul by A. Žižić (drawn by D. Theis),,34,34
2,9:11.0,,J. Tatum makes 2-pt jump shot from 9 ft,34,36
2,8:51.0,A. Burks makes 2-pt layup from 2 ft (assist by A. Harrison),,36,36
2,8:51.0,Shooting foul by T. Rozier (drawn by A. Burks),,36,36
2,8:51.0,A. Burks makes free throw 1 of 1,,37,36
2,8:40.0,,G. Hayward misses 3-pt jump shot from 24 ft,37,36
2,8:39.0,Defensive rebound by J. Clarkson,,37,36
2,8:24.0,J. Clarkson makes 2-pt jump shot from 22 ft,,39,36
2,8:09.0,,J. Tatum misses 2-pt jump shot from 20 ft,39,36
2,8:06.0,,Offensive rebound by D. Theis,39,36
2,7:57.0,,J. Tatum makes 2-pt jump shot from 6 ft,39,38
2,7:50.0,Cleveland full timeout,,39,38
2,7:50.0,R. Hood enters the game for A. Burks,,39,38
2,7:50.0,T. Thompson enters the game for A. Žižić,,39,38
2,7:50.0,,M. Smart enters the game for G. Hayward,39,38
2,7:33.0,Shooting foul by D. Theis (drawn by T. Thompson),,39,38
2,7:33.0,T. Thompson misses free throw 1 of 2,,39,38
2,7:33.0,Offensive rebound by Team,,39,38
2,7:33.0,C. Sexton enters the game for A. Harrison,,39,38
2,7:33.0,T. Thompson makes free throw 2 of 2,,40,38
2,7:12.0,,G. Yabusele makes 3-pt jump shot from 26 ft (assist by M. Smart),40,41
2,6:53.0,J. Clarkson misses 2-pt hook shot from 12 ft (block by M. Smart),,40,41
2,6:53.0,Offensive rebound by T. Thompson,,40,41
2,6:53.0,Shooting foul by G. Yabusele (drawn by T. Thompson),,40,41
2,6:53.0,T. Thompson makes free throw 1 of 2,,41,41
2,6:53.0,,A. Baynes enters the game for T. Rozier,41,41
2,6:53.0,,K. Irving enters the game for D. Theis,41,41
2,6:53.0,T. Thompson makes free throw 2 of 2,,42,41
2,6:42.0,,J. Tatum misses 2-pt layup from 5 ft,42,41
2,6:41.0,,Offensive rebound by J. Tatum,42,41
2,6:41.0,,J. Tatum misses 2-pt layup from 1 ft,42,41
2,6:40.0,Defensive rebound by T. Thompson,,42,41
2,6:27.0,R. Hood misses 2-pt jump shot from 3 ft,,42,41
2,6:25.0,,Defensive rebound by A. Baynes,42,41
2,6:19.0,,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),42,43
2,5:58.0,J. Clarkson misses 2-pt jump shot from 22 ft,,42,43
2,5:55.0,,Defensive rebound by G. Yabusele,42,43
2,5:52.0,,Personal foul by C. Sexton (drawn by K. Irving),42,43
2,5:52.0,C. Osman enters the game for J. Clarkson,,42,43
2,5:52.0,,M. Morris enters the game for G. Yabusele,42,43
2,5:44.0,,M. Morris makes 2-pt layup from 1 ft (assist by M. Smart),42,45
2,5:17.0,C. Sexton misses 2-pt jump shot from 11 ft,,42,45
2,5:15.0,Offensive rebound by T. Thompson,,42,45
2,5:13.0,R. Hood makes 3-pt jump shot from 25 ft (assist by T. Thompson),,45,45
2,4:54.0,,M. Smart makes 2-pt jump shot from 18 ft,45,47
2,4:31.0,T. Thompson misses 2-pt hook shot from 6 ft,,45,47
2,4:30.0,Offensive rebound by L. Nance,,45,47
2,4:30.0,,G. Hayward enters the game for J. Tatum,45,47
2,4:16.0,C. Sexton misses 2-pt layup from 3 ft,,45,47
2,4:15.0,Offensive rebound by T. Thompson,,45,47
2,4:15.0,T. Thompson makes 2-pt dunk from 2 ft,,47,47
2,4:04.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by A. Baynes),47,50
2,3:36.0,R. Hood misses 2-pt jump shot from 19 ft,,47,50
2,3:35.0,Offensive rebound by T. Thompson,,47,50
2,3:33.0,Personal foul by K. Irving (drawn by T. Thompson),,47,50
2,3:33.0,T. Thompson misses free throw 1 of 2,,47,50
2,3:33.0,Offensive rebound by Team,,47,50
2,3:33.0,T. Thompson makes free throw 2 of 2,,48,50
2,3:20.0,,K. Irving misses 3-pt jump shot from 25 ft,48,50
2,3:19.0,Defensive rebound by T. Thompson,,48,50
2,3:08.0,Turnover by T. Thompson (3 sec),,48,50
2,2:56.0,,A. Baynes misses 3-pt jump shot from 23 ft,48,50
2,2:54.0,,Offensive rebound by G. Hayward,48,50
2,2:52.0,,G. Hayward makes 2-pt layup from 1 ft,48,52
2,2:42.0,Turnover by L. Nance (lost ball; steal by M. Smart),,48,52
2,2:38.0,,M. Smart makes 2-pt dunk from 1 ft,48,54
2,2:28.0,C. Sexton misses 2-pt jump shot from 10 ft,,48,54
2,2:27.0,Offensive rebound by T. Thompson,,48,54
2,2:27.0,T. Thompson misses 2-pt layup at rim,,48,54
2,2:26.0,,Defensive rebound by A. Baynes,48,54
2,2:17.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Irving),48,56
2,1:48.0,C. Sexton misses 2-pt jump shot from 20 ft,,48,56
2,1:47.0,,Defensive rebound by K. Irving,48,56
2,1:43.0,,Personal foul by R. Hood (drawn by G. Hayward),48,56
2,1:43.0,,Boston full timeout,48,56
2,1:43.0,J. Clarkson enters the game for C. Sexton,,48,56
2,1:36.0,,A. Baynes makes 2-pt dunk from 2 ft (assist by G. Hayward),48,58
2,1:16.0,J. Clarkson misses 2-pt hook shot from 3 ft,,48,58
2,1:13.0,,Defensive rebound by M. Morris,48,58
2,1:07.0,,Shooting foul by T. Thompson (drawn by K. Irving),48,58
2,1:07.0,,K. Irving misses free throw 1 of 2,48,58
2,1:07.0,,Offensive rebound by Team,48,58
2,1:07.0,,K. Irving makes free throw 2 of 2,48,59
2,0:56.0,Offensive foul by R. Hood (drawn by M. Morris),,48,59
2,0:56.0,Turnover by R. Hood (offensive foul),,48,59
2,0:45.0,,M. Morris misses 3-pt jump shot from 25 ft,48,59
2,0:44.0,Defensive rebound by T. Thompson,,48,59
2,0:34.0,Shooting foul by A. Baynes (drawn by J. Clarkson),,48,59
2,0:34.0,J. Clarkson makes free throw 1 of 2,,49,59
2,0:34.0,A. Burks enters the game for R. Hood,,49,59
2,0:34.0,J. Clarkson misses free throw 2 of 2,,49,59
2,0:34.0,,Defensive rebound by G. Hayward,49,59
2,0:26.0,,Turnover by K. Irving (out of bounds lost ball),49,59
2,0:05.0,Shooting foul by M. Smart (drawn by A. Burks),,49,59
2,0:05.0,A. Burks makes free throw 1 of 3,,50,59
2,0:05.0,A. Burks makes free throw 2 of 3,,51,59
2,0:05.0,,J. Tatum enters the game for M. Smart,51,59
2,0:05.0,A. Burks makes free throw 3 of 3,,52,59
2,0:00.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),52,62
3,11:49.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by K. Irving),52,64
3,11:34.0,C. Sexton makes 2-pt jump shot from 19 ft,,54,64
3,11:23.0,,K. Irving makes 3-pt jump shot from 28 ft (assist by M. Smart),54,67
3,11:05.0,C. Sexton misses 2-pt jump shot from 20 ft,,54,67
3,11:04.0,,Defensive rebound by Team,54,67
3,10:51.0,,J. Tatum misses 2-pt jump shot from 5 ft,54,67
3,10:50.0,,Offensive rebound by A. Baynes,54,67
3,10:50.0,,A. Baynes makes 2-pt layup at rim,54,69
3,10:25.0,C. Sexton misses 3-pt jump shot from 26 ft,,54,69
3,10:23.0,,Defensive rebound by M. Morris,54,69
3,10:17.0,,K. Irving misses 2-pt jump shot from 13 ft,54,69
3,10:16.0,Defensive rebound by L. Nance,,54,69
3,10:03.0,Turnover by C. Sexton (bad pass; steal by M. Smart),,54,69
3,9:59.0,,Shooting foul by C. Osman (drawn by M. Morris),54,69
3,9:59.0,,M. Morris makes free throw 1 of 2,54,70
3,9:59.0,,M. Morris makes free throw 2 of 2,54,71
3,9:50.0,C. Osman makes 3-pt jump shot from 25 ft (assist by C. Sexton),,57,71
3,9:34.0,,Turnover by M. Morris (lost ball; steal by C. Osman),57,71
3,9:28.0,C. Osman makes 2-pt jump shot from 21 ft (assist by T. Thompson),,59,71
3,9:09.0,,Shooting foul by C. Sexton (drawn by M. Morris),59,71
3,9:09.0,,M. Morris makes free throw 1 of 3,59,72
3,9:09.0,,M. Morris makes free throw 2 of 3,59,73
3,9:09.0,,M. Morris makes free throw 3 of 3,59,74
3,8:56.0,L. Nance misses 2-pt jump shot from 18 ft,,59,74
3,8:53.0,,Defensive rebound by M. Smart,59,74
3,8:48.0,,Offensive foul by A. Baynes (drawn by T. Thompson),59,74
3,8:48.0,,Turnover by A. Baynes (offensive foul),59,74
3,8:37.0,R. Hood makes 2-pt jump shot from 9 ft,,61,74
3,8:23.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),61,77
3,8:01.0,Personal foul by M. Morris (drawn by L. Nance),,61,77
3,7:50.0,C. Osman misses 3-pt jump shot from 27 ft,,61,77
3,7:48.0,,Defensive rebound by J. Tatum,61,77
3,7:39.0,,Shooting foul by C. Osman (drawn by J. Tatum),61,77
3,7:39.0,,J. Tatum makes free throw 1 of 2,61,78
3,7:39.0,,J. Tatum makes free throw 2 of 2,61,79
3,7:25.0,Shooting foul by A. Baynes (drawn by L. Nance),,61,79
3,7:25.0,L. Nance misses free throw 1 of 2,,61,79
3,7:25.0,Offensive rebound by Team,,61,79
3,7:25.0,L. Nance makes free throw 2 of 2,,62,79
3,7:11.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by A. Baynes),62,82
3,6:53.0,Offensive foul by R. Hood (drawn by M. Smart),,62,82
3,6:53.0,Turnover by R. Hood (offensive foul),,62,82
3,6:53.0,,Boston full timeout,62,82
3,6:33.0,,J. Tatum misses 3-pt jump shot from 26 ft,62,82
3,6:32.0,Defensive rebound by C. Sexton,,62,82
3,6:12.0,Shooting foul by J. Tatum (drawn by R. Hood),,62,82
3,6:12.0,R. Hood makes free throw 1 of 2,,63,82
3,6:12.0,J. Clarkson enters the game for L. Nance,,63,82
3,6:12.0,,G. Hayward enters the game for J. Tatum,63,82
3,6:12.0,R. Hood makes free throw 2 of 2,,64,82
3,5:55.0,,Personal foul by C. Sexton (drawn by K. Irving),64,82
3,5:45.0,,A. Baynes misses 2-pt dunk from 2 ft (block by T. Thompson),64,82
3,5:44.0,,Offensive rebound by M. Smart,64,82
3,5:41.0,,K. Irving makes 3-pt jump shot from 29 ft (assist by M. Smart),64,85
3,5:12.0,J. Clarkson misses 2-pt jump shot from 18 ft,,64,85
3,5:11.0,,Defensive rebound by A. Baynes,64,85
3,5:03.0,,K. Irving misses 3-pt jump shot from 28 ft,64,85
3,5:02.0,Defensive rebound by C. Osman,,64,85
3,4:54.0,Personal foul by M. Morris (drawn by C. Osman),,64,85
3,4:54.0,A. Burks enters the game for R. Hood,,64,85
3,4:54.0,,T. Rozier enters the game for A. Baynes,64,85
3,4:54.0,,D. Theis enters the game for M. Smart,64,85
3,4:48.0,C. Sexton makes 2-pt layup from 1 ft,,66,85
3,4:36.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by T. Rozier),66,88
3,4:09.0,T. Thompson misses 2-pt hook shot from 4 ft,,66,88
3,4:07.0,,Defensive rebound by D. Theis,66,88
3,3:59.0,,Offensive foul by G. Hayward (drawn by A. Burks),66,88
3,3:59.0,,Turnover by G. Hayward (offensive foul),66,88
3,3:45.0,C. Sexton makes 2-pt jump shot from 17 ft (assist by T. Thompson),,68,88
3,3:30.0,,K. Irving makes 2-pt layup from 1 ft,68,90
3,3:08.0,Shooting foul by D. Theis (drawn by J. Clarkson),,68,90
3,3:08.0,J. Clarkson makes free throw 1 of 2,,69,90
3,3:08.0,J. Clarkson makes free throw 2 of 2,,70,90
3,2:51.0,,M. Morris misses 2-pt jump shot from 7 ft,70,90
3,2:49.0,,Offensive rebound by K. Irving,70,90
3,2:49.0,,K. Irving makes 2-pt layup at rim,70,92
3,2:38.0,Turnover by C. Sexton (bad pass),,70,92
3,2:38.0,Cleveland full timeout,,70,92
3,2:38.0,A. Harrison enters the game for C. Sexton,,70,92
3,2:38.0,A. Žižić enters the game for T. Thompson,,70,92
3,2:38.0,,S. Ojeleye enters the game for K. Irving,70,92
3,2:38.0,,M. Smart enters the game for M. Morris,70,92
3,2:27.0,,G. Hayward makes 2-pt layup from 2 ft (assist by T. Rozier),70,94
3,2:27.0,,Shooting foul by A. Harrison (drawn by G. Hayward),70,94
3,2:27.0,,G. Hayward makes free throw 1 of 1,70,95
3,2:14.0,J. Clarkson misses 3-pt jump shot from 28 ft,,70,95
3,2:13.0,Offensive rebound by A. Žižić,,70,95
3,2:10.0,A. Žižić misses 2-pt layup from 3 ft,,70,95
3,2:09.0,,Defensive rebound by G. Hayward,70,95
3,2:04.0,,Shooting foul by A. Harrison (drawn by T. Rozier),70,95
3,2:04.0,,T. Rozier misses free throw 1 of 2,70,95
3,2:04.0,,Offensive rebound by Team,70,95
3,2:04.0,,T. Rozier makes free throw 2 of 2,70,96
3,1:53.0,A. Burks misses 3-pt jump shot from 27 ft,,70,96
3,1:51.0,,Defensive rebound by T. Rozier,70,96
3,1:35.0,,Turnover by T. Rozier (bad pass; steal by A. Harrison),70,96
3,1:17.0,A. Harrison misses 2-pt jump shot from 14 ft,,70,96
3,1:15.0,,Defensive rebound by S. Ojeleye,70,96
3,1:03.0,,D. Theis misses 2-pt hook shot from 5 ft,70,96
3,1:02.0,Defensive rebound by A. Harrison,,70,96
3,0:45.0,J. Clarkson misses 2-pt layup from 3 ft (block by D. Theis),,70,96
3,0:43.0,,Defensive rebound by M. Smart,70,96
3,0:41.0,,T. Rozier makes 2-pt dunk from 1 ft (assist by M. Smart),70,98
3,0:23.0,C. Osman misses 3-pt jump shot from 24 ft,,70,98
3,0:20.0,Offensive rebound by A. Burks,,70,98
3,0:08.0,A. Burks makes 2-pt jump shot from 6 ft,,72,98
3,0:02.0,,T. Rozier makes 3-pt jump shot from 28 ft,72,101
4,11:47.0,A. Burks misses 3-pt jump shot from 25 ft,,72,101
4,11:45.0,,Defensive rebound by T. Rozier,72,101
4,11:31.0,,T. Rozier misses 2-pt jump shot from 12 ft,72,101
4,11:29.0,Defensive rebound by A. Burks,,72,101
4,11:26.0,Shooting foul by T. Rozier (drawn by A. Burks),,72,101
4,11:26.0,A. Burks makes free throw 1 of 2,,73,101
4,11:26.0,A. Burks makes free throw 2 of 2,,74,101
4,11:18.0,,Personal foul by A. Harrison (drawn by T. Rozier),74,101
4,11:09.0,,D. Theis makes 3-pt jump shot from 26 ft (assist by G. Hayward),74,104
4,10:46.0,A. Burks makes 2-pt layup from 2 ft,,76,104
4,10:35.0,,G. Hayward misses 2-pt layup from 2 ft,76,104
4,10:33.0,Defensive rebound by L. Nance,,76,104
4,10:25.0,J. Clarkson makes 3-pt jump shot from 23 ft (assist by A. Burks),,79,104
4,10:14.0,,Offensive foul by G. Hayward (drawn by A. Burks),79,104
4,10:14.0,,Turnover by G. Hayward (offensive foul),79,104
4,9:58.0,Personal foul by D. Theis (drawn by A. Burks),,79,104
4,9:52.0,A. Harrison misses 3-pt jump shot from 27 ft,,79,104
4,9:47.0,,Defensive rebound by G. Hayward,79,104
4,9:40.0,,S. Ojeleye makes 2-pt dunk from 2 ft (assist by D. Theis),79,106
4,9:19.0,Offensive foul by J. Clarkson (drawn by T. Rozier),,79,106
4,9:19.0,Turnover by J. Clarkson (offensive foul),,79,106
4,9:07.0,,T. Rozier makes 2-pt layup from 4 ft (assist by G. Hayward),79,108
4,9:06.0,Cleveland full timeout,,79,108
4,9:06.0,C. Sexton enters the game for J. Clarkson,,79,108
4,9:06.0,,B. Wanamaker enters the game for G. Hayward,79,108
4,8:54.0,A. Žižić misses 2-pt hook shot from 4 ft,,79,108
4,8:52.0,,Defensive rebound by D. Theis,79,108
4,8:36.0,,M. Smart makes 3-pt jump shot from 27 ft (assist by B. Wanamaker),79,111
4,8:14.0,C. Sexton makes 2-pt jump shot from 15 ft,,81,111
4,7:57.0,,T. Rozier misses 2-pt jump shot from 10 ft,81,111
4,7:55.0,Defensive rebound by C. Sexton,,81,111
4,7:50.0,,Violation by Team (kicked ball),81,111
4,7:50.0,,R. Williams enters the game for M. Smart,81,111
4,7:50.0,,G. Yabusele enters the game for D. Theis,81,111
4,7:41.0,L. Nance makes 3-pt jump shot from 25 ft (assist by A. Burks),,84,111
4,7:27.0,,R. Williams makes 2-pt dunk from 1 ft (assist by B. Wanamaker),84,113
4,7:08.0,A. Burks misses 2-pt jump shot from 16 ft,,84,113
4,7:05.0,,Defensive rebound by Team,84,113
4,7:05.0,C. Frye enters the game for L. Nance,,84,113
4,6:54.0,,B. Wanamaker misses 2-pt jump shot from 8 ft,84,113
4,6:52.0,Defensive rebound by C. Frye,,84,113
4,6:46.0,Shooting foul by R. Williams (drawn by A. Harrison),,84,113
4,6:46.0,A. Harrison makes free throw 1 of 2,,85,113
4,6:46.0,A. Harrison makes free throw 2 of 2,,86,113
4,6:26.0,,G. Yabusele misses 3-pt jump shot from 29 ft,86,113
4,6:24.0,Defensive rebound by A. Harrison,,86,113
4,6:15.0,A. Harrison makes 2-pt layup at rim,,88,113
4,6:01.0,,Personal foul by A. Žižić (drawn by T. Rozier),88,113
4,5:52.0,,Personal foul by A. Harrison (drawn by G. Yabusele),88,113
4,5:47.0,,Personal foul by A. Harrison (drawn by B. Wanamaker),88,113
4,5:47.0,C. Osman enters the game for A. Harrison,,88,113
4,5:47.0,,P. Dozier enters the game for T. Rozier,88,113
4,5:41.0,,B. Wanamaker makes 3-pt jump shot from 27 ft,88,116
4,5:25.0,A. Žižić makes 2-pt jump shot from 16 ft (assist by C. Sexton),,90,116
4,5:02.0,,G. Yabusele makes 2-pt layup from 3 ft (assist by B. Wanamaker),90,118
4,4:55.0,Shooting foul by P. Dozier (drawn by C. Sexton),,90,118
4,4:55.0,C. Sexton makes free throw 1 of 2,,91,118
4,4:55.0,C. Sexton makes free throw 2 of 2,,92,118
4,4:43.0,,S. Ojeleye misses 2-pt jump shot from 20 ft,92,118
4,4:42.0,Defensive rebound by A. Burks,,92,118
4,4:34.0,A. Žižić makes 2-pt hook shot at rim (assist by A. Burks),,94,118
4,4:34.0,,Violation by Team (def goaltending),94,118
4,4:20.0,,G. Yabusele misses 3-pt jump shot from 26 ft,94,118
4,4:19.0,Defensive rebound by A. Burks,,94,118
4,4:01.0,C. Frye misses 3-pt jump shot from 25 ft,,94,118
4,4:00.0,,Defensive rebound by B. Wanamaker,94,118
4,3:45.0,,R. Williams misses 2-pt jump shot from 14 ft,94,118
4,3:42.0,Defensive rebound by C. Sexton,,94,118
4,3:30.0,C. Sexton misses 2-pt jump shot from 14 ft,,94,118
4,3:27.0,,Defensive rebound by R. Williams,94,118
4,3:27.0,,Boston full timeout,94,118
4,3:10.0,,G. Yabusele misses 2-pt layup from 2 ft,94,118
4,3:09.0,Defensive rebound by A. Burks,,94,118
4,3:03.0,A. Burks misses 2-pt layup from 4 ft (block by R. Williams),,94,118
