QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
1,11:50.0,Turnover by R. Hood (bad pass; steal by M. Smart),,0,0
1,11:45.0,,M. Smart misses 3-pt jump shot from 26 ft,0,0
1,11:42.0,Defensive rebound by T. Thompson,,0,0
1,11:22.0,C. Osman misses 2-pt hook shot from 10 ft,,0,0
1,11:21.0,,Defensive rebound by J. Tatum,0,0
1,11:17.0,,K. Irving makes 2-pt jump shot from 18 ft,0,2
1,10:55.0,C. Sexton misses 2-pt layup from 2 ft,,0,2
1,10:54.0,,Defensive rebound by A. Baynes,0,2
1,10:47.0,,J. Tatum makes 3-pt jump shot from 23 ft (assist by M. Morris),0,5
1,10:32.0,C. Osman misses 3-pt jump shot from 27 ft,,0,5
1,10:30.0,,Defensive rebound by A. Baynes,0,5
1,10:23.0,,Turnover by K. Irving (bad pass; steal by R. Hood),0,5
1,10:19.0,C. Sexton makes 2-pt layup from 3 ft (assist by R. Hood),,2,5
1,9:56.0,,M. Smart makes 2-pt layup from 1 ft,2,7
1,9:44.0,Turnover by R. Hood (lost ball; steal by J. Tatum),,2,7
1,9:40.0,,J. Tatum makes 2-pt layup at rim,2,9
1,9:33.0,Cleveland full timeout,,2,9
1,9:18.0,Turnover by C. Sexton (traveling),,2,9
1,8:59.0,,M. Morris misses 2-pt jump shot from 15 ft,2,9
1,8:58.0,Defensive rebound by L. Nance,,2,9
1,8:41.0,Shooting foul by M. Morris (drawn by T. Thompson),,2,9
1,8:41.0,T. Thompson misses free throw 1 of 2,,2,9
1,8:41.0,Offensive rebound by Team,,2,9
1,8:41.0,T. Thompson makes free throw 2 of 2,,3,9
1,8:26.0,,M. Morris misses 3-pt jump shot from 24 ft,3,9
1,8:25.0,Defensive rebound by T. Thompson,,3,9
1,8:18.0,C. Osman misses 3-pt jump shot from 27 ft,,3,9
1,8:17.0,,Defensive rebound by M. Morris,3,9
1,8:09.0,,A. Baynes misses 2-pt hook shot from 4 ft,3,9
1,8:08.0,,Offensive rebound by A. Baynes,3,9
1,8:07.0,,Shooting foul by L. Nance (drawn by A. Baynes),3,9
1,8:07.0,,A. Baynes makes free throw 1 of 2,3,10
1,8:07.0,,A. Baynes makes free throw 2 of 2,3,11
1,7:57.0,C. Sexton misses 2-pt layup from 2 ft,,3,11
1,7:56.0,,Defensive rebound by M. Morris,3,11
1,7:45.0,,M. Morris misses 2-pt jump shot from 8 ft,3,11
1,7:44.0,Defensive rebound by C. Sexton,,3,11
1,7:39.0,C. Sexton misses 2-pt jump shot from 16 ft,,3,11
1,7:39.0,,Defensive rebound by Team,3,11
1,7:26.0,,K. Irving makes 2-pt jump shot from 10 ft (assist by A. Baynes),3,13
1,7:13.0,T. Thompson makes 2-pt hook shot from 12 ft (assist by C. Sexton),,5,13
1,6:53.0,,J. Tatum misses 2-pt jump shot from 13 ft,5,13
1,6:52.0,Defensive rebound by Team,,5,13
1,6:41.0,L. Nance makes 3-pt jump shot from 26 ft (assist by C. Sexton),,8,13
1,6:26.0,,M. Smart misses 3-pt jump shot from 26 ft,8,13
1,6:24.0,,Offensive rebound by K. Irving,8,13
1,6:21.0,,J. Tatum misses 3-pt jump shot from 26 ft,8,13
1,6:19.0,Defensive rebound by R. Hood,,8,13
1,6:11.0,R. Hood makes 2-pt layup from 3 ft,,10,13
1,6:11.0,Shooting foul by J. Tatum (drawn by R. Hood),,10,13
1,6:11.0,,G. Hayward enters the game for J. Tatum,10,13
1,6:11.0,R. Hood makes free throw 1 of 1,,11,13
1,5:59.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by G. Hayward),11,16
1,5:34.0,T. Thompson makes 2-pt hook shot from 6 ft (assist by R. Hood),,13,16
1,5:23.0,,G. Hayward makes 2-pt jump shot from 19 ft (assist by M. Smart),13,18
1,5:11.0,C. Sexton misses 2-pt layup from 4 ft,,13,18
1,5:10.0,Offensive rebound by T. Thompson,,13,18
1,5:06.0,R. Hood misses 3-pt jump shot from 27 ft,,13,18
1,5:05.0,,Defensive rebound by A. Baynes,13,18
1,5:00.0,,K. Irving makes 3-pt jump shot from 33 ft,13,21
1,4:47.0,Personal foul by G. Hayward (drawn by T. Thompson),,13,21
1,4:47.0,A. Burks enters the game for R. Hood,,13,21
1,4:47.0,J. Clarkson enters the game for L. Nance,,13,21
1,4:37.0,C. Sexton makes 2-pt layup from 3 ft (assist by T. Thompson),,15,21
1,4:37.0,Shooting foul by K. Irving (drawn by C. Sexton),,15,21
1,4:37.0,C. Sexton makes free throw 1 of 1,,16,21
1,4:24.0,,Shooting foul by C. Sexton (drawn by K. Irving),16,21
1,4:24.0,,K. Irving misses free throw 1 of 2,16,21
1,4:24.0,,Offensive rebound by Team,16,21
1,4:24.0,,T. Rozier enters the game for M. Smart,16,21
1,4:24.0,,K. Irving makes free throw 2 of 2,16,22
1,4:12.0,J. Clarkson misses 2-pt jump shot from 17 ft,,16,22
1,4:09.0,,Defensive rebound by A. Baynes,16,22
1,3:59.0,,Offensive foul by A. Baynes (drawn by C. Sexton),16,22
1,3:59.0,,Turnover by A. Baynes (offensive foul),16,22
1,3:46.0,C. Osman misses 3-pt jump shot from 26 ft,,16,22
1,3:45.0,,Defensive rebound by K. Irving,16,22
1,3:32.0,,M. Morris makes 2-pt hook shot from 4 ft,16,24
1,3:11.0,Personal foul by T. Rozier (drawn by C. Osman),,16,24
1,3:11.0,,Boston full timeout,16,24
1,3:11.0,A. Harrison enters the game for C. Sexton,,16,24
1,3:11.0,,D. Theis enters the game for A. Baynes,16,24
1,3:11.0,C. Osman makes free throw 1 of 2,,17,24
1,3:11.0,C. Osman makes free throw 2 of 2,,18,24
1,2:57.0,,K. Irving misses 2-pt jump shot from 6 ft,18,24
1,2:56.0,Defensive rebound by T. Thompson,,18,24
1,2:46.0,T. Thompson makes 2-pt hook shot from 4 ft (assist by A. Harrison),,20,24
1,2:28.0,,T. Rozier makes 2-pt jump shot from 15 ft (assist by D. Theis),20,26
1,2:07.0,J. Clarkson makes 2-pt jump shot from 14 ft,,22,26
1,1:49.0,,K. Irving makes 2-pt layup from 3 ft (assist by D. Theis),22,28
1,1:35.0,A. Burks misses 3-pt jump shot from 25 ft,,22,28
1,1:34.0,,Defensive rebound by T. Rozier,22,28
1,1:29.0,,Turnover by T. Rozier (bad pass; steal by A. Burks),22,28
1,1:24.0,J. Clarkson makes 3-pt jump shot from 22 ft (assist by A. Harrison),,25,28
1,1:10.0,,Personal foul by A. Harrison (drawn by K. Irving),25,28
1,1:10.0,L. Nance enters the game for C. Osman,,25,28
1,1:10.0,A. Žižić enters the game for T. Thompson,,25,28
1,1:10.0,,J. Tatum enters the game for K. Irving,25,28
1,1:10.0,,G. Yabusele enters the game for M. Morris,25,28
1,1:01.0,,G. Hayward misses 3-pt jump shot from 26 ft,25,28
1,0:59.0,,Offensive rebound by G. Yabusele,25,28
1,0:48.0,,G. Yabusele misses 2-pt layup from 3 ft,25,28
